Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;2.643 €/m2;+ 1,0 %;- 0,3 %;+ 5,2 %
Enero 2023;2.617 €/m2;+ 0,1 %;- 0,6 %;+ 3,3 %
Diciembre 2022;2.614 €/m2;- 1,4 %;- 1,5 %;+ 3,2 %
Noviembre 2022;2.651 €/m2;+ 0,7 %;+ 0,2 %;+ 6,1 %
Octubre 2022;2.633 €/m2;- 0,8 %;- 0,5 %;+ 5,3 %
Septiembre 2022;2.654 €/m2;+ 0,3 %;+ 0,1 %;+ 3,3 %
Agosto 2022;2.645 €/m2;- 0,1 %;+ 2,5 %;+ 3,1 %
Julio 2022;2.647 €/m2;- 0,2 %;+ 3,0 %;+ 2,4 %
Junio 2022;2.651 €/m2;+ 2,7 %;+ 5,8 %;+ 2,9 %
Mayo 2022;2.581 €/m2;+ 0,4 %;+ 2,7 %;+ 1,4 %
Abril 2022;2.569 €/m2;+ 2,5 %;+ 1,4 %;+ 0,9 %
Marzo 2022;2.506 €/m2;- 0,3 %;- 1,0 %;- 2,3 %
Febrero 2022;2.513 €/m2;- 0,8 %;+ 0,6 %;- 2,0 %
Enero 2022;2.534 €/m2;+ 0,1 %;+ 1,3 %;- 1,2 %
Diciembre 2021;2.532 €/m2;+ 1,4 %;- 1,5 %;- 1,4 %
Noviembre 2021;2.497 €/m2;- 0,1 %;- 2,7 %;- 2,2 %
Octubre 2021;2.500 €/m2;- 2,7 %;- 3,3 %;+ 0,2 %
Septiembre 2021;2.570 €/m2;+ 0,2 %;- 0,2 %;+ 5,9 %
Agosto 2021;2.565 €/m2;- 0,8 %;+ 0,8 %;+ 6,9 %
Julio 2021;2.585 €/m2;+ 0,4 %;+ 1,6 %;+ 5,1 %
Junio 2021;2.576 €/m2;+ 1,3 %;+ 0,5 %;+ 4,0 %
Mayo 2021;2.544 €/m2;0,0 %;- 0,8 %;+ 1,8 %
Abril 2021;2.545 €/m2;- 0,7 %;- 0,8 %;+ 2,9 %
Marzo 2021;2.564 €/m2;0,0 %;- 0,2 %;+ 3,9 %
Febrero 2021;2.564 €/m2;- 0,1 %;+ 0,4 %;+ 2,6 %
Enero 2021;2.565 €/m2;- 0,1 %;+ 2,8 %;+ 2,6 %
Diciembre 2020;2.569 €/m2;+ 0,6 %;+ 5,9 %;+ 2,1 %
Noviembre 2020;2.554 €/m2;+ 2,3 %;+ 6,4 %;- 0,2 %
Octubre 2020;2.495 €/m2;+ 2,8 %;+ 1,4 %;- 2,8 %
Septiembre 2020;2.426 €/m2;+ 1,1 %;- 2,1 %;- 6,4 %
Agosto 2020;2.400 €/m2;- 2,4 %;- 4,0 %;- 7,3 %
Julio 2020;2.460 €/m2;- 0,7 %;- 0,5 %;- 5,9 %
Junio 2020;2.478 €/m2;- 0,8 %;+ 0,4 %;- 3,1 %
Mayo 2020;2.499 €/m2;+ 1,0 %;0,0 %;+ 0,2 %
Abril 2020;2.473 €/m2;+ 0,2 %;- 1,0 %;- 0,4 %
Marzo 2020;2.467 €/m2;- 1,3 %;- 1,9 %;- 0,7 %
Febrero 2020;2.500 €/m2;0,0 %;- 2,3 %;- 1,2 %
Enero 2020;2.500 €/m2;- 0,6 %;- 2,6 %;0,0 %
Diciembre 2019;2.515 €/m2;- 1,7 %;- 3,0 %;+ 0,6 %
Noviembre 2019;2.558 €/m2;- 0,3 %;- 1,2 %;+ 4,4 %
Octubre 2019;2.566 €/m2;- 1,1 %;- 1,9 %;+ 5,7 %
Septiembre 2019;2.594 €/m2;+ 0,2 %;+ 1,4 %;+ 7,9 %
Agosto 2019;2.588 €/m2;- 1,1 %;+ 3,7 %;+ 8,3 %
Julio 2019;2.616 €/m2;+ 2,2 %;+ 5,3 %;+ 11,9 %
Junio 2019;2.558 €/m2;+ 2,5 %;+ 3,0 %;+ 9,7 %
Mayo 2019;2.495 €/m2;+ 0,5 %;- 1,4 %;+ 7,4 %
Abril 2019;2.483 €/m2;0,0 %;- 0,7 %;+ 9,8 %
Marzo 2019;2.484 €/m2;- 1,8 %;- 0,6 %;+ 12,9 %
Febrero 2019;2.530 €/m2;+ 1,2 %;+ 3,3 %;+ 12,4 %
Enero 2019;2.500 €/m2;0,0 %;+ 3,0 %;+ 10,1 %
Diciembre 2018;2.499 €/m2;+ 2,1 %;+ 3,9 %;+ 10,6 %
Noviembre 2018;2.449 €/m2;+ 0,8 %;+ 2,5 %;+ 11,8 %
Octubre 2018;2.428 €/m2;+ 1,0 %;+ 3,9 %;+ 11,7 %
Septiembre 2018;2.404 €/m2;+ 0,7 %;+ 3,1 %;+ 12,2 %
Agosto 2018;2.389 €/m2;+ 2,2 %;+ 2,8 %;+ 13,8 %
Julio 2018;2.337 €/m2;+ 0,2 %;+ 3,3 %;+ 8,7 %
Junio 2018;2.333 €/m2;+ 0,4 %;+ 6,1 %;+ 7,1 %
Mayo 2018;2.323 €/m2;+ 2,7 %;+ 3,2 %;+ 11,8 %
Abril 2018;2.262 €/m2;+ 2,8 %;- 0,4 %;+ 12,2 %
Marzo 2018;2.200 €/m2;- 2,2 %;- 2,7 %;+ 11,1 %
Febrero 2018;2.250 €/m2;- 0,9 %;+ 2,8 %;+ 11,9 %
Enero 2018;2.271 €/m2;+ 0,5 %;+ 4,4 %;+ 11,4 %
Diciembre 2017;2.260 €/m2;+ 3,2 %;+ 5,5 %;+ 8,9 %
Noviembre 2017;2.190 €/m2;+ 0,7 %;+ 4,3 %;+ 5,4 %
Octubre 2017;2.174 €/m2;+ 1,5 %;+ 1,1 %;+ 8,1 %
Septiembre 2017;2.143 €/m2;+ 2,1 %;- 1,6 %;+ 7,6 %
Agosto 2017;2.100 €/m2;- 2,4 %;+ 1,1 %;+ 5,1 %
Julio 2017;2.150 €/m2;- 1,3 %;+ 6,7 %;+ 8,1 %
Junio 2017;2.178 €/m2;+ 4,8 %;+ 10,0 %;+ 8,6 %
Mayo 2017;2.078 €/m2;+ 3,1 %;+ 3,3 %;+ 5,3 %
Abril 2017;2.016 €/m2;+ 1,8 %;- 1,1 %;+ 4,5 %
Marzo 2017;1.980 €/m2;- 1,6 %;- 4,6 %;+ 3,6 %
Febrero 2017;2.011 €/m2;- 1,3 %;- 3,2 %;+ 5,5 %
Enero 2017;2.039 €/m2;- 1,8 %;+ 1,3 %;+ 4,6 %
Diciembre 2016;2.076 €/m2;- 0,1 %;+ 4,2 %;+ 9,0 %
Noviembre 2016;2.078 €/m2;+ 3,3 %;+ 4,0 %;+ 6,7 %
Octubre 2016;2.012 €/m2;+ 1,0 %;+ 1,2 %;+ 3,2 %
Septiembre 2016;1.992 €/m2;- 0,3 %;- 0,7 %;+ 3,5 %
Agosto 2016;1.997 €/m2;+ 0,5 %;+ 1,2 %;+ 5,4 %
Julio 2016;1.988 €/m2;- 0,9 %;+ 3,1 %;+ 3,9 %
Junio 2016;2.006 €/m2;+ 1,6 %;+ 5,0 %;+ 5,1 %
Mayo 2016;1.974 €/m2;+ 2,3 %;+ 3,5 %;+ 3,0 %
Abril 2016;1.929 €/m2;+ 1,0 %;- 1,0 %;- 0,6 %
Marzo 2016;1.911 €/m2;+ 0,2 %;+ 0,3 %;- 0,1 %
Febrero 2016;1.907 €/m2;- 2,1 %;- 2,1 %;- 1,5 %
Enero 2016;1.948 €/m2;+ 2,3 %;- 0,1 %;+ 2,2 %
Diciembre 2015;1.904 €/m2;- 2,2 %;- 1,1 %;0,0 %
Noviembre 2015;1.947 €/m2;- 0,1 %;+ 2,7 %;+ 2,7 %
Octubre 2015;1.949 €/m2;+ 1,2 %;+ 1,9 %;+ 2,2 %
Septiembre 2015;1.926 €/m2;+ 1,6 %;+ 0,9 %;- 1,5 %
Agosto 2015;1.895 €/m2;- 0,9 %;- 1,1 %;+ 0,2 %
Julio 2015;1.913 €/m2;+ 0,3 %;- 1,4 %;+ 1,2 %
Junio 2015;1.908 €/m2;- 0,4 %;- 0,2 %;+ 0,3 %
Mayo 2015;1.916 €/m2;- 1,2 %;- 1,0 %;- 1,9 %
Abril 2015;1.940 €/m2;+ 1,5 %;+ 1,8 %;- 0,7 %
Marzo 2015;1.912 €/m2;- 1,2 %;+ 0,4 %;- 0,8 %
Febrero 2015;1.935 €/m2;+ 1,5 %;+ 2,1 %;+ 1,4 %
Enero 2015;1.906 €/m2;+ 0,1 %;- 0,1 %;+ 1,4 %
Diciembre 2014;1.904 €/m2;+ 0,4 %;- 2,6 %;+ 0,3 %
Noviembre 2014;1.896 €/m2;- 0,6 %;+ 0,3 %;+ 2,5 %
Octubre 2014;1.908 €/m2;- 2,4 %;+ 0,9 %;+ 3,7 %
Septiembre 2014;1.955 €/m2;+ 3,4 %;+ 2,8 %;+ 4,4 %
Agosto 2014;1.891 €/m2;0,0 %;- 3,2 %;- 0,3 %
Julio 2014;1.891 €/m2;- 0,6 %;- 3,2 %;- 5,2 %
Junio 2014;1.903 €/m2;- 2,6 %;- 1,3 %;- 5,0 %
Mayo 2014;1.953 €/m2;0,0 %;+ 2,3 %;- 2,9 %
Abril 2014;1.953 €/m2;+ 1,3 %;+ 3,9 %;- 1,7 %
Marzo 2014;1.928 €/m2;+ 1,0 %;+ 1,6 %;- 3,6 %
Febrero 2014;1.909 €/m2;+ 1,6 %;+ 3,2 %;- 3,8 %
Enero 2014;1.879 €/m2;- 1,0 %;+ 2,1 %;- 6,1 %
Diciembre 2013;1.898 €/m2;+ 2,6 %;+ 1,3 %;- 7,3 %
Noviembre 2013;1.850 €/m2;+ 0,5 %;- 2,5 %;- 11,0 %
Octubre 2013;1.840 €/m2;- 1,8 %;- 7,8 %;- 13,6 %
Septiembre 2013;1.873 €/m2;- 1,2 %;- 6,4 %;- 12,0 %
Agosto 2013;1.897 €/m2;- 4,9 %;- 5,7 %;- 11,6 %
Julio 2013;1.995 €/m2;- 0,3 %;+ 0,5 %;- 9,1 %
Junio 2013;2.002 €/m2;- 0,5 %;+ 0,1 %;- 10,4 %
Mayo 2013;2.012 €/m2;+ 1,3 %;+ 1,4 %;- 10,6 %
Abril 2013;1.986 €/m2;- 0,7 %;- 0,8 %;- 11,7 %
Marzo 2013;2.000 €/m2;+ 0,8 %;- 2,3 %;- 12,6 %
Febrero 2013;1.985 €/m2;- 0,8 %;- 4,5 %;- 14,1 %
Enero 2013;2.002 €/m2;- 2,2 %;- 6,0 %;- 13,7 %
Diciembre 2012;2.047 €/m2;- 1,5 %;- 3,8 %;- 10,7 %
Noviembre 2012;2.078 €/m2;- 2,5 %;- 3,1 %;- 11,6 %
Octubre 2012;2.131 €/m2;+ 0,1 %;- 2,9 %;- 10,0 %
Septiembre 2012;2.129 €/m2;- 0,7 %;- 4,7 %;- 12,1 %
Agosto 2012;2.145 €/m2;- 2,3 %;- 4,7 %;- 13,7 %
Julio 2012;2.194 €/m2;- 1,7 %;- 2,5 %;- 12,2 %
Junio 2012;2.233 €/m2;- 0,8 %;- 2,5 %;- 10,7 %
Mayo 2012;2.250 €/m2;0,0 %;- 2,6 %;- 11,6 %
Abril 2012;2.251 €/m2;- 1,7 %;- 2,9 %;- 12,3 %
Marzo 2012;2.290 €/m2;- 0,9 %;- 0,2 %;- 12,8 %
Febrero 2012;2.310 €/m2;- 0,4 %;- 1,7 %;- 13,5 %
Enero 2012;2.319 €/m2;+ 1,1 %;- 2,0 %;- 13,6 %
Diciembre 2011;2.293 €/m2;- 2,4 %;- 5,3 %;- 11,8 %
Noviembre 2011;2.350 €/m2;- 0,7 %;- 5,4 %;- 9,6 %
Octubre 2011;2.366 €/m2;- 2,3 %;- 5,3 %;- 8,1 %
Septiembre 2011;2.422 €/m2;- 2,5 %;- 3,1 %;- 6,9 %
Agosto 2011;2.484 €/m2;- 0,6 %;- 2,4 %;- 2,4 %
Julio 2011;2.500 €/m2;0,0 %;- 2,6 %;- 3,2 %
Junio 2011;2.500 €/m2;- 1,8 %;- 4,8 %;- 4,9 %
Mayo 2011;2.545 €/m2;- 0,8 %;- 4,6 %;- 6,2 %
Abril 2011;2.567 €/m2;- 2,2 %;- 4,4 %;- 4,6 %
Marzo 2011;2.625 €/m2;- 1,7 %;+ 1,0 %;- 2,3 %
Febrero 2011;2.669 €/m2;- 0,6 %;+ 2,7 %;+ 2,3 %
Enero 2011;2.685 €/m2;+ 3,3 %;+ 4,3 %;+ 2,8 %
Diciembre 2010;2.600 €/m2;0,0 %;0,0 %;0,0 %
Noviembre 2010;2.600 €/m2;+ 1,0 %;+ 2,2 %;+ 0,4 %
Octubre 2010;2.575 €/m2;- 1,0 %;- 0,3 %;+ 3,0 %
Septiembre 2010;2.600 €/m2;+ 2,2 %;- 1,1 %;- 4,3 %
Agosto 2010;2.545 €/m2;- 1,5 %;- 6,3 %;n.d.
