Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;2.578 €/m2;+ 0,8 %;+ 2,7 %;+ 6,8 %
Enero 2023;2.558 €/m2;+ 1,1 %;+ 4,4 %;+ 6,3 %
Diciembre 2022;2.529 €/m2;+ 0,8 %;+ 4,5 %;+ 6,6 %
Noviembre 2022;2.510 €/m2;+ 2,5 %;+ 0,2 %;+ 5,7 %
Octubre 2022;2.449 €/m2;+ 1,2 %;- 1,7 %;+ 4,1 %
Septiembre 2022;2.420 €/m2;- 3,4 %;- 4,1 %;+ 1,9 %
Agosto 2022;2.505 €/m2;+ 0,6 %;- 0,2 %;+ 4,6 %
Julio 2022;2.491 €/m2;- 1,3 %;0,0 %;+ 4,0 %
Junio 2022;2.523 €/m2;+ 0,5 %;+ 2,6 %;+ 7,0 %
Mayo 2022;2.510 €/m2;+ 0,8 %;+ 4,0 %;+ 8,6 %
Abril 2022;2.490 €/m2;+ 1,3 %;+ 3,4 %;+ 8,0 %
Marzo 2022;2.459 €/m2;+ 1,8 %;+ 3,6 %;+ 6,0 %
Febrero 2022;2.414 €/m2;+ 0,3 %;+ 1,7 %;+ 3,0 %
Enero 2022;2.408 €/m2;+ 1,5 %;+ 2,3 %;+ 0,5 %
Diciembre 2021;2.372 €/m2;- 0,1 %;- 0,1 %;- 0,5 %
Noviembre 2021;2.374 €/m2;+ 0,9 %;- 0,8 %;- 0,1 %
Octubre 2021;2.354 €/m2;- 0,9 %;- 1,7 %;- 0,4 %
Septiembre 2021;2.374 €/m2;- 0,8 %;+ 0,7 %;- 0,6 %
Agosto 2021;2.394 €/m2;0,0 %;+ 3,5 %;- 0,8 %
Julio 2021;2.394 €/m2;+ 1,6 %;+ 3,8 %;- 2,7 %
Junio 2021;2.357 €/m2;+ 1,9 %;+ 1,6 %;- 4,6 %
Mayo 2021;2.313 €/m2;+ 0,3 %;- 1,3 %;- 5,1 %
Abril 2021;2.307 €/m2;- 0,6 %;- 3,7 %;- 2,5 %
Marzo 2021;2.320 €/m2;- 1,0 %;- 2,7 %;- 2,0 %
Febrero 2021;2.343 €/m2;- 2,2 %;- 1,4 %;- 0,9 %
Enero 2021;2.396 €/m2;+ 0,5 %;+ 1,4 %;- 1,6 %
Diciembre 2020;2.384 €/m2;+ 0,3 %;- 0,2 %;- 1,5 %
Noviembre 2020;2.376 €/m2;+ 0,6 %;- 1,5 %;- 2,2 %
Octubre 2020;2.363 €/m2;- 1,1 %;- 4,0 %;- 2,4 %
Septiembre 2020;2.389 €/m2;- 1,0 %;- 3,3 %;- 0,6 %
Agosto 2020;2.413 €/m2;- 1,9 %;- 1,0 %;+ 0,6 %
Julio 2020;2.461 €/m2;- 0,4 %;+ 4,0 %;+ 2,0 %
Junio 2020;2.471 €/m2;+ 1,4 %;+ 4,4 %;+ 0,9 %
Mayo 2020;2.437 €/m2;+ 3,0 %;+ 3,1 %;+ 0,7 %
Abril 2020;2.366 €/m2;0,0 %;- 2,8 %;- 2,0 %
Marzo 2020;2.367 €/m2;+ 0,1 %;- 2,2 %;- 1,8 %
Febrero 2020;2.364 €/m2;- 2,9 %;- 2,7 %;+ 0,5 %
Enero 2020;2.434 €/m2;+ 0,6 %;+ 0,6 %;+ 4,7 %
Diciembre 2019;2.419 €/m2;- 0,4 %;+ 0,6 %;+ 6,4 %
Noviembre 2019;2.429 €/m2;+ 0,4 %;+ 1,2 %;+ 7,7 %
Octubre 2019;2.421 €/m2;+ 0,7 %;+ 0,3 %;+ 5,9 %
Septiembre 2019;2.404 €/m2;+ 0,2 %;- 1,8 %;+ 6,0 %
Agosto 2019;2.400 €/m2;- 0,6 %;- 0,9 %;+ 8,1 %
Julio 2019;2.413 €/m2;- 1,4 %;0,0 %;+ 9,0 %
Junio 2019;2.448 €/m2;+ 1,1 %;+ 1,6 %;+ 11,8 %
Mayo 2019;2.421 €/m2;+ 0,3 %;+ 2,9 %;+ 9,5 %
Abril 2019;2.414 €/m2;+ 0,2 %;+ 3,9 %;+ 12,3 %
Marzo 2019;2.409 €/m2;+ 2,4 %;+ 6,0 %;+ 15,7 %
Febrero 2019;2.353 €/m2;+ 1,2 %;+ 4,3 %;+ 12,7 %
Enero 2019;2.324 €/m2;+ 2,3 %;+ 1,7 %;+ 12,2 %
Diciembre 2018;2.273 €/m2;+ 0,7 %;+ 0,2 %;+ 11,0 %
Noviembre 2018;2.256 €/m2;- 1,3 %;+ 1,7 %;+ 9,9 %
Octubre 2018;2.286 €/m2;+ 0,8 %;+ 3,2 %;+ 11,2 %
Septiembre 2018;2.267 €/m2;+ 2,2 %;+ 3,6 %;+ 11,7 %
Agosto 2018;2.219 €/m2;+ 0,2 %;+ 0,3 %;+ 13,0 %
Julio 2018;2.215 €/m2;+ 1,2 %;+ 3,1 %;+ 13,3 %
Junio 2018;2.189 €/m2;- 1,0 %;+ 5,2 %;+ 12,2 %
Mayo 2018;2.212 €/m2;+ 2,9 %;+ 5,9 %;+ 14,5 %
Abril 2018;2.149 €/m2;+ 3,3 %;+ 3,8 %;+ 12,5 %
Marzo 2018;2.082 €/m2;- 0,3 %;+ 1,7 %;+ 8,7 %
Febrero 2018;2.088 €/m2;+ 0,8 %;+ 1,7 %;+ 8,2 %
Enero 2018;2.071 €/m2;+ 1,1 %;+ 0,8 %;+ 7,2 %
Diciembre 2017;2.048 €/m2;- 0,2 %;+ 0,9 %;+ 5,5 %
Noviembre 2017;2.052 €/m2;- 0,2 %;+ 4,5 %;+ 7,3 %
Octubre 2017;2.055 €/m2;+ 1,3 %;+ 5,1 %;+ 8,3 %
Septiembre 2017;2.029 €/m2;+ 3,3 %;+ 4,0 %;+ 7,5 %
Agosto 2017;1.965 €/m2;+ 0,5 %;+ 1,7 %;+ 6,5 %
Julio 2017;1.955 €/m2;+ 0,2 %;+ 2,3 %;+ 3,7 %
Junio 2017;1.951 €/m2;+ 1,0 %;+ 1,9 %;+ 3,1 %
Mayo 2017;1.931 €/m2;+ 1,1 %;+ 0,1 %;+ 3,4 %
Abril 2017;1.911 €/m2;- 0,2 %;- 1,1 %;+ 3,2 %
Marzo 2017;1.914 €/m2;- 0,8 %;- 1,4 %;+ 4,5 %
Febrero 2017;1.929 €/m2;- 0,2 %;+ 0,9 %;+ 7,4 %
Enero 2017;1.933 €/m2;- 0,4 %;+ 1,8 %;+ 8,1 %
Diciembre 2016;1.941 €/m2;+ 1,5 %;+ 2,9 %;+ 5,6 %
Noviembre 2016;1.912 €/m2;+ 0,7 %;+ 3,6 %;+ 4,2 %
Octubre 2016;1.898 €/m2;+ 0,6 %;+ 0,7 %;+ 1,4 %
Septiembre 2016;1.887 €/m2;+ 2,3 %;- 0,3 %;+ 1,9 %
Agosto 2016;1.845 €/m2;- 2,2 %;- 1,2 %;+ 0,6 %
Julio 2016;1.886 €/m2;- 0,4 %;+ 1,8 %;- 1,3 %
Junio 2016;1.893 €/m2;+ 1,3 %;+ 3,3 %;- 1,3 %
Mayo 2016;1.868 €/m2;+ 0,9 %;+ 4,0 %;- 3,9 %
Abril 2016;1.852 €/m2;+ 1,1 %;+ 3,6 %;- 5,1 %
Marzo 2016;1.832 €/m2;+ 2,0 %;- 0,3 %;- 5,6 %
Febrero 2016;1.796 €/m2;+ 0,5 %;- 2,2 %;- 7,0 %
Enero 2016;1.787 €/m2;- 2,8 %;- 4,5 %;- 8,0 %
Diciembre 2015;1.838 €/m2;+ 0,1 %;- 0,8 %;- 5,7 %
Noviembre 2015;1.836 €/m2;- 1,9 %;+ 0,1 %;- 5,7 %
Octubre 2015;1.872 €/m2;+ 1,1 %;- 2,0 %;- 3,8 %
Septiembre 2015;1.852 €/m2;+ 1,0 %;- 3,4 %;- 9,2 %
Agosto 2015;1.835 €/m2;- 4,0 %;- 5,6 %;- 9,0 %
Julio 2015;1.910 €/m2;- 0,4 %;- 2,1 %;- 2,8 %
Junio 2015;1.918 €/m2;- 1,4 %;- 1,1 %;- 1,4 %
Mayo 2015;1.944 €/m2;- 0,4 %;+ 0,6 %;- 1,3 %
Abril 2015;1.952 €/m2;+ 0,6 %;+ 0,4 %;- 2,0 %
Marzo 2015;1.940 €/m2;+ 0,4 %;- 0,5 %;- 4,0 %
Febrero 2015;1.932 €/m2;- 0,6 %;- 0,8 %;- 3,7 %
Enero 2015;1.944 €/m2;- 0,3 %;- 0,2 %;- 3,5 %
Diciembre 2014;1.950 €/m2;+ 0,2 %;- 4,4 %;- 0,8 %
Noviembre 2014;1.946 €/m2;0,0 %;- 3,4 %;- 2,9 %
Octubre 2014;1.947 €/m2;- 4,5 %;- 1,0 %;- 6,6 %
Septiembre 2014;2.039 €/m2;+ 1,2 %;+ 4,8 %;- 2,7 %
Agosto 2014;2.016 €/m2;+ 2,6 %;+ 2,3 %;- 5,6 %
Julio 2014;1.965 €/m2;+ 1,0 %;- 1,3 %;- 8,1 %
Junio 2014;1.946 €/m2;- 1,2 %;- 3,7 %;- 7,6 %
Mayo 2014;1.970 €/m2;- 1,1 %;- 1,7 %;- 5,7 %
Abril 2014;1.992 €/m2;- 1,5 %;- 1,1 %;- 5,3 %
Marzo 2014;2.021 €/m2;+ 0,8 %;+ 2,9 %;- 4,9 %
Febrero 2014;2.005 €/m2;- 0,4 %;0,0 %;- 5,9 %
Enero 2014;2.014 €/m2;+ 2,5 %;- 3,4 %;- 5,2 %
Diciembre 2013;1.965 €/m2;- 2,0 %;- 6,2 %;- 7,8 %
Noviembre 2013;2.004 €/m2;- 3,8 %;- 6,1 %;- 6,6 %
Octubre 2013;2.084 €/m2;- 0,5 %;- 2,5 %;- 6,3 %
Septiembre 2013;2.095 €/m2;- 1,8 %;- 0,5 %;- 8,8 %
Agosto 2013;2.134 €/m2;- 0,2 %;+ 2,1 %;- 10,0 %
Julio 2013;2.138 €/m2;+ 1,5 %;+ 1,7 %;- 9,8 %
Junio 2013;2.106 €/m2;+ 0,7 %;- 0,9 %;- 11,7 %
Mayo 2013;2.090 €/m2;- 0,6 %;- 1,9 %;- 12,4 %
Abril 2013;2.103 €/m2;- 1,0 %;- 1,0 %;- 12,8 %
Marzo 2013;2.125 €/m2;- 0,3 %;- 0,3 %;- 13,8 %
Febrero 2013;2.132 €/m2;+ 0,3 %;- 0,6 %;- 12,5 %
Enero 2013;2.124 €/m2;- 0,4 %;- 4,5 %;- 14,8 %
Diciembre 2012;2.132 €/m2;- 0,6 %;- 7,2 %;- 14,6 %
Noviembre 2012;2.145 €/m2;- 3,5 %;- 9,5 %;- 14,2 %
Octubre 2012;2.223 €/m2;- 3,3 %;- 6,2 %;- 11,0 %
Septiembre 2012;2.298 €/m2;- 3,1 %;- 3,6 %;- 8,6 %
Agosto 2012;2.371 €/m2;0,0 %;- 0,6 %;- 2,5 %
Julio 2012;2.371 €/m2;- 0,5 %;- 1,7 %;- 3,0 %
Junio 2012;2.384 €/m2;- 0,1 %;- 3,3 %;- 3,5 %
Mayo 2012;2.385 €/m2;- 1,1 %;- 2,1 %;- 8,1 %
Abril 2012;2.412 €/m2;- 2,1 %;- 3,3 %;- 7,1 %
Marzo 2012;2.464 €/m2;+ 1,1 %;- 1,3 %;- 4,3 %
Febrero 2012;2.437 €/m2;- 2,2 %;- 2,5 %;- 5,9 %
Enero 2012;2.493 €/m2;- 0,2 %;- 0,2 %;- 4,9 %
Diciembre 2011;2.497 €/m2;- 0,2 %;- 0,7 %;- 7,2 %
Noviembre 2011;2.501 €/m2;+ 0,1 %;+ 2,8 %;- 5,7 %
Octubre 2011;2.498 €/m2;- 0,7 %;+ 2,3 %;- 6,4 %
Septiembre 2011;2.515 €/m2;+ 3,4 %;+ 1,8 %;- 5,6 %
Agosto 2011;2.433 €/m2;- 0,4 %;- 6,3 %;- 9,7 %
Julio 2011;2.443 €/m2;- 1,1 %;- 5,9 %;- 9,3 %
Junio 2011;2.470 €/m2;- 4,8 %;- 4,1 %;- 8,5 %
Mayo 2011;2.596 €/m2;0,0 %;+ 0,2 %;- 2,6 %
Abril 2011;2.596 €/m2;+ 0,8 %;- 1,0 %;- 3,5 %
Marzo 2011;2.576 €/m2;- 0,5 %;- 4,3 %;- 3,2 %
Febrero 2011;2.590 €/m2;- 1,2 %;- 2,3 %;- 2,9 %
Enero 2011;2.621 €/m2;- 2,6 %;- 1,8 %;- 1,8 %
Diciembre 2010;2.691 €/m2;+ 1,5 %;+ 1,0 %;+ 1,5 %
Noviembre 2010;2.651 €/m2;- 0,7 %;- 1,6 %;0,0 %
Octubre 2010;2.669 €/m2;+ 0,1 %;- 0,9 %;+ 0,7 %
Septiembre 2010;2.665 €/m2;- 1,1 %;- 1,3 %;- 3,3 %
Agosto 2010;2.694 €/m2;+ 0,1 %;+ 1,1 %;- 2,0 %
Julio 2010;2.692 €/m2;- 0,3 %;+ 0,1 %;- 5,8 %
Junio 2010;2.699 €/m2;+ 1,3 %;+ 1,4 %;- 4,0 %
Mayo 2010;2.665 €/m2;- 0,9 %;- 0,1 %;- 6,9 %
Abril 2010;2.690 €/m2;+ 1,1 %;+ 0,8 %;- 5,9 %
Marzo 2010;2.661 €/m2;- 0,3 %;+ 0,4 %;- 6,5 %
Febrero 2010;2.668 €/m2;0,0 %;+ 0,7 %;- 3,5 %
Enero 2010;2.668 €/m2;+ 0,6 %;+ 0,7 %;+ 2,0 %
Diciembre 2009;2.651 €/m2;0,0 %;- 3,8 %;- 2,3 %
Noviembre 2009;2.650 €/m2;0,0 %;- 3,6 %;- 5,9 %
Octubre 2009;2.650 €/m2;- 3,8 %;- 7,2 %;- 6,2 %
Septiembre 2009;2.755 €/m2;+ 0,2 %;- 2,1 %;- 2,2 %
Agosto 2009;2.748 €/m2;- 3,8 %;- 4,0 %;- 4,6 %
Julio 2009;2.857 €/m2;+ 1,6 %;- 0,1 %;- 0,5 %
Junio 2009;2.813 €/m2;- 1,8 %;- 1,2 %;+ 0,6 %
Mayo 2009;2.864 €/m2;+ 0,1 %;+ 3,6 %;- 3,1 %
Abril 2009;2.860 €/m2;+ 0,5 %;+ 9,3 %;n.d.
Marzo 2009;2.846 €/m2;+ 2,9 %;+ 4,9 %;n.d.
Febrero 2009;2.765 €/m2;+ 5,7 %;- 1,8 %;n.d.
Enero 2009;2.616 €/m2;- 3,6 %;- 7,4 %;n.d.
Diciembre 2008;2.714 €/m2;- 3,6 %;- 3,6 %;n.d.
Noviembre 2008;2.816 €/m2;- 0,3 %;- 2,3 %;n.d.
Octubre 2008;2.826 €/m2;+ 0,4 %;- 1,6 %;n.d.
Septiembre 2008;2.816 €/m2;- 2,3 %;+ 0,7 %;n.d.
Agosto 2008;2.881 €/m2;+ 0,4 %;- 2,5 %;n.d.
Julio 2008;2.871 €/m2;+ 2,7 %;n.d.;n.d.
Junio 2008;2.797 €/m2;- 5,3 %;n.d.;n.d.
Mayo 2008;2.955 €/m2;n.d.;n.d.;n.d.
