Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;2.103 €/m2;+ 0,4 %;- 0,1 %;+ 8,8 %
Enero 2023;2.096 €/m2;- 0,8 %;- 1,0 %;+ 8,4 %
Diciembre 2022;2.112 €/m2;+ 0,3 %;- 1,6 %;+ 10,0 %
Noviembre 2022;2.106 €/m2;- 0,5 %;- 2,4 %;+ 9,7 %
Octubre 2022;2.116 €/m2;- 1,4 %;- 0,2 %;+ 10,3 %
Septiembre 2022;2.147 €/m2;- 0,6 %;+ 4,6 %;+ 11,8 %
Agosto 2022;2.159 €/m2;+ 1,8 %;+ 8,4 %;+ 13,4 %
Julio 2022;2.122 €/m2;+ 3,4 %;+ 7,4 %;+ 11,5 %
Junio 2022;2.053 €/m2;+ 3,1 %;+ 5,7 %;+ 7,1 %
Mayo 2022;1.992 €/m2;+ 0,8 %;+ 3,0 %;+ 4,3 %
Abril 2022;1.976 €/m2;+ 1,8 %;+ 2,2 %;+ 5,5 %
Marzo 2022;1.941 €/m2;+ 0,4 %;+ 1,1 %;+ 3,5 %
Febrero 2022;1.934 €/m2;0,0 %;+ 0,7 %;+ 3,1 %
Enero 2022;1.934 €/m2;+ 0,7 %;+ 0,8 %;+ 2,8 %
Diciembre 2021;1.921 €/m2;0,0 %;0,0 %;+ 1,8 %
Noviembre 2021;1.920 €/m2;+ 0,1 %;+ 0,8 %;+ 2,1 %
Octubre 2021;1.918 €/m2;- 0,1 %;+ 0,8 %;+ 1,3 %
Septiembre 2021;1.921 €/m2;+ 0,8 %;+ 0,2 %;+ 1,2 %
Agosto 2021;1.905 €/m2;+ 0,1 %;- 0,2 %;+ 0,1 %
Julio 2021;1.902 €/m2;- 0,7 %;+ 1,5 %;- 0,2 %
Junio 2021;1.916 €/m2;+ 0,4 %;+ 2,1 %;- 0,5 %
Mayo 2021;1.909 €/m2;+ 1,9 %;+ 1,8 %;- 2,2 %
Abril 2021;1.874 €/m2;- 0,1 %;- 0,4 %;- 3,9 %
Marzo 2021;1.876 €/m2;0,0 %;- 0,6 %;- 3,6 %
Febrero 2021;1.876 €/m2;- 0,3 %;- 0,2 %;- 3,6 %
Enero 2021;1.881 €/m2;- 0,3 %;- 0,7 %;- 3,9 %
Diciembre 2020;1.887 €/m2;+ 0,4 %;- 0,6 %;- 3,5 %
Noviembre 2020;1.880 €/m2;- 0,7 %;- 1,2 %;- 4,0 %
Octubre 2020;1.893 €/m2;- 0,2 %;- 0,7 %;- 3,4 %
Septiembre 2020;1.897 €/m2;- 0,3 %;- 1,5 %;- 2,7 %
Agosto 2020;1.902 €/m2;- 0,2 %;- 2,5 %;- 1,2 %
Julio 2020;1.906 €/m2;- 1,0 %;- 2,3 %;- 0,5 %
Junio 2020;1.926 €/m2;- 1,3 %;- 1,0 %;+ 1,0 %
Mayo 2020;1.952 €/m2;0,0 %;+ 0,3 %;+ 2,0 %
Abril 2020;1.951 €/m2;+ 0,3 %;- 0,3 %;+ 2,6 %
Marzo 2020;1.946 €/m2;0,0 %;- 0,5 %;+ 3,0 %
Febrero 2020;1.945 €/m2;- 0,6 %;- 0,6 %;+ 3,0 %
Enero 2020;1.957 €/m2;+ 0,1 %;- 0,1 %;+ 3,8 %
Diciembre 2019;1.954 €/m2;- 0,2 %;+ 0,2 %;+ 4,9 %
Noviembre 2019;1.958 €/m2;- 0,1 %;+ 1,6 %;+ 6,4 %
Octubre 2019;1.960 €/m2;+ 0,4 %;+ 2,3 %;+ 7,8 %
Septiembre 2019;1.951 €/m2;+ 1,3 %;+ 2,3 %;+ 8,4 %
Agosto 2019;1.926 €/m2;+ 0,6 %;+ 0,7 %;+ 6,7 %
Julio 2019;1.915 €/m2;+ 0,4 %;+ 0,7 %;+ 7,2 %
Junio 2019;1.908 €/m2;- 0,3 %;+ 1,0 %;+ 9,8 %
Mayo 2019;1.913 €/m2;+ 0,6 %;+ 1,3 %;+ 12,1 %
Abril 2019;1.901 €/m2;+ 0,6 %;+ 0,8 %;+ 13,5 %
Marzo 2019;1.890 €/m2;+ 0,1 %;+ 1,5 %;+ 15,6 %
Febrero 2019;1.888 €/m2;+ 0,1 %;+ 2,7 %;+ 18,9 %
Enero 2019;1.886 €/m2;+ 1,3 %;+ 3,8 %;+ 22,9 %
Diciembre 2018;1.862 €/m2;+ 1,3 %;+ 3,5 %;+ 23,1 %
