Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;2.176 €/m2;+ 0,2 %;- 0,8 %;+ 7,6 %
Enero 2023;2.171 €/m2;- 0,5 %;+ 1,2 %;+ 7,3 %
Diciembre 2022;2.182 €/m2;- 0,6 %;+ 1,9 %;+ 8,3 %
Noviembre 2022;2.195 €/m2;+ 2,3 %;+ 2,1 %;+ 9,8 %
Octubre 2022;2.145 €/m2;+ 0,1 %;+ 0,8 %;+ 7,5 %
Septiembre 2022;2.142 €/m2;- 0,4 %;0,0 %;+ 6,8 %
Agosto 2022;2.151 €/m2;+ 1,1 %;+ 2,5 %;+ 7,9 %
Julio 2022;2.128 €/m2;- 0,6 %;+ 2,5 %;+ 6,6 %
Junio 2022;2.141 €/m2;+ 2,1 %;+ 5,0 %;+ 7,8 %
Mayo 2022;2.097 €/m2;+ 1,0 %;+ 3,7 %;+ 6,2 %
Abril 2022;2.076 €/m2;+ 1,8 %;+ 2,6 %;+ 5,6 %
Marzo 2022;2.040 €/m2;+ 0,8 %;+ 1,3 %;+ 5,4 %
Febrero 2022;2.023 €/m2;0,0 %;+ 1,2 %;+ 4,7 %
Enero 2022;2.023 €/m2;+ 0,5 %;+ 1,4 %;+ 3,3 %
Diciembre 2021;2.014 €/m2;+ 0,7 %;+ 0,5 %;+ 3,7 %
Noviembre 2021;1.999 €/m2;+ 0,2 %;+ 0,3 %;+ 3,5 %
Octubre 2021;1.995 €/m2;- 0,5 %;- 0,1 %;+ 2,9 %
Septiembre 2021;2.005 €/m2;+ 0,6 %;+ 1,0 %;+ 3,4 %
Agosto 2021;1.993 €/m2;- 0,2 %;+ 0,9 %;+ 4,0 %
Julio 2021;1.997 €/m2;+ 0,6 %;+ 1,6 %;+ 2,7 %
Junio 2021;1.986 €/m2;+ 0,6 %;+ 2,6 %;- 1,9 %
Mayo 2021;1.975 €/m2;+ 0,4 %;+ 2,2 %;- 2,5 %
Abril 2021;1.966 €/m2;+ 1,6 %;+ 0,4 %;- 4,6 %
Marzo 2021;1.934 €/m2;+ 0,1 %;- 0,4 %;- 6,3 %
Febrero 2021;1.932 €/m2;- 1,3 %;0,0 %;- 6,7 %
Enero 2021;1.958 €/m2;+ 0,8 %;+ 1,0 %;- 4,2 %
Diciembre 2020;1.942 €/m2;+ 0,5 %;+ 0,2 %;- 4,4 %
Noviembre 2020;1.932 €/m2;- 0,4 %;+ 0,8 %;- 4,2 %
Octubre 2020;1.939 €/m2;0,0 %;- 0,3 %;- 4,0 %
Septiembre 2020;1.939 €/m2;+ 1,2 %;- 4,2 %;- 5,0 %
Agosto 2020;1.916 €/m2;- 1,4 %;- 5,3 %;- 7,0 %
Julio 2020;1.944 €/m2;- 4,0 %;- 5,6 %;- 4,9 %
Junio 2020;2.024 €/m2;0,0 %;- 2,0 %;- 2,3 %
Mayo 2020;2.024 €/m2;- 1,7 %;- 2,3 %;- 0,7 %
Abril 2020;2.060 €/m2;- 0,3 %;+ 0,8 %;+ 1,3 %
Marzo 2020;2.065 €/m2;- 0,3 %;+ 1,7 %;+ 1,4 %
Febrero 2020;2.072 €/m2;+ 1,4 %;+ 2,8 %;+ 1,3 %
Enero 2020;2.043 €/m2;+ 0,6 %;+ 1,2 %;+ 1,9 %
Diciembre 2019;2.031 €/m2;+ 0,8 %;- 0,5 %;+ 3,1 %
Noviembre 2019;2.015 €/m2;- 0,2 %;- 2,2 %;+ 2,3 %
Octubre 2019;2.019 €/m2;- 1,1 %;- 1,2 %;+ 1,6 %
Septiembre 2019;2.041 €/m2;- 0,9 %;- 1,4 %;+ 3,3 %
Agosto 2019;2.060 €/m2;+ 0,9 %;+ 1,0 %;+ 7,0 %
Julio 2019;2.043 €/m2;- 1,4 %;+ 0,5 %;+ 8,7 %
Junio 2019;2.071 €/m2;+ 1,6 %;+ 1,7 %;+ 11,4 %
Mayo 2019;2.039 €/m2;+ 0,3 %;- 0,3 %;+ 11,4 %
Abril 2019;2.034 €/m2;- 0,1 %;+ 1,5 %;+ 14,8 %
Marzo 2019;2.036 €/m2;- 0,4 %;+ 3,3 %;+ 17,3 %
Febrero 2019;2.045 €/m2;+ 2,1 %;+ 3,8 %;+ 18,4 %
