Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;5.000 €/m2;0,0 %;- 1,1 %;+ 2,8 %
Enero 2023;5.000 €/m2;- 0,3 %;- 1,8 %;+ 5,9 %
Diciembre 2022;5.017 €/m2;- 0,8 %;0,0 %;+ 6,0 %
Noviembre 2022;5.055 €/m2;- 0,8 %;+ 1,2 %;+ 5,3 %
Octubre 2022;5.094 €/m2;+ 1,5 %;+ 2,6 %;+ 6,4 %
Septiembre 2022;5.018 €/m2;+ 0,5 %;+ 1,2 %;+ 5,9 %
Agosto 2022;4.994 €/m2;+ 0,6 %;- 0,2 %;+ 5,9 %
Julio 2022;4.964 €/m2;+ 0,1 %;- 0,4 %;+ 5,5 %
Junio 2022;4.958 €/m2;- 0,9 %;+ 0,1 %;+ 4,8 %
Mayo 2022;5.002 €/m2;+ 0,4 %;+ 2,8 %;+ 6,6 %
Abril 2022;4.984 €/m2;+ 0,6 %;+ 5,5 %;+ 8,8 %
Marzo 2022;4.955 €/m2;+ 1,9 %;+ 4,7 %;+ 8,1 %
Febrero 2022;4.864 €/m2;+ 3,0 %;+ 1,3 %;+ 7,2 %
Enero 2022;4.724 €/m2;- 0,2 %;- 1,3 %;+ 5,1 %
Diciembre 2021;4.733 €/m2;- 1,4 %;- 0,1 %;+ 5,1 %
Noviembre 2021;4.802 €/m2;+ 0,3 %;+ 1,8 %;+ 6,2 %
Octubre 2021;4.788 €/m2;+ 1,1 %;+ 1,8 %;+ 6,0 %
Septiembre 2021;4.737 €/m2;+ 0,5 %;+ 0,1 %;+ 4,2 %
Agosto 2021;4.715 €/m2;+ 0,2 %;+ 0,5 %;+ 4,5 %
Julio 2021;4.705 €/m2;- 0,6 %;+ 2,7 %;+ 4,3 %
Junio 2021;4.732 €/m2;+ 0,8 %;+ 3,2 %;+ 3,7 %
Mayo 2021;4.692 €/m2;+ 2,4 %;+ 3,4 %;+ 2,3 %
Abril 2021;4.583 €/m2;0,0 %;+ 1,9 %;+ 0,5 %
Marzo 2021;4.584 €/m2;+ 1,0 %;+ 1,8 %;+ 0,6 %
