Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;2.495 €/m2;+ 1,1 %;+ 0,6 %;+ 10,4 %
Enero 2023;2.467 €/m2;- 0,4 %;+ 0,9 %;+ 7,4 %
Diciembre 2022;2.476 €/m2;- 0,2 %;+ 1,8 %;+ 9,0 %
Noviembre 2022;2.480 €/m2;+ 1,5 %;+ 1,3 %;+ 9,4 %
Octubre 2022;2.444 €/m2;+ 0,5 %;+ 1,7 %;+ 7,8 %
Septiembre 2022;2.433 €/m2;- 0,6 %;+ 2,5 %;+ 7,2 %
Agosto 2022;2.449 €/m2;+ 1,9 %;+ 6,5 %;+ 8,1 %
Julio 2022;2.404 €/m2;+ 1,3 %;+ 6,0 %;+ 6,6 %
Junio 2022;2.374 €/m2;+ 3,3 %;+ 4,7 %;+ 4,9 %
Mayo 2022;2.299 €/m2;+ 1,3 %;+ 1,7 %;+ 1,5 %
Abril 2022;2.269 €/m2;+ 0,1 %;- 1,3 %;+ 0,5 %
Marzo 2022;2.267 €/m2;+ 0,3 %;- 0,2 %;+ 1,3 %
Febrero 2022;2.260 €/m2;- 1,7 %;- 0,3 %;+ 1,7 %
Enero 2022;2.298 €/m2;+ 1,2 %;+ 1,4 %;+ 2,8 %
Diciembre 2021;2.271 €/m2;+ 0,2 %;0,0 %;+ 1,1 %
Noviembre 2021;2.267 €/m2;0,0 %;0,0 %;+ 0,9 %
Octubre 2021;2.267 €/m2;- 0,2 %;+ 0,6 %;+ 0,9 %
Septiembre 2021;2.270 €/m2;+ 0,2 %;+ 0,3 %;+ 0,7 %
Agosto 2021;2.266 €/m2;+ 0,5 %;0,0 %;- 0,1 %
Julio 2021;2.254 €/m2;- 0,4 %;- 0,1 %;- 2,4 %
Junio 2021;2.264 €/m2;- 0,1 %;+ 1,1 %;- 2,8 %
Mayo 2021;2.265 €/m2;+ 0,4 %;+ 1,9 %;- 2,8 %
Abril 2021;2.257 €/m2;+ 0,8 %;+ 0,9 %;- 4,5 %
Marzo 2021;2.239 €/m2;+ 0,7 %;- 0,3 %;- 4,4 %
Febrero 2021;2.223 €/m2;- 0,6 %;- 1,0 %;- 3,8 %
Enero 2021;2.236 €/m2;- 0,4 %;- 0,4 %;- 2,7 %
Diciembre 2020;2.246 €/m2;0,0 %;- 0,4 %;- 2,6 %
Noviembre 2020;2.246 €/m2;0,0 %;- 1,0 %;- 2,5 %
Octubre 2020;2.246 €/m2;- 0,4 %;- 2,8 %;- 3,0 %
Septiembre 2020;2.254 €/m2;- 0,7 %;- 3,3 %;- 1,7 %
Agosto 2020;2.269 €/m2;- 1,8 %;- 2,6 %;- 1,0 %
Julio 2020;2.310 €/m2;- 0,9 %;- 2,3 %;+ 1,5 %
Junio 2020;2.330 €/m2;0,0 %;- 0,5 %;+ 1,7 %
Mayo 2020;2.330 €/m2;- 1,5 %;+ 0,8 %;+ 1,8 %
Abril 2020;2.364 €/m2;+ 1,0 %;+ 2,8 %;+ 3,2 %
Marzo 2020;2.341 €/m2;+ 1,3 %;+ 1,5 %;+ 2,7 %
