Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;4.370 €/m2;+ 0,9 %;+ 0,9 %;+ 6,9 %
Enero 2023;4.333 €/m2;+ 0,1 %;+ 0,3 %;+ 6,7 %
Diciembre 2022;4.331 €/m2;0,0 %;+ 1,7 %;+ 6,7 %
Noviembre 2022;4.331 €/m2;+ 0,2 %;+ 1,7 %;+ 6,5 %
Octubre 2022;4.321 €/m2;+ 1,5 %;+ 0,9 %;+ 5,8 %
Septiembre 2022;4.259 €/m2;0,0 %;- 0,6 %;+ 4,6 %
Agosto 2022;4.259 €/m2;- 0,5 %;+ 1,7 %;+ 6,8 %
Julio 2022;4.282 €/m2;0,0 %;+ 3,4 %;+ 7,1 %
Junio 2022;4.283 €/m2;+ 2,3 %;+ 4,9 %;+ 5,6 %
Mayo 2022;4.187 €/m2;+ 1,2 %;+ 2,5 %;+ 4,7 %
Abril 2022;4.139 €/m2;+ 1,3 %;+ 2,0 %;+ 5,3 %
Marzo 2022;4.085 €/m2;0,0 %;+ 0,6 %;+ 3,6 %
Febrero 2022;4.087 €/m2;+ 0,7 %;+ 0,5 %;+ 4,4 %
Enero 2022;4.059 €/m2;0,0 %;- 0,6 %;+ 3,7 %
Diciembre 2021;4.060 €/m2;- 0,2 %;- 0,3 %;+ 4,4 %
Noviembre 2021;4.067 €/m2;- 0,4 %;+ 2,0 %;+ 3,8 %
Octubre 2021;4.085 €/m2;+ 0,4 %;+ 2,1 %;+ 4,5 %
Septiembre 2021;4.070 €/m2;+ 2,1 %;+ 0,3 %;+ 4,0 %
Agosto 2021;3.986 €/m2;- 0,3 %;- 0,3 %;+ 1,9 %
Julio 2021;4.000 €/m2;- 1,4 %;+ 1,7 %;+ 2,3 %
Junio 2021;4.058 €/m2;+ 1,4 %;+ 2,9 %;+ 2,8 %
Mayo 2021;4.000 €/m2;+ 1,7 %;+ 2,2 %;+ 1,0 %
Abril 2021;3.932 €/m2;- 0,3 %;+ 0,4 %;+ 0,7 %
Marzo 2021;3.942 €/m2;+ 0,7 %;+ 1,4 %;+ 1,6 %
Febrero 2021;3.915 €/m2;0,0 %;0,0 %;+ 0,6 %
Enero 2021;3.915 €/m2;+ 0,7 %;+ 0,2 %;- 1,7 %
Diciembre 2020;3.888 €/m2;- 0,7 %;- 0,7 %;- 3,3 %
Noviembre 2020;3.917 €/m2;+ 0,2 %;+ 0,1 %;- 3,1 %
Octubre 2020;3.908 €/m2;- 0,2 %;0,0 %;- 3,0 %
Septiembre 2020;3.915 €/m2;+ 0,1 %;- 0,8 %;- 3,6 %
Agosto 2020;3.912 €/m2;0,0 %;- 1,3 %;- 4,0 %
Julio 2020;3.910 €/m2;- 1,0 %;+ 0,2 %;- 4,5 %
Junio 2020;3.948 €/m2;- 0,4 %;+ 1,8 %;- 3,3 %
Mayo 2020;3.962 €/m2;+ 1,5 %;+ 1,8 %;- 2,9 %
Abril 2020;3.903 €/m2;+ 0,6 %;- 2,0 %;- 4,7 %
Marzo 2020;3.878 €/m2;- 0,4 %;- 3,5 %;- 4,7 %
