Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;4.296 €/m2;+ 1,0 %;+ 0,1 %;+ 5,2 %
Enero 2023;4.252 €/m2;- 0,9 %;- 0,8 %;+ 3,9 %
Diciembre 2022;4.291 €/m2;0,0 %;+ 1,9 %;+ 5,4 %
Noviembre 2022;4.292 €/m2;+ 0,1 %;+ 3,0 %;+ 5,9 %
Octubre 2022;4.287 €/m2;+ 1,8 %;+ 2,9 %;+ 6,3 %
Septiembre 2022;4.211 €/m2;+ 1,1 %;0,0 %;+ 4,3 %
Agosto 2022;4.166 €/m2;0,0 %;- 0,9 %;+ 3,6 %
Julio 2022;4.167 €/m2;- 1,1 %;- 0,3 %;+ 4,2 %
Junio 2022;4.213 €/m2;+ 0,2 %;+ 2,6 %;+ 5,4 %
Mayo 2022;4.205 €/m2;+ 0,6 %;+ 3,0 %;+ 5,0 %
Abril 2022;4.179 €/m2;+ 1,8 %;+ 2,2 %;+ 5,3 %
Marzo 2022;4.105 €/m2;+ 0,5 %;+ 0,8 %;+ 3,4 %
Febrero 2022;4.083 €/m2;- 0,2 %;+ 0,7 %;+ 2,7 %
Enero 2022;4.091 €/m2;+ 0,4 %;+ 1,4 %;+ 3,6 %
Diciembre 2021;4.073 €/m2;+ 0,5 %;+ 0,9 %;+ 4,1 %
Noviembre 2021;4.054 €/m2;+ 0,5 %;+ 0,9 %;+ 4,1 %
Octubre 2021;4.033 €/m2;- 0,1 %;+ 0,9 %;+ 4,0 %
Septiembre 2021;4.037 €/m2;+ 0,4 %;+ 1,0 %;+ 3,2 %
Agosto 2021;4.020 €/m2;+ 0,5 %;+ 0,4 %;+ 2,9 %
Julio 2021;3.999 €/m2;0,0 %;+ 0,7 %;+ 2,3 %
Junio 2021;3.997 €/m2;- 0,2 %;+ 0,7 %;+ 2,2 %
Mayo 2021;4.004 €/m2;+ 0,9 %;+ 0,7 %;+ 2,7 %
Abril 2021;3.969 €/m2;0,0 %;+ 0,6 %;+ 1,0 %
Marzo 2021;3.970 €/m2;- 0,2 %;+ 1,5 %;+ 0,8 %
Febrero 2021;3.977 €/m2;+ 0,8 %;+ 2,2 %;+ 0,8 %
Enero 2021;3.947 €/m2;+ 0,9 %;+ 1,8 %;0,0 %
Diciembre 2020;3.912 €/m2;+ 0,5 %;0,0 %;- 1,3 %
Noviembre 2020;3.893 €/m2;+ 0,4 %;- 0,3 %;- 2,0 %
Octubre 2020;3.877 €/m2;- 0,9 %;- 0,8 %;- 1,8 %
Septiembre 2020;3.913 €/m2;+ 0,2 %;0,0 %;+ 0,4 %
Agosto 2020;3.905 €/m2;- 0,1 %;+ 0,2 %;- 0,1 %
Julio 2020;3.910 €/m2;- 0,1 %;- 0,6 %;- 0,5 %
Junio 2020;3.913 €/m2;+ 0,4 %;- 0,7 %;- 0,4 %
Mayo 2020;3.898 €/m2;- 0,9 %;- 1,2 %;- 1,3 %
Abril 2020;3.932 €/m2;- 0,2 %;- 0,4 %;+ 0,7 %
Marzo 2020;3.939 €/m2;- 0,2 %;- 0,6 %;+ 1,2 %
Febrero 2020;3.945 €/m2;0,0 %;- 0,7 %;+ 1,8 %
Enero 2020;3.946 €/m2;- 0,4 %;0,0 %;+ 2,4 %
Diciembre 2019;3.963 €/m2;- 0,2 %;+ 1,7 %;+ 4,2 %
Noviembre 2019;3.973 €/m2;+ 0,7 %;+ 1,6 %;+ 4,6 %
Octubre 2019;3.947 €/m2;+ 1,3 %;+ 0,4 %;+ 3,5 %
Septiembre 2019;3.896 €/m2;- 0,4 %;- 0,8 %;+ 3,5 %
Agosto 2019;3.910 €/m2;- 0,5 %;- 1,0 %;+ 3,9 %
Julio 2019;3.931 €/m2;+ 0,1 %;+ 0,7 %;+ 3,9 %
Junio 2019;3.928 €/m2;- 0,5 %;+ 0,9 %;+ 3,4 %
Mayo 2019;3.950 €/m2;+ 1,2 %;+ 1,9 %;+ 4,2 %
Abril 2019;3.905 €/m2;+ 0,3 %;+ 1,3 %;+ 4,3 %
Marzo 2019;3.892 €/m2;+ 0,4 %;+ 2,3 %;+ 3,8 %
Febrero 2019;3.875 €/m2;+ 0,5 %;+ 2,0 %;+ 3,6 %
Enero 2019;3.854 €/m2;+ 1,3 %;+ 1,1 %;+ 5,9 %
Diciembre 2018;3.803 €/m2;+ 0,2 %;+ 1,1 %;+ 5,9 %
Noviembre 2018;3.797 €/m2;- 0,4 %;+ 0,9 %;+ 7,3 %
Octubre 2018;3.813 €/m2;+ 1,3 %;+ 0,8 %;+ 8,5 %
Septiembre 2018;3.763 €/m2;- 0,1 %;- 1,0 %;+ 8,6 %
Agosto 2018;3.765 €/m2;- 0,4 %;- 0,7 %;+ 10,0 %
Julio 2018;3.781 €/m2;- 0,5 %;+ 1,0 %;+ 10,9 %
Junio 2018;3.799 €/m2;+ 0,2 %;+ 1,4 %;+ 12,4 %
Mayo 2018;3.791 €/m2;+ 1,2 %;+ 1,3 %;+ 12,2 %
Abril 2018;3.745 €/m2;- 0,1 %;+ 2,9 %;+ 12,2 %
Marzo 2018;3.748 €/m2;+ 0,2 %;+ 4,4 %;+ 13,8 %
Febrero 2018;3.740 €/m2;+ 2,8 %;+ 5,7 %;+ 14,7 %
Enero 2018;3.638 €/m2;+ 1,3 %;+ 3,6 %;+ 12,6 %
Diciembre 2017;3.590 €/m2;+ 1,4 %;+ 3,6 %;+ 13,0 %
Noviembre 2017;3.539 €/m2;+ 0,7 %;+ 3,4 %;+ 11,8 %
Octubre 2017;3.513 €/m2;+ 1,4 %;+ 3,0 %;+ 10,3 %
Septiembre 2017;3.464 €/m2;+ 1,2 %;+ 2,5 %;+ 8,5 %
Agosto 2017;3.421 €/m2;+ 0,3 %;+ 1,3 %;+ 7,9 %
Julio 2017;3.411 €/m2;+ 0,9 %;+ 2,1 %;+ 7,9 %
Junio 2017;3.381 €/m2;+ 0,1 %;+ 2,7 %;+ 7,4 %
Mayo 2017;3.378 €/m2;+ 1,2 %;+ 3,6 %;+ 7,3 %
