Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;3.799 €/m2;+ 0,4 %;- 1,8 %;- 2,0 %
Enero 2023;3.783 €/m2;- 1,1 %;- 4,1 %;- 0,9 %
Diciembre 2022;3.824 €/m2;- 1,2 %;- 3,7 %;+ 0,7 %
Noviembre 2022;3.869 €/m2;- 1,9 %;- 3,0 %;+ 1,0 %
Octubre 2022;3.946 €/m2;- 0,7 %;- 1,4 %;+ 1,9 %
Septiembre 2022;3.972 €/m2;- 0,4 %;- 0,4 %;+ 1,8 %
Agosto 2022;3.988 €/m2;- 0,4 %;+ 0,2 %;+ 4,0 %
Julio 2022;4.003 €/m2;+ 0,3 %;+ 0,9 %;+ 5,0 %
Junio 2022;3.990 €/m2;+ 0,3 %;+ 0,7 %;+ 5,9 %
Mayo 2022;3.980 €/m2;+ 0,3 %;+ 2,7 %;+ 6,0 %
Abril 2022;3.968 €/m2;+ 0,1 %;+ 4,0 %;+ 7,6 %
Marzo 2022;3.964 €/m2;+ 2,3 %;+ 4,3 %;+ 8,7 %
Febrero 2022;3.876 €/m2;+ 1,6 %;+ 1,2 %;+ 5,8 %
Enero 2022;3.816 €/m2;+ 0,4 %;- 1,4 %;+ 4,3 %
Diciembre 2021;3.799 €/m2;- 0,9 %;- 2,6 %;+ 3,6 %
Noviembre 2021;3.832 €/m2;- 1,0 %;- 0,1 %;+ 5,2 %
Octubre 2021;3.871 €/m2;- 0,8 %;+ 1,5 %;+ 8,1 %
Septiembre 2021;3.901 €/m2;+ 1,7 %;+ 3,5 %;+ 8,3 %
Agosto 2021;3.836 €/m2;+ 0,6 %;+ 2,2 %;+ 5,2 %
Julio 2021;3.812 €/m2;+ 1,2 %;+ 3,4 %;+ 2,7 %
Junio 2021;3.768 €/m2;+ 0,4 %;+ 3,3 %;+ 1,6 %
Mayo 2021;3.754 €/m2;+ 1,8 %;+ 2,4 %;+ 1,1 %
Abril 2021;3.688 €/m2;+ 1,1 %;+ 0,8 %;- 1,9 %
Marzo 2021;3.647 €/m2;- 0,5 %;- 0,6 %;- 2,4 %
Febrero 2021;3.665 €/m2;+ 0,1 %;+ 0,7 %;- 1,9 %
Enero 2021;3.660 €/m2;- 0,2 %;+ 2,2 %;- 0,7 %
Diciembre 2020;3.668 €/m2;+ 0,7 %;+ 1,9 %;+ 1,5 %
Noviembre 2020;3.641 €/m2;+ 1,6 %;- 0,1 %;+ 0,2 %
Octubre 2020;3.583 €/m2;- 0,5 %;- 3,5 %;- 3,2 %
Septiembre 2020;3.601 €/m2;- 1,2 %;- 2,9 %;- 2,8 %
Agosto 2020;3.646 €/m2;- 1,8 %;- 1,8 %;- 1,8 %
Julio 2020;3.711 €/m2;0,0 %;- 1,3 %;- 0,4 %
Junio 2020;3.710 €/m2;- 0,1 %;- 0,8 %;- 0,2 %
Mayo 2020;3.714 €/m2;- 1,2 %;- 0,6 %;+ 0,5 %
Abril 2020;3.759 €/m2;+ 0,6 %;+ 1,9 %;+ 1,2 %
Marzo 2020;3.738 €/m2;0,0 %;+ 3,4 %;+ 0,1 %
Febrero 2020;3.737 €/m2;+ 1,4 %;+ 2,9 %;+ 0,2 %
Enero 2020;3.688 €/m2;+ 2,0 %;- 0,4 %;- 1,9 %
Diciembre 2019;3.615 €/m2;- 0,5 %;- 2,4 %;- 1,9 %
Noviembre 2019;3.634 €/m2;- 1,8 %;- 2,1 %;- 1,5 %
Octubre 2019;3.701 €/m2;- 0,1 %;- 0,7 %;- 0,3 %
Septiembre 2019;3.704 €/m2;- 0,3 %;- 0,3 %;+ 0,3 %
Agosto 2019;3.713 €/m2;- 0,4 %;+ 0,4 %;+ 0,8 %
Julio 2019;3.727 €/m2;+ 0,3 %;+ 0,3 %;+ 3,4 %
Junio 2019;3.716 €/m2;+ 0,5 %;- 0,5 %;+ 6,7 %
Mayo 2019;3.697 €/m2;- 0,5 %;- 0,9 %;+ 6,8 %
Abril 2019;3.715 €/m2;- 0,5 %;- 1,2 %;+ 8,9 %
Marzo 2019;3.736 €/m2;+ 0,1 %;+ 1,3 %;+ 11,2 %
Febrero 2019;3.731 €/m2;- 0,8 %;+ 1,1 %;+ 12,6 %
Enero 2019;3.760 €/m2;+ 2,0 %;+ 1,3 %;+ 16,2 %
Diciembre 2018;3.687 €/m2;0,0 %;- 0,2 %;+ 15,9 %
Noviembre 2018;3.689 €/m2;- 0,6 %;+ 0,2 %;+ 15,9 %
Octubre 2018;3.711 €/m2;+ 0,5 %;+ 2,9 %;+ 17,1 %
Septiembre 2018;3.693 €/m2;+ 0,3 %;+ 6,0 %;+ 18,2 %
Agosto 2018;3.682 €/m2;+ 2,1 %;+ 6,3 %;+ 19,7 %
Julio 2018;3.606 €/m2;+ 3,5 %;+ 5,7 %;+ 18,2 %
Junio 2018;3.483 €/m2;+ 0,6 %;+ 3,7 %;+ 15,4 %
Mayo 2018;3.463 €/m2;+ 1,5 %;+ 4,5 %;+ 15,2 %
Abril 2018;3.413 €/m2;+ 1,6 %;+ 5,4 %;+ 14,4 %
Marzo 2018;3.360 €/m2;+ 1,4 %;+ 5,6 %;+ 12,9 %
Febrero 2018;3.315 €/m2;+ 2,4 %;+ 4,1 %;+ 12,6 %
Enero 2018;3.237 €/m2;+ 1,7 %;+ 2,1 %;+ 11,1 %
Diciembre 2017;3.182 €/m2;0,0 %;+ 1,9 %;+ 9,8 %
Noviembre 2017;3.183 €/m2;+ 0,4 %;+ 3,5 %;+ 9,9 %
Octubre 2017;3.170 €/m2;+ 1,5 %;+ 3,9 %;+ 8,8 %
Septiembre 2017;3.124 €/m2;+ 1,5 %;+ 3,5 %;+ 8,1 %
Agosto 2017;3.076 €/m2;+ 0,8 %;+ 2,4 %;+ 7,5 %
Julio 2017;3.052 €/m2;+ 1,1 %;+ 2,3 %;+ 5,1 %
Junio 2017;3.019 €/m2;+ 0,5 %;+ 1,5 %;+ 3,6 %
Mayo 2017;3.005 €/m2;+ 0,7 %;+ 2,1 %;+ 3,6 %
Abril 2017;2.983 €/m2;+ 0,3 %;+ 2,4 %;+ 2,4 %
Marzo 2017;2.975 €/m2;+ 1,1 %;+ 2,7 %;+ 4,4 %
Febrero 2017;2.943 €/m2;+ 1,0 %;+ 1,6 %;+ 4,3 %
Enero 2017;2.913 €/m2;+ 0,5 %;0,0 %;+ 4,1 %
Diciembre 2016;2.898 €/m2;+ 0,1 %;+ 0,3 %;+ 4,0 %
Noviembre 2016;2.896 €/m2;- 0,6 %;+ 1,2 %;+ 4,6 %
Octubre 2016;2.913 €/m2;+ 0,8 %;+ 0,3 %;+ 6,9 %
Septiembre 2016;2.889 €/m2;+ 0,9 %;- 0,9 %;+ 7,3 %
Agosto 2016;2.862 €/m2;- 1,5 %;- 1,3 %;+ 6,6 %
Julio 2016;2.905 €/m2;- 0,3 %;- 0,3 %;+ 7,1 %
Junio 2016;2.914 €/m2;+ 0,5 %;+ 2,2 %;+ 4,6 %
Mayo 2016;2.900 €/m2;- 0,4 %;+ 2,7 %;+ 4,7 %
Abril 2016;2.912 €/m2;+ 2,2 %;+ 4,1 %;+ 7,9 %
Marzo 2016;2.851 €/m2;+ 1,0 %;+ 2,4 %;+ 3,8 %
Febrero 2016;2.822 €/m2;+ 0,9 %;+ 2,0 %;+ 1,4 %
Enero 2016;2.797 €/m2;+ 0,4 %;+ 2,7 %;- 0,4 %
Diciembre 2015;2.785 €/m2;+ 0,6 %;+ 3,5 %;- 0,6 %
Noviembre 2015;2.767 €/m2;+ 1,6 %;+ 3,1 %;- 2,1 %
Octubre 2015;2.725 €/m2;+ 1,2 %;+ 0,4 %;- 3,6 %
Septiembre 2015;2.692 €/m2;+ 0,3 %;- 3,4 %;- 4,5 %
Agosto 2015;2.683 €/m2;- 1,1 %;- 3,1 %;- 4,3 %
Julio 2015;2.713 €/m2;- 2,6 %;+ 0,5 %;- 3,6 %
Junio 2015;2.786 €/m2;+ 0,6 %;+ 1,5 %;- 0,8 %
Mayo 2015;2.769 €/m2;+ 2,5 %;- 0,6 %;- 1,7 %
Abril 2015;2.700 €/m2;- 1,7 %;- 3,9 %;- 4,1 %
Marzo 2015;2.746 €/m2;- 1,4 %;- 2,0 %;- 2,7 %
Febrero 2015;2.784 €/m2;- 0,9 %;- 1,5 %;- 2,3 %
Enero 2015;2.809 €/m2;+ 0,2 %;- 0,7 %;- 1,1 %
Diciembre 2014;2.803 €/m2;- 0,9 %;- 0,6 %;- 0,3 %
Noviembre 2014;2.827 €/m2;0,0 %;+ 0,8 %;- 0,7 %
Octubre 2014;2.828 €/m2;+ 0,3 %;+ 0,4 %;- 1,6 %
Septiembre 2014;2.819 €/m2;+ 0,5 %;+ 0,4 %;- 2,8 %
Agosto 2014;2.805 €/m2;- 0,4 %;- 0,4 %;- 2,3 %
Julio 2014;2.815 €/m2;+ 0,3 %;0,0 %;- 3,5 %
Junio 2014;2.807 €/m2;- 0,4 %;- 0,5 %;- 4,0 %
Mayo 2014;2.817 €/m2;+ 0,1 %;- 1,1 %;- 5,6 %
Abril 2014;2.815 €/m2;- 0,2 %;- 0,8 %;- 5,6 %
Marzo 2014;2.821 €/m2;- 1,0 %;+ 0,4 %;- 6,6 %
Febrero 2014;2.849 €/m2;+ 0,4 %;0,0 %;- 3,7 %
Enero 2014;2.839 €/m2;+ 1,0 %;- 1,2 %;- 4,0 %
Diciembre 2013;2.811 €/m2;- 1,3 %;- 3,0 %;- 5,6 %
Noviembre 2013;2.848 €/m2;- 0,9 %;- 0,8 %;- 5,4 %
Octubre 2013;2.873 €/m2;- 0,9 %;- 1,5 %;- 5,2 %
Septiembre 2013;2.899 €/m2;+ 1,0 %;- 0,9 %;- 5,6 %
