Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;2.789 €/m2;+ 0,4 %;- 0,5 %;+ 10,3 %
Enero 2023;2.778 €/m2;+ 0,1 %;- 1,1 %;+ 7,9 %
Diciembre 2022;2.776 €/m2;- 1,0 %;0,0 %;+ 6,9 %
Noviembre 2022;2.803 €/m2;- 0,2 %;+ 3,6 %;+ 8,5 %
Octubre 2022;2.808 €/m2;+ 1,1 %;+ 5,3 %;+ 8,4 %
Septiembre 2022;2.777 €/m2;+ 2,7 %;+ 6,1 %;+ 6,9 %
Agosto 2022;2.705 €/m2;+ 1,4 %;+ 4,6 %;+ 4,6 %
Julio 2022;2.666 €/m2;+ 1,8 %;+ 4,5 %;+ 2,7 %
Junio 2022;2.618 €/m2;+ 1,3 %;+ 2,9 %;+ 3,3 %
Mayo 2022;2.585 €/m2;+ 1,3 %;+ 2,3 %;+ 2,6 %
Abril 2022;2.551 €/m2;+ 0,2 %;- 0,9 %;- 0,1 %
Marzo 2022;2.546 €/m2;+ 0,7 %;- 1,9 %;- 1,1 %
Febrero 2022;2.528 €/m2;- 1,8 %;- 2,2 %;0,0 %
Enero 2022;2.575 €/m2;- 0,8 %;- 0,6 %;+ 3,0 %
Diciembre 2021;2.596 €/m2;+ 0,5 %;- 0,1 %;+ 1,5 %
Noviembre 2021;2.583 €/m2;- 0,3 %;- 0,1 %;+ 0,5 %
Octubre 2021;2.591 €/m2;- 0,3 %;- 0,2 %;+ 2,1 %
Septiembre 2021;2.598 €/m2;+ 0,4 %;+ 2,4 %;+ 2,4 %
Agosto 2021;2.586 €/m2;- 0,4 %;+ 2,6 %;+ 3,0 %
Julio 2021;2.595 €/m2;+ 2,4 %;+ 1,6 %;+ 4,6 %
Junio 2021;2.536 €/m2;+ 0,6 %;- 1,5 %;+ 3,7 %
Mayo 2021;2.520 €/m2;- 1,3 %;- 0,3 %;+ 0,9 %
Abril 2021;2.554 €/m2;- 0,7 %;+ 2,1 %;+ 1,5 %
