Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;5.922 €/m2;+ 0,7 %;+ 0,5 %;+ 8,6 %
Enero 2023;5.880 €/m2;+ 0,2 %;- 0,1 %;+ 7,7 %
Diciembre 2022;5.870 €/m2;- 0,4 %;- 0,8 %;+ 8,2 %
Noviembre 2022;5.894 €/m2;+ 0,1 %;+ 1,9 %;+ 8,9 %
Octubre 2022;5.887 €/m2;- 0,5 %;+ 3,2 %;+ 9,4 %
Septiembre 2022;5.915 €/m2;+ 2,3 %;+ 4,0 %;+ 10,1 %
Agosto 2022;5.785 €/m2;+ 1,4 %;+ 3,1 %;+ 8,2 %
Julio 2022;5.706 €/m2;+ 0,3 %;+ 2,7 %;+ 6,7 %
Junio 2022;5.688 €/m2;+ 1,4 %;+ 3,7 %;+ 7,2 %
Mayo 2022;5.612 €/m2;+ 1,0 %;+ 2,9 %;+ 6,9 %
Abril 2022;5.555 €/m2;+ 1,2 %;+ 1,7 %;+ 6,0 %
Marzo 2022;5.487 €/m2;+ 0,6 %;+ 1,1 %;+ 4,5 %
Febrero 2022;5.454 €/m2;- 0,1 %;+ 0,7 %;+ 3,9 %
Enero 2022;5.460 €/m2;+ 0,6 %;+ 1,5 %;+ 3,9 %
Diciembre 2021;5.427 €/m2;+ 0,2 %;+ 1,0 %;+ 2,7 %
Noviembre 2021;5.414 €/m2;+ 0,6 %;+ 1,3 %;+ 2,4 %
Octubre 2021;5.381 €/m2;+ 0,2 %;+ 0,6 %;+ 0,9 %
Septiembre 2021;5.372 €/m2;+ 0,5 %;+ 1,2 %;0,0 %
Agosto 2021;5.347 €/m2;0,0 %;+ 1,9 %;+ 0,3 %
Julio 2021;5.347 €/m2;+ 0,8 %;+ 2,0 %;+ 0,2 %
Junio 2021;5.306 €/m2;+ 1,1 %;+ 1,0 %;- 2,1 %
Mayo 2021;5.248 €/m2;+ 0,1 %;0,0 %;- 3,4 %
Abril 2021;5.241 €/m2;- 0,2 %;- 0,3 %;- 3,4 %
Marzo 2021;5.251 €/m2;+ 0,1 %;- 0,6 %;- 2,5 %
Febrero 2021;5.247 €/m2;- 0,1 %;- 0,8 %;- 2,2 %
Enero 2021;5.255 €/m2;- 0,5 %;- 1,5 %;- 0,9 %
Diciembre 2020;5.283 €/m2;- 0,1 %;- 1,7 %;- 0,3 %
Noviembre 2020;5.288 €/m2;- 0,9 %;- 0,8 %;+ 0,2 %
Octubre 2020;5.334 €/m2;- 0,7 %;- 0,1 %;+ 0,7 %
Septiembre 2020;5.374 €/m2;+ 0,8 %;- 0,8 %;+ 0,8 %
Agosto 2020;5.329 €/m2;- 0,2 %;- 1,9 %;- 0,3 %
Julio 2020;5.337 €/m2;- 1,5 %;- 1,6 %;+ 0,5 %
Junio 2020;5.419 €/m2;- 0,2 %;+ 0,6 %;+ 2,8 %
Mayo 2020;5.432 €/m2;+ 0,1 %;+ 1,3 %;+ 2,8 %
Abril 2020;5.426 €/m2;+ 0,7 %;+ 2,3 %;+ 2,8 %
Marzo 2020;5.386 €/m2;+ 0,4 %;+ 1,6 %;+ 2,6 %
Febrero 2020;5.363 €/m2;+ 1,1 %;+ 1,6 %;+ 2,1 %
Enero 2020;5.304 €/m2;+ 0,1 %;+ 0,1 %;+ 0,4 %
Diciembre 2019;5.301 €/m2;+ 0,4 %;- 0,6 %;- 0,2 %
Noviembre 2019;5.280 €/m2;- 0,3 %;- 1,2 %;- 0,7 %
Octubre 2019;5.298 €/m2;- 0,6 %;- 0,2 %;- 0,6 %
Septiembre 2019;5.331 €/m2;- 0,3 %;+ 1,1 %;0,0 %
Agosto 2019;5.347 €/m2;+ 0,7 %;+ 1,1 %;+ 1,2 %
Julio 2019;5.309 €/m2;+ 0,7 %;+ 0,6 %;+ 2,0 %
