Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;6.672 €/m2;+ 1,1 %;+ 0,3 %;+ 7,8 %
Enero 2023;6.601 €/m2;- 0,5 %;- 0,8 %;+ 7,4 %
Diciembre 2022;6.633 €/m2;- 0,3 %;- 1,2 %;+ 8,9 %
Noviembre 2022;6.653 €/m2;0,0 %;- 1,2 %;+ 9,8 %
Octubre 2022;6.652 €/m2;- 0,9 %;- 0,1 %;+ 8,8 %
Septiembre 2022;6.714 €/m2;- 0,3 %;+ 1,0 %;+ 10,5 %
Agosto 2022;6.732 €/m2;+ 1,1 %;+ 2,8 %;+ 11,1 %
Julio 2022;6.658 €/m2;+ 0,1 %;+ 2,9 %;+ 9,8 %
Junio 2022;6.650 €/m2;+ 1,6 %;+ 5,4 %;+ 10,8 %
Mayo 2022;6.548 €/m2;+ 1,2 %;+ 5,8 %;+ 10,1 %
Abril 2022;6.472 €/m2;+ 2,6 %;+ 5,3 %;+ 9,1 %
Marzo 2022;6.311 €/m2;+ 1,9 %;+ 3,7 %;+ 6,7 %
Febrero 2022;6.191 €/m2;+ 0,7 %;+ 2,2 %;+ 6,6 %
Enero 2022;6.149 €/m2;+ 1,0 %;+ 0,6 %;+ 6,2 %
Diciembre 2021;6.088 €/m2;+ 0,5 %;+ 0,2 %;+ 6,1 %
Noviembre 2021;6.058 €/m2;- 0,9 %;- 0,1 %;+ 5,4 %
Octubre 2021;6.114 €/m2;+ 0,6 %;+ 0,9 %;+ 5,3 %
Septiembre 2021;6.077 €/m2;+ 0,3 %;+ 1,3 %;+ 4,3 %
Agosto 2021;6.061 €/m2;0,0 %;+ 1,9 %;+ 3,9 %
Julio 2021;6.063 €/m2;+ 1,1 %;+ 2,2 %;+ 2,7 %
Junio 2021;5.999 €/m2;+ 0,9 %;+ 1,4 %;+ 0,2 %
Mayo 2021;5.949 €/m2;+ 0,3 %;+ 2,4 %;- 0,6 %
Abril 2021;5.933 €/m2;+ 0,3 %;+ 2,5 %;+ 0,7 %
Marzo 2021;5.914 €/m2;+ 1,8 %;+ 3,0 %;+ 1,7 %
Febrero 2021;5.807 €/m2;+ 0,3 %;+ 1,1 %;+ 0,4 %
Enero 2021;5.789 €/m2;+ 0,8 %;- 0,3 %;- 1,4 %
Diciembre 2020;5.740 €/m2;- 0,1 %;- 1,5 %;- 2,3 %
Noviembre 2020;5.747 €/m2;- 1,1 %;- 1,5 %;- 2,4 %
Octubre 2020;5.808 €/m2;- 0,3 %;- 1,6 %;- 1,8 %
Septiembre 2020;5.826 €/m2;- 0,1 %;- 2,7 %;+ 0,7 %
Agosto 2020;5.833 €/m2;- 1,2 %;- 2,5 %;+ 0,7 %
Julio 2020;5.903 €/m2;- 1,4 %;+ 0,2 %;+ 0,7 %
Junio 2020;5.986 €/m2;0,0 %;+ 2,9 %;+ 2,0 %
Mayo 2020;5.985 €/m2;+ 1,6 %;+ 3,4 %;+ 2,3 %
Abril 2020;5.893 €/m2;+ 1,3 %;+ 0,4 %;+ 0,7 %
Marzo 2020;5.815 €/m2;+ 0,5 %;- 1,0 %;- 0,1 %
Febrero 2020;5.786 €/m2;- 1,5 %;- 1,8 %;- 0,7 %
Enero 2020;5.872 €/m2;0,0 %;- 0,7 %;+ 2,1 %
Diciembre 2019;5.873 €/m2;- 0,3 %;+ 1,5 %;+ 2,9 %
Noviembre 2019;5.890 €/m2;- 0,4 %;+ 1,7 %;+ 2,5 %
Octubre 2019;5.916 €/m2;+ 2,2 %;+ 1,0 %;+ 3,8 %
Septiembre 2019;5.788 €/m2;- 0,1 %;- 1,4 %;+ 2,4 %
Agosto 2019;5.791 €/m2;- 1,2 %;- 1,0 %;+ 1,4 %
Julio 2019;5.860 €/m2;- 0,1 %;+ 0,2 %;+ 3,9 %
Junio 2019;5.868 €/m2;+ 0,3 %;+ 0,9 %;+ 6,0 %
Mayo 2019;5.848 €/m2;0,0 %;+ 0,3 %;+ 7,5 %
Abril 2019;5.850 €/m2;+ 0,5 %;+ 1,7 %;+ 8,4 %
Marzo 2019;5.818 €/m2;- 0,2 %;+ 1,9 %;+ 8,1 %
Febrero 2019;5.829 €/m2;+ 1,3 %;+ 1,4 %;+ 9,9 %
Enero 2019;5.752 €/m2;+ 0,7 %;+ 0,9 %;+ 9,5 %
Diciembre 2018;5.710 €/m2;- 0,6 %;+ 1,0 %;+ 10,7 %
Noviembre 2018;5.747 €/m2;+ 0,8 %;+ 0,6 %;+ 14,0 %
Octubre 2018;5.700 €/m2;+ 0,8 %;+ 1,1 %;+ 14,7 %
Septiembre 2018;5.655 €/m2;- 1,0 %;+ 2,2 %;+ 14,1 %
Agosto 2018;5.710 €/m2;+ 1,2 %;+ 5,0 %;+ 16,2 %
Julio 2018;5.640 €/m2;+ 1,9 %;+ 4,5 %;+ 16,4 %
Junio 2018;5.536 €/m2;+ 1,8 %;+ 2,8 %;+ 18,0 %
Mayo 2018;5.440 €/m2;+ 0,8 %;+ 2,6 %;+ 19,5 %
Abril 2018;5.398 €/m2;+ 0,3 %;+ 2,8 %;+ 20,1 %
Marzo 2018;5.383 €/m2;+ 1,5 %;+ 4,4 %;+ 19,7 %
Febrero 2018;5.304 €/m2;+ 1,0 %;+ 5,3 %;+ 17,7 %
Enero 2018;5.253 €/m2;+ 1,8 %;+ 5,7 %;+ 16,9 %
Diciembre 2017;5.158 €/m2;+ 2,3 %;+ 4,1 %;+ 14,8 %
Noviembre 2017;5.040 €/m2;+ 1,4 %;+ 2,6 %;+ 13,9 %
Octubre 2017;4.971 €/m2;+ 0,3 %;+ 2,6 %;+ 12,7 %
Septiembre 2017;4.955 €/m2;+ 0,9 %;+ 5,6 %;+ 12,8 %
Agosto 2017;4.913 €/m2;+ 1,4 %;+ 7,9 %;+ 11,9 %
Julio 2017;4.845 €/m2;+ 3,2 %;+ 7,8 %;+ 10,9 %
Junio 2017;4.693 €/m2;+ 3,1 %;+ 4,4 %;+ 8,5 %
Mayo 2017;4.552 €/m2;+ 1,3 %;+ 1,0 %;+ 5,9 %
Abril 2017;4.494 €/m2;0,0 %;0,0 %;+ 3,9 %
Marzo 2017;4.496 €/m2;- 0,2 %;0,0 %;+ 3,7 %
Febrero 2017;4.505 €/m2;+ 0,3 %;+ 1,9 %;+ 3,3 %
Enero 2017;4.493 €/m2;0,0 %;+ 1,8 %;+ 3,4 %
Diciembre 2016;4.495 €/m2;+ 1,6 %;+ 2,3 %;+ 2,7 %
Noviembre 2016;4.423 €/m2;+ 0,2 %;+ 0,7 %;+ 1,3 %
Octubre 2016;4.413 €/m2;+ 0,4 %;+ 1,0 %;+ 2,3 %
Septiembre 2016;4.395 €/m2;+ 0,1 %;+ 1,6 %;+ 2,3 %
Agosto 2016;4.392 €/m2;+ 0,6 %;+ 2,2 %;+ 1,7 %
Julio 2016;4.367 €/m2;+ 1,0 %;+ 1,0 %;+ 3,3 %
Junio 2016;4.325 €/m2;+ 0,6 %;- 0,3 %;+ 2,1 %
Mayo 2016;4.299 €/m2;- 0,6 %;- 1,4 %;+ 1,7 %
Abril 2016;4.326 €/m2;- 0,3 %;- 0,5 %;+ 3,0 %
Marzo 2016;4.337 €/m2;- 0,6 %;- 0,9 %;+ 5,0 %
Febrero 2016;4.362 €/m2;+ 0,4 %;- 0,1 %;+ 6,4 %
Enero 2016;4.345 €/m2;- 0,7 %;+ 0,8 %;+ 5,2 %
Diciembre 2015;4.375 €/m2;+ 0,2 %;+ 1,9 %;+ 5,6 %
Noviembre 2015;4.366 €/m2;+ 1,2 %;+ 1,1 %;+ 5,4 %
Octubre 2015;4.313 €/m2;+ 0,4 %;+ 2,0 %;+ 4,2 %
Septiembre 2015;4.296 €/m2;- 0,5 %;+ 1,4 %;+ 3,8 %
Agosto 2015;4.318 €/m2;+ 2,1 %;+ 2,2 %;+ 5,5 %
Julio 2015;4.228 €/m2;- 0,2 %;+ 0,7 %;+ 3,2 %
Junio 2015;4.237 €/m2;+ 0,2 %;+ 2,6 %;+ 4,0 %
Mayo 2015;4.227 €/m2;+ 0,7 %;+ 3,1 %;+ 4,7 %
Abril 2015;4.198 €/m2;+ 1,6 %;+ 1,6 %;+ 3,6 %
Marzo 2015;4.131 €/m2;+ 0,8 %;- 0,3 %;+ 2,0 %
Febrero 2015;4.099 €/m2;- 0,8 %;- 1,0 %;+ 2,2 %
Enero 2015;4.132 €/m2;- 0,3 %;- 0,1 %;+ 2,5 %
Diciembre 2014;4.145 €/m2;+ 0,1 %;+ 0,2 %;+ 3,3 %
Noviembre 2014;4.141 €/m2;+ 0,1 %;+ 1,2 %;+ 3,1 %
Octubre 2014;4.138 €/m2;0,0 %;+ 1,0 %;+ 3,4 %
Septiembre 2014;4.137 €/m2;+ 1,1 %;+ 1,5 %;+ 3,0 %
Agosto 2014;4.092 €/m2;- 0,1 %;+ 1,3 %;+ 2,5 %
Julio 2014;4.095 €/m2;+ 0,5 %;+ 1,1 %;+ 1,3 %
Junio 2014;4.075 €/m2;+ 0,9 %;+ 0,6 %;+ 0,2 %
Mayo 2014;4.039 €/m2;- 0,3 %;+ 0,7 %;- 1,3 %
Abril 2014;4.052 €/m2;0,0 %;+ 0,5 %;- 1,9 %
Marzo 2014;4.051 €/m2;+ 1,0 %;+ 1,0 %;- 2,6 %
Febrero 2014;4.009 €/m2;- 0,6 %;- 0,2 %;- 4,3 %
Enero 2014;4.033 €/m2;+ 0,5 %;+ 0,8 %;- 3,2 %
Diciembre 2013;4.013 €/m2;- 0,1 %;- 0,1 %;- 4,2 %
Noviembre 2013;4.016 €/m2;+ 0,4 %;+ 0,6 %;- 3,6 %
Octubre 2013;4.002 €/m2;- 0,4 %;- 1,0 %;- 3,8 %
