Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;5.713 €/m2;+ 1,1 %;+ 1,9 %;+ 9,5 %
Enero 2023;5.651 €/m2;+ 1,1 %;+ 1,1 %;+ 8,7 %
Diciembre 2022;5.590 €/m2;- 0,3 %;+ 0,5 %;+ 9,4 %
Noviembre 2022;5.607 €/m2;+ 0,3 %;+ 1,6 %;+ 10,0 %
Octubre 2022;5.590 €/m2;+ 0,5 %;+ 1,0 %;+ 9,6 %
Septiembre 2022;5.560 €/m2;+ 0,8 %;+ 0,7 %;+ 8,9 %
Agosto 2022;5.517 €/m2;- 0,3 %;+ 1,5 %;+ 8,0 %
Julio 2022;5.534 €/m2;+ 0,2 %;+ 3,6 %;+ 7,7 %
Junio 2022;5.522 €/m2;+ 1,6 %;+ 4,3 %;+ 7,1 %
Mayo 2022;5.435 €/m2;+ 1,8 %;+ 4,1 %;+ 6,3 %
Abril 2022;5.340 €/m2;+ 0,9 %;+ 2,7 %;+ 4,8 %
Marzo 2022;5.293 €/m2;+ 1,4 %;+ 3,6 %;+ 4,1 %
Febrero 2022;5.219 €/m2;+ 0,4 %;+ 2,4 %;+ 3,2 %
Enero 2022;5.198 €/m2;+ 1,7 %;+ 2,0 %;+ 3,6 %
Diciembre 2021;5.111 €/m2;+ 0,3 %;+ 0,1 %;+ 2,2 %
Noviembre 2021;5.096 €/m2;0,0 %;- 0,3 %;+ 1,6 %
Octubre 2021;5.098 €/m2;- 0,2 %;- 0,7 %;+ 1,2 %
Septiembre 2021;5.106 €/m2;- 0,1 %;- 0,9 %;+ 1,0 %
Agosto 2021;5.110 €/m2;- 0,5 %;- 0,1 %;+ 0,8 %
Julio 2021;5.137 €/m2;- 0,3 %;+ 0,8 %;+ 0,5 %
Junio 2021;5.154 €/m2;+ 0,8 %;+ 1,4 %;- 0,5 %
Mayo 2021;5.115 €/m2;+ 0,4 %;+ 1,2 %;- 1,2 %
