Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;3.410 €/m2;+ 0,2 %;- 1,3 %;+ 1,0 %
Enero 2023;3.402 €/m2;- 0,3 %;+ 0,5 %;+ 0,9 %
Diciembre 2022;3.414 €/m2;- 1,2 %;+ 3,4 %;+ 1,6 %
Noviembre 2022;3.454 €/m2;+ 2,1 %;+ 3,8 %;+ 1,2 %
Octubre 2022;3.385 €/m2;+ 2,5 %;+ 4,0 %;- 0,7 %
Septiembre 2022;3.301 €/m2;- 0,8 %;+ 2,0 %;- 1,4 %
Agosto 2022;3.327 €/m2;+ 2,2 %;+ 3,3 %;- 0,4 %
Julio 2022;3.255 €/m2;+ 0,6 %;+ 0,4 %;+ 0,9 %
Junio 2022;3.237 €/m2;+ 0,5 %;- 3,2 %;+ 2,1 %
Mayo 2022;3.220 €/m2;- 0,6 %;- 4,7 %;+ 2,8 %
Abril 2022;3.241 €/m2;- 3,1 %;- 3,9 %;+ 1,5 %
Marzo 2022;3.345 €/m2;- 1,0 %;- 0,4 %;+ 3,7 %
Febrero 2022;3.378 €/m2;+ 0,1 %;- 1,1 %;+ 5,2 %
Enero 2022;3.373 €/m2;+ 0,4 %;- 1,1 %;+ 7,4 %
Diciembre 2021;3.359 €/m2;- 1,6 %;+ 0,3 %;+ 6,7 %
Noviembre 2021;3.414 €/m2;+ 0,1 %;+ 2,2 %;+ 7,1 %
Octubre 2021;3.409 €/m2;+ 1,8 %;+ 5,7 %;+ 7,4 %
Septiembre 2021;3.349 €/m2;+ 0,3 %;+ 5,6 %;+ 6,7 %
Agosto 2021;3.340 €/m2;+ 3,6 %;+ 6,7 %;+ 6,8 %
Julio 2021;3.225 €/m2;+ 1,7 %;+ 1,0 %;+ 3,2 %
Junio 2021;3.170 €/m2;+ 1,2 %;- 1,7 %;+ 0,4 %
Mayo 2021;3.131 €/m2;- 2,0 %;- 2,5 %;- 0,4 %
Abril 2021;3.195 €/m2;- 0,9 %;+ 1,7 %;- 1,0 %
Marzo 2021;3.225 €/m2;+ 0,4 %;+ 2,5 %;- 0,3 %
Febrero 2021;3.212 €/m2;+ 2,3 %;+ 0,8 %;0,0 %
Enero 2021;3.141 €/m2;- 0,2 %;- 1,1 %;- 1,9 %
Diciembre 2020;3.147 €/m2;- 1,3 %;+ 0,3 %;- 3,6 %
Noviembre 2020;3.188 €/m2;+ 0,4 %;+ 1,9 %;- 1,3 %
Octubre 2020;3.175 €/m2;+ 1,2 %;+ 1,6 %;+ 0,7 %
Septiembre 2020;3.139 €/m2;+ 0,4 %;- 0,5 %;+ 1,0 %
Agosto 2020;3.127 €/m2;+ 0,1 %;- 0,5 %;- 0,5 %
Julio 2020;3.125 €/m2;- 1,0 %;- 3,1 %;- 1,1 %
Junio 2020;3.156 €/m2;+ 0,4 %;- 2,4 %;+ 0,8 %
Mayo 2020;3.144 €/m2;- 2,5 %;- 2,1 %;- 0,8 %
Abril 2020;3.226 €/m2;- 0,3 %;+ 0,7 %;+ 1,4 %
Marzo 2020;3.235 €/m2;+ 0,8 %;- 0,9 %;+ 2,2 %
Febrero 2020;3.211 €/m2;+ 0,3 %;- 0,6 %;+ 2,4 %
Enero 2020;3.202 €/m2;- 1,9 %;+ 1,5 %;+ 3,5 %
Diciembre 2019;3.264 €/m2;+ 1,1 %;+ 5,0 %;+ 5,7 %
Noviembre 2019;3.229 €/m2;+ 2,4 %;+ 2,8 %;+ 4,1 %
Octubre 2019;3.154 €/m2;+ 1,4 %;- 0,2 %;+ 3,7 %
Septiembre 2019;3.110 €/m2;- 1,0 %;- 0,6 %;+ 2,1 %
Agosto 2019;3.142 €/m2;- 0,5 %;- 0,9 %;+ 6,0 %
Julio 2019;3.159 €/m2;+ 0,9 %;- 0,7 %;+ 7,2 %
Junio 2019;3.130 €/m2;- 1,2 %;- 1,1 %;+ 7,2 %
Mayo 2019;3.169 €/m2;- 0,4 %;+ 1,1 %;+ 10,4 %
Abril 2019;3.181 €/m2;+ 0,5 %;+ 2,8 %;+ 11,7 %
Marzo 2019;3.165 €/m2;+ 1,0 %;+ 2,5 %;+ 12,2 %
Febrero 2019;3.135 €/m2;+ 1,3 %;+ 1,0 %;+ 10,5 %
Enero 2019;3.095 €/m2;+ 0,2 %;+ 1,7 %;+ 10,9 %
Diciembre 2018;3.088 €/m2;- 0,5 %;+ 1,3 %;+ 11,1 %
Noviembre 2018;3.103 €/m2;+ 2,0 %;+ 4,7 %;+ 10,6 %
Octubre 2018;3.042 €/m2;- 0,2 %;+ 3,2 %;+ 9,0 %
Septiembre 2018;3.047 €/m2;+ 2,8 %;+ 4,4 %;+ 14,7 %
Agosto 2018;2.964 €/m2;+ 0,6 %;+ 3,3 %;+ 12,4 %
Julio 2018;2.948 €/m2;+ 1,0 %;+ 3,5 %;+ 11,7 %
Junio 2018;2.919 €/m2;+ 1,7 %;+ 3,5 %;+ 10,9 %
Mayo 2018;2.871 €/m2;+ 0,7 %;+ 1,2 %;+ 8,7 %
Abril 2018;2.849 €/m2;+ 1,0 %;+ 2,1 %;+ 8,1 %
Marzo 2018;2.821 €/m2;- 0,5 %;+ 1,5 %;+ 6,0 %
Febrero 2018;2.836 €/m2;+ 1,6 %;+ 1,1 %;+ 5,9 %
Enero 2018;2.792 €/m2;+ 0,4 %;0,0 %;+ 4,3 %
Diciembre 2017;2.779 €/m2;- 1,0 %;+ 4,6 %;+ 5,9 %
Noviembre 2017;2.806 €/m2;+ 0,5 %;+ 6,4 %;+ 9,2 %
Octubre 2017;2.791 €/m2;+ 5,0 %;+ 5,8 %;+ 7,8 %
Septiembre 2017;2.657 €/m2;+ 0,8 %;+ 1,0 %;+ 2,6 %
Agosto 2017;2.636 €/m2;- 0,1 %;- 0,1 %;+ 2,4 %
Julio 2017;2.638 €/m2;+ 0,3 %;+ 0,1 %;+ 1,7 %
Junio 2017;2.632 €/m2;- 0,3 %;- 1,1 %;+ 1,3 %
Mayo 2017;2.640 €/m2;+ 0,2 %;- 1,4 %;+ 1,6 %
Abril 2017;2.635 €/m2;- 1,0 %;- 1,6 %;+ 1,9 %
Marzo 2017;2.661 €/m2;- 0,6 %;+ 1,4 %;+ 3,3 %
Febrero 2017;2.677 €/m2;0,0 %;+ 4,2 %;+ 3,7 %
Enero 2017;2.678 €/m2;+ 2,0 %;+ 3,4 %;+ 3,5 %
Diciembre 2016;2.625 €/m2;+ 2,1 %;+ 1,3 %;+ 1,6 %
Noviembre 2016;2.570 €/m2;- 0,7 %;- 0,1 %;- 0,8 %
Octubre 2016;2.588 €/m2;- 0,1 %;- 0,2 %;+ 1,5 %
Septiembre 2016;2.591 €/m2;+ 0,7 %;- 0,2 %;+ 0,8 %
Agosto 2016;2.573 €/m2;- 0,8 %;- 1,0 %;- 0,1 %
Julio 2016;2.593 €/m2;- 0,1 %;+ 0,2 %;+ 0,1 %
Junio 2016;2.597 €/m2;0,0 %;+ 0,8 %;- 0,2 %
Mayo 2016;2.598 €/m2;+ 0,4 %;+ 0,6 %;+ 0,6 %
Abril 2016;2.587 €/m2;+ 0,4 %;0,0 %;+ 0,6 %
Marzo 2016;2.576 €/m2;- 0,3 %;- 0,2 %;+ 0,7 %
Febrero 2016;2.582 €/m2;- 0,1 %;- 0,3 %;- 0,5 %
Enero 2016;2.586 €/m2;+ 0,1 %;+ 1,4 %;- 1,4 %
Diciembre 2015;2.582 €/m2;- 0,3 %;+ 0,5 %;+ 2,0 %
Noviembre 2015;2.591 €/m2;+ 1,6 %;+ 0,6 %;+ 0,1 %
Octubre 2015;2.551 €/m2;- 0,7 %;- 1,6 %;- 2,6 %
Septiembre 2015;2.570 €/m2;- 0,2 %;- 1,3 %;- 0,9 %
Agosto 2015;2.575 €/m2;- 0,7 %;- 0,3 %;+ 0,5 %
Julio 2015;2.592 €/m2;- 0,4 %;+ 0,8 %;+ 0,5 %
Junio 2015;2.603 €/m2;+ 0,8 %;+ 1,8 %;+ 1,6 %
Mayo 2015;2.583 €/m2;+ 0,5 %;- 0,5 %;+ 2,3 %
Abril 2015;2.571 €/m2;+ 0,5 %;- 1,9 %;+ 1,9 %
Marzo 2015;2.557 €/m2;- 1,5 %;+ 1,0 %;- 1,1 %
Febrero 2015;2.597 €/m2;- 1,0 %;+ 0,3 %;+ 0,5 %
Enero 2015;2.622 €/m2;+ 3,5 %;+ 0,1 %;+ 1,3 %
Diciembre 2014;2.532 €/m2;- 2,2 %;- 2,3 %;- 2,4 %
Noviembre 2014;2.588 €/m2;- 1,2 %;+ 1,0 %;+ 0,1 %
Octubre 2014;2.618 €/m2;+ 1,0 %;+ 1,5 %;+ 0,7 %
Septiembre 2014;2.593 €/m2;+ 1,2 %;+ 1,2 %;- 0,5 %
Agosto 2014;2.561 €/m2;- 0,7 %;+ 1,5 %;- 0,3 %
Julio 2014;2.580 €/m2;+ 0,7 %;+ 2,2 %;- 1,6 %
Junio 2014;2.562 €/m2;+ 1,5 %;- 0,9 %;- 3,4 %
Mayo 2014;2.524 €/m2;0,0 %;- 2,3 %;- 8,0 %
Abril 2014;2.524 €/m2;- 2,4 %;- 2,5 %;- 8,0 %
Marzo 2014;2.586 €/m2;+ 0,1 %;- 0,3 %;- 5,3 %
Febrero 2014;2.582 €/m2;- 0,2 %;- 0,1 %;- 7,7 %
