Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;4.065 €/m2;+ 1,0 %;+ 0,7 %;+ 10,2 %
Enero 2023;4.026 €/m2;- 0,6 %;+ 1,2 %;+ 9,1 %
Diciembre 2022;4.051 €/m2;+ 0,3 %;+ 1,9 %;+ 10,1 %
Noviembre 2022;4.038 €/m2;+ 1,5 %;+ 1,8 %;+ 10,0 %
Octubre 2022;3.978 €/m2;+ 0,1 %;+ 1,6 %;+ 8,2 %
Septiembre 2022;3.976 €/m2;+ 0,2 %;+ 3,5 %;+ 8,8 %
Agosto 2022;3.968 €/m2;+ 1,3 %;+ 4,5 %;+ 8,8 %
Julio 2022;3.917 €/m2;+ 2,0 %;+ 3,0 %;+ 6,9 %
Junio 2022;3.842 €/m2;+ 1,2 %;+ 2,3 %;+ 5,1 %
Mayo 2022;3.795 €/m2;- 0,2 %;+ 2,9 %;+ 4,3 %
Abril 2022;3.803 €/m2;+ 1,3 %;+ 3,0 %;+ 4,3 %
Marzo 2022;3.756 €/m2;+ 1,8 %;+ 2,1 %;+ 2,7 %
Febrero 2022;3.690 €/m2;0,0 %;+ 0,5 %;+ 0,5 %
Enero 2022;3.691 €/m2;+ 0,4 %;+ 0,3 %;+ 0,8 %
Diciembre 2021;3.677 €/m2;+ 0,2 %;+ 0,7 %;+ 0,8 %
Noviembre 2021;3.670 €/m2;- 0,2 %;+ 0,7 %;+ 0,2 %
Octubre 2021;3.678 €/m2;+ 0,7 %;+ 0,4 %;+ 0,5 %
Septiembre 2021;3.653 €/m2;+ 0,2 %;- 0,1 %;- 0,2 %
Agosto 2021;3.646 €/m2;- 0,5 %;+ 0,2 %;- 0,6 %
Julio 2021;3.664 €/m2;+ 0,2 %;+ 0,4 %;- 0,5 %
Junio 2021;3.657 €/m2;+ 0,5 %;- 0,1 %;- 1,1 %
Mayo 2021;3.637 €/m2;- 0,3 %;- 1,0 %;- 1,1 %
Abril 2021;3.648 €/m2;- 0,3 %;- 0,4 %;- 1,8 %
Marzo 2021;3.658 €/m2;- 0,4 %;+ 0,2 %;- 1,8 %
