Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;1.869 €/m2;+ 1,4 %;+ 1,9 %;+ 10,3 %
Enero 2023;1.843 €/m2;+ 0,5 %;+ 0,6 %;+ 9,4 %
Diciembre 2022;1.834 €/m2;0,0 %;- 0,2 %;+ 8,6 %
Noviembre 2022;1.834 €/m2;+ 0,1 %;- 0,9 %;+ 8,1 %
Octubre 2022;1.832 €/m2;- 0,3 %;0,0 %;+ 8,2 %
Septiembre 2022;1.837 €/m2;- 0,7 %;+ 3,0 %;+ 8,2 %
Agosto 2022;1.851 €/m2;+ 1,0 %;+ 6,2 %;+ 8,7 %
Julio 2022;1.832 €/m2;+ 2,7 %;+ 6,0 %;+ 6,7 %
Junio 2022;1.784 €/m2;+ 2,3 %;+ 4,8 %;+ 3,7 %
Mayo 2022;1.743 €/m2;+ 0,9 %;+ 2,9 %;+ 1,3 %
Abril 2022;1.728 €/m2;+ 1,5 %;+ 2,6 %;+ 1,3 %
Marzo 2022;1.702 €/m2;+ 0,5 %;+ 0,8 %;- 0,9 %
Febrero 2022;1.694 €/m2;+ 0,5 %;- 0,1 %;- 0,4 %
Enero 2022;1.685 €/m2;- 0,3 %;- 0,5 %;- 0,5 %
Diciembre 2021;1.689 €/m2;- 0,4 %;- 0,6 %;- 1,0 %
Noviembre 2021;1.696 €/m2;+ 0,2 %;- 0,4 %;- 1,0 %
Octubre 2021;1.693 €/m2;- 0,3 %;- 1,4 %;- 1,3 %
Septiembre 2021;1.699 €/m2;- 0,3 %;- 1,2 %;- 0,8 %
Agosto 2021;1.703 €/m2;- 0,8 %;- 1,0 %;- 0,3 %
Julio 2021;1.717 €/m2;- 0,2 %;+ 0,6 %;+ 0,6 %
Junio 2021;1.720 €/m2;- 0,1 %;+ 0,2 %;+ 0,7 %
Mayo 2021;1.721 €/m2;+ 0,8 %;+ 1,2 %;- 0,4 %
Abril 2021;1.707 €/m2;- 0,6 %;+ 0,9 %;- 1,1 %
Marzo 2021;1.717 €/m2;+ 1,0 %;+ 0,7 %;- 1,0 %
Febrero 2021;1.701 €/m2;+ 0,5 %;- 0,8 %;- 1,7 %
Enero 2021;1.692 €/m2;- 0,8 %;- 1,4 %;- 2,2 %
Diciembre 2020;1.706 €/m2;- 0,5 %;- 0,4 %;- 0,8 %
Noviembre 2020;1.714 €/m2;- 0,1 %;+ 0,3 %;+ 0,8 %
Octubre 2020;1.716 €/m2;+ 0,2 %;+ 0,5 %;+ 0,3 %
Septiembre 2020;1.712 €/m2;+ 0,2 %;+ 0,3 %;0,0 %
Agosto 2020;1.709 €/m2;+ 0,1 %;- 1,1 %;+ 0,1 %
Julio 2020;1.707 €/m2;0,0 %;- 1,1 %;- 0,5 %
Junio 2020;1.707 €/m2;- 1,2 %;- 1,5 %;- 0,5 %
Mayo 2020;1.728 €/m2;+ 0,1 %;- 0,1 %;0,0 %
Abril 2020;1.727 €/m2;- 0,4 %;- 0,2 %;+ 0,5 %
Marzo 2020;1.734 €/m2;+ 0,3 %;+ 0,9 %;+ 2,4 %
Febrero 2020;1.730 €/m2;0,0 %;+ 1,7 %;+ 1,5 %
Enero 2020;1.730 €/m2;+ 0,6 %;+ 1,1 %;+ 2,2 %
Diciembre 2019;1.719 €/m2;+ 1,1 %;+ 0,4 %;+ 4,2 %
Noviembre 2019;1.700 €/m2;- 0,7 %;- 0,5 %;+ 3,9 %
Octubre 2019;1.711 €/m2;- 0,1 %;- 0,3 %;+ 6,5 %
Septiembre 2019;1.713 €/m2;+ 0,3 %;- 0,2 %;+ 6,8 %
Agosto 2019;1.708 €/m2;- 0,5 %;- 1,2 %;+ 4,2 %
Julio 2019;1.716 €/m2;0,0 %;- 0,1 %;+ 4,2 %
Junio 2019;1.716 €/m2;- 0,7 %;+ 1,4 %;+ 5,9 %
Mayo 2019;1.729 €/m2;+ 0,7 %;+ 1,4 %;+ 7,6 %
Abril 2019;1.717 €/m2;+ 1,5 %;+ 1,4 %;+ 7,2 %
Marzo 2019;1.693 €/m2;- 0,7 %;+ 2,6 %;+ 13,6 %
Febrero 2019;1.705 €/m2;+ 0,7 %;+ 4,1 %;+ 15,8 %
Enero 2019;1.693 €/m2;+ 2,6 %;+ 5,4 %;+ 17,2 %
Diciembre 2018;1.650 €/m2;+ 0,8 %;+ 2,9 %;+ 17,7 %
Noviembre 2018;1.637 €/m2;+ 1,9 %;- 0,1 %;+ 15,4 %
Octubre 2018;1.606 €/m2;+ 0,2 %;- 2,5 %;+ 12,5 %
Septiembre 2018;1.604 €/m2;- 2,1 %;- 1,0 %;+ 10,9 %
Agosto 2018;1.639 €/m2;- 0,5 %;+ 2,0 %;+ 11,9 %
Julio 2018;1.647 €/m2;+ 1,7 %;+ 2,8 %;+ 11,9 %
Junio 2018;1.620 €/m2;+ 0,8 %;+ 8,7 %;+ 11,3 %
Mayo 2018;1.606 €/m2;+ 0,2 %;+ 9,1 %;+ 17,0 %
Abril 2018;1.602 €/m2;+ 7,5 %;+ 10,9 %;+ 15,3 %
Marzo 2018;1.490 €/m2;+ 1,2 %;+ 6,3 %;+ 2,1 %
Febrero 2018;1.473 €/m2;+ 1,9 %;+ 3,9 %;+ 0,7 %
Enero 2018;1.444 €/m2;+ 3,1 %;+ 1,1 %;- 1,2 %
Diciembre 2017;1.401 €/m2;- 1,2 %;- 3,1 %;- 6,3 %
Noviembre 2017;1.418 €/m2;- 0,8 %;- 3,2 %;+ 0,1 %
Octubre 2017;1.429 €/m2;- 1,2 %;- 3,0 %;+ 3,4 %
Septiembre 2017;1.447 €/m2;- 1,2 %;- 0,6 %;+ 6,5 %
Agosto 2017;1.465 €/m2;- 0,5 %;+ 6,7 %;+ 8,8 %
Julio 2017;1.472 €/m2;+ 1,2 %;+ 6,0 %;+ 7,2 %
Junio 2017;1.456 €/m2;+ 6,0 %;- 0,3 %;+ 5,3 %
Mayo 2017;1.373 €/m2;- 1,2 %;- 6,1 %;- 2,1 %
Abril 2017;1.390 €/m2;- 4,8 %;- 4,9 %;+ 0,6 %
Marzo 2017;1.460 €/m2;- 0,2 %;- 2,4 %;+ 8,3 %
Febrero 2017;1.462 €/m2;0,0 %;+ 3,3 %;+ 6,4 %
Enero 2017;1.462 €/m2;- 2,3 %;+ 5,8 %;+ 6,8 %
Diciembre 2016;1.496 €/m2;+ 5,7 %;+ 10,1 %;+ 11,2 %
Noviembre 2016;1.416 €/m2;+ 2,5 %;+ 5,2 %;+ 3,0 %
Octubre 2016;1.381 €/m2;+ 1,6 %;+ 0,6 %;+ 0,3 %
Septiembre 2016;1.359 €/m2;+ 1,0 %;- 1,7 %;+ 2,4 %
Agosto 2016;1.346 €/m2;- 2,0 %;- 4,0 %;+ 1,1 %
Julio 2016;1.373 €/m2;- 0,6 %;- 0,6 %;- 1,0 %
Junio 2016;1.382 €/m2;- 1,5 %;+ 2,6 %;+ 0,5 %
Mayo 2016;1.403 €/m2;+ 1,5 %;+ 2,1 %;+ 4,5 %
Abril 2016;1.382 €/m2;+ 2,6 %;+ 0,9 %;- 0,9 %
Marzo 2016;1.347 €/m2;- 1,9 %;+ 0,2 %;+ 0,4 %
Febrero 2016;1.373 €/m2;+ 0,3 %;- 0,1 %;+ 2,9 %
Enero 2016;1.369 €/m2;+ 1,8 %;- 0,6 %;+ 2,6 %
Diciembre 2015;1.345 €/m2;- 2,2 %;+ 1,3 %;- 0,3 %
Noviembre 2015;1.375 €/m2;- 0,1 %;+ 3,3 %;+ 3,8 %
Octubre 2015;1.377 €/m2;+ 3,7 %;- 0,8 %;+ 16,5 %
Septiembre 2015;1.327 €/m2;- 0,2 %;- 3,5 %;+ 13,1 %
Agosto 2015;1.331 €/m2;- 4,1 %;- 0,8 %;+ 12,8 %
Julio 2015;1.387 €/m2;+ 0,9 %;- 0,5 %;+ 14,4 %
Junio 2015;1.375 €/m2;+ 2,5 %;+ 2,5 %;+ 11,8 %
Mayo 2015;1.342 €/m2;- 3,7 %;+ 0,5 %;+ 5,5 %
Abril 2015;1.394 €/m2;+ 3,9 %;+ 4,5 %;+ 12,5 %
Marzo 2015;1.342 €/m2;+ 0,5 %;- 0,5 %;+ 9,0 %
Febrero 2015;1.335 €/m2;+ 0,1 %;+ 0,8 %;+ 4,5 %
Enero 2015;1.334 €/m2;- 1,1 %;+ 12,9 %;+ 3,4 %
Diciembre 2014;1.349 €/m2;+ 1,9 %;+ 14,9 %;+ 0,7 %
