Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;2.356 €/m2;+ 0,7 %;+ 1,6 %;+ 9,8 %
Enero 2023;2.340 €/m2;+ 0,3 %;+ 0,9 %;+ 9,2 %
Diciembre 2022;2.333 €/m2;+ 0,6 %;+ 0,5 %;+ 8,6 %
Noviembre 2022;2.319 €/m2;0,0 %;+ 1,4 %;+ 9,5 %
Octubre 2022;2.318 €/m2;- 0,2 %;+ 1,8 %;+ 9,2 %
Septiembre 2022;2.322 €/m2;+ 1,5 %;+ 3,0 %;+ 8,9 %
Agosto 2022;2.287 €/m2;+ 0,4 %;+ 2,7 %;+ 8,5 %
Julio 2022;2.278 €/m2;+ 1,0 %;+ 4,5 %;+ 7,3 %
Junio 2022;2.256 €/m2;+ 1,3 %;+ 4,1 %;+ 4,7 %
Mayo 2022;2.228 €/m2;+ 2,2 %;+ 3,8 %;+ 3,4 %
Abril 2022;2.179 €/m2;+ 0,5 %;+ 1,7 %;+ 3,6 %
Marzo 2022;2.168 €/m2;+ 1,0 %;+ 0,9 %;+ 3,3 %
Febrero 2022;2.145 €/m2;+ 0,2 %;+ 1,3 %;+ 1,6 %
Enero 2022;2.142 €/m2;- 0,3 %;+ 0,9 %;0,0 %
Diciembre 2021;2.148 €/m2;+ 1,4 %;+ 0,7 %;- 0,8 %
Noviembre 2021;2.118 €/m2;- 0,2 %;+ 0,5 %;- 2,3 %
Octubre 2021;2.123 €/m2;- 0,5 %;0,0 %;- 2,3 %
Septiembre 2021;2.133 €/m2;+ 1,2 %;- 1,0 %;- 1,8 %
Agosto 2021;2.107 €/m2;- 0,8 %;- 2,2 %;- 3,0 %
Julio 2021;2.123 €/m2;- 1,5 %;+ 0,9 %;- 1,3 %
Junio 2021;2.155 €/m2;0,0 %;+ 2,7 %;+ 1,0 %
Mayo 2021;2.155 €/m2;+ 2,4 %;+ 2,0 %;+ 0,4 %
Abril 2021;2.104 €/m2;+ 0,3 %;- 1,7 %;- 2,6 %
Marzo 2021;2.098 €/m2;- 0,7 %;- 3,1 %;- 4,3 %
Febrero 2021;2.112 €/m2;- 1,4 %;- 2,6 %;- 4,4 %
Enero 2021;2.141 €/m2;- 1,1 %;- 1,4 %;- 2,1 %
Diciembre 2020;2.165 €/m2;- 0,2 %;- 0,3 %;- 1,3 %
Noviembre 2020;2.168 €/m2;- 0,2 %;- 0,2 %;- 2,1 %
Octubre 2020;2.172 €/m2;0,0 %;+ 1,0 %;- 2,5 %
Septiembre 2020;2.172 €/m2;0,0 %;+ 1,8 %;- 0,8 %
Agosto 2020;2.173 €/m2;+ 1,0 %;+ 1,3 %;+ 0,3 %
Julio 2020;2.151 €/m2;+ 0,8 %;- 0,4 %;- 0,3 %
Junio 2020;2.134 €/m2;- 0,5 %;- 2,6 %;- 2,2 %
Mayo 2020;2.146 €/m2;- 0,6 %;- 2,8 %;- 2,1 %
Abril 2020;2.160 €/m2;- 1,5 %;- 1,3 %;- 0,7 %
Marzo 2020;2.192 €/m2;- 0,7 %;0,0 %;+ 1,0 %
Febrero 2020;2.208 €/m2;+ 0,9 %;- 0,3 %;+ 2,6 %
Enero 2020;2.187 €/m2;- 0,2 %;- 1,8 %;+ 2,1 %
Diciembre 2019;2.192 €/m2;- 1,0 %;+ 0,1 %;+ 4,1 %
Noviembre 2019;2.215 €/m2;- 0,5 %;+ 2,2 %;+ 5,5 %
Octubre 2019;2.227 €/m2;+ 1,7 %;+ 3,2 %;+ 5,6 %
Septiembre 2019;2.189 €/m2;+ 1,0 %;+ 0,3 %;+ 4,8 %
Agosto 2019;2.168 €/m2;+ 0,5 %;- 1,2 %;+ 4,3 %
Julio 2019;2.157 €/m2;- 1,2 %;- 0,9 %;+ 4,4 %
Junio 2019;2.182 €/m2;- 0,5 %;+ 0,5 %;+ 7,2 %
Mayo 2019;2.193 €/m2;+ 0,8 %;+ 1,9 %;+ 10,5 %
Abril 2019;2.176 €/m2;+ 0,2 %;+ 1,6 %;+ 12,3 %
Marzo 2019;2.171 €/m2;+ 0,8 %;+ 3,1 %;+ 15,9 %
Febrero 2019;2.153 €/m2;+ 0,5 %;+ 2,5 %;+ 15,7 %
Enero 2019;2.142 €/m2;+ 1,8 %;+ 1,6 %;+ 15,4 %
Diciembre 2018;2.105 €/m2;+ 0,3 %;+ 0,8 %;+ 15,6 %
Noviembre 2018;2.100 €/m2;- 0,4 %;+ 1,0 %;+ 14,0 %
Octubre 2018;2.109 €/m2;+ 1,0 %;+ 2,1 %;+ 13,2 %
Septiembre 2018;2.089 €/m2;+ 0,5 %;+ 2,6 %;+ 15,0 %
Agosto 2018;2.078 €/m2;+ 0,6 %;+ 4,7 %;+ 16,5 %
Julio 2018;2.066 €/m2;+ 1,5 %;+ 6,7 %;+ 14,8 %
Junio 2018;2.036 €/m2;+ 2,5 %;+ 8,6 %;+ 14,0 %
Mayo 2018;1.985 €/m2;+ 2,5 %;+ 6,7 %;+ 14,1 %
Abril 2018;1.937 €/m2;+ 3,4 %;+ 4,4 %;+ 14,5 %
Marzo 2018;1.874 €/m2;+ 0,7 %;+ 2,9 %;+ 11,1 %
Febrero 2018;1.861 €/m2;+ 0,2 %;+ 1,0 %;+ 10,9 %
Enero 2018;1.856 €/m2;+ 2,0 %;- 0,4 %;+ 11,6 %
Diciembre 2017;1.821 €/m2;- 1,1 %;+ 0,2 %;+ 9,3 %
Noviembre 2017;1.842 €/m2;- 1,2 %;+ 3,3 %;+ 12,2 %
Octubre 2017;1.863 €/m2;+ 2,6 %;+ 3,6 %;+ 14,5 %
Septiembre 2017;1.817 €/m2;+ 1,9 %;+ 1,7 %;+ 12,7 %
Agosto 2017;1.784 €/m2;- 0,9 %;+ 2,5 %;+ 12,3 %
Julio 2017;1.799 €/m2;+ 0,7 %;+ 6,3 %;+ 14,9 %
Junio 2017;1.786 €/m2;+ 2,7 %;+ 5,9 %;+ 10,7 %
Mayo 2017;1.740 €/m2;+ 2,8 %;+ 3,7 %;+ 8,6 %
Abril 2017;1.693 €/m2;+ 0,3 %;+ 1,7 %;+ 4,9 %
Marzo 2017;1.687 €/m2;+ 0,6 %;+ 1,3 %;+ 3,6 %
Febrero 2017;1.678 €/m2;+ 0,8 %;+ 2,2 %;+ 3,4 %
Enero 2017;1.664 €/m2;- 0,1 %;+ 2,2 %;+ 2,4 %
Diciembre 2016;1.666 €/m2;+ 1,5 %;+ 3,3 %;+ 1,9 %
Noviembre 2016;1.641 €/m2;+ 0,8 %;+ 3,3 %;+ 0,2 %
Octubre 2016;1.628 €/m2;+ 1,0 %;+ 3,9 %;- 1,1 %
Septiembre 2016;1.612 €/m2;+ 1,5 %;- 0,1 %;- 1,0 %
Agosto 2016;1.588 €/m2;+ 1,4 %;- 0,8 %;- 2,4 %
Julio 2016;1.566 €/m2;- 2,9 %;- 2,9 %;- 4,9 %
Junio 2016;1.613 €/m2;+ 0,7 %;- 0,9 %;- 2,3 %
Mayo 2016;1.602 €/m2;- 0,7 %;- 1,3 %;- 1,4 %
Abril 2016;1.614 €/m2;- 0,9 %;- 0,7 %;- 0,3 %
Marzo 2016;1.628 €/m2;+ 0,4 %;- 0,4 %;+ 1,8 %
Febrero 2016;1.622 €/m2;- 0,2 %;- 0,9 %;- 0,2 %
Enero 2016;1.625 €/m2;- 0,6 %;- 1,2 %;+ 0,9 %
Diciembre 2015;1.635 €/m2;- 0,2 %;+ 0,4 %;+ 1,0 %
Noviembre 2015;1.638 €/m2;- 0,4 %;+ 0,7 %;+ 1,3 %
Octubre 2015;1.645 €/m2;+ 1,0 %;- 0,1 %;+ 1,2 %
Septiembre 2015;1.628 €/m2;+ 0,1 %;- 1,3 %;+ 2,5 %
Agosto 2015;1.627 €/m2;- 1,2 %;+ 0,1 %;+ 2,6 %
Julio 2015;1.647 €/m2;- 0,2 %;+ 1,7 %;+ 2,1 %
Junio 2015;1.650 €/m2;+ 1,5 %;+ 3,2 %;+ 1,0 %
Mayo 2015;1.625 €/m2;+ 0,4 %;0,0 %;- 1,2 %
Abril 2015;1.619 €/m2;+ 1,2 %;+ 0,5 %;- 2,7 %
Marzo 2015;1.600 €/m2;- 1,6 %;- 1,1 %;- 6,6 %
Febrero 2015;1.625 €/m2;+ 0,9 %;+ 0,5 %;- 7,4 %
Enero 2015;1.611 €/m2;- 0,4 %;- 0,8 %;- 8,7 %
Diciembre 2014;1.618 €/m2;0,0 %;+ 1,8 %;- 6,1 %
Noviembre 2014;1.617 €/m2;- 0,5 %;+ 2,0 %;- 6,8 %
Octubre 2014;1.625 €/m2;+ 2,3 %;+ 0,7 %;- 6,8 %
Septiembre 2014;1.589 €/m2;+ 0,2 %;- 2,8 %;- 10,8 %
Agosto 2014;1.586 €/m2;- 1,7 %;- 3,6 %;- 11,9 %
Julio 2014;1.613 €/m2;- 1,3 %;- 3,1 %;- 12,0 %
Junio 2014;1.634 €/m2;- 0,7 %;- 4,6 %;- 10,7 %
Mayo 2014;1.645 €/m2;- 1,2 %;- 6,2 %;- 11,1 %
Abril 2014;1.665 €/m2;- 2,8 %;- 5,6 %;- 10,5 %
Marzo 2014;1.713 €/m2;- 2,4 %;- 0,6 %;- 7,4 %
Febrero 2014;1.754 €/m2;- 0,6 %;+ 1,1 %;- 5,2 %
Enero 2014;1.764 €/m2;+ 2,4 %;+ 1,2 %;- 4,0 %
Diciembre 2013;1.724 €/m2;- 0,7 %;- 3,3 %;- 7,3 %
Noviembre 2013;1.735 €/m2;- 0,5 %;- 3,6 %;- 8,5 %
Octubre 2013;1.744 €/m2;- 2,1 %;- 4,9 %;- 10,4 %
Septiembre 2013;1.782 €/m2;- 1,0 %;- 2,6 %;- 10,4 %
Agosto 2013;1.799 €/m2;- 1,9 %;- 2,7 %;- 11,0 %
Julio 2013;1.834 €/m2;+ 0,3 %;- 1,3 %;- 10,5 %
Junio 2013;1.830 €/m2;- 1,1 %;- 1,1 %;- 12,4 %
Mayo 2013;1.850 €/m2;- 0,5 %;- 0,1 %;- 12,6 %
Abril 2013;1.860 €/m2;+ 0,6 %;+ 1,2 %;- 13,2 %
Marzo 2013;1.849 €/m2;- 0,1 %;- 0,5 %;- 14,8 %
Febrero 2013;1.851 €/m2;+ 0,7 %;- 2,4 %;- 16,1 %
Enero 2013;1.838 €/m2;- 1,1 %;- 5,5 %;- 16,9 %
Diciembre 2012;1.859 €/m2;- 2,0 %;- 6,5 %;- 16,8 %
Noviembre 2012;1.897 €/m2;- 2,5 %;- 6,2 %;- 16,1 %
Octubre 2012;1.945 €/m2;- 2,1 %;- 5,0 %;- 15,1 %
Septiembre 2012;1.988 €/m2;- 1,7 %;- 4,9 %;- 12,9 %
Agosto 2012;2.022 €/m2;- 1,3 %;- 4,5 %;- 11,3 %
Julio 2012;2.049 €/m2;- 1,9 %;- 4,4 %;- 12,2 %
Junio 2012;2.089 €/m2;- 1,3 %;- 3,7 %;- 12,1 %
Mayo 2012;2.117 €/m2;- 1,2 %;- 4,1 %;- 12,1 %
Abril 2012;2.143 €/m2;- 1,2 %;- 3,1 %;- 11,7 %
Marzo 2012;2.170 €/m2;- 1,7 %;- 2,8 %;- 12,5 %
Febrero 2012;2.207 €/m2;- 0,2 %;- 2,4 %;- 11,5 %
Enero 2012;2.212 €/m2;- 1,0 %;- 3,4 %;- 12,4 %
Diciembre 2011;2.233 €/m2;- 1,3 %;- 2,1 %;- 11,8 %
Noviembre 2011;2.262 €/m2;- 1,3 %;- 0,8 %;- 11,9 %
Octubre 2011;2.291 €/m2;+ 0,4 %;- 1,8 %;- 11,4 %
Septiembre 2011;2.282 €/m2;+ 0,1 %;- 4,0 %;- 11,7 %
Agosto 2011;2.280 €/m2;- 2,2 %;- 5,3 %;- 11,0 %
Julio 2011;2.332 €/m2;- 1,9 %;- 4,0 %;- 10,6 %
Junio 2011;2.378 €/m2;- 1,2 %;- 4,1 %;- 10,9 %
Mayo 2011;2.408 €/m2;- 0,9 %;- 3,4 %;- 10,7 %
Abril 2011;2.429 €/m2;- 2,0 %;- 3,8 %;- 10,9 %
Marzo 2011;2.479 €/m2;- 0,6 %;- 2,1 %;- 6,6 %
Febrero 2011;2.494 €/m2;- 1,2 %;- 2,9 %;- 4,9 %
Enero 2011;2.524 €/m2;- 0,3 %;- 2,4 %;- 3,7 %
Diciembre 2010;2.532 €/m2;- 1,4 %;- 2,0 %;- 6,0 %
Noviembre 2010;2.567 €/m2;- 0,7 %;+ 0,2 %;- 5,9 %
Octubre 2010;2.585 €/m2;+ 0,1 %;- 0,9 %;- 5,6 %
Septiembre 2010;2.583 €/m2;+ 0,8 %;- 3,2 %;- 4,5 %
Agosto 2010;2.562 €/m2;- 1,8 %;- 5,0 %;- 3,6 %
Julio 2010;2.609 €/m2;- 2,3 %;- 4,3 %;- 2,5 %
Junio 2010;2.670 €/m2;- 1,0 %;+ 0,6 %;- 2,0 %
Mayo 2010;2.696 €/m2;- 1,1 %;+ 2,8 %;- 2,0 %
Abril 2010;2.726 €/m2;+ 2,7 %;+ 4,1 %;- 1,7 %
Marzo 2010;2.655 €/m2;+ 1,3 %;- 1,4 %;- 5,7 %
Febrero 2010;2.622 €/m2;+ 0,1 %;- 3,9 %;- 6,8 %
Enero 2010;2.620 €/m2;- 2,7 %;- 4,3 %;- 7,2 %
Diciembre 2009;2.693 €/m2;- 1,3 %;- 0,4 %;- 4,7 %
Noviembre 2009;2.729 €/m2;- 0,3 %;+ 2,6 %;- 6,0 %
Octubre 2009;2.737 €/m2;+ 1,2 %;+ 2,3 %;- 2,9 %
Septiembre 2009;2.705 €/m2;+ 1,7 %;- 0,7 %;- 4,4 %
Agosto 2009;2.659 €/m2;- 0,6 %;- 3,3 %;- 5,0 %
Julio 2009;2.676 €/m2;- 1,8 %;- 3,5 %;- 5,4 %
Junio 2009;2.724 €/m2;- 0,9 %;- 3,3 %;- 6,7 %
Mayo 2009;2.750 €/m2;- 0,8 %;- 2,2 %;- 4,6 %
Abril 2009;2.772 €/m2;- 1,6 %;- 1,8 %;- 6,1 %
Marzo 2009;2.817 €/m2;+ 0,1 %;- 0,3 %;- 3,8 %
Febrero 2009;2.813 €/m2;- 0,4 %;- 3,1 %;- 4,4 %
Enero 2009;2.824 €/m2;0,0 %;+ 0,2 %;- 2,5 %
Diciembre 2008;2.824 €/m2;- 2,7 %;- 0,2 %;- 5,6 %
Noviembre 2008;2.903 €/m2;+ 3,0 %;+ 3,8 %;- 3,5 %
Octubre 2008;2.819 €/m2;- 0,4 %;- 0,4 %;- 2,8 %
Septiembre 2008;2.829 €/m2;+ 1,1 %;- 3,1 %;0,0 %
Agosto 2008;2.798 €/m2;- 1,1 %;- 3,0 %;- 3,2 %
Julio 2008;2.830 €/m2;- 3,1 %;- 4,2 %;- 10,5 %
Junio 2008;2.919 €/m2;+ 1,3 %;- 0,2 %;- 8,0 %
Mayo 2008;2.883 €/m2;- 2,4 %;- 2,0 %;- 7,0 %
Abril 2008;2.954 €/m2;+ 0,9 %;+ 2,0 %;n.d.
Marzo 2008;2.927 €/m2;- 0,5 %;- 2,2 %;n.d.
Febrero 2008;2.942 €/m2;+ 1,5 %;- 2,2 %;n.d.
Enero 2008;2.897 €/m2;- 3,2 %;- 0,1 %;n.d.
Diciembre 2007;2.992 €/m2;- 0,6 %;+ 5,8 %;n.d.
Noviembre 2007;3.009 €/m2;+ 3,8 %;+ 4,0 %;n.d.
Octubre 2007;2.900 €/m2;+ 2,5 %;- 8,3 %;n.d.
Septiembre 2007;2.828 €/m2;- 2,2 %;- 10,9 %;n.d.
Agosto 2007;2.892 €/m2;- 8,6 %;- 6,8 %;n.d.
Julio 2007;3.162 €/m2;- 0,3 %;n.d.;n.d.
Junio 2007;3.173 €/m2;+ 2,3 %;n.d.;n.d.
Mayo 2007;3.101 €/m2;n.d.;n.d.;n.d.
