Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;3.742 €/m2;- 1,1 %;- 2,5 %;+ 1,6 %
Enero 2023;3.783 €/m2;- 0,6 %;- 1,5 %;+ 4,4 %
Diciembre 2022;3.807 €/m2;- 0,8 %;+ 0,6 %;+ 5,2 %
Noviembre 2022;3.839 €/m2;- 0,1 %;+ 2,3 %;+ 8,1 %
Octubre 2022;3.841 €/m2;+ 1,5 %;+ 3,3 %;+ 7,7 %
Septiembre 2022;3.784 €/m2;+ 0,8 %;+ 2,5 %;+ 6,6 %
Agosto 2022;3.755 €/m2;+ 1,0 %;+ 1,7 %;+ 6,2 %
Julio 2022;3.718 €/m2;+ 0,7 %;+ 0,3 %;+ 6,1 %
Junio 2022;3.691 €/m2;0,0 %;0,0 %;+ 4,7 %
Mayo 2022;3.692 €/m2;- 0,4 %;+ 0,2 %;+ 5,0 %
Abril 2022;3.707 €/m2;+ 0,4 %;+ 2,3 %;+ 5,3 %
Marzo 2022;3.692 €/m2;+ 0,2 %;+ 2,1 %;+ 5,2 %
Febrero 2022;3.685 €/m2;+ 1,7 %;+ 3,7 %;+ 6,2 %
Enero 2022;3.624 €/m2;+ 0,2 %;+ 1,6 %;+ 4,6 %
Diciembre 2021;3.617 €/m2;+ 1,8 %;+ 1,9 %;+ 3,6 %
Noviembre 2021;3.553 €/m2;- 0,4 %;+ 0,5 %;+ 1,3 %
Octubre 2021;3.568 €/m2;+ 0,5 %;+ 1,8 %;+ 2,0 %
Septiembre 2021;3.548 €/m2;+ 0,4 %;+ 0,7 %;+ 1,7 %
Agosto 2021;3.536 €/m2;+ 0,9 %;+ 0,5 %;+ 0,6 %
Julio 2021;3.504 €/m2;- 0,6 %;- 0,5 %;- 0,8 %
Junio 2021;3.525 €/m2;+ 0,2 %;+ 0,4 %;- 0,5 %
Mayo 2021;3.518 €/m2;- 0,1 %;+ 1,4 %;- 1,5 %
Abril 2021;3.521 €/m2;+ 0,3 %;+ 1,6 %;- 1,4 %
Marzo 2021;3.509 €/m2;+ 1,1 %;+ 0,5 %;- 0,6 %
Febrero 2021;3.469 €/m2;+ 0,1 %;- 1,0 %;- 1,3 %
Enero 2021;3.466 €/m2;- 0,7 %;- 0,9 %;- 2,3 %
Diciembre 2020;3.491 €/m2;- 0,4 %;+ 0,1 %;- 1,8 %
Noviembre 2020;3.506 €/m2;+ 0,2 %;- 0,2 %;- 1,1 %
Octubre 2020;3.498 €/m2;+ 0,3 %;- 1,0 %;- 0,3 %
Septiembre 2020;3.488 €/m2;- 0,7 %;- 1,6 %;+ 0,2 %
Agosto 2020;3.514 €/m2;- 0,5 %;- 1,7 %;+ 1,9 %
Julio 2020;3.532 €/m2;- 0,3 %;- 1,1 %;+ 2,8 %
Junio 2020;3.544 €/m2;- 0,8 %;+ 0,4 %;+ 5,2 %
Mayo 2020;3.573 €/m2;+ 0,1 %;+ 1,6 %;+ 5,0 %
Abril 2020;3.570 €/m2;+ 1,1 %;+ 0,6 %;+ 4,4 %
Marzo 2020;3.530 €/m2;+ 0,4 %;- 0,7 %;+ 4,5 %
Febrero 2020;3.516 €/m2;- 0,9 %;- 0,8 %;+ 4,5 %
Enero 2020;3.548 €/m2;- 0,2 %;+ 1,2 %;+ 5,2 %
Diciembre 2019;3.554 €/m2;+ 0,3 %;+ 2,1 %;+ 5,8 %
Noviembre 2019;3.545 €/m2;+ 1,1 %;+ 2,8 %;+ 6,5 %
Octubre 2019;3.507 €/m2;+ 0,8 %;+ 2,0 %;+ 6,0 %
Septiembre 2019;3.480 €/m2;+ 0,9 %;+ 3,3 %;+ 7,3 %
Agosto 2019;3.447 €/m2;+ 0,3 %;+ 1,3 %;+ 6,0 %
Julio 2019;3.436 €/m2;+ 2,0 %;+ 0,5 %;+ 5,5 %
Junio 2019;3.369 €/m2;- 1,0 %;- 0,3 %;+ 4,6 %
Mayo 2019;3.402 €/m2;- 0,5 %;+ 1,1 %;+ 5,6 %
Abril 2019;3.418 €/m2;+ 1,1 %;+ 1,3 %;+ 6,4 %
Marzo 2019;3.379 €/m2;+ 0,5 %;+ 0,6 %;+ 5,7 %
Febrero 2019;3.364 €/m2;- 0,3 %;+ 1,1 %;+ 4,7 %
Enero 2019;3.374 €/m2;+ 0,4 %;+ 2,0 %;+ 6,3 %
Diciembre 2018;3.360 €/m2;+ 0,9 %;+ 3,6 %;+ 6,9 %
Noviembre 2018;3.328 €/m2;+ 0,6 %;+ 2,4 %;+ 8,3 %
Octubre 2018;3.309 €/m2;+ 2,0 %;+ 1,6 %;+ 9,1 %
Septiembre 2018;3.243 €/m2;- 0,2 %;+ 0,6 %;+ 7,3 %
Agosto 2018;3.251 €/m2;- 0,2 %;+ 0,9 %;+ 6,6 %
Julio 2018;3.256 €/m2;+ 1,0 %;+ 1,4 %;+ 6,9 %
Junio 2018;3.222 €/m2;0,0 %;+ 0,8 %;+ 7,4 %
Mayo 2018;3.221 €/m2;+ 0,3 %;+ 0,2 %;+ 8,7 %
Abril 2018;3.212 €/m2;+ 0,5 %;+ 1,2 %;+ 8,8 %
Marzo 2018;3.197 €/m2;- 0,5 %;+ 1,7 %;+ 9,3 %
Febrero 2018;3.214 €/m2;+ 1,3 %;+ 4,5 %;+ 11,2 %
Enero 2018;3.173 €/m2;+ 1,0 %;+ 4,6 %;+ 9,9 %
Diciembre 2017;3.142 €/m2;+ 2,2 %;+ 4,0 %;+ 8,9 %
Noviembre 2017;3.074 €/m2;+ 1,3 %;+ 0,8 %;+ 6,8 %
Octubre 2017;3.033 €/m2;+ 0,4 %;- 0,4 %;+ 6,3 %
Septiembre 2017;3.021 €/m2;- 0,9 %;+ 0,7 %;+ 6,7 %
Agosto 2017;3.049 €/m2;+ 0,1 %;+ 2,9 %;+ 9,6 %
Julio 2017;3.046 €/m2;+ 1,5 %;+ 3,2 %;+ 10,0 %
Junio 2017;3.000 €/m2;+ 1,3 %;+ 2,6 %;+ 8,4 %
Mayo 2017;2.963 €/m2;+ 0,4 %;+ 2,5 %;+ 6,2 %
Abril 2017;2.951 €/m2;+ 0,9 %;+ 2,2 %;+ 7,3 %
Marzo 2017;2.925 €/m2;+ 1,2 %;+ 1,4 %;+ 6,4 %
