Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;2.780 €/m2;+ 2,7 %;+ 0,1 %;+ 7,4 %
Enero 2023;2.706 €/m2;- 0,1 %;- 4,1 %;+ 10,9 %
Diciembre 2022;2.708 €/m2;- 2,5 %;- 2,7 %;+ 12,2 %
Noviembre 2022;2.777 €/m2;- 1,6 %;- 2,3 %;+ 15,5 %
Octubre 2022;2.822 €/m2;+ 1,3 %;- 0,4 %;+ 17,4 %
Septiembre 2022;2.784 €/m2;- 2,0 %;- 1,8 %;+ 18,7 %
Agosto 2022;2.842 €/m2;+ 0,3 %;+ 1,6 %;+ 19,9 %
Julio 2022;2.833 €/m2;- 0,1 %;+ 11,8 %;+ 15,8 %
Junio 2022;2.837 €/m2;+ 1,4 %;+ 12,3 %;+ 15,9 %
Mayo 2022;2.797 €/m2;+ 10,4 %;+ 8,0 %;+ 14,7 %
Abril 2022;2.533 €/m2;+ 0,3 %;+ 3,8 %;+ 3,4 %
Marzo 2022;2.526 €/m2;- 2,4 %;+ 4,6 %;+ 4,5 %
Febrero 2022;2.589 €/m2;+ 6,1 %;+ 7,7 %;+ 9,1 %
Enero 2022;2.440 €/m2;+ 1,1 %;+ 1,6 %;+ 3,7 %
Diciembre 2021;2.413 €/m2;+ 0,4 %;+ 2,9 %;+ 4,1 %
Noviembre 2021;2.403 €/m2;0,0 %;+ 1,4 %;+ 3,5 %
Octubre 2021;2.403 €/m2;+ 2,5 %;- 1,8 %;+ 3,4 %
Septiembre 2021;2.345 €/m2;- 1,0 %;- 4,2 %;+ 0,9 %
Agosto 2021;2.370 €/m2;- 3,2 %;- 2,8 %;+ 2,9 %
Julio 2021;2.448 €/m2;0,0 %;- 0,2 %;+ 6,6 %
Junio 2021;2.448 €/m2;+ 0,4 %;+ 1,3 %;+ 5,0 %
Mayo 2021;2.438 €/m2;- 0,5 %;+ 2,7 %;+ 3,7 %
Abril 2021;2.451 €/m2;+ 1,4 %;+ 4,2 %;+ 5,0 %
Marzo 2021;2.417 €/m2;+ 1,8 %;+ 4,2 %;+ 4,1 %
Febrero 2021;2.374 €/m2;+ 0,9 %;+ 2,2 %;+ 1,2 %
Enero 2021;2.354 €/m2;+ 1,5 %;+ 1,3 %;- 0,1 %
Diciembre 2020;2.318 €/m2;- 0,1 %;- 0,2 %;0,0 %
Noviembre 2020;2.322 €/m2;- 0,1 %;+ 0,8 %;+ 2,3 %
Octubre 2020;2.324 €/m2;0,0 %;+ 1,2 %;+ 1,6 %
Septiembre 2020;2.323 €/m2;+ 0,9 %;- 0,3 %;+ 4,2 %
Agosto 2020;2.303 €/m2;+ 0,3 %;- 2,0 %;+ 3,3 %
Julio 2020;2.296 €/m2;- 1,5 %;- 1,7 %;+ 3,1 %
Junio 2020;2.331 €/m2;- 0,8 %;+ 0,4 %;+ 3,2 %
Mayo 2020;2.350 €/m2;+ 0,7 %;+ 0,2 %;+ 3,7 %
Abril 2020;2.334 €/m2;+ 0,5 %;- 0,9 %;+ 3,7 %
Marzo 2020;2.322 €/m2;- 1,0 %;+ 0,1 %;+ 2,9 %
Febrero 2020;2.346 €/m2;- 0,4 %;+ 3,3 %;+ 4,2 %
Enero 2020;2.355 €/m2;+ 1,6 %;+ 3,0 %;+ 5,4 %
Diciembre 2019;2.318 €/m2;+ 2,1 %;+ 3,9 %;+ 8,7 %
Noviembre 2019;2.270 €/m2;- 0,7 %;+ 1,9 %;+ 6,1 %
Octubre 2019;2.286 €/m2;+ 2,5 %;+ 2,7 %;+ 9,0 %
Septiembre 2019;2.230 €/m2;+ 0,1 %;- 1,2 %;+ 6,9 %
Agosto 2019;2.228 €/m2;+ 0,1 %;- 1,7 %;+ 6,4 %
Julio 2019;2.227 €/m2;- 1,4 %;- 1,1 %;+ 7,1 %
Junio 2019;2.258 €/m2;- 0,4 %;+ 0,1 %;+ 9,1 %
Mayo 2019;2.266 €/m2;+ 0,7 %;+ 0,7 %;+ 12,0 %
Abril 2019;2.251 €/m2;- 0,2 %;+ 0,8 %;+ 13,3 %
Marzo 2019;2.256 €/m2;+ 0,2 %;+ 5,8 %;+ 16,9 %
Febrero 2019;2.251 €/m2;+ 0,8 %;+ 5,2 %;+ 17,1 %
Enero 2019;2.234 €/m2;+ 4,8 %;+ 6,5 %;+ 20,9 %
Diciembre 2018;2.132 €/m2;- 0,3 %;+ 2,2 %;+ 17,9 %
Noviembre 2018;2.139 €/m2;+ 2,0 %;+ 2,1 %;+ 21,6 %
Octubre 2018;2.097 €/m2;+ 0,5 %;+ 0,9 %;+ 19,5 %
Septiembre 2018;2.086 €/m2;- 0,4 %;+ 0,8 %;+ 22,1 %
Agosto 2018;2.095 €/m2;+ 0,8 %;+ 3,5 %;+ 25,0 %
Julio 2018;2.078 €/m2;+ 0,4 %;+ 4,6 %;+ 26,5 %
Junio 2018;2.069 €/m2;+ 2,3 %;+ 7,2 %;+ 28,7 %
Mayo 2018;2.024 €/m2;+ 1,9 %;+ 5,3 %;+ 21,8 %
Abril 2018;1.986 €/m2;+ 2,9 %;+ 7,5 %;+ 18,2 %
Marzo 2018;1.930 €/m2;+ 0,4 %;+ 6,7 %;+ 14,8 %
