Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;3.253 €/m2;+ 0,3 %;- 1,3 %;+ 7,3 %
Enero 2023;3.243 €/m2;- 0,4 %;- 1,4 %;+ 8,3 %
Diciembre 2022;3.255 €/m2;- 1,2 %;- 1,0 %;+ 9,7 %
Noviembre 2022;3.295 €/m2;+ 0,1 %;+ 2,1 %;+ 11,4 %
Octubre 2022;3.290 €/m2;0,0 %;+ 3,9 %;+ 11,9 %
Septiembre 2022;3.288 €/m2;+ 1,9 %;+ 5,5 %;+ 11,6 %
Agosto 2022;3.226 €/m2;+ 1,9 %;+ 4,6 %;+ 8,2 %
Julio 2022;3.167 €/m2;+ 1,6 %;+ 3,8 %;+ 5,4 %
Junio 2022;3.117 €/m2;+ 1,0 %;+ 3,2 %;+ 4,4 %
Mayo 2022;3.085 €/m2;+ 1,1 %;+ 1,8 %;+ 4,8 %
Abril 2022;3.052 €/m2;+ 1,1 %;+ 1,9 %;+ 4,1 %
Marzo 2022;3.020 €/m2;- 0,4 %;+ 1,7 %;+ 2,4 %
Febrero 2022;3.031 €/m2;+ 1,2 %;+ 2,5 %;+ 3,1 %
Enero 2022;2.995 €/m2;+ 0,9 %;+ 1,9 %;+ 2,7 %
Diciembre 2021;2.969 €/m2;+ 0,4 %;+ 0,7 %;+ 1,9 %
Noviembre 2021;2.957 €/m2;+ 0,5 %;- 0,8 %;+ 1,4 %
Octubre 2021;2.940 €/m2;- 0,2 %;- 2,1 %;- 0,3 %
Septiembre 2021;2.947 €/m2;- 1,1 %;- 1,3 %;- 0,5 %
Agosto 2021;2.981 €/m2;- 0,8 %;+ 1,2 %;+ 1,2 %
Julio 2021;3.004 €/m2;+ 0,6 %;+ 2,4 %;+ 2,1 %
Junio 2021;2.985 €/m2;+ 1,4 %;+ 1,2 %;+ 0,8 %
Mayo 2021;2.945 €/m2;+ 0,4 %;+ 0,2 %;- 2,5 %
Abril 2021;2.933 €/m2;- 0,5 %;+ 0,6 %;- 2,3 %
Marzo 2021;2.949 €/m2;+ 0,3 %;+ 1,3 %;- 2,8 %
Febrero 2021;2.940 €/m2;+ 0,8 %;+ 0,9 %;- 3,2 %
Enero 2021;2.916 €/m2;+ 0,1 %;- 1,2 %;- 3,4 %
Diciembre 2020;2.912 €/m2;- 0,1 %;- 1,7 %;- 4,1 %
Noviembre 2020;2.915 €/m2;- 1,2 %;- 1,0 %;- 4,4 %
Octubre 2020;2.950 €/m2;- 0,4 %;+ 0,3 %;- 4,4 %
Septiembre 2020;2.961 €/m2;+ 0,5 %;0,0 %;- 4,5 %
Agosto 2020;2.946 €/m2;+ 0,1 %;- 2,5 %;- 6,2 %
Julio 2020;2.942 €/m2;- 0,6 %;- 2,0 %;- 5,3 %
Junio 2020;2.961 €/m2;- 2,0 %;- 2,4 %;- 3,6 %
Mayo 2020;3.021 €/m2;+ 0,6 %;- 0,5 %;- 1,7 %
Abril 2020;3.003 €/m2;- 1,0 %;- 0,6 %;- 1,4 %
Marzo 2020;3.034 €/m2;- 0,1 %;0,0 %;+ 0,5 %
Febrero 2020;3.036 €/m2;+ 0,5 %;- 0,5 %;+ 1,0 %
Enero 2020;3.020 €/m2;- 0,5 %;- 2,1 %;+ 0,5 %
Diciembre 2019;3.035 €/m2;- 0,5 %;- 2,1 %;+ 1,5 %
Noviembre 2019;3.051 €/m2;- 1,1 %;- 2,9 %;+ 3,3 %
Octubre 2019;3.086 €/m2;- 0,5 %;- 0,7 %;+ 4,9 %
Septiembre 2019;3.102 €/m2;- 1,3 %;+ 0,9 %;+ 6,7 %
Agosto 2019;3.142 €/m2;+ 1,1 %;+ 2,3 %;+ 7,9 %
Julio 2019;3.108 €/m2;+ 1,2 %;+ 2,0 %;+ 7,8 %
Junio 2019;3.073 €/m2;0,0 %;+ 1,8 %;+ 8,3 %
Mayo 2019;3.073 €/m2;+ 0,9 %;+ 2,2 %;+ 9,8 %
Abril 2019;3.046 €/m2;+ 0,9 %;+ 1,4 %;+ 9,9 %
Marzo 2019;3.020 €/m2;+ 0,5 %;+ 1,0 %;+ 11,0 %
Febrero 2019;3.006 €/m2;0,0 %;+ 1,8 %;+ 13,3 %
Enero 2019;3.005 €/m2;+ 0,5 %;+ 2,2 %;+ 16,4 %
Diciembre 2018;2.990 €/m2;+ 1,2 %;+ 2,9 %;+ 16,6 %
Noviembre 2018;2.953 €/m2;+ 0,4 %;+ 1,4 %;+ 14,4 %
Octubre 2018;2.941 €/m2;+ 1,2 %;+ 2,0 %;+ 13,6 %
