Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;5.300 €/m2;+ 1,0 %;+ 1,5 %;+ 6,3 %
Enero 2023;5.246 €/m2;+ 0,8 %;+ 0,5 %;+ 7,1 %
Diciembre 2022;5.205 €/m2;- 0,3 %;+ 0,4 %;+ 7,5 %
Noviembre 2022;5.220 €/m2;0,0 %;+ 0,9 %;+ 7,3 %
Octubre 2022;5.218 €/m2;+ 0,6 %;+ 0,9 %;+ 8,1 %
Septiembre 2022;5.187 €/m2;+ 0,3 %;+ 0,2 %;+ 8,0 %
Agosto 2022;5.172 €/m2;0,0 %;+ 0,5 %;+ 7,2 %
Julio 2022;5.171 €/m2;- 0,1 %;+ 1,7 %;+ 7,9 %
Junio 2022;5.175 €/m2;+ 0,5 %;+ 2,6 %;+ 8,9 %
Mayo 2022;5.149 €/m2;+ 1,3 %;+ 3,2 %;+ 7,2 %
Abril 2022;5.084 €/m2;+ 0,8 %;+ 3,8 %;+ 5,7 %
Marzo 2022;5.043 €/m2;+ 1,1 %;+ 4,1 %;+ 4,0 %
Febrero 2022;4.987 €/m2;+ 1,8 %;+ 2,5 %;+ 3,2 %
Enero 2022;4.896 €/m2;+ 1,1 %;+ 1,4 %;+ 1,1 %
Diciembre 2021;4.844 €/m2;- 0,5 %;+ 0,9 %;- 0,4 %
Noviembre 2021;4.867 €/m2;+ 0,8 %;+ 0,8 %;- 0,2 %
Octubre 2021;4.827 €/m2;+ 0,5 %;+ 0,7 %;- 1,7 %
Septiembre 2021;4.802 €/m2;- 0,5 %;+ 1,1 %;- 2,7 %
Agosto 2021;4.827 €/m2;+ 0,7 %;+ 0,5 %;- 2,7 %
Julio 2021;4.793 €/m2;+ 0,9 %;- 0,3 %;- 3,8 %
Junio 2021;4.752 €/m2;- 1,0 %;- 2,0 %;- 6,1 %
Mayo 2021;4.802 €/m2;- 0,1 %;- 0,6 %;- 5,4 %
Abril 2021;4.809 €/m2;- 0,8 %;- 0,7 %;- 5,0 %
Marzo 2021;4.849 €/m2;+ 0,4 %;- 0,3 %;- 3,5 %
Febrero 2021;4.830 €/m2;- 0,2 %;- 1,0 %;- 5,1 %
Enero 2021;4.841 €/m2;- 0,5 %;- 1,4 %;- 5,0 %
Diciembre 2020;4.865 €/m2;- 0,3 %;- 1,4 %;- 3,8 %
Noviembre 2020;4.878 €/m2;- 0,6 %;- 1,7 %;- 3,3 %
Octubre 2020;4.909 €/m2;- 0,5 %;- 1,4 %;- 2,0 %
Septiembre 2020;4.934 €/m2;- 0,6 %;- 2,5 %;- 1,2 %
Agosto 2020;4.963 €/m2;- 0,4 %;- 2,2 %;- 0,6 %
Julio 2020;4.981 €/m2;- 1,6 %;- 1,6 %;- 1,3 %
Junio 2020;5.061 €/m2;- 0,3 %;+ 0,7 %;+ 0,6 %
Mayo 2020;5.075 €/m2;+ 0,3 %;- 0,2 %;+ 1,7 %
Abril 2020;5.062 €/m2;+ 0,7 %;- 0,7 %;+ 0,5 %
Marzo 2020;5.026 €/m2;- 1,2 %;- 0,7 %;- 0,8 %
Febrero 2020;5.088 €/m2;- 0,2 %;+ 0,9 %;+ 1,1 %
Enero 2020;5.096 €/m2;+ 0,7 %;+ 1,7 %;+ 2,2 %
Diciembre 2019;5.059 €/m2;+ 0,3 %;+ 1,3 %;+ 1,7 %
Noviembre 2019;5.043 €/m2;+ 0,7 %;+ 1,0 %;+ 1,2 %
Octubre 2019;5.010 €/m2;+ 0,3 %;- 0,7 %;+ 0,8 %
Septiembre 2019;4.994 €/m2;0,0 %;- 0,8 %;+ 0,4 %
Agosto 2019;4.993 €/m2;- 1,0 %;0,0 %;+ 0,1 %
Julio 2019;5.044 €/m2;+ 0,3 %;+ 0,2 %;+ 1,2 %
Junio 2019;5.031 €/m2;+ 0,8 %;- 0,7 %;+ 2,2 %
Mayo 2019;4.991 €/m2;- 0,9 %;- 0,8 %;+ 2,3 %
Abril 2019;5.034 €/m2;- 0,7 %;+ 0,9 %;+ 4,5 %
Marzo 2019;5.069 €/m2;+ 0,7 %;+ 1,9 %;+ 7,1 %
Febrero 2019;5.033 €/m2;+ 0,9 %;+ 1,0 %;+ 8,1 %
Enero 2019;4.987 €/m2;+ 0,3 %;+ 0,3 %;+ 8,1 %
Diciembre 2018;4.973 €/m2;- 0,2 %;0,0 %;+ 8,5 %
Noviembre 2018;4.985 €/m2;+ 0,3 %;0,0 %;+ 12,0 %
Octubre 2018;4.971 €/m2;- 0,1 %;- 0,2 %;+ 13,1 %
Septiembre 2018;4.975 €/m2;- 0,2 %;+ 1,1 %;+ 15,1 %
Agosto 2018;4.986 €/m2;+ 0,1 %;+ 2,2 %;+ 16,7 %
Julio 2018;4.983 €/m2;+ 1,2 %;+ 3,4 %;+ 18,9 %
Junio 2018;4.921 €/m2;+ 0,8 %;+ 4,0 %;+ 20,4 %
Mayo 2018;4.880 €/m2;+ 1,3 %;+ 4,8 %;+ 22,0 %
Abril 2018;4.818 €/m2;+ 1,8 %;+ 4,5 %;+ 23,1 %
Marzo 2018;4.731 €/m2;+ 1,6 %;+ 3,3 %;+ 22,8 %
Febrero 2018;4.655 €/m2;+ 1,0 %;+ 4,6 %;+ 22,8 %
Enero 2018;4.611 €/m2;+ 0,6 %;+ 4,9 %;+ 22,5 %
