Anio;Periodo;CodigoDistrito;NombreDistrito;CodigoBarrio;NombreBarrio;DatoPoblacion;DatoPoblacionMenor16;DatoPoblacionEntre16y64;DatoPoblacionMayor65;DatoSobreEnvejecimiento;DatoSobreenvejecimientoHombres;DatoSobreenvejecimientoMujeres;DatoFeminidad;DatoNacionalidadExtranjera;DatoParadosRegistrados;DatoParadosRegistradosHombres;DatoParadosRegistradosMujer;DatoAfiliacionesTrabajo;DatoAfiliacionesTrabajoHombres;DatoAfiliacionesTrabajoMujer;DatoAfiliacionesResidencia;DatoAfiliacionesResidenciaHombres;DatoAfiliacionesResidenciaMujer;DatoAutonomo;DatoAutonomosHombres;DatoAutonomosMujer
2017;Anual;19;Vicálvaro;194;El Cañaveral;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.0;18;20;0.0;0;0;0.0;0;0;0.0;0;0
2018;Anual;19;Vicálvaro;194;El Cañaveral;945;20.74;75.45;3.81;13.89;14.3;13.3;92.9;8.25;51.0;18;33;31.0;23;8;131.0;64;67;9.0;5;4
2019;Anual;19;Vicálvaro;194;El Cañaveral;1530;24.71;72.09;3.2;10.2;6.9;15.0;94.9;8.43;74.0;21;53;133.0;117;16;385.0;206;179;20.0;11;9
2020;Anual;19;Vicálvaro;194;El Cañaveral;2398;24.44;72.39;3.17;7.9;5.1;10.8;95.0;7.55;156.0;46;110;114.0;77;37;838.0;449;389;42.0;28;14
2021;Anual;19;Vicálvaro;194;El Cañaveral;4430;23.45;73.93;2.62;12.9;7.5;17.5;96.5;9.26;252.0;88;164;152.0;90;62;874.0;475;399;60.0;41;19
2022;Anual;19;Vicálvaro;194;El Cañaveral;8944;23.05;74.65;2.29;16.6;12.6;20.0;97.7;11.31;343.0;110;233;314.0;173;141;2627.0;1.382;1.245;117.0;79;38
2005;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;44049;20.29;71.66;8.06;18.16;13.3;22.2;100.5;10.53;;;;;;;;;;;;
2006;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;46542;20.53;71.21;8.26;18.02;13.6;21.6;100.4;11.72;;;;;;;;;;;;
2007;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;46007;21.08;70.52;8.41;18.77;15.1;21.7;101.0;11.9;;;;;;;;;;;;
2008;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;48009;21.53;69.99;8.48;19.34;15.5;22.5;101.2;13.01;;;;;;;;;;;;
