Anio;Periodo;CodigoDistrito;NombreDistrito;CodigoBarrio;NombreBarrio;DatoPoblacion;DatoPoblacionMenor16;DatoPoblacionEntre16y64;DatoPoblacionMayor65;DatoSobreEnvejecimiento;DatoSobreenvejecimientoHombres;DatoSobreenvejecimientoMujeres;DatoFeminidad;DatoNacionalidadExtranjera;DatoParadosRegistrados;DatoParadosRegistradosHombres;DatoParadosRegistradosMujer;DatoAfiliacionesTrabajo;DatoAfiliacionesTrabajoHombres;DatoAfiliacionesTrabajoMujer;DatoAfiliacionesResidencia;DatoAfiliacionesResidenciaHombres;DatoAfiliacionesResidenciaMujer;DatoAutonomo;DatoAutonomosHombres;DatoAutonomosMujer
2009;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;49157;21.94;69.32;8.74;20.38;16.7;23.4;101.0;13.49;;;;;;;;;;;;
2010;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;49768;22.13;68.86;9.0;20.69;17.5;23.3;101.0;13.68;;;;3801.0;2.371;1.430;;;;1070.0;731;339
2011;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;50402;22.39;68.31;9.29;21.39;18.3;23.9;101.9;13.57;;;;3833.0;2.396;1.437;;;;1008.0;701;307
2012;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;50620;22.77;67.67;9.57;22.45;19.8;24.6;102.8;12.49;4064.0;1.893;2.171;3707.0;2.287;1.420;;;;899.0;615;284
2013;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;50686;22.86;67.27;9.87;23.79;21.2;25.8;104.5;11.48;; - ; - ;4121.0;2.231;1.890;19133.0;9.812;9.321;983.0;675;308
2014;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;50632;22.87;66.93;10.2;24.7;22.9;26.1;105.3;10.21;4022.0;1.837;2.185;4783.0;2.713;2.070;17105.0;8.659;8.446;1082.0;741;341
2015;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;50726;22.6;66.85;10.54;25.61;23.9;26.9;105.4;9.32;3683.0;1.621;2.062;5275.0;2.927;2.348;17267.0;8.748;8.519;1130.0;769;361
2016;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;51238;22.24;66.98;10.78;26.88;25.5;27.9;105.3;9.37;3381.0;1.447;1.934;5757.0;3.228;2.529;20453.0;10.330;10.123;1194.0;812;382
2017;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;51580;21.59;67.42;10.99;28.01;25.8;29.7;105.4;9.36;2611.0;1.244;1.367;5801.0;3.274;2.527;21261.0;10.775;10.486;1266.0;862;404
2018;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;34200;15.02;62.94;22.04;35.59;35.3;35.8;106.2;18.85;2404.0;1.104;1.300;4456.0;2.918;1.538;12291.0;6.195;6.096;1002.0;705;297
2019;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;34816;15.05;63.6;21.35;37.1;37.2;37.0;107.5;19.77;2369.0;1.112;1.257;5330.0;3.637;1.693;12909.0;6.535;6.374;1184.0;859;325
2020;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;35666;14.9;64.31;20.79;37.5;37.6;37.5;107.1;20.87;3030.0;1.375;1.655;6313.0;4.445;1.868;13277.0;6.693;6.584;1251.0;895;356
2021;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;35548;14.77;64.79;20.44;40.7;40.9;40.5;107.4;21.5;2588.0;1.206;1.382;6544.0;4.718;1.826;13652.0;6.894;6.758;1209.0;870;339
2022;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;35086;14.56;65.13;20.32;41.3;41.4;41.2;107.3;21.19;2135.0;955;1.180;7197.0;5.116;2.081;13710.0;6.846;6.864;1186.0;853;333
2005;Anual;8;Fuencarral - El Pardo;81;El Pardo;3908;9.19;61.26;29.55;27.88;26.1;29.0;110.9;1.74;;;;;;;;;;;;
2006;Anual;8;Fuencarral - El Pardo;81;El Pardo;3867;9.1;61.0;29.89;30.02;27.5;31.7;110.5;2.64;;;;;;;;;;;;
2007;Anual;8;Fuencarral - El Pardo;81;El Pardo;3753;9.14;60.19;30.67;33.19;31.4;34.4;110.7;3.12;;;;;;;;;;;;
2008;Anual;8;Fuencarral - El Pardo;81;El Pardo;3657;9.54;59.67;30.79;34.1;32.9;34.9;113.5;3.17;;;;;;;;;;;;
2009;Anual;8;Fuencarral - El Pardo;81;El Pardo;3583;9.57;60.28;30.14;35.19;33.0;36.6;114.3;4.05;;;;;;;;;;;;
2010;Anual;8;Fuencarral - El Pardo;81;El Pardo;3519;9.35;60.67;29.98;36.59;33.4;38.7;112.8;3.78;;;;236.0;160;76;;;;91.0;63;28
2011;Anual;8;Fuencarral - El Pardo;81;El Pardo;3465;9.9;59.86;30.25;39.5;35.7;41.9;112.6;3.87;;;;241.0;158;83;;;;84.0;53;31
2012;Anual;8;Fuencarral - El Pardo;81;El Pardo;3461;10.31;60.33;29.36;39.67;36.4;41.7;111.9;3.87;187.0;80;107;218.0;144;74;;;;73.0;49;24
2013;Anual;8;Fuencarral - El Pardo;81;El Pardo;3474;10.33;60.71;28.96;40.46;37.1;42.5;108.1;3.8;174.0;74;100;281.0;158;123;1093.0;551;542;68.0;48;20
2014;Anual;8;Fuencarral - El Pardo;81;El Pardo;3446;10.62;61.32;28.06;41.57;37.5;43.9;108.0;3.42;187.0;83;104;282.0;148;134;988.0;494;494;73.0;54;19
2015;Anual;8;Fuencarral - El Pardo;81;El Pardo;3424;10.63;61.54;27.83;43.02;39.5;45.1;105.0;3.01;180.0;75;105;267.0;138;129;980.0;486;494;77.0;52;25
2016;Anual;8;Fuencarral - El Pardo;81;El Pardo;3375;10.76;62.01;27.23;46.14;43.0;48.1;103.2;3.05;166.0;70;96;279.0;143;136;1085.0;562;523;76.0;53;23
2017;Anual;8;Fuencarral - El Pardo;81;El Pardo;3394;11.46;61.96;26.58;46.56;43.7;48.3;104.2;2.98;147.0;60;87;285.0;154;131;1117.0;569;548;89.0;59;30
2018;Anual;8;Fuencarral - El Pardo;81;El Pardo;3456;11.78;61.98;26.24;46.53;42.2;49.1;104.6;3.44;132.0;56;76;273.0;141;132;1148.0;579;569;75.0;50;25
2019;Anual;8;Fuencarral - El Pardo;81;El Pardo;3454;11.78;62.51;25.71;47.2;42.7;49.9;102.7;4.08;133.0;59;74;298.0;158;140;1194.0;600;594;101.0;65;36
2020;Anual;8;Fuencarral - El Pardo;81;El Pardo;3472;11.98;62.7;25.32;46.1;41.8;48.6;101.4;4.18;163.0;70;93;315.0;166;149;1253.0;653;600;99.0;65;34
2021;Anual;8;Fuencarral - El Pardo;81;El Pardo;3443;12.0;63.26;24.75;44.5;39.5;47.5;99.8;5.0;148.0;67;81;319.0;166;153;1253.0;671;582;102.0;64;38
2022;Anual;8;Fuencarral - El Pardo;81;El Pardo;3382;12.21;63.04;24.75;44.6;39.9;47.3;101.0;4.82;119.0;58;61;335.0;175;160;1324.0;711;613;96.0;65;31
2005;Anual;8;Fuencarral - El Pardo;88;El Goloso;2228;10.46;34.16;55.39;68.4;55.5;74.5;145.1;11.27;;;;;;;;;;;;
2006;Anual;8;Fuencarral - El Pardo;88;El Goloso;3566;17.78;48.54;33.68;67.53;53.2;75.0;122.0;9.9;;;;;;;;;;;;
2007;Anual;8;Fuencarral - El Pardo;88;El Goloso;5680;20.85;57.01;22.15;66.61;52.5;73.7;117.0;8.68;;;;;;;;;;;;
2008;Anual;8;Fuencarral - El Pardo;88;El Goloso;8028;23.17;60.46;16.37;63.85;48.6;71.4;111.3;9.29;;;;;;;;;;;;
2009;Anual;8;Fuencarral - El Pardo;88;El Goloso;9901;25.8;60.88;13.32;63.08;47.4;70.5;112.2;10.36;;;;;;;;;;;;
2010;Anual;8;Fuencarral - El Pardo;88;El Goloso;11118;28.01;60.93;11.06;60.89;42.7;69.3;111.3;9.74;;;;561.0;264;297;;;;153.0;90;63
2011;Anual;8;Fuencarral - El Pardo;88;El Goloso;12413;28.3;60.76;10.94;61.63;43.3;70.3;108.8;9.23;;;;788.0;388;400;;;;185.0;107;78
2012;Anual;8;Fuencarral - El Pardo;88;El Goloso;13774;30.01;60.06;9.93;58.7;42.5;66.9;107.1;7.48;496.0;197;299;1522.0;791;731;;;;186.0;112;74
2013;Anual;8;Fuencarral - El Pardo;88;El Goloso;14765;31.08;59.52;9.4;57.13;41.2;65.5;105.8;6.85;523.0;208;315;2460.0;902;1.558;5933.0;2.973;2.960;226.0;135;91
2014;Anual;8;Fuencarral - El Pardo;88;El Goloso;15427;31.94;58.88;9.17;56.61;41.9;64.8;104.7;5.76;502.0;190;312;2674.0;938;1.736;4782.0;2.392;2.390;306.0;187;119
2015;Anual;8;Fuencarral - El Pardo;88;El Goloso;16173;33.01;58.39;8.6;55.64;40.2;64.2;102.8;4.98;442.0;175;267;2953.0;1.078;1.875;4853.0;2.423;2.430;394.0;233;161
2016;Anual;8;Fuencarral - El Pardo;88;El Goloso;16800;33.52;58.14;8.34;53.46;39.6;61.4;102.0;4.78;409.0;151;258;3548.0;1.372;2.176;6663.0;3.351;3.312;466.0;280;186
2017;Anual;8;Fuencarral - El Pardo;88;El Goloso;17414;33.43;58.21;8.36;53.64;41.8;60.4;102.2;4.81;399.0;165;234;3986.0;1.585;2.401;7210.0;3.637;3.573;517.0;313;204
2018;Anual;8;Fuencarral - El Pardo;88;El Goloso;17950;33.28;58.53;8.19;50.61;38.1;57.7;102.8;5.02;375.0;134;241;4146.0;1.621;2.525;7236.0;3.635;3.601;335.0;221;114
2019;Anual;8;Fuencarral - El Pardo;88;El Goloso;18511;33.29;58.8;7.91;50.0;38.6;56.7;102.8;5.37;412.0;166;246;4978.0;1.980;2.998;7602.0;3.802;3.800;652.0;382;270
2020;Anual;8;Fuencarral - El Pardo;88;El Goloso;19042;32.27;60.06;7.67;49.2;39.6;54.7;102.8;6.07;515.0;215;300;4862.0;1.999;2.863;7848.0;3.896;3.952;682.0;404;278
2021;Anual;8;Fuencarral - El Pardo;88;El Goloso;18928;31.5;61.39;7.11;43.9;34.3;49.5;102.5;6.01;459.0;163;296;4813.0;1.975;2.838;8096.0;4.011;4.085;656.0;385;271
2022;Anual;8;Fuencarral - El Pardo;88;El Goloso;19075;30.12;61.82;8.06;44.6;34.7;50.8;102.3;6.25;364.0;139;225;5854.0;2.187;3.667;8272.0;4.113;4.159;671.0;394;277
2005;Anual;8;Fuencarral - El Pardo;86;Valverde;34788;15.65;64.78;19.56;24.13;21.5;25.8;114.2;9.88;;;;;;;;;;;;
2006;Anual;8;Fuencarral - El Pardo;86;Valverde;37044;15.94;65.46;18.59;25.58;22.2;27.7;113.7;11.09;;;;;;;;;;;;
2007;Anual;8;Fuencarral - El Pardo;86;Valverde;39707;16.91;65.92;17.16;27.64;24.6;29.6;112.5;11.67;;;;;;;;;;;;
2008;Anual;8;Fuencarral - El Pardo;86;Valverde;44695;18.34;66.43;15.24;29.56;26.3;31.6;111.7;13.61;;;;;;;;;;;;
2009;Anual;8;Fuencarral - El Pardo;86;Valverde;48556;19.35;66.55;14.11;30.98;27.2;33.3;110.8;14.71;;;;;;;;;;;;
2010;Anual;8;Fuencarral - El Pardo;86;Valverde;51684;20.35;66.21;13.44;33.27;29.8;35.4;111.0;14.72;;;;29023.0;16.731;12.292;;;;1437.0;964;473
2011;Anual;8;Fuencarral - El Pardo;86;Valverde;53758;21.14;65.99;12.88;35.34;32.5;37.1;110.7;14.15;;;;30471.0;17.922;12.549;;;;1462.0;970;492
2012;Anual;8;Fuencarral - El Pardo;86;Valverde;55131;21.99;65.4;12.61;37.31;35.0;38.7;110.4;12.65;3614.0;1.730;1.884;30841.0;17.502;13.339;;;;1298.0;849;449
2013;Anual;8;Fuencarral - El Pardo;86;Valverde;56052;22.83;64.64;12.53;38.31;36.1;39.7;111.2;11.46;3547.0;1.668;1.879;31498.0;16.633;14.865;22716.0;11.108;11.608;1402.0;902;500
2014;Anual;8;Fuencarral - El Pardo;86;Valverde;56346;23.33;64.24;12.43;39.98;37.1;41.8;110.7;10.37;3366.0;1.559;1.807;32480.0;16.975;15.505;20572.0;10.096;10.476;1642.0;1.063;579
2015;Anual;8;Fuencarral - El Pardo;86;Valverde;57074;23.85;63.86;12.28;41.01;37.2;43.4;110.6;9.37;3040.0;1.363;1.677;34266.0;18.073;16.193;20637.0;10.119;10.518;1771.0;1.125;646
2016;Anual;8;Fuencarral - El Pardo;86;Valverde;58731;24.14;63.73;12.13;40.98;36.6;43.7;110.7;9.35;2817.0;1.214;1.603;37295.0;20.090;17.205;23031.0;11.228;11.803;1812.0;1.140;672
2017;Anual;8;Fuencarral - El Pardo;86;Valverde;60011;24.42;63.62;11.96;41.24;36.6;44.1;110.2;9.94;2733.0;1.174;1.559;38860.0;21.162;17.698;25400.0;12.418;12.982;2005.0;1.229;776
2018;Anual;8;Fuencarral - El Pardo;86;Valverde;61941;24.38;63.86;11.77;40.21;35.4;43.2;110.1;10.79;2488.0;1.036;1.452;39070.0;21.171;17.899;25474.0;12.410;13.064;1655.0;1.068;587
2019;Anual;8;Fuencarral - El Pardo;86;Valverde;63201;24.09;64.15;11.76;39.1;34.1;42.3;110.5;11.7;2511.0;1.041;1.470;45319.0;24.939;20.380;26698.0;12.934;13.764;2370.0;1.479;891
2020;Anual;8;Fuencarral - El Pardo;86;Valverde;64668;23.75;64.6;11.65;37.2;31.6;40.8;110.2;12.65;3268.0;1.367;1.901;48064.0;26.851;21.213;27189.0;13.275;13.914;2479.0;1.542;937
2021;Anual;8;Fuencarral - El Pardo;86;Valverde;64042;23.27;64.92;11.81;36.1;30.8;39.5;109.9;12.73;2791.0;1.166;1.625;46402.0;26.095;20.307;27247.0;13.308;13.939;2426.0;1.519;907
2022;Anual;8;Fuencarral - El Pardo;86;Valverde;63651;22.58;65.35;12.08;34.7;29.8;37.7;109.9;12.6;2192.0;906;1.286;63103.0;35.093;28.010;27808.0;13.563;14.245;2413.0;1.499;914
2005;Anual;8;Fuencarral - El Pardo;87;Mirasierra;27091;22.97;69.98;7.07;19.72;13.4;25.3;106.3;8.04;;;;;;;;;;;;
2006;Anual;8;Fuencarral - El Pardo;87;Mirasierra;27280;22.68;69.7;7.61;18.55;13.3;23.1;106.5;8.45;;;;;;;;;;;;
2007;Anual;8;Fuencarral - El Pardo;87;Mirasierra;27409;22.92;68.74;8.33;18.83;12.9;24.0;106.9;8.1;;;;;;;;;;;;
2008;Anual;8;Fuencarral - El Pardo;87;Mirasierra;27778;22.69;68.39;8.91;18.9;13.3;23.8;108.2;8.46;;;;;;;;;;;;
2009;Anual;8;Fuencarral - El Pardo;87;Mirasierra;28450;22.57;67.86;9.57;19.1;14.0;23.5;108.4;8.55;;;;;;;;;;;;
2010;Anual;8;Fuencarral - El Pardo;87;Mirasierra;28798;22.62;67.22;10.15;19.36;14.8;23.2;108.7;8.35;;;;5154.0;2.403;2.751;;;;790.0;460;330
2011;Anual;8;Fuencarral - El Pardo;87;Mirasierra;29072;22.42;66.66;10.92;19.16;14.3;23.3;109.8;8.26;;;;5126.0;2.375;2.751;;;;813.0;474;339
2012;Anual;8;Fuencarral - El Pardo;87;Mirasierra;29041;22.09;66.22;11.69;19.44;14.9;23.3;109.8;6.96;1126.0;498;628;4971.0;2.265;2.706;;;;702.0;415;287
2013;Anual;8;Fuencarral - El Pardo;87;Mirasierra;28939;21.63;65.83;12.54;19.87;15.2;23.9;110.5;6.21;1092.0;483;609;7920.0;2.676;5.244;10007.0;4.937;5.070;769.0;448;321
2014;Anual;8;Fuencarral - El Pardo;87;Mirasierra;28800;21.45;65.18;13.36;19.64;15.4;23.2;109.9;5.6;1013.0;449;564;8439.0;2.861;5.578;9398.0;4.632;4.766;897.0;535;362
2015;Anual;8;Fuencarral - El Pardo;87;Mirasierra;28911;21.27;64.7;14.03;20.14;16.5;23.2;110.0;4.82;940.0;399;541;8829.0;2.957;5.872;9518.0;4.680;4.838;990.0;576;414
2016;Anual;8;Fuencarral - El Pardo;87;Mirasierra;29519;21.31;64.23;14.46;20.6;17.6;23.1;110.4;4.82;881.0;377;504;9039.0;3.031;6.008;10480.0;5.165;5.315;1031.0;615;416
2017;Anual;8;Fuencarral - El Pardo;87;Mirasierra;30868;21.53;64.05;14.42;21.66;19.1;23.8;109.7;4.75;842.0;350;492;10697.0;3.993;6.704;11857.0;5.847;6.010;1089.0;655;434
2018;Anual;8;Fuencarral - El Pardo;87;Mirasierra;32058;21.55;64.02;14.42;22.23;20.3;23.9;109.1;4.83;843.0;343;500;10776.0;4.079;6.697;12047.0;5.931;6.116;967.0;579;388
2019;Anual;8;Fuencarral - El Pardo;87;Mirasierra;32898;21.75;63.76;14.49;22.8;20.9;24.3;109.5;4.92;825.0;349;476;13034.0;4.332;8.702;12831.0;6.383;6.448;1244.0;738;506
2020;Anual;8;Fuencarral - El Pardo;87;Mirasierra;34046;21.87;63.39;14.74;23.0;21.1;24.6;109.9;5.25;1052.0;441;611;12442.0;4.119;8.323;13236.0;6.585;6.651;1320.0;797;523
2021;Anual;8;Fuencarral - El Pardo;87;Mirasierra;34565;21.95;62.91;15.14;23.5;21.6;25.1;109.2;;960.0;383;577;12320.0;4.173;8.147;13503.0;6.656;6.847;1292.0;804;488
2022;Anual;8;Fuencarral - El Pardo;87;Mirasierra;35240;22.14;62.45;15.41;24.5;22.8;26.0;108.3;;726.0;288;438;17030.0;7.098;9.932;14020.0;6.928;7.092;1307.0;809;498
2005;Anual;16;Hortaleza;166;Valdefuentes;14801;22.16;70.54;7.33;38.03;24.2;46.8;104.6;8.79;;;;;;;;;;;;
2006;Anual;16;Hortaleza;166;Valdefuentes;19179;23.05;70.8;6.15;34.44;19.9;44.3;104.8;10.69;;;;;;;;;;;;
2007;Anual;16;Hortaleza;166;Valdefuentes;24146;24.22;70.25;5.53;33.11;18.5;43.4;105.8;11.62;;;;;;;;;;;;
2008;Anual;16;Hortaleza;166;Valdefuentes;30102;24.74;69.96;5.3;31.45;18.1;41.4;105.7;12.38;;;;;;;;;;;;
2009;Anual;16;Hortaleza;166;Valdefuentes;33448;25.21;69.51;5.29;29.92;17.3;39.4;105.0;12.29;;;;;;;;;;;;
2010;Anual;16;Hortaleza;166;Valdefuentes;36154;25.6;69.04;5.36;26.83;15.9;35.4;105.4;11.83;;;;25731.0;15.837;9.894;;;;842.0;533;309
2011;Anual;16;Hortaleza;166;Valdefuentes;38212;26.46;67.88;5.66;28.34;17.6;36.5;105.2;11.33;;;;33360.0;18.621;14.739;;;;906.0;573;333
2012;Anual;16;Hortaleza;166;Valdefuentes;39754;26.94;67.17;5.89;27.69;17.8;35.2;104.9;10.54;2198.0;951;1.247;37261.0;19.768;17.493;;;;841.0;538;303
2013;Anual;16;Hortaleza;166;Valdefuentes;40987;27.36;66.5;6.14;27.28;18.4;34.2;104.6;9.73;2221.0;955;1.266;40614.0;19.240;21.374;16356.0;8.275;8.081;912.0;571;341
2014;Anual;16;Hortaleza;166;Valdefuentes;41893;27.57;66.02;6.41;25.83;18.8;31.4;104.0;8.8;2155.0;902;1.253;41630.0;19.255;22.375;15644.0;7.915;7.729;1124.0;702;422
2015;Anual;16;Hortaleza;166;Valdefuentes;45399;27.4;66.07;6.53;25.85;18.6;31.5;104.1;7.94;2025.0;826;1.199;43581.0;20.382;23.199;15659.0;7.925;7.734;1284.0;795;489
2016;Anual;16;Hortaleza;166;Valdefuentes;48722;27.4;65.99;6.62;24.16;17.5;29.4;103.8;8.05;1920.0;781;1.139;44472.0;21.195;23.277;16965.0;8.607;8.358;1406.0;874;532
2017;Anual;16;Hortaleza;166;Valdefuentes;51666;27.4;65.69;6.92;23.98;18.4;28.5;103.0;8.29;1883.0;748;1.135;44835.0;20.707;24.128;23094.0;11.756;11.338;1599.0;988;611
2018;Anual;16;Hortaleza;166;Valdefuentes;54297;27.39;65.5;7.11;23.0;17.7;27.4;103.3;8.78;1751.0;694;1.057;49268.0;23.173;26.095;23216.0;11.784;11.432;1314.0;809;505
2019;Anual;16;Hortaleza;166;Valdefuentes;57879;27.31;65.38;7.31;22.5;17.5;26.6;104.2;9.54;1868.0;744;1.124;52733.0;24.826;27.907;24625.0;12.463;12.162;2100.0;1.271;829
2020;Anual;16;Hortaleza;166;Valdefuentes;61931;26.94;65.61;7.46;22.2;17.2;26.1;104.4;10.23;2400.0;952;1.448;57658.0;26.531;31.127;26294.0;13.402;12.892;2325.0;1.405;920
2021;Anual;16;Hortaleza;166;Valdefuentes;63254;26.83;65.64;7.53;20.8;16.6;24.2;104.3;10.34;2128.0;805;1.323;60208.0;28.784;31.424;27675.0;14.005;13.670;2309.0;1.398;911
2022;Anual;16;Hortaleza;166;Valdefuentes;66210;26.51;65.8;7.69;21.1;18.0;23.6;104.1;10.49;1689.0;646;1.043;65023.0;31.280;33.743;28856.0;14.615;14.241;2333.0;1.442;891
2005;Anual;21;Barajas;212;Aeropuerto;2289;17.63;69.68;12.66;17.24;14.2;19.2;88.9;21.0;;;;;;;;;;;;
2006;Anual;21;Barajas;212;Aeropuerto;2284;17.64;69.48;12.87;20.41;18.8;21.5;89.9;23.03;;;;;;;;;;;;
2007;Anual;21;Barajas;212;Aeropuerto;2204;18.24;68.92;12.84;22.97;22.7;23.1;91.5;23.28;;;;;;;;;;;;
2008;Anual;21;Barajas;212;Aeropuerto;2160;17.18;70.0;12.82;21.66;18.8;23.2;90.8;24.49;;;;;;;;;;;;
2009;Anual;21;Barajas;212;Aeropuerto;2135;16.16;71.24;12.6;25.28;24.7;25.6;90.5;23.89;;;;;;;;;;;;
2010;Anual;21;Barajas;212;Aeropuerto;2169;16.14;71.18;12.68;26.55;26.0;26.9;91.6;24.3;;;;8110.0;5.715;2.395;;;;67.0;47;20
2011;Anual;21;Barajas;212;Aeropuerto;2097;16.93;70.39;12.68;30.45;25.3;33.3;93.6;23.03;;;;8453.0;5.985;2.468;;;;57.0;40;17
2012;Anual;21;Barajas;212;Aeropuerto;2055;17.03;69.73;13.24;33.46;25.8;37.7;95.2;21.12;153.0;78;75;8313.0;5.936;2.377;;;;51.0;34;17
2013;Anual;21;Barajas;212;Aeropuerto;2006;17.1;68.89;14.01;37.01;32.4;39.8;94.6;20.04;; - ; - ;4143.0;2.568;1.575;612.0;271;341;54.0;35;19
2014;Anual;21;Barajas;212;Aeropuerto;1898;16.49;68.39;15.12;37.63;33.0;40.4;94.1;20.28;150.0;95;55;4879.0;2.874;2.005;538.0;235;303;61.0;41;20
2015;Anual;21;Barajas;212;Aeropuerto;1787;15.33;68.83;15.84;37.81;31.1;41.8;94.0;16.73;135.0;76;59;4859.0;2.889;1.970;542.0;228;314;67.0;49;18
2016;Anual;21;Barajas;212;Aeropuerto;1767;15.17;69.72;15.11;42.32;36.4;45.8;95.9;16.92;118.0;57;61;5097.0;3.035;2.062;616.0;278;338;73.0;50;23
2017;Anual;21;Barajas;212;Aeropuerto;1784;15.13;69.79;15.08;44.98;35.6;50.6;94.8;18.05;109.0;51;58;5840.0;3.399;2.441;632.0;304;328;76.0;52;24
2018;Anual;21;Barajas;212;Aeropuerto;1794;15.11;69.45;15.44;44.4;34.3;50.9;94.6;19.34;100.0;43;57;6500.0;3.841;2.659;655.0;316;339;82.0;55;27
2019;Anual;21;Barajas;212;Aeropuerto;1851;15.78;69.15;15.07;43.4;34.5;49.4;94.4;20.37;95.0;41;54;6708.0;4.090;2.618;672.0;333;339;99.0;65;34
2020;Anual;21;Barajas;212;Aeropuerto;1900;14.63;70.26;15.11;41.8;33.0;47.7;94.9;23.05;134.0;65;69;7298.0;4.492;2.806;681.0;345;336;210.0;162;48
2021;Anual;21;Barajas;212;Aeropuerto;1918;15.48;69.81;14.7;43.6;35.1;49.4;94.1;22.78;100.0;47;53;7228.0;4.419;2.809;681.0;343;338;345.0;287;58
2022;Anual;21;Barajas;212;Aeropuerto;1895;15.94;69.34;14.72;41.9;32.2;48.8;96.0;22.53;88.0;36;52;7987.0;4.831;3.156;718.0;354;364;531.0;446;85
2005;Anual;21;Barajas;214;Timón;7501;19.57;70.02;10.43;23.24;20.2;25.8;101.9;9.39;;;;;;;;;;;;
2006;Anual;21;Barajas;214;Timón;7764;19.77;69.49;10.74;24.1;21.4;26.3;101.6;10.57;;;;;;;;;;;;
2007;Anual;21;Barajas;214;Timón;7813;20.02;69.17;10.82;26.98;27.3;26.7;103.1;10.5;;;;;;;;;;;;
2008;Anual;21;Barajas;214;Timón;7913;19.74;69.25;11.01;27.9;28.4;27.5;106.4;10.96;;;;;;;;;;;;
2009;Anual;21;Barajas;214;Timón;8081;19.63;69.27;11.1;27.87;27.8;27.9;107.3;11.84;;;;;;;;;;;;
2010;Anual;21;Barajas;214;Timón;8495;19.31;69.82;10.88;27.81;27.1;28.3;106.7;12.63;;;;1415.0;721;694;;;;336.0;187;149
2011;Anual;21;Barajas;214;Timón;8806;19.29;69.95;10.75;26.72;25.0;27.9;107.2;12.73;;;;1525.0;777;748;;;;342.0;185;157
2012;Anual;21;Barajas;214;Timón;9077;19.08;70.3;10.62;27.7;25.9;29.0;106.9;11.56;601.0;289;312;1422.0;751;671;;;;312.0;171;141
2013;Anual;21;Barajas;214;Timón;9366;18.88;70.72;10.4;29.16;28.2;29.9;105.9;11.33;; - ; - ;1485.0;662;823;3084.0;1.566;1.518;327.0;179;148
