Anio;Periodo;CodigoDistrito;NombreDistrito;CodigoBarrio;NombreBarrio;DatoPoblacion;DatoPoblacionMenor16;DatoPoblacionEntre16y64;DatoPoblacionMayor65;DatoSobreEnvejecimiento;DatoSobreenvejecimientoHombres;DatoSobreenvejecimientoMujeres;DatoFeminidad;DatoNacionalidadExtranjera
2017;Anual;19;Vicálvaro;194;El Cañaveral;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018;Anual;19;Vicálvaro;194;El Cañaveral;945;20.74;75.45;3.81;13.89;14.3;13.3;92.9;8.25
2019;Anual;19;Vicálvaro;194;El Cañaveral;1530;24.71;72.09;3.2;10.2;6.9;15.0;94.9;8.43
2020;Anual;19;Vicálvaro;194;El Cañaveral;2398;24.44;72.39;3.17;7.9;5.1;10.8;95.0;7.55
2021;Anual;19;Vicálvaro;194;El Cañaveral;4430;23.45;73.93;2.62;12.9;7.5;17.5;96.5;9.26
2022;Anual;19;Vicálvaro;194;El Cañaveral;8944;23.05;74.65;2.29;16.6;12.6;20.0;97.7;11.31
2005;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;44049;20.29;71.66;8.06;18.16;13.3;22.2;100.5;10.53
2006;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;46542;20.53;71.21;8.26;18.02;13.6;21.6;100.4;11.72
2007;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;46007;21.08;70.52;8.41;18.77;15.1;21.7;101.0;11.9
2008;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;48009;21.53;69.99;8.48;19.34;15.5;22.5;101.2;13.01
2009;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;49157;21.94;69.32;8.74;20.38;16.7;23.4;101.0;13.49
2010;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;49768;22.13;68.86;9.0;20.69;17.5;23.3;101.0;13.68
2011;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;50402;22.39;68.31;9.29;21.39;18.3;23.9;101.9;13.57
2012;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;50620;22.77;67.67;9.57;22.45;19.8;24.6;102.8;12.49
2013;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;50686;22.86;67.27;9.87;23.79;21.2;25.8;104.5;11.48
2014;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;50632;22.87;66.93;10.2;24.7;22.9;26.1;105.3;10.21
2015;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;50726;22.6;66.85;10.54;25.61;23.9;26.9;105.4;9.32
2016;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;51238;22.24;66.98;10.78;26.88;25.5;27.9;105.3;9.37
2017;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;51580;21.59;67.42;10.99;28.01;25.8;29.7;105.4;9.36
2018;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;34200;15.02;62.94;22.04;35.59;35.3;35.8;106.2;18.85
2019;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;34816;15.05;63.6;21.35;37.1;37.2;37.0;107.5;19.77
2020;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;35666;14.9;64.31;20.79;37.5;37.6;37.5;107.1;20.87
2021;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;35548;14.77;64.79;20.44;40.7;40.9;40.5;107.4;21.5
2022;Anual;19;Vicálvaro;191;Casco histórico de Vicálvaro;35086;14.56;65.13;20.32;41.3;41.4;41.2;107.3;21.19
2005;Anual;8;Fuencarral - El Pardo;81;El Pardo;3908;9.19;61.26;29.55;27.88;26.1;29.0;110.9;1.74
2006;Anual;8;Fuencarral - El Pardo;81;El Pardo;3867;9.1;61.0;29.89;30.02;27.5;31.7;110.5;2.64
2007;Anual;8;Fuencarral - El Pardo;81;El Pardo;3753;9.14;60.19;30.67;33.19;31.4;34.4;110.7;3.12
2008;Anual;8;Fuencarral - El Pardo;81;El Pardo;3657;9.54;59.67;30.79;34.1;32.9;34.9;113.5;3.17
2009;Anual;8;Fuencarral - El Pardo;81;El Pardo;3583;9.57;60.28;30.14;35.19;33.0;36.6;114.3;4.05
2010;Anual;8;Fuencarral - El Pardo;81;El Pardo;3519;9.35;60.67;29.98;36.59;33.4;38.7;112.8;3.78
2011;Anual;8;Fuencarral - El Pardo;81;El Pardo;3465;9.9;59.86;30.25;39.5;35.7;41.9;112.6;3.87
2012;Anual;8;Fuencarral - El Pardo;81;El Pardo;3461;10.31;60.33;29.36;39.67;36.4;41.7;111.9;3.87
2013;Anual;8;Fuencarral - El Pardo;81;El Pardo;3474;10.33;60.71;28.96;40.46;37.1;42.5;108.1;3.8
2014;Anual;8;Fuencarral - El Pardo;81;El Pardo;3446;10.62;61.32;28.06;41.57;37.5;43.9;108.0;3.42
2015;Anual;8;Fuencarral - El Pardo;81;El Pardo;3424;10.63;61.54;27.83;43.02;39.5;45.1;105.0;3.01
2016;Anual;8;Fuencarral - El Pardo;81;El Pardo;3375;10.76;62.01;27.23;46.14;43.0;48.1;103.2;3.05
2017;Anual;8;Fuencarral - El Pardo;81;El Pardo;3394;11.46;61.96;26.58;46.56;43.7;48.3;104.2;2.98
2018;Anual;8;Fuencarral - El Pardo;81;El Pardo;3456;11.78;61.98;26.24;46.53;42.2;49.1;104.6;3.44
2019;Anual;8;Fuencarral - El Pardo;81;El Pardo;3454;11.78;62.51;25.71;47.2;42.7;49.9;102.7;4.08
2020;Anual;8;Fuencarral - El Pardo;81;El Pardo;3472;11.98;62.7;25.32;46.1;41.8;48.6;101.4;4.18
2021;Anual;8;Fuencarral - El Pardo;81;El Pardo;3443;12.0;63.26;24.75;44.5;39.5;47.5;99.8;5.0
2022;Anual;8;Fuencarral - El Pardo;81;El Pardo;3382;12.21;63.04;24.75;44.6;39.9;47.3;101.0;4.82
2005;Anual;8;Fuencarral - El Pardo;88;El Goloso;2228;10.46;34.16;55.39;68.4;55.5;74.5;145.1;11.27
