Anio;Periodo;CodigoDistrito;NombreDistrito;CodigoBarrio;NombreBarrio;DatoPoblacion;DatoPoblacionMenor16;DatoPoblacionEntre16y64;DatoPoblacionMayor65;DatoSobreEnvejecimiento;DatoSobreenvejecimientoHombres;DatoSobreenvejecimientoMujeres;DatoFeminidad;DatoNacionalidadExtranjera
2006;Anual;8;Fuencarral - El Pardo;88;El Goloso;3566;17.78;48.54;33.68;67.53;53.2;75.0;122.0;9.9
2007;Anual;8;Fuencarral - El Pardo;88;El Goloso;5680;20.85;57.01;22.15;66.61;52.5;73.7;117.0;8.68
2008;Anual;8;Fuencarral - El Pardo;88;El Goloso;8028;23.17;60.46;16.37;63.85;48.6;71.4;111.3;9.29
2009;Anual;8;Fuencarral - El Pardo;88;El Goloso;9901;25.8;60.88;13.32;63.08;47.4;70.5;112.2;10.36
2010;Anual;8;Fuencarral - El Pardo;88;El Goloso;11118;28.01;60.93;11.06;60.89;42.7;69.3;111.3;9.74
2011;Anual;8;Fuencarral - El Pardo;88;El Goloso;12413;28.3;60.76;10.94;61.63;43.3;70.3;108.8;9.23
2012;Anual;8;Fuencarral - El Pardo;88;El Goloso;13774;30.01;60.06;9.93;58.7;42.5;66.9;107.1;7.48
2013;Anual;8;Fuencarral - El Pardo;88;El Goloso;14765;31.08;59.52;9.4;57.13;41.2;65.5;105.8;6.85
2014;Anual;8;Fuencarral - El Pardo;88;El Goloso;15427;31.94;58.88;9.17;56.61;41.9;64.8;104.7;5.76
2015;Anual;8;Fuencarral - El Pardo;88;El Goloso;16173;33.01;58.39;8.6;55.64;40.2;64.2;102.8;4.98
2016;Anual;8;Fuencarral - El Pardo;88;El Goloso;16800;33.52;58.14;8.34;53.46;39.6;61.4;102.0;4.78
2017;Anual;8;Fuencarral - El Pardo;88;El Goloso;17414;33.43;58.21;8.36;53.64;41.8;60.4;102.2;4.81
2018;Anual;8;Fuencarral - El Pardo;88;El Goloso;17950;33.28;58.53;8.19;50.61;38.1;57.7;102.8;5.02
2019;Anual;8;Fuencarral - El Pardo;88;El Goloso;18511;33.29;58.8;7.91;50.0;38.6;56.7;102.8;5.37
2020;Anual;8;Fuencarral - El Pardo;88;El Goloso;19042;32.27;60.06;7.67;49.2;39.6;54.7;102.8;6.07
2021;Anual;8;Fuencarral - El Pardo;88;El Goloso;18928;31.5;61.39;7.11;43.9;34.3;49.5;102.5;6.01
2022;Anual;8;Fuencarral - El Pardo;88;El Goloso;19075;30.12;61.82;8.06;44.6;34.7;50.8;102.3;6.25
2005;Anual;8;Fuencarral - El Pardo;86;Valverde;34788;15.65;64.78;19.56;24.13;21.5;25.8;114.2;9.88
2006;Anual;8;Fuencarral - El Pardo;86;Valverde;37044;15.94;65.46;18.59;25.58;22.2;27.7;113.7;11.09
2007;Anual;8;Fuencarral - El Pardo;86;Valverde;39707;16.91;65.92;17.16;27.64;24.6;29.6;112.5;11.67
2008;Anual;8;Fuencarral - El Pardo;86;Valverde;44695;18.34;66.43;15.24;29.56;26.3;31.6;111.7;13.61
2009;Anual;8;Fuencarral - El Pardo;86;Valverde;48556;19.35;66.55;14.11;30.98;27.2;33.3;110.8;14.71
2010;Anual;8;Fuencarral - El Pardo;86;Valverde;51684;20.35;66.21;13.44;33.27;29.8;35.4;111.0;14.72
2011;Anual;8;Fuencarral - El Pardo;86;Valverde;53758;21.14;65.99;12.88;35.34;32.5;37.1;110.7;14.15
2012;Anual;8;Fuencarral - El Pardo;86;Valverde;55131;21.99;65.4;12.61;37.31;35.0;38.7;110.4;12.65
2013;Anual;8;Fuencarral - El Pardo;86;Valverde;56052;22.83;64.64;12.53;38.31;36.1;39.7;111.2;11.46
2014;Anual;8;Fuencarral - El Pardo;86;Valverde;56346;23.33;64.24;12.43;39.98;37.1;41.8;110.7;10.37
2015;Anual;8;Fuencarral - El Pardo;86;Valverde;57074;23.85;63.86;12.28;41.01;37.2;43.4;110.6;9.37
2016;Anual;8;Fuencarral - El Pardo;86;Valverde;58731;24.14;63.73;12.13;40.98;36.6;43.7;110.7;9.35
2017;Anual;8;Fuencarral - El Pardo;86;Valverde;60011;24.42;63.62;11.96;41.24;36.6;44.1;110.2;9.94
2018;Anual;8;Fuencarral - El Pardo;86;Valverde;61941;24.38;63.86;11.77;40.21;35.4;43.2;110.1;10.79
2019;Anual;8;Fuencarral - El Pardo;86;Valverde;63201;24.09;64.15;11.76;39.1;34.1;42.3;110.5;11.7
2020;Anual;8;Fuencarral - El Pardo;86;Valverde;64668;23.75;64.6;11.65;37.2;31.6;40.8;110.2;12.65
2021;Anual;8;Fuencarral - El Pardo;86;Valverde;64042;23.27;64.92;11.81;36.1;30.8;39.5;109.9;12.73
2022;Anual;8;Fuencarral - El Pardo;86;Valverde;63651;22.58;65.35;12.08;34.7;29.8;37.7;109.9;12.6
2005;Anual;8;Fuencarral - El Pardo;87;Mirasierra;27091;22.97;69.98;7.07;19.72;13.4;25.3;106.3;8.04
2006;Anual;8;Fuencarral - El Pardo;87;Mirasierra;27280;22.68;69.7;7.61;18.55;13.3;23.1;106.5;8.45
2007;Anual;8;Fuencarral - El Pardo;87;Mirasierra;27409;22.92;68.74;8.33;18.83;12.9;24.0;106.9;8.1
2008;Anual;8;Fuencarral - El Pardo;87;Mirasierra;27778;22.69;68.39;8.91;18.9;13.3;23.8;108.2;8.46
2009;Anual;8;Fuencarral - El Pardo;87;Mirasierra;28450;22.57;67.86;9.57;19.1;14.0;23.5;108.4;8.55
2010;Anual;8;Fuencarral - El Pardo;87;Mirasierra;28798;22.62;67.22;10.15;19.36;14.8;23.2;108.7;8.35
2011;Anual;8;Fuencarral - El Pardo;87;Mirasierra;29072;22.42;66.66;10.92;19.16;14.3;23.3;109.8;8.26
2012;Anual;8;Fuencarral - El Pardo;87;Mirasierra;29041;22.09;66.22;11.69;19.44;14.9;23.3;109.8;6.96
2013;Anual;8;Fuencarral - El Pardo;87;Mirasierra;28939;21.63;65.83;12.54;19.87;15.2;23.9;110.5;6.21
2014;Anual;8;Fuencarral - El Pardo;87;Mirasierra;28800;21.45;65.18;13.36;19.64;15.4;23.2;109.9;5.6
2015;Anual;8;Fuencarral - El Pardo;87;Mirasierra;28911;21.27;64.7;14.03;20.14;16.5;23.2;110.0;4.82
2016;Anual;8;Fuencarral - El Pardo;87;Mirasierra;29519;21.31;64.23;14.46;20.6;17.6;23.1;110.4;4.82
2017;Anual;8;Fuencarral - El Pardo;87;Mirasierra;30868;21.53;64.05;14.42;21.66;19.1;23.8;109.7;4.75
2018;Anual;8;Fuencarral - El Pardo;87;Mirasierra;32058;21.55;64.02;14.42;22.23;20.3;23.9;109.1;4.83
2019;Anual;8;Fuencarral - El Pardo;87;Mirasierra;32898;21.75;63.76;14.49;22.8;20.9;24.3;109.5;4.92
2020;Anual;8;Fuencarral - El Pardo;87;Mirasierra;34046;21.87;63.39;14.74;23.0;21.1;24.6;109.9;5.25
2021;Anual;8;Fuencarral - El Pardo;87;Mirasierra;34565;21.95;62.91;15.14;23.5;21.6;25.1;109.2;
2022;Anual;8;Fuencarral - El Pardo;87;Mirasierra;35240;22.14;62.45;15.41;24.5;22.8;26.0;108.3;
2005;Anual;16;Hortaleza;166;Valdefuentes;14801;22.16;70.54;7.33;38.03;24.2;46.8;104.6;8.79
2006;Anual;16;Hortaleza;166;Valdefuentes;19179;23.05;70.8;6.15;34.44;19.9;44.3;104.8;10.69
2007;Anual;16;Hortaleza;166;Valdefuentes;24146;24.22;70.25;5.53;33.11;18.5;43.4;105.8;11.62
2008;Anual;16;Hortaleza;166;Valdefuentes;30102;24.74;69.96;5.3;31.45;18.1;41.4;105.7;12.38
2009;Anual;16;Hortaleza;166;Valdefuentes;33448;25.21;69.51;5.29;29.92;17.3;39.4;105.0;12.29
2010;Anual;16;Hortaleza;166;Valdefuentes;36154;25.6;69.04;5.36;26.83;15.9;35.4;105.4;11.83
2011;Anual;16;Hortaleza;166;Valdefuentes;38212;26.46;67.88;5.66;28.34;17.6;36.5;105.2;11.33
2012;Anual;16;Hortaleza;166;Valdefuentes;39754;26.94;67.17;5.89;27.69;17.8;35.2;104.9;10.54
2013;Anual;16;Hortaleza;166;Valdefuentes;40987;27.36;66.5;6.14;27.28;18.4;34.2;104.6;9.73
2014;Anual;16;Hortaleza;166;Valdefuentes;41893;27.57;66.02;6.41;25.83;18.8;31.4;104.0;8.8
2015;Anual;16;Hortaleza;166;Valdefuentes;45399;27.4;66.07;6.53;25.85;18.6;31.5;104.1;7.94
2016;Anual;16;Hortaleza;166;Valdefuentes;48722;27.4;65.99;6.62;24.16;17.5;29.4;103.8;8.05
2017;Anual;16;Hortaleza;166;Valdefuentes;51666;27.4;65.69;6.92;23.98;18.4;28.5;103.0;8.29
2018;Anual;16;Hortaleza;166;Valdefuentes;54297;27.39;65.5;7.11;23.0;17.7;27.4;103.3;8.78
2019;Anual;16;Hortaleza;166;Valdefuentes;57879;27.31;65.38;7.31;22.5;17.5;26.6;104.2;9.54
2020;Anual;16;Hortaleza;166;Valdefuentes;61931;26.94;65.61;7.46;22.2;17.2;26.1;104.4;10.23
2021;Anual;16;Hortaleza;166;Valdefuentes;63254;26.83;65.64;7.53;20.8;16.6;24.2;104.3;10.34
2022;Anual;16;Hortaleza;166;Valdefuentes;66210;26.51;65.8;7.69;21.1;18.0;23.6;104.1;10.49
2005;Anual;21;Barajas;212;Aeropuerto;2289;17.63;69.68;12.66;17.24;14.2;19.2;88.9;21.0
2006;Anual;21;Barajas;212;Aeropuerto;2284;17.64;69.48;12.87;20.41;18.8;21.5;89.9;23.03
2007;Anual;21;Barajas;212;Aeropuerto;2204;18.24;68.92;12.84;22.97;22.7;23.1;91.5;23.28
2008;Anual;21;Barajas;212;Aeropuerto;2160;17.18;70.0;12.82;21.66;18.8;23.2;90.8;24.49
2009;Anual;21;Barajas;212;Aeropuerto;2135;16.16;71.24;12.6;25.28;24.7;25.6;90.5;23.89
2010;Anual;21;Barajas;212;Aeropuerto;2169;16.14;71.18;12.68;26.55;26.0;26.9;91.6;24.3
2011;Anual;21;Barajas;212;Aeropuerto;2097;16.93;70.39;12.68;30.45;25.3;33.3;93.6;23.03
2012;Anual;21;Barajas;212;Aeropuerto;2055;17.03;69.73;13.24;33.46;25.8;37.7;95.2;21.12
2013;Anual;21;Barajas;212;Aeropuerto;2006;17.1;68.89;14.01;37.01;32.4;39.8;94.6;20.04
2014;Anual;21;Barajas;212;Aeropuerto;1898;16.49;68.39;15.12;37.63;33.0;40.4;94.1;20.28
2015;Anual;21;Barajas;212;Aeropuerto;1787;15.33;68.83;15.84;37.81;31.1;41.8;94.0;16.73
2016;Anual;21;Barajas;212;Aeropuerto;1767;15.17;69.72;15.11;42.32;36.4;45.8;95.9;16.92
2017;Anual;21;Barajas;212;Aeropuerto;1784;15.13;69.79;15.08;44.98;35.6;50.6;94.8;18.05
2018;Anual;21;Barajas;212;Aeropuerto;1794;15.11;69.45;15.44;44.4;34.3;50.9;94.6;19.34
2019;Anual;21;Barajas;212;Aeropuerto;1851;15.78;69.15;15.07;43.4;34.5;49.4;94.4;20.37
2020;Anual;21;Barajas;212;Aeropuerto;1900;14.63;70.26;15.11;41.8;33.0;47.7;94.9;23.05
2021;Anual;21;Barajas;212;Aeropuerto;1918;15.48;69.81;14.7;43.6;35.1;49.4;94.1;22.78
2022;Anual;21;Barajas;212;Aeropuerto;1895;15.94;69.34;14.72;41.9;32.2;48.8;96.0;22.53
2005;Anual;21;Barajas;214;Timón;7501;19.57;70.02;10.43;23.24;20.2;25.8;101.9;9.39
2006;Anual;21;Barajas;214;Timón;7764;19.77;69.49;10.74;24.1;21.4;26.3;101.6;10.57
2007;Anual;21;Barajas;214;Timón;7813;20.02;69.17;10.82;26.98;27.3;26.7;103.1;10.5
2008;Anual;21;Barajas;214;Timón;7913;19.74;69.25;11.01;27.9;28.4;27.5;106.4;10.96
2009;Anual;21;Barajas;214;Timón;8081;19.63;69.27;11.1;27.87;27.8;27.9;107.3;11.84
2010;Anual;21;Barajas;214;Timón;8495;19.31;69.82;10.88;27.81;27.1;28.3;106.7;12.63
2011;Anual;21;Barajas;214;Timón;8806;19.29;69.95;10.75;26.72;25.0;27.9;107.2;12.73
2012;Anual;21;Barajas;214;Timón;9077;19.08;70.3;10.62;27.7;25.9;29.0;106.9;11.56
2013;Anual;21;Barajas;214;Timón;9366;18.88;70.72;10.4;29.16;28.2;29.9;105.9;11.33
2014;Anual;21;Barajas;214;Timón;9533;18.81;70.72;10.47;30.66;27.7;32.7;107.8;10.48
2015;Anual;21;Barajas;214;Timón;10050;19.22;70.43;10.35;31.44;28.6;33.5;105.9;8.95
2016;Anual;21;Barajas;214;Timón;10592;19.87;69.99;10.14;31.28;27.4;34.0;106.0;8.7
2017;Anual;21;Barajas;214;Timón;11023;20.33;69.4;10.27;30.83;26.1;34.1;106.6;8.63
2018;Anual;21;Barajas;214;Timón;11750;20.95;68.94;10.11;30.98;27.0;33.8;107.9;9.29
2019;Anual;21;Barajas;214;Timón;12388;20.98;68.82;10.2;30.7;27.7;32.9;109.4;9.93
2020;Anual;21;Barajas;214;Timón;12853;20.82;68.63;10.55;29.6;26.7;31.6;109.0;10.85
2021;Anual;21;Barajas;214;Timón;13334;20.65;68.82;10.53;30.6;26.3;33.6;109.0;10.93
2022;Anual;21;Barajas;214;Timón;11895;18.95;69.26;11.79;30.8;26.3;34.1;111.6;10.16
2005;Anual;8;Fuencarral - El Pardo;82;Fuentelarreina;3391;14.49;67.24;18.35;22.79;18.7;25.6;121.2;9.22
2006;Anual;8;Fuencarral - El Pardo;82;Fuentelarreina;3334;14.52;66.65;18.84;22.77;19.2;25.3;121.7;10.23
2007;Anual;8;Fuencarral - El Pardo;82;Fuentelarreina;3288;15.02;65.02;19.95;23.63;20.6;25.8;123.5;9.64
2008;Anual;8;Fuencarral - El Pardo;82;Fuentelarreina;3254;15.24;64.2;20.56;23.47;20.4;25.8;123.8;10.02
2009;Anual;8;Fuencarral - El Pardo;82;Fuentelarreina;3231;15.35;63.14;21.51;25.18;21.4;28.1;125.6;10.55
2010;Anual;8;Fuencarral - El Pardo;82;Fuentelarreina;3233;15.68;61.43;22.89;25.54;22.0;28.2;125.1;9.93
2011;Anual;8;Fuencarral - El Pardo;82;Fuentelarreina;3207;15.72;60.37;23.92;26.99;23.4;29.7;125.2;10.07
2012;Anual;8;Fuencarral - El Pardo;82;Fuentelarreina;3205;16.01;59.1;24.9;28.2;23.0;32.0;125.2;8.95
2013;Anual;8;Fuencarral - El Pardo;82;Fuentelarreina;3200;16.0;58.47;25.53;28.15;23.6;31.5;124.2;8.0
2014;Anual;8;Fuencarral - El Pardo;82;Fuentelarreina;3232;16.46;57.83;25.71;28.88;23.7;32.8;122.6;8.04
2015;Anual;8;Fuencarral - El Pardo;82;Fuentelarreina;3219;16.03;57.91;26.06;30.15;25.3;33.7;124.6;7.7
2016;Anual;8;Fuencarral - El Pardo;82;Fuentelarreina;3186;15.88;57.82;26.3;29.0;25.2;31.8;125.2;7.12
2017;Anual;8;Fuencarral - El Pardo;82;Fuentelarreina;3196;15.83;57.95;26.22;30.19;27.2;32.4;123.7;7.48
2018;Anual;8;Fuencarral - El Pardo;82;Fuentelarreina;3234;16.82;57.2;25.97;32.26;30.6;33.5;125.1;7.67
2019;Anual;8;Fuencarral - El Pardo;82;Fuentelarreina;3265;17.0;56.6;26.4;32.4;31.9;32.7;120.5;7.44
2020;Anual;8;Fuencarral - El Pardo;82;Fuentelarreina;3308;16.99;56.74;26.27;32.6;32.3;32.7;120.5;7.59
2021;Anual;8;Fuencarral - El Pardo;82;Fuentelarreina;3356;17.4;56.97;25.63;33.7;32.7;34.5;122.1;7.48
2022;Anual;8;Fuencarral - El Pardo;82;Fuentelarreina;3346;17.54;56.37;26.09;34.0;33.3;34.5;121.2;6.99
2005;Anual;8;Fuencarral - El Pardo;85;La Paz;37599;12.16;75.78;12.08;22.18;17.0;26.3;108.9;5.35
2006;Anual;8;Fuencarral - El Pardo;85;La Paz;37251;11.77;75.04;13.18;21.81;15.9;26.7;109.1;6.08
2007;Anual;8;Fuencarral - El Pardo;85;La Paz;37153;11.34;74.67;13.98;21.89;15.7;27.1;108.7;5.7
2008;Anual;8;Fuencarral - El Pardo;85;La Paz;36626;10.88;74.06;15.05;21.68;15.8;26.6;109.4;5.84
2009;Anual;8;Fuencarral - El Pardo;85;La Paz;36319;10.59;73.21;16.2;21.62;15.8;26.5;110.6;6.18
2010;Anual;8;Fuencarral - El Pardo;85;La Paz;36168;10.39;71.87;17.74;21.09;15.8;25.6;110.6;6.42
2011;Anual;8;Fuencarral - El Pardo;85;La Paz;35772;10.21;70.3;19.49;20.47;15.6;24.7;110.6;6.52
2012;Anual;8;Fuencarral - El Pardo;85;La Paz;35285;10.17;68.64;21.19;20.05;15.8;23.7;111.0;5.91
2013;Anual;8;Fuencarral - El Pardo;85;La Paz;35011;10.23;66.76;23.01;20.12;16.4;23.3;111.9;5.49
2014;Anual;8;Fuencarral - El Pardo;85;La Paz;34533;10.18;64.91;24.91;19.75;16.7;22.4;112.1;5.11
2015;Anual;8;Fuencarral - El Pardo;85;La Paz;34248;10.27;63.04;26.69;19.66;16.7;22.1;112.7;4.7
2016;Anual;8;Fuencarral - El Pardo;85;La Paz;33994;10.5;61.29;28.21;19.55;16.9;21.8;113.1;4.62
2017;Anual;8;Fuencarral - El Pardo;85;La Paz;33803;10.72;59.7;29.57;19.86;17.5;21.8;113.6;4.58
2018;Anual;8;Fuencarral - El Pardo;85;La Paz;33783;10.89;58.37;30.74;20.39;18.4;22.1;113.5;4.8
2019;Anual;8;Fuencarral - El Pardo;85;La Paz;33765;11.15;57.0;31.85;20.6;19.1;21.8;113.7;5.22
2020;Anual;8;Fuencarral - El Pardo;85;La Paz;33644;11.27;55.68;33.04;20.9;20.0;21.7;113.6;5.49
2021;Anual;8;Fuencarral - El Pardo;85;La Paz;33005;11.34;54.4;34.26;21.8;21.2;22.3;114.8;5.75
2022;Anual;8;Fuencarral - El Pardo;85;La Paz;32346;11.44;53.03;35.53;22.7;22.1;23.1;114.8;5.29
2005;Anual;8;Fuencarral - El Pardo;83;Peñagrande;46385;13.48;71.86;14.66;23.99;19.5;27.2;108.9;7.4
2006;Anual;8;Fuencarral - El Pardo;83;Peñagrande;46377;13.27;71.26;15.46;23.83;19.3;27.1;109.5;8.31
2007;Anual;8;Fuencarral - El Pardo;83;Peñagrande;45521;13.05;70.86;16.09;24.55;20.1;27.8;110.9;8.11
2008;Anual;8;Fuencarral - El Pardo;83;Peñagrande;45968;12.86;70.59;16.54;24.79;20.4;28.0;111.3;8.82
2009;Anual;8;Fuencarral - El Pardo;83;Peñagrande;46095;12.75;70.11;17.13;24.89;19.9;28.6;111.4;9.32
2010;Anual;8;Fuencarral - El Pardo;83;Peñagrande;46127;12.84;69.25;17.92;25.35;20.6;28.9;112.4;9.42
2011;Anual;8;Fuencarral - El Pardo;83;Peñagrande;45795;12.83;68.32;18.85;25.43;20.7;29.0;112.8;9.29
2012;Anual;8;Fuencarral - El Pardo;83;Peñagrande;45262;12.72;67.4;19.88;25.43;21.0;28.8;113.1;8.58
2013;Anual;8;Fuencarral - El Pardo;83;Peñagrande;45131;12.92;66.36;20.72;25.83;21.6;29.0;113.4;8.11
2014;Anual;8;Fuencarral - El Pardo;83;Peñagrande;44543;12.96;65.2;21.84;25.96;21.3;29.4;113.6;7.38
2015;Anual;8;Fuencarral - El Pardo;83;Peñagrande;44164;13.0;63.95;23.05;26.08;21.4;29.5;114.1;6.76
2016;Anual;8;Fuencarral - El Pardo;83;Peñagrande;44147;13.07;63.04;23.89;26.2;22.3;29.1;114.0;6.75
2017;Anual;8;Fuencarral - El Pardo;83;Peñagrande;44262;13.15;62.32;24.53;26.7;23.1;29.4;113.6;6.94
2018;Anual;8;Fuencarral - El Pardo;83;Peñagrande;44412;13.15;61.81;25.04;27.11;23.4;29.8;114.4;7.36
2019;Anual;8;Fuencarral - El Pardo;83;Peñagrande;44508;13.2;61.15;25.66;27.3;24.2;29.6;114.6;7.69
2020;Anual;8;Fuencarral - El Pardo;83;Peñagrande;44938;13.14;60.76;26.1;26.9;23.5;29.3;115.0;8.33
2021;Anual;8;Fuencarral - El Pardo;83;Peñagrande;44383;13.03;60.54;26.42;27.6;24.3;30.0;115.6;8.42
2022;Anual;8;Fuencarral - El Pardo;83;Peñagrande;43887;12.99;59.87;27.15;27.8;25.1;29.8;115.4;7.85
2005;Anual;8;Fuencarral - El Pardo;84;Pilar;51220;10.43;69.05;20.52;23.2;17.7;26.8;115.8;11.21
2006;Anual;8;Fuencarral - El Pardo;84;Pilar;50536;10.29;67.93;21.78;23.04;17.4;26.9;116.1;12.25
2007;Anual;8;Fuencarral - El Pardo;84;Pilar;50199;10.12;67.63;22.25;23.32;17.5;27.3;115.9;12.11
2008;Anual;8;Fuencarral - El Pardo;84;Pilar;50079;10.08;67.06;22.86;23.69;18.0;27.6;115.9;13.26
2009;Anual;8;Fuencarral - El Pardo;84;Pilar;49819;10.23;65.99;23.78;23.97;18.2;27.9;116.8;13.68
2010;Anual;8;Fuencarral - El Pardo;84;Pilar;49111;10.19;64.9;24.91;24.12;19.0;27.7;117.2;13.63
2011;Anual;8;Fuencarral - El Pardo;84;Pilar;48415;10.34;63.86;25.79;24.75;20.6;27.6;117.3;13.38
2012;Anual;8;Fuencarral - El Pardo;84;Pilar;47765;10.41;62.81;26.79;25.47;21.5;28.2;117.7;12.44
2013;Anual;8;Fuencarral - El Pardo;84;Pilar;47280;10.45;62.0;27.54;26.32;22.6;28.9;117.7;11.7
2014;Anual;8;Fuencarral - El Pardo;84;Pilar;46324;10.53;60.67;28.8;27.05;23.4;29.5;118.1;10.4
