Anio;Periodo_x;CodigoDistrito;NombreDistrito;CodigoBarrio;NombreBarrio;DatoPoblacion;DatoPoblacionMenor16;DatoPoblacionEntre16y64;DatoPoblacionMayor65;DatoSobreEnvejecimiento;DatoSobreenvejecimientoHombres;DatoSobreenvejecimientoMujeres;DatoFeminidad;DatoNacionalidadExtranjera;DatoParadosRegistrados;DatoParadosRegistradosHombres;DatoParadosRegistradosMujer;DatoAfiliacionesTrabajo;DatoAfiliacionesTrabajoHombres;DatoAfiliacionesTrabajoMujer;DatoAfiliacionesResidencia;DatoAfiliacionesResidenciaHombres;DatoAfiliacionesResidenciaMujer;DatoAutonomo;DatoAutonomosHombres;DatoAutonomosMujer;PrecioVentaEurosM2;PrecioAlquilerEurosM2;PresupuestoGasto;Gasto_Real;NumeroLocales;NumeroAlojamientos;Periodo_y;DatoRentaMedia
2017;Anual;19;Vicálvaro;194.0;El Cañaveral;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.0;18;20;0.0;0;0;0.0;0;0;0.0;0;0;1.809;9.4;13076366.9;4454468.35;;;Anual;31445.0
2017;Anual;19;Vicálvaro;191.0;Casco histórico de Vicálvaro;51580.0;21.59;67.42;10.99;28.01;25.8;29.7;105.4;9.36;2611.0;1.244;1.367;5801.0;3.274;2.527;21261.0;10.775;10.486;1266.0;862;404;1.809;9.4;13076366.9;4454468.35;3293.0;1.0;Anual;24976.0
2017;Anual;19;Vicálvaro;192.0;Valdebernardo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1194.0;498;696;0.0;0;0;0.0;0;0;0.0;0;0;1.809;9.4;13076366.9;4454468.35;709.0;;Anual;40074.0
2017;Anual;19;Vicálvaro;193.0;Valderrivas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;650.0;196;454;0.0;0;0;0.0;0;0;0.0;0;0;1.809;9.4;13076366.9;4454468.35;;;Anual;41470.0
2018;Anual;19;Vicálvaro;194.0;El Cañaveral;945.0;20.74;75.45;3.81;13.89;14.3;13.3;92.9;8.25;51.0;18;33;31.0;23;8;131.0;64;67;9.0;5;4;2.132;10.0;23318845.7;5717435.22;4.0;;Anual;34452.0
2018;Anual;19;Vicálvaro;191.0;Casco histórico de Vicálvaro;34200.0;15.02;62.94;22.04;35.59;35.3;35.8;106.2;18.85;2404.0;1.104;1.300;4456.0;2.918;1.538;12291.0;6.195;6.096;1002.0;705;297;2.132;10.0;23318845.7;5717435.22;1732.0;1.0;Anual;25968.0
2018;Anual;19;Vicálvaro;192.0;Valdebernardo;17637.0;15.61;74.22;10.17;26.94;22.4;30.4;109.1;5.71;1083.0;451;632;1877.0;907;970;7517.0;3.733;3.784;338.0;222;116;2.132;10.0;23318845.7;5717435.22;394.0;;Anual;41478.0
2018;Anual;19;Vicálvaro;193.0;Valderrivas;18180.0;30.28;64.43;5.3;22.01;22.2;21.9;103.1;3.26;617.0;196;421;948.0;433;515;8542.0;4.409;4.133;246.0;165;81;2.132;10.0;23318845.7;5717435.22;105.0;;Anual;42775.0
2019;Anual;19;Vicálvaro;194.0;El Cañaveral;1530.0;24.71;72.09;3.2;10.2;6.9;15.0;94.9;8.43;74.0;21;53;133.0;117;16;385.0;206;179;20.0;11;9;2.318;10.9;22670447.11;13347219.54;24.0;;Anual;37328.0
2019;Anual;19;Vicálvaro;191.0;Casco histórico de Vicálvaro;34816.0;15.05;63.6;21.35;37.1;37.2;37.0;107.5;19.77;2369.0;1.112;1.257;5330.0;3.637;1.693;12909.0;6.535;6.374;1184.0;859;325;2.318;10.9;22670447.11;13347219.54;1744.0;1.0;Anual;27762.0
2019;Anual;19;Vicálvaro;192.0;Valdebernardo;17638.0;14.44;74.62;10.94;25.9;22.3;28.6;110.3;6.12;1197.0;462;735;2290.0;1.108;1.182;7649.0;3.796;3.853;481.0;309;172;2.318;10.9;22670447.11;13347219.54;393.0;;Anual;42886.0
2019;Anual;19;Vicálvaro;193.0;Valderrivas;18142.0;29.28;65.14;5.58;25.2;24.9;25.4;104.0;3.58;641.0;210;431;1045.0;515;530;8699.0;4.478;4.221;349.0;239;110;2.318;10.9;22670447.11;13347219.54;102.0;;Anual;44236.0
2020;Anual;19;Vicálvaro;194.0;El Cañaveral;2398.0;24.44;72.39;3.17;7.9;5.1;10.8;95.0;7.55;156.0;46;110;114.0;77;37;838.0;449;389;42.0;28;14;2.318;10.2;29209447.66;15879230.82;43.0;;Anual;38310.0
2020;Anual;19;Vicálvaro;191.0;Casco histórico de Vicálvaro;35666.0;14.9;64.31;20.79;37.5;37.6;37.5;107.1;20.87;3030.0;1.375;1.655;6313.0;4.445;1.868;13277.0;6.693;6.584;1251.0;895;356;2.318;10.2;29209447.66;15879230.82;1747.0;1.0;Anual;27740.0
2020;Anual;19;Vicálvaro;192.0;Valdebernardo;17834.0;13.17;75.23;11.61;25.3;20.9;28.7;110.4;7.14;1425.0;584;841;2226.0;1.059;1.167;7656.0;3.842;3.814;501.0;316;185;2.318;10.2;29209447.66;15879230.82;393.0;;Anual;42891.0
2020;Anual;19;Vicálvaro;193.0;Valderrivas;18150.0;27.96;66.09;5.94;26.2;25.3;27.0;104.7;3.83;796.0;287;509;1064.0;506;558;8683.0;4.465;4.218;347.0;239;108;2.318;10.2;29209447.66;15879230.82;106.0;;Anual;44111.0
2013;Anual;19;Vicálvaro;191.0;Casco histórico de Vicálvaro;50686.0;22.86;67.27;9.87;23.79;21.2;25.8;104.5;11.48;; - ; - ;4121.0;2.231;1.890;19133.0;9.812;9.321;983.0;675;308;1.813;7.5;9032841.73;6956962.81;;;Anual;32908.9018544214
2014;Anual;19;Vicálvaro;191.0;Casco histórico de Vicálvaro;50632.0;22.87;66.93;10.2;24.7;22.9;26.1;105.3;10.21;4022.0;1.837;2.185;4783.0;2.713;2.070;17105.0;8.659;8.446;1082.0;741;341;1.624;7.6;10380919.45;7044398.78;1483.0;;Anual;33101.2054290057
2015;Anual;19;Vicálvaro;191.0;Casco histórico de Vicálvaro;50726.0;22.6;66.85;10.54;25.61;23.9;26.9;105.4;9.32;3683.0;1.621;2.062;5275.0;2.927;2.348;17267.0;8.748;8.519;1130.0;769;361;1.641;8.6;12605320.1;10486302.38;1498.0;2.0;Anual;34498.3449952298
2016;Anual;19;Vicálvaro;191.0;Casco histórico de Vicálvaro;51238.0;22.24;66.98;10.78;26.88;25.5;27.9;105.3;9.37;3381.0;1.447;1.934;5757.0;3.228;2.529;20453.0;10.330;10.123;1194.0;812;382;1.674;8.9;6638251.59;4428269.26;1540.0;1.0;Anual;24578.0
2013;Anual;8;Fuencarral - El Pardo;81.0;El Pardo;3474.0;10.33;60.71;28.96;40.46;37.1;42.5;108.1;3.8;174.0;74;100;281.0;158;123;1093.0;551;542;68.0;48;20;2.809;9.8;25452192.98;18458858.87;;;Anual;35555.1293173293
2013;Anual;8;Fuencarral - El Pardo;88.0;El Goloso;14765.0;31.08;59.52;9.4;57.13;41.2;65.5;105.8;6.85;523.0;208;315;2460.0;902;1.558;5933.0;2.973;2.960;226.0;135;91;2.809;9.8;25452192.98;18458858.87;;;Anual;51444.6646065808
2013;Anual;8;Fuencarral - El Pardo;86.0;Valverde;56052.0;22.83;64.64;12.53;38.31;36.1;39.7;111.2;11.46;3547.0;1.668;1.879;31498.0;16.633;14.865;22716.0;11.108;11.608;1402.0;902;500;2.809;9.8;25452192.98;18458858.87;;;Anual;39314.8635767961
2013;Anual;8;Fuencarral - El Pardo;87.0;Mirasierra;28939.0;21.63;65.83;12.54;19.87;15.2;23.9;110.5;6.21;1092.0;483;609;7920.0;2.676;5.244;10007.0;4.937;5.070;769.0;448;321;2.809;9.8;25452192.98;18458858.87;;;Anual;73487.0927797396
2013;Anual;8;Fuencarral - El Pardo;82.0;Fuentelarreina;3200.0;16.0;58.47;25.53;28.15;23.6;31.5;124.2;8.0;85.0;34;51;1702.0;664;1.038;993.0;466;527;102.0;58;44;2.809;9.8;25452192.98;18458858.87;;;Anual;83047.4152124646
2013;Anual;8;Fuencarral - El Pardo;85.0;La Paz;35011.0;10.23;66.76;23.01;20.12;16.4;23.3;111.9;5.49;1667.0;773;894;22667.0;8.813;13.854;12711.0;6.269;6.442;953.0;592;361;2.809;9.8;25452192.98;18458858.87;;;Anual;56953.098539335
2013;Anual;8;Fuencarral - El Pardo;83.0;Peñagrande;45131.0;12.92;66.36;20.72;25.83;21.6;29.0;113.4;8.11;2822.0;1.294;1.528;7973.0;3.496;4.477;16516.0;8.044;8.472;1160.0;731;429;2.809;9.8;25452192.98;18458858.87;;;Anual;39527.2353793355
2013;Anual;8;Fuencarral - El Pardo;84.0;Pilar;47280.0;10.45;62.0;27.54;26.32;22.6;28.9;117.7;11.7;3065.0;1.526;1.539;5637.0;2.532;3.105;16899.0;7.877;9.022;1342.0;860;482;2.809;9.8;25452192.98;18458858.87;;;Anual;32912.2936380902
2014;Anual;8;Fuencarral - El Pardo;81.0;El Pardo;3446.0;10.62;61.32;28.06;41.57;37.5;43.9;108.0;3.42;187.0;83;104;282.0;148;134;988.0;494;494;73.0;54;19;2.757;10.2;36651117.51;33994625.01;226.0;;Anual;36339.5542410374
2014;Anual;8;Fuencarral - El Pardo;88.0;El Goloso;15427.0;31.94;58.88;9.17;56.61;41.9;64.8;104.7;5.76;502.0;190;312;2674.0;938;1.736;4782.0;2.392;2.390;306.0;187;119;2.757;10.2;36651117.51;33994625.01;490.0;;Anual;52624.0043548387
2014;Anual;8;Fuencarral - El Pardo;86.0;Valverde;56346.0;23.33;64.24;12.43;39.98;37.1;41.8;110.7;10.37;3366.0;1.559;1.807;32480.0;16.975;15.505;20572.0;10.096;10.476;1642.0;1.063;579;2.757;10.2;36651117.51;33994625.01;2719.0;;Anual;39880.7449165016
2014;Anual;8;Fuencarral - El Pardo;87.0;Mirasierra;28800.0;21.45;65.18;13.36;19.64;15.4;23.2;109.9;5.6;1013.0;449;564;8439.0;2.861;5.578;9398.0;4.632;4.766;897.0;535;362;2.757;10.2;36651117.51;33994625.01;455.0;;Anual;73749.5049548864
2014;Anual;8;Fuencarral - El Pardo;82.0;Fuentelarreina;3232.0;16.46;57.83;25.71;28.88;23.7;32.8;122.6;8.04;90.0;40;50;1677.0;649;1.028;903.0;415;488;120.0;67;53;2.757;10.2;36651117.51;33994625.01;24.0;;Anual;97929.5570328639
2014;Anual;8;Fuencarral - El Pardo;85.0;La Paz;34533.0;10.18;64.91;24.91;19.75;16.7;22.4;112.1;5.11;1485.0;661;824;22198.0;8.476;13.722;11226.0;5.514;5.712;1036.0;627;409;2.757;10.2;36651117.51;33994625.01;796.0;;Anual;57508.9458634928
2014;Anual;8;Fuencarral - El Pardo;83.0;Peñagrande;44543.0;12.96;65.2;21.84;25.96;21.3;29.4;113.6;7.38;2540.0;1.160;1.380;8084.0;3.542;4.542;14733.0;7.149;7.584;1267.0;783;484;2.757;10.2;36651117.51;33994625.01;1205.0;;Anual;44658.686251895
2014;Anual;8;Fuencarral - El Pardo;84.0;Pilar;46324.0;10.53;60.67;28.8;27.05;23.4;29.5;118.1;10.4;2860.0;1.369;1.491;5957.0;2.690;3.267;14933.0;6.969;7.964;1449.0;920;529;2.757;10.2;36651117.51;33994625.01;2559.0;;Anual;33137.6417320382
2015;Anual;8;Fuencarral - El Pardo;81.0;El Pardo;3424.0;10.63;61.54;27.83;43.02;39.5;45.1;105.0;3.01;180.0;75;105;267.0;138;129;980.0;486;494;77.0;52;25;2.768;10.4;12723704.35;6632793.5;220.0;;Anual;39061.7270865533
2015;Anual;8;Fuencarral - El Pardo;88.0;El Goloso;16173.0;33.01;58.39;8.6;55.64;40.2;64.2;102.8;4.98;442.0;175;267;2953.0;1.078;1.875;4853.0;2.423;2.430;394.0;233;161;2.768;10.4;12723704.35;6632793.5;503.0;3.0;Anual;57441.3442330211
2015;Anual;8;Fuencarral - El Pardo;86.0;Valverde;57074.0;23.85;63.86;12.28;41.01;37.2;43.4;110.6;9.37;3040.0;1.363;1.677;34266.0;18.073;16.193;20637.0;10.119;10.518;1771.0;1.125;646;2.768;10.4;12723704.35;6632793.5;2793.0;8.0;Anual;42537.2500960052
2015;Anual;8;Fuencarral - El Pardo;87.0;Mirasierra;28911.0;21.27;64.7;14.03;20.14;16.5;23.2;110.0;4.82;940.0;399;541;8829.0;2.957;5.872;9518.0;4.680;4.838;990.0;576;414;2.768;10.4;12723704.35;6632793.5;471.0;2.0;Anual;78328.1005562156
2015;Anual;8;Fuencarral - El Pardo;82.0;Fuentelarreina;3219.0;16.03;57.91;26.06;30.15;25.3;33.7;124.6;7.7;87.0;28;59;1836.0;713;1.123;900.0;413;487;131.0;72;59;2.768;10.4;12723704.35;6632793.5;23.0;1.0;Anual;98155.7929422895
2015;Anual;8;Fuencarral - El Pardo;85.0;La Paz;34248.0;10.27;63.04;26.69;19.66;16.7;22.1;112.7;4.7;1301.0;536;765;24239.0;9.472;14.767;11169.0;5.455;5.714;1089.0;674;415;2.768;10.4;12723704.35;6632793.5;757.0;3.0;Anual;58457.3752869185
2015;Anual;8;Fuencarral - El Pardo;83.0;Peñagrande;44164.0;13.0;63.95;23.05;26.08;21.4;29.5;114.1;6.76;2272.0;1.002;1.270;8229.0;3.611;4.618;14871.0;7.221;7.650;1358.0;843;515;2.768;10.4;12723704.35;6632793.5;1195.0;;Anual;45508.0580730877
2015;Anual;8;Fuencarral - El Pardo;84.0;Pilar;45676.0;10.6;59.9;29.5;28.05;24.6;30.4;118.6;9.45;2528.0;1.169;1.359;6277.0;2.848;3.429;14757.0;6.901;7.856;1543.0;980;563;2.768;10.4;12723704.35;6632793.5;2580.0;;Anual;33746.0138188456
2016;Anual;8;Fuencarral - El Pardo;81.0;El Pardo;3375.0;10.76;62.01;27.23;46.14;43.0;48.1;103.2;3.05;166.0;70;96;279.0;143;136;1085.0;562;523;76.0;53;23;2.884;11.2;9213973.49;5303377.58;214.0;;Anual;37585.0
2016;Anual;8;Fuencarral - El Pardo;88.0;El Goloso;16800.0;33.52;58.14;8.34;53.46;39.6;61.4;102.0;4.78;409.0;151;258;3548.0;1.372;2.176;6663.0;3.351;3.312;466.0;280;186;2.884;11.2;9213973.49;5303377.58;525.0;3.0;Anual;60056.0
2016;Anual;8;Fuencarral - El Pardo;86.0;Valverde;58731.0;24.14;63.73;12.13;40.98;36.6;43.7;110.7;9.35;2817.0;1.214;1.603;37295.0;20.090;17.205;23031.0;11.228;11.803;1812.0;1.140;672;2.884;11.2;9213973.49;5303377.58;2719.0;8.0;Anual;43898.0
