Anio;Periodo_x;CodigoDistrito;NombreDistrito;CodigoBarrio;NombreBarrio;DatoPoblacion;DatoPoblacionMenor16;DatoPoblacionEntre16y64;DatoPoblacionMayor65;DatoSobreEnvejecimiento;DatoSobreenvejecimientoHombres;DatoSobreenvejecimientoMujeres;DatoFeminidad;DatoNacionalidadExtranjera;DatoParadosRegistrados;DatoParadosRegistradosHombres;DatoParadosRegistradosMujer;DatoAfiliacionesTrabajo;DatoAfiliacionesTrabajoHombres;DatoAfiliacionesTrabajoMujer;DatoAfiliacionesResidencia;DatoAfiliacionesResidenciaHombres;DatoAfiliacionesResidenciaMujer;DatoAutonomo;DatoAutonomosHombres;DatoAutonomosMujer;PrecioVentaEurosM2;PrecioAlquilerEurosM2;PresupuestoGasto;Gasto_Real;NumeroLocales;NumeroAlojamientos;Periodo_y;DatoRentaMedia
2016;Anual;8;Fuencarral - El Pardo;87.0;Mirasierra;29519.0;21.31;64.23;14.46;20.6;17.6;23.1;110.4;4.82;881.0;377;504;9039.0;3.031;6.008;10480.0;5.165;5.315;1031.0;615;416;2.884;11.2;9213973.49;5303377.58;475.0;2.0;Anual;69353.0
2016;Anual;8;Fuencarral - El Pardo;82.0;Fuentelarreina;3186.0;15.88;57.82;26.3;29.0;25.2;31.8;125.2;7.12;85.0;30;55;2002.0;792;1.210;1043.0;498;545;123.0;70;53;2.884;11.2;9213973.49;5303377.58;26.0;1.0;Anual;85127.0
2016;Anual;8;Fuencarral - El Pardo;85.0;La Paz;33994.0;10.5;61.29;28.21;19.55;16.9;21.8;113.1;4.62;1182.0;488;694;24498.0;9.582;14.916;12362.0;6.046;6.316;1100.0;681;419;2.884;11.2;9213973.49;5303377.58;755.0;4.0;Anual;59243.0
2016;Anual;8;Fuencarral - El Pardo;83.0;Peñagrande;44147.0;13.07;63.04;23.89;26.2;22.3;29.1;114.0;6.75;2068.0;906;1.162;8397.0;3.765;4.632;16558.0;8.016;8.542;1442.0;884;558;2.884;11.2;9213973.49;5303377.58;1165.0;;Anual;46484.0
2016;Anual;8;Fuencarral - El Pardo;84.0;Pilar;45730.0;10.81;59.5;29.69;29.15;26.2;31.1;118.3;9.49;2307.0;1.052;1.255;6449.0;2.904;3.545;16494.0;7.806;8.688;1563.0;994;569;2.884;11.2;9213973.49;5303377.58;2533.0;;Anual;34260.0
2017;Anual;8;Fuencarral - El Pardo;81.0;El Pardo;3394.0;11.46;61.96;26.58;46.56;43.7;48.3;104.2;2.98;147.0;60;87;285.0;154;131;1117.0;569;548;89.0;59;30;3.142;12.1;20830271.37;4223025.41;397.0;;Anual;36745.0
2017;Anual;8;Fuencarral - El Pardo;88.0;El Goloso;17414.0;33.43;58.21;8.36;53.64;41.8;60.4;102.2;4.81;399.0;165;234;3986.0;1.585;2.401;7210.0;3.637;3.573;517.0;313;204;3.142;12.1;20830271.37;4223025.41;1012.0;3.0;Anual;61919.0
2017;Anual;8;Fuencarral - El Pardo;86.0;Valverde;60011.0;24.42;63.62;11.96;41.24;36.6;44.1;110.2;9.94;2733.0;1.174;1.559;38860.0;21.162;17.698;25400.0;12.418;12.982;2005.0;1.229;776;3.142;12.1;20830271.37;4223025.41;5151.0;8.0;Anual;44503.0
2017;Anual;8;Fuencarral - El Pardo;87.0;Mirasierra;30868.0;21.53;64.05;14.42;21.66;19.1;23.8;109.7;4.75;842.0;350;492;10697.0;3.993;6.704;11857.0;5.847;6.010;1089.0;655;434;3.142;12.1;20830271.37;4223025.41;798.0;2.0;Anual;69838.0
2017;Anual;8;Fuencarral - El Pardo;82.0;Fuentelarreina;3196.0;15.83;57.95;26.22;30.19;27.2;32.4;123.7;7.48;69.0;29;40;2269.0;916;1.353;1048.0;493;555;137.0;78;59;3.142;12.1;20830271.37;4223025.41;44.0;1.0;Anual;84239.0
2017;Anual;8;Fuencarral - El Pardo;85.0;La Paz;33803.0;10.72;59.7;29.57;19.86;17.5;21.8;113.6;4.58;1070.0;433;637;27122.0;11.049;16.073;12169.0;5.907;6.262;1147.0;711;436;3.142;12.1;20830271.37;4223025.41;1437.0;4.0;Anual;59580.0
2017;Anual;8;Fuencarral - El Pardo;83.0;Peñagrande;44262.0;13.15;62.32;24.53;26.7;23.1;29.4;113.6;6.94;1873.0;817;1.056;8716.0;3.933;4.783;16766.0;8.163;8.603;1533.0;923;610;3.142;12.1;20830271.37;4223025.41;2131.0;;Anual;46883.0
2017;Anual;8;Fuencarral - El Pardo;84.0;Pilar;45808.0;10.96;59.38;29.66;31.16;28.7;32.8;118.4;9.8;2040.0;889;1.151;6630.0;2.988;3.642;17274.0;8.244;9.030;1644.0;1.029;615;3.142;12.1;20830271.37;4223025.41;4815.0;;Anual;34532.0
2018;Anual;8;Fuencarral - El Pardo;81.0;El Pardo;3456.0;11.78;61.98;26.24;46.53;42.2;49.1;104.6;3.44;132.0;56;76;273.0;141;132;1148.0;579;569;75.0;50;25;3.360;12.2;49931212.45;29114968.52;218.0;;Anual;38883.0
2018;Anual;8;Fuencarral - El Pardo;88.0;El Goloso;17950.0;33.28;58.53;8.19;50.61;38.1;57.7;102.8;5.02;375.0;134;241;4146.0;1.621;2.525;7236.0;3.635;3.601;335.0;221;114;3.360;12.2;49931212.45;29114968.52;567.0;3.0;Anual;67420.0
2018;Anual;8;Fuencarral - El Pardo;86.0;Valverde;61941.0;24.38;63.86;11.77;40.21;35.4;43.2;110.1;10.79;2488.0;1.036;1.452;39070.0;21.171;17.899;25474.0;12.410;13.064;1655.0;1.068;587;3.360;12.2;49931212.45;29114968.52;2733.0;8.0;Anual;46290.0
2018;Anual;8;Fuencarral - El Pardo;87.0;Mirasierra;32058.0;21.55;64.02;14.42;22.23;20.3;23.9;109.1;4.83;843.0;343;500;10776.0;4.079;6.697;12047.0;5.931;6.116;967.0;579;388;3.360;12.2;49931212.45;29114968.52;481.0;2.0;Anual;72361.0
2018;Anual;8;Fuencarral - El Pardo;82.0;Fuentelarreina;3234.0;16.82;57.2;25.97;32.26;30.6;33.5;125.1;7.67;59.0;23;36;2174.0;849;1.325;1047.0;483;564;94.0;48;46;3.360;12.2;49931212.45;29114968.52;27.0;1.0;Anual;90678.0
2018;Anual;8;Fuencarral - El Pardo;85.0;La Paz;33783.0;10.89;58.37;30.74;20.39;18.4;22.1;113.5;4.8;901.0;341;560;28336.0;11.500;16.836;12150.0;5.900;6.250;1057.0;656;401;3.360;12.2;49931212.45;29114968.52;779.0;4.0;Anual;61899.0
2018;Anual;8;Fuencarral - El Pardo;83.0;Peñagrande;44412.0;13.15;61.81;25.04;27.11;23.4;29.8;114.4;7.36;1711.0;746;965;8766.0;4.023;4.743;16871.0;8.174;8.697;1383.0;857;526;3.360;12.2;49931212.45;29114968.52;1164.0;;Anual;48909.0
2018;Anual;8;Fuencarral - El Pardo;84.0;Pilar;46094.0;10.86;59.65;29.49;32.14;30.0;33.6;118.4;10.55;1835.0;793;1.042;6317.0;2.839;3.478;17403.0;8.368;9.035;1158.0;757;401;3.360;12.2;49931212.45;29114968.52;2526.0;;Anual;35594.0
2019;Anual;8;Fuencarral - El Pardo;81.0;El Pardo;3454.0;11.78;62.51;25.71;47.2;42.7;49.9;102.7;4.08;133.0;59;74;298.0;158;140;1194.0;600;594;101.0;65;36;3.554;12.6;37601717.69;19284470.83;219.0;;Anual;38949.0
2019;Anual;8;Fuencarral - El Pardo;88.0;El Goloso;18511.0;33.29;58.8;7.91;50.0;38.6;56.7;102.8;5.37;412.0;166;246;4978.0;1.980;2.998;7602.0;3.802;3.800;652.0;382;270;3.554;12.6;37601717.69;19284470.83;576.0;3.0;Anual;69589.0
2019;Anual;8;Fuencarral - El Pardo;86.0;Valverde;63201.0;24.09;64.15;11.76;39.1;34.1;42.3;110.5;11.7;2511.0;1.041;1.470;45319.0;24.939;20.380;26698.0;12.934;13.764;2370.0;1.479;891;3.554;12.6;37601717.69;19284470.83;2732.0;8.0;Anual;48606.0
2019;Anual;8;Fuencarral - El Pardo;87.0;Mirasierra;32898.0;21.75;63.76;14.49;22.8;20.9;24.3;109.5;4.92;825.0;349;476;13034.0;4.332;8.702;12831.0;6.383;6.448;1244.0;738;506;3.554;12.6;37601717.69;19284470.83;480.0;1.0;Anual;74511.0
2019;Anual;8;Fuencarral - El Pardo;82.0;Fuentelarreina;3265.0;17.0;56.6;26.4;32.4;31.9;32.7;120.5;7.44;75.0;27;48;2260.0;912;1.348;1076.0;499;577;174.0;102;72;3.554;12.6;37601717.69;19284470.83;26.0;1.0;Anual;89744.0
2019;Anual;8;Fuencarral - El Pardo;85.0;La Paz;33765.0;11.15;57.0;31.85;20.6;19.1;21.8;113.7;5.22;903.0;355;548;30099.0;12.430;17.669;12230.0;5.952;6.278;1257.0;765;492;3.554;12.6;37601717.69;19284470.83;775.0;4.0;Anual;62831.0
2019;Anual;8;Fuencarral - El Pardo;83.0;Peñagrande;44508.0;13.2;61.15;25.66;27.3;24.2;29.6;114.6;7.69;1693.0;739;954;9288.0;4.330;4.958;17046.0;8.235;8.811;1753.0;1.062;691;3.554;12.6;37601717.69;19284470.83;1165.0;;Anual;49838.0
2019;Anual;8;Fuencarral - El Pardo;84.0;Pilar;46419.0;10.9;59.83;29.27;33.4;31.3;34.7;118.9;11.43;1892.0;835;1.057;6992.0;3.190;3.802;17920.0;8.558;9.362;1749.0;1.104;645;3.554;12.6;37601717.69;19284470.83;2535.0;;Anual;36887.0
2020;Anual;8;Fuencarral - El Pardo;81.0;El Pardo;3472.0;11.98;62.7;25.32;46.1;41.8;48.6;101.4;4.18;163.0;70;93;315.0;166;149;1253.0;653;600;99.0;65;34;3.491;12.3;16684974.47;8390174.63;219.0;;Anual;38460.0
2020;Anual;8;Fuencarral - El Pardo;88.0;El Goloso;19042.0;32.27;60.06;7.67;49.2;39.6;54.7;102.8;6.07;515.0;215;300;4862.0;1.999;2.863;7848.0;3.896;3.952;682.0;404;278;3.491;12.3;16684974.47;8390174.63;579.0;3.0;Anual;69983.0
2020;Anual;8;Fuencarral - El Pardo;86.0;Valverde;64668.0;23.75;64.6;11.65;37.2;31.6;40.8;110.2;12.65;3268.0;1.367;1.901;48064.0;26.851;21.213;27189.0;13.275;13.914;2479.0;1.542;937;3.491;12.3;16684974.47;8390174.63;2754.0;10.0;Anual;48350.0
2020;Anual;8;Fuencarral - El Pardo;87.0;Mirasierra;34046.0;21.87;63.39;14.74;23.0;21.1;24.6;109.9;5.25;1052.0;441;611;12442.0;4.119;8.323;13236.0;6.585;6.651;1320.0;797;523;3.491;12.3;16684974.47;8390174.63;487.0;1.0;Anual;73969.0
2020;Anual;8;Fuencarral - El Pardo;82.0;Fuentelarreina;3308.0;16.99;56.74;26.27;32.6;32.3;32.7;120.5;7.59;84.0;34;50;1216.0;476;740;1107.0;536;571;178.0;104;74;3.491;12.3;16684974.47;8390174.63;27.0;1.0;Anual;88753.0
2020;Anual;8;Fuencarral - El Pardo;85.0;La Paz;33644.0;11.27;55.68;33.04;20.9;20.0;21.7;113.6;5.49;1136.0;489;647;32670.0;13.796;18.874;12102.0;5.900;6.202;1268.0;785;483;3.491;12.3;16684974.47;8390174.63;777.0;3.0;Anual;61451.0
2020;Anual;8;Fuencarral - El Pardo;83.0;Peñagrande;44938.0;13.14;60.76;26.1;26.9;23.5;29.3;115.0;8.33;2050.0;895;1.155;10599.0;4.737;5.862;17112.0;8.260;8.852;1795.0;1.092;703;3.491;12.3;16684974.47;8390174.63;1164.0;;Anual;49757.0
2020;Anual;8;Fuencarral - El Pardo;84.0;Pilar;46855.0;10.83;60.23;28.93;33.3;30.8;34.9;119.2;12.33;2385.0;1.067;1.318;7191.0;3.240;3.951;18156.0;8.729;9.427;1766.0;1.109;657;3.491;12.3;16684974.47;8390174.63;2534.0;2.0;Anual;36799.0
2013;Anual;16;Hortaleza;166.0;Valdefuentes;40987.0;27.36;66.5;6.14;27.28;18.4;34.2;104.6;9.73;2221.0;955;1.266;40614.0;19.240;21.374;16356.0;8.275;8.081;912.0;571;341;2.811;10.2;21110036.14;3481916.9;;;Anual;52532.1401325811
2013;Anual;16;Hortaleza;165.0;Apóstol Santiago;15474.0;14.31;65.46;20.22;33.21;29.4;35.6;112.7;7.96;1151.0;563;588;2743.0;1.420;1.323;5351.0;2.537;2.814;395.0;261;134;2.811;10.2;21110036.14;3481916.9;;;Anual;35135.797848522
2013;Anual;16;Hortaleza;164.0;Pinar del Rey;54259.0;12.92;63.08;24.0;27.7;24.8;29.7;114.7;10.82;3913.0;1.957;1.956;11198.0;5.746;5.452;19334.0;9.343;9.991;1565.0;1.047;518;2.811;10.2;21110036.14;3481916.9;;;Anual;32811.4496718174
2013;Anual;16;Hortaleza;163.0;Canillas;41982.0;12.36;64.41;23.23;26.68;22.2;30.0;114.3;9.31;2591.0;1.245;1.346;9425.0;4.751;4.674;15074.0;7.406;7.668;1500.0;996;504;2.811;10.2;21110036.14;3481916.9;;;Anual;38763.1811252234
2013;Anual;16;Hortaleza;162.0;Piovera;14527.0;20.6;68.68;10.72;23.57;22.5;24.5;109.3;16.47;492.0;206;286;7388.0;2.786;4.602;5417.0;2.705;2.712;732.0;400;332;2.811;10.2;21110036.14;3481916.9;;;Anual;100792.468663717
