Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;14,2 €/m2;- 1,0 %;+ 1,0 %;+ 9,2 %
Enero 2023;14,3 €/m2;+ 0,5 %;+ 3,7 %;+ 10,5 %
Diciembre 2022;14,3 €/m2;+ 1,4 %;+ 3,1 %;+ 11,0 %
Noviembre 2022;14,1 €/m2;+ 1,7 %;+ 2,8 %;+ 10,1 %
Octubre 2022;13,8 €/m2;- 0,1 %;+ 1,9 %;+ 7,8 %
Septiembre 2022;13,8 €/m2;+ 1,2 %;+ 1,8 %;+ 8,5 %
Agosto 2022;13,7 €/m2;+ 0,8 %;+ 1,9 %;+ 8,5 %
Julio 2022;13,6 €/m2;- 0,2 %;+ 2,1 %;+ 6,8 %
Junio 2022;13,6 €/m2;+ 1,3 %;+ 3,9 %;+ 6,8 %
Mayo 2022;13,4 €/m2;+ 1,1 %;+ 3,2 %;+ 5,3 %
Abril 2022;13,3 €/m2;+ 1,5 %;+ 2,4 %;+ 4,4 %
Marzo 2022;13,1 €/m2;+ 0,6 %;+ 1,8 %;+ 3,1 %
Febrero 2022;13,0 €/m2;+ 0,3 %;+ 1,8 %;+ 2,1 %
Enero 2022;13,0 €/m2;+ 0,9 %;+ 1,1 %;+ 0,8 %
Diciembre 2021;12,9 €/m2;+ 0,6 %;+ 0,8 %;- 1,2 %
Noviembre 2021;12,8 €/m2;- 0,4 %;+ 1,3 %;- 3,3 %
Octubre 2021;12,8 €/m2;+ 0,6 %;+ 1,0 %;- 4,3 %
Septiembre 2021;12,8 €/m2;+ 1,2 %;+ 0,2 %;- 6,0 %
Agosto 2021;12,6 €/m2;- 0,8 %;- 1,2 %;- 7,5 %
Julio 2021;12,7 €/m2;- 0,2 %;- 0,2 %;- 7,5 %
Junio 2021;12,7 €/m2;- 0,2 %;+ 0,3 %;- 8,2 %
Mayo 2021;12,8 €/m2;+ 0,2 %;+ 0,1 %;- 8,8 %
Abril 2021;12,7 €/m2;+ 0,3 %;- 1,1 %;- 7,6 %
Marzo 2021;12,7 €/m2;- 0,4 %;- 2,5 %;- 8,2 %
Febrero 2021;12,7 €/m2;- 1,0 %;- 3,5 %;- 6,8 %
Enero 2021;12,9 €/m2;- 1,1 %;- 4,0 %;- 4,3 %
Diciembre 2020;13,0 €/m2;- 1,5 %;- 4,1 %;- 3,6 %
Noviembre 2020;13,2 €/m2;- 1,5 %;- 3,1 %;- 3,4 %
Octubre 2020;13,4 €/m2;- 1,2 %;- 2,4 %;- 1,8 %
Septiembre 2020;13,6 €/m2;- 0,4 %;- 2,1 %;- 1,0 %
Agosto 2020;13,6 €/m2;- 0,8 %;- 2,6 %;0,0 %
Julio 2020;13,7 €/m2;- 0,9 %;- 0,3 %;+ 1,1 %
Junio 2020;13,9 €/m2;- 0,8 %;+ 0,4 %;+ 1,4 %
Mayo 2020;14,0 €/m2;+ 1,5 %;+ 2,3 %;+ 2,3 %
Abril 2020;13,8 €/m2;- 0,3 %;+ 2,4 %;+ 1,7 %
Marzo 2020;13,8 €/m2;+ 1,1 %;+ 2,4 %;+ 3,8 %
Febrero 2020;13,7 €/m2;+ 1,6 %;0,0 %;+ 2,7 %
Enero 2020;13,5 €/m2;- 0,3 %;- 1,4 %;+ 1,1 %
Diciembre 2019;13,5 €/m2;- 1,3 %;- 1,6 %;+ 1,8 %
Noviembre 2019;13,7 €/m2;+ 0,1 %;+ 0,4 %;+ 3,1 %
Octubre 2019;13,7 €/m2;- 0,4 %;+ 0,5 %;+ 2,5 %
Septiembre 2019;13,7 €/m2;+ 0,6 %;+ 0,3 %;+ 3,0 %
Agosto 2019;13,6 €/m2;+ 0,3 %;- 0,3 %;+ 2,6 %
Julio 2019;13,6 €/m2;- 0,7 %;+ 0,3 %;+ 2,2 %
Junio 2019;13,7 €/m2;0,0 %;+ 2,7 %;+ 4,4 %
Mayo 2019;13,7 €/m2;+ 1,0 %;+ 2,7 %;+ 3,0 %
Abril 2019;13,5 €/m2;+ 1,7 %;+ 1,7 %;+ 3,3 %
Marzo 2019;13,3 €/m2;0,0 %;+ 0,4 %;+ 4,4 %
Febrero 2019;13,3 €/m2;+ 0,1 %;+ 0,4 %;+ 5,2 %
Enero 2019;13,3 €/m2;+ 0,4 %;- 0,1 %;+ 5,4 %
Diciembre 2018;13,3 €/m2;0,0 %;- 0,4 %;+ 4,9 %
Noviembre 2018;13,3 €/m2;- 0,4 %;- 0,1 %;+ 6,4 %
Octubre 2018;13,3 €/m2;+ 0,1 %;+ 0,1 %;+ 10,4 %
Septiembre 2018;13,3 €/m2;+ 0,2 %;+ 1,7 %;+ 9,8 %
Agosto 2018;13,3 €/m2;- 0,2 %;+ 0,1 %;+ 10,6 %
Julio 2018;13,3 €/m2;+ 1,6 %;+ 1,5 %;+ 10,1 %
Junio 2018;13,1 €/m2;- 1,3 %;+ 2,7 %;+ 11,6 %
Mayo 2018;13,3 €/m2;+ 1,3 %;+ 4,8 %;+ 12,5 %
Abril 2018;13,1 €/m2;+ 2,8 %;+ 3,7 %;+ 11,4 %
Marzo 2018;12,8 €/m2;+ 0,7 %;+ 0,9 %;+ 8,8 %
Febrero 2018;12,7 €/m2;+ 0,2 %;+ 1,6 %;+ 8,6 %
Enero 2018;12,6 €/m2;0,0 %;+ 4,7 %;+ 10,2 %
Diciembre 2017;12,6 €/m2;+ 1,4 %;+ 4,3 %;+ 11,6 %
Noviembre 2017;12,5 €/m2;+ 3,4 %;+ 3,8 %;+ 12,3 %
Octubre 2017;12,1 €/m2;- 0,5 %;- 0,2 %;+ 9,7 %
Septiembre 2017;12,1 €/m2;+ 1,0 %;+ 3,2 %;+ 11,1 %
Agosto 2017;12,0 €/m2;- 0,6 %;+ 1,8 %;+ 10,8 %
Julio 2017;12,1 €/m2;+ 2,9 %;+ 2,7 %;+ 10,5 %
Junio 2017;11,7 €/m2;- 0,5 %;+ 0,2 %;+ 7,0 %
Mayo 2017;11,8 €/m2;+ 0,3 %;+ 1,2 %;+ 7,5 %
Abril 2017;11,8 €/m2;+ 0,3 %;+ 2,6 %;+ 7,9 %
Marzo 2017;11,7 €/m2;+ 0,6 %;+ 3,6 %;+ 9,0 %
Febrero 2017;11,7 €/m2;+ 1,7 %;+ 5,0 %;+ 10,1 %
Enero 2017;11,5 €/m2;+ 1,3 %;+ 4,3 %;+ 10,3 %
Diciembre 2016;11,3 €/m2;+ 2,0 %;+ 3,8 %;+ 9,3 %
Noviembre 2016;11,1 €/m2;+ 1,0 %;+ 2,5 %;+ 7,0 %
Octubre 2016;11,0 €/m2;+ 0,8 %;+ 0,6 %;+ 6,5 %
Septiembre 2016;10,9 €/m2;+ 0,7 %;- 0,6 %;+ 5,8 %
Agosto 2016;10,8 €/m2;- 0,9 %;- 1,3 %;+ 4,7 %
Julio 2016;10,9 €/m2;- 0,4 %;+ 0,3 %;+ 4,7 %
Junio 2016;11,0 €/m2;0,0 %;+ 2,0 %;+ 5,3 %
Mayo 2016;11,0 €/m2;+ 0,7 %;+ 3,6 %;+ 5,6 %
Abril 2016;10,9 €/m2;+ 1,4 %;+ 4,9 %;+ 5,1 %
Marzo 2016;10,8 €/m2;+ 1,6 %;+ 3,8 %;+ 5,6 %
Febrero 2016;10,6 €/m2;+ 1,9 %;+ 2,0 %;+ 4,5 %
Enero 2016;10,4 €/m2;+ 0,3 %;+ 0,6 %;+ 3,7 %
Diciembre 2015;10,4 €/m2;- 0,2 %;+ 0,5 %;+ 3,3 %
Noviembre 2015;10,4 €/m2;+ 0,5 %;+ 0,3 %;+ 3,5 %
Octubre 2015;10,3 €/m2;+ 0,2 %;- 1,1 %;+ 3,1 %
Septiembre 2015;10,3 €/m2;- 0,4 %;- 1,1 %;+ 2,9 %
Agosto 2015;10,4 €/m2;- 0,9 %;- 0,4 %;+ 3,5 %
Julio 2015;10,4 €/m2;+ 0,2 %;+ 0,7 %;+ 4,6 %
Junio 2015;10,4 €/m2;+ 0,3 %;+ 2,4 %;+ 4,3 %
Mayo 2015;10,4 €/m2;+ 0,2 %;+ 2,6 %;+ 4,0 %
Abril 2015;10,4 €/m2;+ 1,8 %;+ 3,4 %;+ 3,7 %
Marzo 2015;10,2 €/m2;+ 0,5 %;+ 1,6 %;+ 1,8 %
Febrero 2015;10,1 €/m2;+ 1,1 %;+ 1,0 %;+ 1,3 %
Enero 2015;10,0 €/m2;0,0 %;0,0 %;+ 0,3 %
Diciembre 2014;10,0 €/m2;- 0,1 %;0,0 %;+ 0,3 %
Noviembre 2014;10,0 €/m2;+ 0,1 %;+ 0,2 %;+ 0,3 %
Octubre 2014;10,0 €/m2;0,0 %;+ 0,3 %;+ 0,2 %
Septiembre 2014;10,0 €/m2;+ 0,1 %;+ 0,2 %;+ 0,1 %
Agosto 2014;10,0 €/m2;+ 0,2 %;+ 0,1 %;0,0 %
Julio 2014;10,0 €/m2;- 0,1 %;- 0,1 %;- 0,2 %
Junio 2014;10,0 €/m2;0,0 %;0,0 %;- 1,2 %
Mayo 2014;10,0 €/m2;0,0 %;0,0 %;- 2,7 %
Abril 2014;10,0 €/m2;0,0 %;0,0 %;- 3,0 %
Marzo 2014;10,0 €/m2;0,0 %;0,0 %;- 2,6 %
Febrero 2014;10,0 €/m2;0,0 %;- 0,1 %;- 3,2 %
Enero 2014;10,0 €/m2;0,0 %;- 0,1 %;- 3,7 %
Diciembre 2013;10,0 €/m2;- 0,1 %;- 0,1 %;- 4,0 %
Noviembre 2013;10,0 €/m2;0,0 %;- 0,1 %;- 5,8 %
Octubre 2013;10,0 €/m2;- 0,1 %;- 0,1 %;- 6,0 %
Septiembre 2013;10,0 €/m2;0,0 %;- 1,0 %;- 6,4 %
Agosto 2013;10,0 €/m2;0,0 %;- 2,6 %;- 6,7 %
Julio 2013;10,0 €/m2;- 1,0 %;- 2,9 %;- 7,2 %
Junio 2013;10,1 €/m2;- 1,5 %;- 1,5 %;- 7,3 %
Mayo 2013;10,3 €/m2;- 0,3 %;- 0,6 %;- 5,3 %
Abril 2013;10,3 €/m2;+ 0,4 %;- 0,7 %;- 6,6 %
Marzo 2013;10,3 €/m2;- 0,6 %;- 1,4 %;- 7,2 %
Febrero 2013;10,3 €/m2;- 0,5 %;- 2,7 %;- 7,0 %
Enero 2013;10,4 €/m2;- 0,3 %;- 2,4 %;- 7,0 %
Diciembre 2012;10,4 €/m2;- 1,9 %;- 2,6 %;- 6,4 %
Noviembre 2012;10,6 €/m2;- 0,2 %;- 1,1 %;- 4,6 %
Octubre 2012;10,6 €/m2;- 0,5 %;- 1,4 %;- 4,3 %
Septiembre 2012;10,7 €/m2;- 0,3 %;- 2,0 %;- 3,4 %
Agosto 2012;10,7 €/m2;- 0,6 %;- 1,0 %;- 3,7 %
Julio 2012;10,8 €/m2;- 1,1 %;- 2,2 %;- 4,1 %
Junio 2012;10,9 €/m2;+ 0,7 %;- 1,3 %;- 3,5 %
Mayo 2012;10,8 €/m2;- 1,8 %;- 2,4 %;- 3,8 %
Abril 2012;11,0 €/m2;- 0,2 %;- 1,1 %;- 1,4 %
Marzo 2012;11,1 €/m2;- 0,4 %;- 0,6 %;- 1,1 %
Febrero 2012;11,1 €/m2;- 0,5 %;- 0,2 %;- 1,5 %
Enero 2012;11,2 €/m2;+ 0,3 %;+ 0,4 %;- 0,9 %
