Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;13,2 €/m2;+ 0,3 %;+ 3,5 %;+ 10,0 %
Enero 2023;13,1 €/m2;+ 2,1 %;+ 2,2 %;+ 9,4 %
Diciembre 2022;12,9 €/m2;+ 1,1 %;+ 1,1 %;+ 7,3 %
Noviembre 2022;12,7 €/m2;- 1,0 %;+ 1,8 %;+ 5,3 %
Octubre 2022;12,8 €/m2;+ 0,9 %;+ 4,7 %;+ 9,3 %
Septiembre 2022;12,7 €/m2;+ 1,8 %;+ 2,4 %;+ 9,2 %
Agosto 2022;12,5 €/m2;+ 1,9 %;+ 0,1 %;+ 6,9 %
Julio 2022;12,3 €/m2;- 1,2 %;- 1,5 %;+ 5,4 %
Junio 2022;12,4 €/m2;- 0,5 %;+ 3,8 %;+ 7,3 %
Mayo 2022;12,5 €/m2;+ 0,3 %;+ 4,3 %;+ 7,2 %
Abril 2022;12,5 €/m2;+ 4,0 %;+ 3,8 %;+ 5,9 %
Marzo 2022;12,0 €/m2;0,0 %;- 0,1 %;+ 1,3 %
Febrero 2022;12,0 €/m2;- 0,2 %;- 0,9 %;+ 2,1 %
Enero 2022;12,0 €/m2;+ 0,1 %;+ 2,1 %;+ 1,5 %
Diciembre 2021;12,0 €/m2;- 0,8 %;+ 2,8 %;- 0,8 %
Noviembre 2021;12,1 €/m2;+ 2,8 %;+ 3,4 %;- 1,7 %
Octubre 2021;11,8 €/m2;+ 0,8 %;+ 1,0 %;- 4,5 %
Septiembre 2021;11,7 €/m2;- 0,3 %;+ 0,6 %;- 6,7 %
Agosto 2021;11,7 €/m2;+ 0,4 %;+ 0,3 %;- 6,4 %
Julio 2021;11,6 €/m2;+ 0,5 %;- 1,0 %;- 6,8 %
Junio 2021;11,6 €/m2;- 0,6 %;- 1,9 %;- 8,3 %
Mayo 2021;11,7 €/m2;- 0,9 %;- 0,6 %;- 7,7 %
Abril 2021;11,8 €/m2;- 0,5 %;- 0,6 %;- 5,8 %
Marzo 2021;11,8 €/m2;+ 0,7 %;- 2,3 %;- 5,4 %
Febrero 2021;11,7 €/m2;- 0,8 %;- 4,6 %;- 7,0 %
Enero 2021;11,8 €/m2;- 2,2 %;- 4,0 %;- 5,2 %
Diciembre 2020;12,1 €/m2;- 1,7 %;- 3,2 %;- 2,6 %
Noviembre 2020;12,3 €/m2;- 0,1 %;- 1,5 %;- 1,7 %
Octubre 2020;12,3 €/m2;- 1,5 %;- 1,4 %;- 0,1 %
Septiembre 2020;12,5 €/m2;0,0 %;- 1,1 %;+ 3,1 %
Agosto 2020;12,5 €/m2;0,0 %;- 1,1 %;+ 2,0 %
Julio 2020;12,5 €/m2;- 1,1 %;+ 0,1 %;+ 2,8 %
Junio 2020;12,6 €/m2;0,0 %;+ 1,1 %;+ 5,4 %
Mayo 2020;12,6 €/m2;+ 1,2 %;+ 0,1 %;+ 10,2 %
Abril 2020;12,5 €/m2;0,0 %;+ 0,1 %;+ 9,7 %
Marzo 2020;12,5 €/m2;- 1,0 %;+ 0,6 %;+ 10,4 %
Febrero 2020;12,6 €/m2;+ 1,1 %;+ 0,9 %;+ 14,8 %
Enero 2020;12,5 €/m2;+ 0,5 %;+ 1,2 %;+ 12,5 %
Diciembre 2019;12,4 €/m2;- 0,7 %;+ 2,4 %;+ 9,1 %
Noviembre 2019;12,5 €/m2;+ 1,4 %;+ 2,1 %;+ 11,9 %
Octubre 2019;12,3 €/m2;+ 1,8 %;+ 1,5 %;+ 12,0 %
Septiembre 2019;12,1 €/m2;- 1,1 %;+ 1,0 %;+ 8,7 %
Agosto 2019;12,2 €/m2;+ 0,8 %;+ 6,9 %;+ 8,9 %
Julio 2019;12,1 €/m2;+ 1,3 %;+ 6,7 %;+ 8,0 %
Junio 2019;12,0 €/m2;+ 4,6 %;+ 6,0 %;+ 9,1 %
Mayo 2019;11,5 €/m2;+ 0,7 %;+ 4,2 %;+ 4,3 %
