Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;11,4 €/m2;+ 1,1 %;+ 0,9 %;+ 8,6 %
Enero 2023;11,3 €/m2;+ 0,5 %;+ 0,2 %;+ 7,1 %
Diciembre 2022;11,2 €/m2;- 0,7 %;+ 0,4 %;+ 8,4 %
Noviembre 2022;11,3 €/m2;+ 0,4 %;+ 1,7 %;+ 9,0 %
Octubre 2022;11,3 €/m2;+ 0,7 %;+ 1,9 %;+ 7,9 %
Septiembre 2022;11,2 €/m2;+ 0,5 %;+ 1,4 %;+ 7,1 %
Agosto 2022;11,1 €/m2;+ 0,7 %;+ 2,6 %;+ 7,6 %
Julio 2022;11,0 €/m2;+ 0,2 %;+ 4,1 %;+ 7,7 %
Junio 2022;11,0 €/m2;+ 1,7 %;+ 4,7 %;+ 7,6 %
Mayo 2022;10,8 €/m2;+ 2,2 %;+ 3,2 %;+ 5,2 %
Abril 2022;10,6 €/m2;+ 0,8 %;+ 0,7 %;+ 3,1 %
Marzo 2022;10,5 €/m2;+ 0,2 %;+ 1,7 %;+ 2,7 %
Febrero 2022;10,5 €/m2;- 0,3 %;+ 1,2 %;+ 0,1 %
Enero 2022;10,5 €/m2;+ 1,8 %;+ 1,0 %;+ 1,5 %
Diciembre 2021;10,3 €/m2;- 0,2 %;- 0,8 %;+ 1,0 %
Noviembre 2021;10,4 €/m2;- 0,6 %;+ 0,4 %;+ 2,0 %
Octubre 2021;10,4 €/m2;- 0,1 %;+ 1,8 %;+ 2,1 %
Septiembre 2021;10,4 €/m2;+ 1,0 %;+ 1,8 %;- 1,2 %
Agosto 2021;10,3 €/m2;+ 0,8 %;+ 0,3 %;- 2,5 %
Julio 2021;10,2 €/m2;0,0 %;- 0,3 %;- 3,5 %
Junio 2021;10,2 €/m2;- 0,5 %;0,0 %;- 7,8 %
Mayo 2021;10,3 €/m2;+ 0,2 %;- 1,7 %;- 6,9 %
Abril 2021;10,3 €/m2;+ 0,4 %;- 0,9 %;- 7,1 %
Marzo 2021;10,2 €/m2;- 2,3 %;0,0 %;- 7,5 %
Febrero 2021;10,5 €/m2;+ 1,0 %;+ 3,1 %;- 3,9 %
Enero 2021;10,4 €/m2;+ 1,3 %;+ 1,5 %;- 4,8 %
Diciembre 2020;10,2 €/m2;+ 0,7 %;- 3,0 %;- 5,7 %
Noviembre 2020;10,2 €/m2;- 0,5 %;- 4,0 %;- 5,7 %
Octubre 2020;10,2 €/m2;- 3,2 %;- 3,8 %;- 5,3 %
Septiembre 2020;10,6 €/m2;- 0,3 %;- 5,0 %;- 4,0 %
Agosto 2020;10,6 €/m2;- 0,3 %;- 4,2 %;- 5,8 %
Julio 2020;10,6 €/m2;- 4,4 %;- 4,1 %;- 2,7 %
Junio 2020;11,1 €/m2;+ 0,5 %;+ 0,4 %;+ 2,1 %
Mayo 2020;11,1 €/m2;- 0,1 %;+ 1,4 %;+ 2,6 %
Abril 2020;11,1 €/m2;0,0 %;+ 1,6 %;+ 4,9 %
Marzo 2020;11,1 €/m2;+ 1,5 %;+ 1,9 %;+ 6,5 %
Febrero 2020;10,9 €/m2;+ 0,1 %;+ 1,2 %;+ 3,3 %
Enero 2020;10,9 €/m2;+ 0,3 %;+ 1,0 %;+ 9,1 %
Diciembre 2019;10,9 €/m2;+ 0,8 %;- 1,2 %;+ 8,2 %
Noviembre 2019;10,8 €/m2;- 0,1 %;- 4,1 %;+ 4,4 %
Octubre 2019;10,8 €/m2;- 1,8 %;- 1,2 %;+ 7,9 %
Septiembre 2019;11,0 €/m2;- 2,1 %;+ 1,0 %;+ 9,7 %
Agosto 2019;11,2 €/m2;+ 2,9 %;+ 4,3 %;+ 12,2 %
Julio 2019;10,9 €/m2;+ 0,3 %;+ 3,4 %;+ 12,4 %
Junio 2019;10,9 €/m2;+ 1,0 %;+ 4,7 %;+ 15,0 %
Mayo 2019;10,8 €/m2;+ 2,1 %;+ 2,1 %;+ 16,5 %
Abril 2019;10,6 €/m2;+ 1,6 %;+ 5,8 %;+ 12,1 %
Marzo 2019;10,4 €/m2;- 1,5 %;+ 3,6 %;+ 5,5 %
Febrero 2019;10,6 €/m2;+ 5,7 %;+ 2,3 %;+ 12,4 %
Enero 2019;10,0 €/m2;- 0,5 %;- 0,2 %;+ 3,1 %
Diciembre 2018;10,0 €/m2;- 2,7 %;+ 0,2 %;+ 6,5 %
Noviembre 2018;10,3 €/m2;+ 3,2 %;+ 3,1 %;+ 9,0 %
Octubre 2018;10,0 €/m2;- 0,2 %;+ 3,0 %;+ 4,5 %
Septiembre 2018;10,0 €/m2;+ 0,1 %;+ 5,9 %;+ 5,6 %
Agosto 2018;10,0 €/m2;+ 3,1 %;+ 8,3 %;+ 7,1 %
Julio 2018;9,7 €/m2;+ 2,6 %;+ 3,1 %;+ 3,5 %
Junio 2018;9,5 €/m2;+ 2,4 %;- 4,0 %;+ 5,0 %
Mayo 2018;9,2 €/m2;- 1,8 %;- 1,5 %;- 0,5 %
Abril 2018;9,4 €/m2;- 4,4 %;- 2,8 %;+ 1,1 %
Marzo 2018;9,9 €/m2;+ 5,0 %;+ 4,5 %;+ 4,3 %
Febrero 2018;9,4 €/m2;- 3,1 %;- 0,8 %;- 0,7 %
Enero 2018;9,7 €/m2;+ 2,7 %;+ 1,2 %;+ 8,6 %
Diciembre 2017;9,4 €/m2;- 0,4 %;- 0,7 %;+ 5,8 %
Noviembre 2017;9,5 €/m2;- 1,1 %;+ 1,2 %;+ 3,0 %
Octubre 2017;9,6 €/m2;+ 0,8 %;+ 2,0 %;+ 4,0 %
Septiembre 2017;9,5 €/m2;+ 1,5 %;+ 5,3 %;+ 3,1 %
Agosto 2017;9,4 €/m2;- 0,4 %;+ 0,6 %;+ 5,9 %
Julio 2017;9,4 €/m2;+ 4,1 %;+ 0,7 %;+ 7,8 %
Junio 2017;9,0 €/m2;- 3,0 %;- 4,7 %;+ 5,1 %
Mayo 2017;9,3 €/m2;- 0,3 %;- 1,7 %;+ 9,6 %
Abril 2017;9,3 €/m2;- 1,4 %;+ 4,5 %;+ 10,2 %
Marzo 2017;9,5 €/m2;0,0 %;+ 6,1 %;+ 8,0 %
Febrero 2017;9,5 €/m2;+ 6,0 %;+ 2,9 %;+ 5,7 %
Enero 2017;8,9 €/m2;+ 0,1 %;- 3,1 %;+ 3,3 %
Diciembre 2016;8,9 €/m2;- 3,0 %;- 3,3 %;+ 3,2 %
Noviembre 2016;9,2 €/m2;- 0,2 %;+ 4,1 %;+ 6,5 %
Octubre 2016;9,2 €/m2;0,0 %;+ 5,8 %;+ 6,8 %
Septiembre 2016;9,2 €/m2;+ 4,3 %;+ 7,4 %;+ 9,1 %
Agosto 2016;8,8 €/m2;+ 1,4 %;+ 4,1 %;+ 4,5 %
Julio 2016;8,7 €/m2;+ 1,5 %;+ 3,0 %;+ 4,3 %
Junio 2016;8,6 €/m2;+ 1,1 %;- 2,0 %;+ 2,9 %
Mayo 2016;8,5 €/m2;+ 0,3 %;- 5,2 %;+ 1,9 %
Abril 2016;8,5 €/m2;- 3,4 %;- 2,1 %;+ 2,3 %
Marzo 2016;8,8 €/m2;- 2,2 %;+ 1,3 %;+ 6,1 %
Febrero 2016;8,9 €/m2;+ 3,6 %;+ 3,7 %;+ 9,0 %
Enero 2016;8,6 €/m2;0,0 %;+ 0,2 %;+ 9,9 %
Diciembre 2015;8,6 €/m2;+ 0,1 %;+ 2,3 %;+ 14,3 %
Noviembre 2015;8,6 €/m2;0,0 %;+ 2,1 %;+ 11,5 %
Octubre 2015;8,6 €/m2;+ 2,1 %;+ 3,3 %;+ 9,1 %
Septiembre 2015;8,4 €/m2;- 0,1 %;+ 1,3 %;+ 3,0 %
Agosto 2015;8,4 €/m2;+ 1,2 %;+ 1,5 %;+ 1,4 %
Julio 2015;8,3 €/m2;+ 0,1 %;+ 1,0 %;+ 0,1 %
Junio 2015;8,3 €/m2;+ 0,1 %;+ 1,1 %;0,0 %
Mayo 2015;8,3 €/m2;+ 0,7 %;+ 1,4 %;+ 1,4 %
