Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;12,6 €/m2;- 0,4 %;- 0,5 %;+ 7,7 %
Enero 2023;12,6 €/m2;- 0,3 %;+ 1,1 %;+ 8,2 %
Diciembre 2022;12,7 €/m2;+ 0,2 %;+ 1,4 %;+ 8,5 %
Noviembre 2022;12,7 €/m2;+ 1,2 %;+ 3,0 %;+ 8,3 %
Octubre 2022;12,5 €/m2;0,0 %;+ 1,7 %;+ 8,2 %
Septiembre 2022;12,5 €/m2;+ 1,8 %;+ 3,1 %;+ 8,6 %
Agosto 2022;12,3 €/m2;- 0,1 %;+ 2,5 %;+ 7,6 %
Julio 2022;12,3 €/m2;+ 1,3 %;+ 3,4 %;+ 8,2 %
Junio 2022;12,1 €/m2;+ 1,2 %;+ 3,1 %;+ 6,1 %
Mayo 2022;12,0 €/m2;+ 0,8 %;+ 2,5 %;+ 4,2 %
Abril 2022;11,9 €/m2;+ 1,1 %;+ 1,8 %;+ 3,4 %
Marzo 2022;11,8 €/m2;+ 0,6 %;+ 0,7 %;+ 3,0 %
Febrero 2022;11,7 €/m2;+ 0,1 %;0,0 %;+ 2,6 %
Enero 2022;11,7 €/m2;0,0 %;+ 1,0 %;+ 2,3 %
Diciembre 2021;11,7 €/m2;- 0,1 %;+ 1,5 %;+ 1,0 %
Noviembre 2021;11,7 €/m2;+ 1,1 %;+ 2,4 %;- 0,2 %
Octubre 2021;11,6 €/m2;+ 0,4 %;+ 1,8 %;- 3,5 %
Septiembre 2021;11,5 €/m2;+ 0,8 %;+ 0,7 %;- 4,9 %
Agosto 2021;11,4 €/m2;+ 0,5 %;- 0,8 %;- 6,7 %
Julio 2021;11,4 €/m2;- 0,6 %;- 1,2 %;- 8,9 %
Junio 2021;11,4 €/m2;- 0,6 %;+ 0,1 %;- 10,1 %
Mayo 2021;11,5 €/m2;+ 0,1 %;+ 1,0 %;- 8,4 %
Abril 2021;11,5 €/m2;+ 0,6 %;+ 0,7 %;- 8,2 %
Marzo 2021;11,4 €/m2;+ 0,2 %;- 1,2 %;- 8,7 %
Febrero 2021;11,4 €/m2;- 0,2 %;- 2,7 %;- 7,2 %
Enero 2021;11,4 €/m2;- 1,2 %;- 4,6 %;- 5,0 %
Diciembre 2020;11,6 €/m2;- 1,3 %;- 4,5 %;- 3,7 %
Noviembre 2020;11,7 €/m2;- 2,2 %;- 4,3 %;- 1,8 %
Octubre 2020;12,0 €/m2;- 1,1 %;- 4,0 %;+ 0,7 %
Septiembre 2020;12,1 €/m2;- 1,0 %;- 4,8 %;+ 0,8 %
Agosto 2020;12,2 €/m2;- 1,9 %;- 2,6 %;+ 3,0 %
Julio 2020;12,5 €/m2;- 1,9 %;- 0,4 %;+ 4,6 %
Junio 2020;12,7 €/m2;+ 1,2 %;+ 1,6 %;+ 6,7 %
Mayo 2020;12,6 €/m2;+ 0,3 %;+ 2,3 %;+ 7,6 %
Abril 2020;12,5 €/m2;+ 0,1 %;+ 4,1 %;+ 7,8 %
Marzo 2020;12,5 €/m2;+ 1,8 %;+ 4,2 %;+ 8,3 %
Febrero 2020;12,3 €/m2;+ 2,2 %;+ 3,0 %;+ 6,4 %
Enero 2020;12,0 €/m2;+ 0,2 %;+ 1,1 %;+ 5,2 %
Diciembre 2019;12,0 €/m2;+ 0,6 %;- 0,1 %;+ 3,1 %
Noviembre 2019;11,9 €/m2;+ 0,3 %;+ 0,4 %;+ 4,0 %
Octubre 2019;11,9 €/m2;- 1,0 %;- 0,3 %;+ 5,0 %
Septiembre 2019;12,0 €/m2;+ 1,2 %;+ 0,8 %;+ 7,5 %
Agosto 2019;11,9 €/m2;- 0,4 %;+ 1,7 %;+ 8,7 %
Julio 2019;11,9 €/m2;0,0 %;+ 2,7 %;+ 7,5 %
Junio 2019;11,9 €/m2;+ 2,1 %;+ 3,2 %;+ 7,3 %
Mayo 2019;11,7 €/m2;+ 0,6 %;+ 1,2 %;+ 6,5 %
Abril 2019;11,6 €/m2;+ 0,6 %;+ 1,6 %;+ 4,5 %
Marzo 2019;11,5 €/m2;0,0 %;- 0,8 %;+ 4,9 %
Febrero 2019;11,5 €/m2;+ 1,0 %;+ 0,7 %;+ 5,8 %
Enero 2019;11,4 €/m2;- 1,8 %;+ 0,9 %;+ 6,0 %
Diciembre 2018;11,6 €/m2;+ 1,5 %;+ 4,2 %;+ 9,6 %
Noviembre 2018;11,5 €/m2;+ 1,2 %;+ 4,9 %;+ 11,2 %
Octubre 2018;11,3 €/m2;+ 1,4 %;+ 2,1 %;+ 13,2 %
Septiembre 2018;11,2 €/m2;+ 2,2 %;+ 0,6 %;+ 11,7 %
Agosto 2018;10,9 €/m2;- 1,5 %;- 0,3 %;+ 9,4 %
Julio 2018;11,1 €/m2;- 0,1 %;- 0,1 %;+ 10,9 %
Junio 2018;11,1 €/m2;+ 1,3 %;+ 0,9 %;+ 13,1 %
Mayo 2018;11,0 €/m2;- 1,3 %;+ 0,4 %;+ 11,3 %
Abril 2018;11,1 €/m2;+ 1,0 %;+ 3,0 %;+ 12,7 %
Marzo 2018;11,0 €/m2;+ 0,8 %;+ 3,6 %;+ 12,8 %
Febrero 2018;10,9 €/m2;+ 1,2 %;+ 5,9 %;+ 12,3 %
Enero 2018;10,8 €/m2;+ 1,6 %;+ 7,8 %;+ 11,2 %
Diciembre 2017;10,6 €/m2;+ 3,0 %;+ 6,2 %;+ 10,8 %
Noviembre 2017;10,3 €/m2;+ 3,0 %;+ 3,2 %;+ 9,6 %
Octubre 2017;10,0 €/m2;+ 0,1 %;0,0 %;+ 7,9 %
Septiembre 2017;10,0 €/m2;+ 0,1 %;+ 1,9 %;+ 8,5 %
Agosto 2017;10,0 €/m2;- 0,2 %;+ 1,5 %;+ 8,3 %
Julio 2017;10,0 €/m2;+ 2,0 %;+ 1,5 %;+ 8,7 %
Junio 2017;9,8 €/m2;- 0,3 %;+ 0,6 %;+ 7,6 %
Mayo 2017;9,8 €/m2;- 0,2 %;+ 1,3 %;+ 8,3 %
Abril 2017;9,9 €/m2;+ 1,1 %;+ 1,7 %;+ 9,5 %
