Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;13,6 €/m2;+ 1,8 %;+ 6,3 %;+ 19,9 %
Enero 2023;13,3 €/m2;+ 3,7 %;+ 3,1 %;+ 18,0 %
Diciembre 2022;12,9 €/m2;+ 0,7 %;- 0,3 %;+ 13,5 %
Noviembre 2022;12,8 €/m2;- 1,3 %;- 2,7 %;+ 11,4 %
Octubre 2022;12,9 €/m2;+ 0,2 %;- 1,6 %;+ 12,1 %
Septiembre 2022;12,9 €/m2;- 1,7 %;+ 0,5 %;+ 12,2 %
Agosto 2022;13,1 €/m2;- 0,2 %;+ 4,8 %;+ 17,6 %
Julio 2022;13,1 €/m2;+ 2,4 %;+ 11,1 %;+ 20,1 %
Junio 2022;12,8 €/m2;+ 2,5 %;+ 13,1 %;+ 18,1 %
Mayo 2022;12,5 €/m2;+ 5,9 %;+ 10,7 %;+ 11,9 %
Abril 2022;11,8 €/m2;+ 4,2 %;+ 4,7 %;+ 4,3 %
Marzo 2022;11,4 €/m2;+ 0,3 %;+ 0,2 %;+ 3,0 %
Febrero 2022;11,3 €/m2;+ 0,2 %;- 1,3 %;+ 1,9 %
Enero 2022;11,3 €/m2;- 0,3 %;- 2,1 %;+ 0,5 %
Diciembre 2021;11,3 €/m2;- 1,2 %;- 1,5 %;- 0,4 %
Noviembre 2021;11,5 €/m2;- 0,6 %;+ 2,7 %;- 0,5 %
Octubre 2021;11,5 €/m2;+ 0,3 %;+ 5,4 %;- 1,6 %
Septiembre 2021;11,5 €/m2;+ 3,0 %;+ 5,7 %;- 3,6 %
Agosto 2021;11,2 €/m2;+ 2,0 %;- 0,3 %;- 6,1 %
Julio 2021;10,9 €/m2;+ 0,7 %;- 3,5 %;- 9,8 %
Junio 2021;10,9 €/m2;- 2,9 %;- 1,4 %;- 13,0 %
Mayo 2021;11,2 €/m2;- 1,3 %;+ 0,8 %;- 10,4 %
Abril 2021;11,3 €/m2;+ 2,9 %;+ 1,0 %;- 8,3 %
Marzo 2021;11,0 €/m2;- 0,7 %;- 3,0 %;- 10,7 %
Febrero 2021;11,1 €/m2;- 1,2 %;- 3,6 %;- 8,4 %
