Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;11,8 €/m2;- 1,3 %;+ 1,1 %;+ 5,7 %
Enero 2023;12,0 €/m2;+ 0,8 %;+ 3,2 %;+ 6,5 %
Diciembre 2022;11,9 €/m2;+ 1,6 %;+ 1,7 %;+ 6,5 %
Noviembre 2022;11,7 €/m2;+ 0,8 %;+ 0,3 %;+ 4,1 %
Octubre 2022;11,6 €/m2;- 0,7 %;- 1,5 %;+ 3,7 %
Septiembre 2022;11,7 €/m2;+ 0,3 %;- 1,0 %;+ 5,2 %
Agosto 2022;11,7 €/m2;- 1,0 %;+ 0,8 %;+ 4,2 %
Julio 2022;11,8 €/m2;- 0,2 %;+ 4,1 %;+ 5,7 %
Junio 2022;11,8 €/m2;+ 2,1 %;+ 6,3 %;+ 7,1 %
Mayo 2022;11,6 €/m2;+ 2,2 %;+ 3,4 %;+ 2,8 %
Abril 2022;11,3 €/m2;+ 2,0 %;+ 0,6 %;+ 0,8 %
Marzo 2022;11,1 €/m2;- 0,8 %;- 0,6 %;- 0,1 %
Febrero 2022;11,2 €/m2;- 0,6 %;- 0,5 %;+ 0,8 %
Enero 2022;11,3 €/m2;+ 0,8 %;+ 0,5 %;+ 0,5 %
Diciembre 2021;11,2 €/m2;- 0,7 %;+ 0,5 %;- 2,3 %
Noviembre 2021;11,2 €/m2;+ 0,4 %;+ 0,4 %;- 2,9 %
Octubre 2021;11,2 €/m2;+ 0,8 %;+ 0,5 %;- 4,0 %
Septiembre 2021;11,1 €/m2;- 0,7 %;+ 0,8 %;- 3,7 %
Agosto 2021;11,2 €/m2;+ 0,4 %;- 0,5 %;- 5,3 %
Julio 2021;11,1 €/m2;+ 1,2 %;- 0,7 %;- 4,4 %
Junio 2021;11,0 €/m2;- 2,1 %;- 0,9 %;- 3,4 %
Mayo 2021;11,2 €/m2;+ 0,2 %;+ 1,4 %;- 0,6 %
Abril 2021;11,2 €/m2;+ 1,0 %;+ 0,3 %;- 2,9 %
Marzo 2021;11,1 €/m2;+ 0,2 %;- 2,7 %;- 3,4 %
Febrero 2021;11,1 €/m2;- 0,9 %;- 4,2 %;- 1,1 %
Enero 2021;11,2 €/m2;- 2,0 %;- 4,0 %;+ 0,6 %
Diciembre 2020;11,4 €/m2;- 1,3 %;- 0,9 %;+ 1,0 %
