Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;20,0 €/m2;- 0,1 %;+ 4,9 %;+ 16,5 %
Enero 2023;20,0 €/m2;+ 1,4 %;+ 7,2 %;+ 16,4 %
Diciembre 2022;19,7 €/m2;+ 3,6 %;+ 7,7 %;+ 15,1 %
Noviembre 2022;19,0 €/m2;+ 2,0 %;+ 5,7 %;+ 11,3 %
Octubre 2022;18,7 €/m2;+ 1,9 %;+ 3,6 %;+ 10,5 %
Septiembre 2022;18,3 €/m2;+ 1,7 %;+ 1,9 %;+ 9,8 %
Agosto 2022;18,0 €/m2;0,0 %;+ 1,3 %;+ 10,0 %
Julio 2022;18,0 €/m2;+ 0,2 %;+ 2,0 %;+ 10,5 %
Junio 2022;18,0 €/m2;+ 1,1 %;+ 3,8 %;+ 10,6 %
Mayo 2022;17,8 €/m2;+ 0,7 %;+ 3,7 %;+ 10,4 %
Abril 2022;17,6 €/m2;+ 1,9 %;+ 2,7 %;+ 9,2 %
Marzo 2022;17,3 €/m2;+ 1,0 %;+ 1,0 %;+ 7,2 %
Febrero 2022;17,1 €/m2;- 0,2 %;+ 0,3 %;+ 6,9 %
Enero 2022;17,2 €/m2;+ 0,3 %;+ 1,8 %;+ 6,2 %
Diciembre 2021;17,1 €/m2;+ 0,2 %;+ 2,8 %;+ 4,0 %
Noviembre 2021;17,1 €/m2;+ 1,3 %;+ 4,5 %;+ 1,6 %
Octubre 2021;16,9 €/m2;+ 1,2 %;+ 3,5 %;- 1,6 %
Septiembre 2021;16,7 €/m2;+ 1,9 %;+ 2,6 %;- 3,8 %
Agosto 2021;16,4 €/m2;+ 0,4 %;+ 1,6 %;- 6,8 %
Julio 2021;16,3 €/m2;+ 0,3 %;+ 0,9 %;- 8,4 %
Junio 2021;16,2 €/m2;+ 0,9 %;+ 0,6 %;- 10,5 %
Mayo 2021;16,1 €/m2;- 0,4 %;+ 0,4 %;- 13,0 %
Abril 2021;16,2 €/m2;0,0 %;- 0,2 %;- 11,9 %
Marzo 2021;16,2 €/m2;+ 0,8 %;- 1,9 %;- 11,9 %
Febrero 2021;16,0 €/m2;- 0,9 %;- 4,7 %;- 11,5 %
Enero 2021;16,2 €/m2;- 1,7 %;- 5,6 %;- 10,1 %
Diciembre 2020;16,5 €/m2;- 2,2 %;- 5,0 %;- 8,8 %
Noviembre 2020;16,8 €/m2;- 1,8 %;- 4,1 %;- 7,3 %
Octubre 2020;17,1 €/m2;- 1,1 %;- 3,7 %;- 6,5 %
Septiembre 2020;17,3 €/m2;- 1,3 %;- 4,5 %;- 4,8 %
Agosto 2020;17,6 €/m2;- 1,3 %;- 5,1 %;- 2,4 %
Julio 2020;17,8 €/m2;- 2,0 %;- 3,0 %;- 1,1 %
Junio 2020;18,1 €/m2;- 1,9 %;- 1,0 %;- 0,3 %
Mayo 2020;18,5 €/m2;+ 0,8 %;+ 2,0 %;+ 1,6 %
Abril 2020;18,3 €/m2;0,0 %;+ 1,9 %;+ 0,2 %
Marzo 2020;18,3 €/m2;+ 1,2 %;+ 1,5 %;+ 0,7 %
Febrero 2020;18,1 €/m2;+ 0,7 %;- 0,1 %;+ 0,8 %
Enero 2020;18,0 €/m2;- 0,3 %;- 1,8 %;- 0,2 %
Diciembre 2019;18,1 €/m2;- 0,5 %;- 0,8 %;+ 0,3 %
Noviembre 2019;18,2 €/m2;- 1,0 %;+ 0,9 %;+ 1,7 %
Octubre 2019;18,3 €/m2;+ 0,7 %;+ 1,9 %;+ 3,7 %
Septiembre 2019;18,2 €/m2;+ 1,2 %;0,0 %;+ 4,0 %
Agosto 2019;18,0 €/m2;0,0 %;- 1,2 %;+ 2,8 %
Julio 2019;18,0 €/m2;- 1,1 %;- 1,7 %;+ 1,8 %
Junio 2019;18,2 €/m2;0,0 %;0,0 %;+ 2,9 %
Mayo 2019;18,2 €/m2;- 0,5 %;+ 1,2 %;+ 4,0 %
Abril 2019;18,3 €/m2;+ 0,5 %;+ 1,4 %;+ 5,8 %
Marzo 2019;18,2 €/m2;+ 1,2 %;+ 1,1 %;+ 4,7 %
Febrero 2019;18,0 €/m2;- 0,3 %;+ 0,7 %;+ 2,1 %
Enero 2019;18,0 €/m2;+ 0,2 %;+ 2,0 %;+ 3,9 %
Diciembre 2018;18,0 €/m2;+ 0,8 %;+ 2,9 %;+ 7,5 %
Noviembre 2018;17,9 €/m2;+ 1,0 %;+ 2,0 %;+ 7,3 %
Octubre 2018;17,7 €/m2;+ 1,0 %;+ 0,1 %;+ 7,5 %
Septiembre 2018;17,5 €/m2;0,0 %;- 1,0 %;+ 7,8 %
Agosto 2018;17,5 €/m2;- 0,9 %;+ 0,1 %;+ 8,0 %
Julio 2018;17,7 €/m2;- 0,1 %;+ 2,1 %;+ 9,0 %
Junio 2018;17,7 €/m2;+ 1,1 %;+ 1,7 %;+ 10,4 %
Mayo 2018;17,5 €/m2;+ 1,1 %;- 0,7 %;+ 10,0 %
Abril 2018;17,3 €/m2;- 0,5 %;- 0,3 %;+ 9,4 %
Marzo 2018;17,4 €/m2;- 1,2 %;+ 3,8 %;+ 10,8 %
Febrero 2018;17,6 €/m2;+ 1,4 %;+ 5,8 %;+ 12,2 %
Enero 2018;17,4 €/m2;+ 3,6 %;+ 5,5 %;+ 10,6 %
Diciembre 2017;16,7 €/m2;+ 0,6 %;+ 3,2 %;+ 7,3 %
Noviembre 2017;16,6 €/m2;+ 1,2 %;+ 2,7 %;+ 7,8 %
Octubre 2017;16,4 €/m2;+ 1,3 %;+ 1,5 %;+ 9,0 %
Septiembre 2017;16,2 €/m2;+ 0,1 %;+ 1,3 %;+ 8,3 %
Agosto 2017;16,2 €/m2;0,0 %;+ 1,9 %;+ 8,1 %
Julio 2017;16,2 €/m2;+ 1,1 %;+ 2,4 %;+ 8,1 %
Junio 2017;16,0 €/m2;+ 0,7 %;+ 2,1 %;+ 6,9 %
Mayo 2017;15,9 €/m2;+ 0,6 %;+ 1,3 %;+ 6,1 %
Abril 2017;15,8 €/m2;+ 0,8 %;+ 0,8 %;+ 5,5 %
Marzo 2017;15,7 €/m2;0,0 %;+ 0,6 %;+ 4,7 %
Febrero 2017;15,7 €/m2;0,0 %;+ 1,7 %;+ 7,1 %
Enero 2017;15,7 €/m2;+ 0,6 %;+ 4,0 %;+ 8,8 %
Diciembre 2016;15,6 €/m2;+ 1,1 %;+ 4,1 %;+ 10,4 %
Noviembre 2016;15,4 €/m2;+ 2,3 %;+ 3,0 %;+ 9,2 %
Octubre 2016;15,1 €/m2;+ 0,7 %;+ 0,7 %;+ 9,5 %
Septiembre 2016;15,0 €/m2;0,0 %;0,0 %;+ 9,1 %
Agosto 2016;15,0 €/m2;0,0 %;0,0 %;+ 9,1 %
Julio 2016;15,0 €/m2;0,0 %;0,0 %;+ 9,1 %
Junio 2016;15,0 €/m2;0,0 %;0,0 %;+ 9,1 %
Mayo 2016;15,0 €/m2;0,0 %;+ 2,3 %;+ 8,7 %
Abril 2016;15,0 €/m2;0,0 %;+ 3,9 %;+ 8,6 %
Marzo 2016;15,0 €/m2;+ 2,3 %;+ 6,0 %;+ 8,0 %
Febrero 2016;14,7 €/m2;+ 1,5 %;+ 3,7 %;+ 6,6 %
Enero 2016;14,4 €/m2;+ 2,1 %;+ 4,7 %;+ 5,0 %
Diciembre 2015;14,1 €/m2;0,0 %;+ 2,9 %;+ 2,9 %
Noviembre 2015;14,1 €/m2;+ 2,5 %;+ 2,9 %;+ 3,1 %
Octubre 2015;13,8 €/m2;+ 0,3 %;+ 0,3 %;+ 1,6 %
Septiembre 2015;13,7 €/m2;0,0 %;0,0 %;+ 2,7 %
Agosto 2015;13,7 €/m2;0,0 %;- 0,3 %;+ 1,8 %
Julio 2015;13,7 €/m2;0,0 %;- 0,5 %;+ 3,1 %
Junio 2015;13,7 €/m2;- 0,3 %;- 1,0 %;+ 3,1 %
Mayo 2015;13,8 €/m2;- 0,1 %;+ 0,4 %;+ 4,4 %
Abril 2015;13,8 €/m2;- 0,6 %;+ 0,5 %;+ 4,7 %
Marzo 2015;13,9 €/m2;+ 1,0 %;+ 1,0 %;+ 5,4 %
Febrero 2015;13,7 €/m2;0,0 %;+ 0,2 %;+ 4,5 %
Enero 2015;13,7 €/m2;0,0 %;+ 1,3 %;+ 3,8 %
Diciembre 2014;13,7 €/m2;+ 0,3 %;+ 2,7 %;+ 3,1 %
Noviembre 2014;13,7 €/m2;+ 1,0 %;+ 1,6 %;+ 2,8 %
Octubre 2014;13,6 €/m2;+ 1,4 %;+ 1,8 %;+ 1,8 %
Septiembre 2014;13,4 €/m2;- 0,8 %;+ 0,4 %;+ 0,4 %
Agosto 2014;13,5 €/m2;+ 1,2 %;+ 2,2 %;+ 1,3 %
Julio 2014;13,3 €/m2;0,0 %;+ 1,1 %;0,0 %
Junio 2014;13,3 €/m2;+ 1,0 %;+ 1,1 %;0,0 %
Mayo 2014;13,2 €/m2;+ 0,1 %;+ 0,4 %;- 0,9 %
Abril 2014;13,2 €/m2;+ 0,1 %;- 0,4 %;- 1,9 %
Marzo 2014;13,2 €/m2;+ 0,3 %;- 1,1 %;- 2,3 %
Febrero 2014;13,1 €/m2;- 0,7 %;- 1,4 %;- 3,3 %
Enero 2014;13,2 €/m2;- 0,7 %;- 0,7 %;- 1,8 %
Diciembre 2013;13,3 €/m2;0,0 %;0,0 %;- 0,9 %
Noviembre 2013;13,3 €/m2;0,0 %;0,0 %;- 2,2 %
Octubre 2013;13,3 €/m2;0,0 %;0,0 %;- 2,8 %
Septiembre 2013;13,3 €/m2;0,0 %;0,0 %;- 4,2 %
Agosto 2013;13,3 €/m2;0,0 %;0,0 %;- 4,2 %
Julio 2013;13,3 €/m2;0,0 %;- 0,8 %;- 4,7 %
Junio 2013;13,3 €/m2;0,0 %;- 1,2 %;- 5,5 %
Mayo 2013;13,3 €/m2;- 0,8 %;- 1,9 %;- 5,8 %
Abril 2013;13,4 €/m2;- 0,4 %;- 0,4 %;- 4,8 %
Marzo 2013;13,5 €/m2;- 0,7 %;+ 0,3 %;- 4,4 %
Febrero 2013;13,6 €/m2;+ 0,7 %;- 0,3 %;- 3,9 %
Enero 2013;13,5 €/m2;+ 0,3 %;- 1,7 %;- 5,5 %
Diciembre 2012;13,4 €/m2;- 1,3 %;- 3,3 %;- 6,4 %
Noviembre 2012;13,6 €/m2;- 0,7 %;- 2,1 %;- 5,4 %
Octubre 2012;13,7 €/m2;- 1,4 %;- 1,9 %;- 4,0 %
Septiembre 2012;13,9 €/m2;0,0 %;- 1,3 %;- 4,1 %
Agosto 2012;13,9 €/m2;- 0,5 %;- 1,7 %;- 4,0 %
Julio 2012;14,0 €/m2;- 0,8 %;- 0,9 %;- 4,1 %
Junio 2012;14,1 €/m2;- 0,4 %;- 0,1 %;- 3,7 %
Mayo 2012;14,2 €/m2;+ 0,3 %;+ 0,1 %;- 3,8 %
Abril 2012;14,1 €/m2;0,0 %;- 1,2 %;- 3,6 %
Marzo 2012;14,1 €/m2;- 0,2 %;- 1,8 %;- 3,5 %
Febrero 2012;14,1 €/m2;- 1,0 %;- 1,8 %;- 3,5 %
Enero 2012;14,3 €/m2;- 0,6 %;- 0,1 %;- 2,3 %
Diciembre 2011;14,4 €/m2;- 0,2 %;- 0,9 %;- 1,2 %
Noviembre 2011;14,4 €/m2;+ 0,8 %;- 0,7 %;- 1,5 %
Octubre 2011;14,3 €/m2;- 1,5 %;- 2,0 %;- 4,7 %
Septiembre 2011;14,5 €/m2;0,0 %;- 0,9 %;- 1,8 %
Agosto 2011;14,5 €/m2;- 0,6 %;- 1,4 %;- 3,3 %
Julio 2011;14,6 €/m2;- 0,4 %;- 0,3 %;- 4,4 %
Junio 2011;14,6 €/m2;- 0,5 %;+ 0,1 %;- 5,3 %
Mayo 2011;14,7 €/m2;+ 0,5 %;+ 0,3 %;- 2,0 %
Abril 2011;14,6 €/m2;0,0 %;+ 0,1 %;+ 0,6 %
Marzo 2011;14,6 €/m2;- 0,2 %;+ 0,5 %;+ 3,4 %
Febrero 2011;14,7 €/m2;+ 0,3 %;+ 0,3 %;+ 0,7 %
Enero 2011;14,6 €/m2;+ 0,5 %;- 2,6 %;+ 0,2 %
Diciembre 2010;14,5 €/m2;- 0,5 %;- 1,5 %;- 2,3 %
Noviembre 2010;14,6 €/m2;- 2,6 %;- 2,6 %;- 1,7 %
Octubre 2010;15,0 €/m2;+ 1,6 %;- 1,7 %;+ 0,7 %
Septiembre 2010;14,8 €/m2;- 1,6 %;- 4,5 %;- 4,1 %
Agosto 2010;15,0 €/m2;- 1,7 %;0,0 %;- 5,3 %
Julio 2010;15,3 €/m2;- 1,3 %;+ 4,9 %;n.d.
Junio 2010;15,5 €/m2;+ 3,1 %;+ 9,3 %;n.d.
Mayo 2010;15,0 €/m2;+ 3,1 %;+ 3,1 %;n.d.
Abril 2010;14,5 €/m2;+ 2,8 %;- 0,2 %;n.d.
Marzo 2010;14,1 €/m2;- 2,8 %;- 5,0 %;n.d.
Febrero 2010;14,6 €/m2;- 0,2 %;- 2,2 %;n.d.
Enero 2010;14,6 €/m2;- 2,1 %;- 2,1 %;n.d.
