Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;21,4 €/m2;+ 1,3 %;+ 7,1 %;+ 16,9 %
Enero 2023;21,1 €/m2;+ 4,1 %;+ 9,0 %;+ 18,4 %
Diciembre 2022;20,3 €/m2;+ 1,5 %;+ 5,9 %;+ 15,7 %
Noviembre 2022;20,0 €/m2;+ 3,1 %;+ 5,9 %;+ 14,2 %
Octubre 2022;19,4 €/m2;+ 1,2 %;+ 4,1 %;+ 13,1 %
Septiembre 2022;19,2 €/m2;+ 1,5 %;+ 3,6 %;+ 14,3 %
Agosto 2022;18,9 €/m2;+ 1,4 %;+ 2,3 %;+ 14,5 %
Julio 2022;18,6 €/m2;+ 0,7 %;+ 1,0 %;+ 14,6 %
Junio 2022;18,5 €/m2;+ 0,2 %;0,0 %;+ 14,1 %
Mayo 2022;18,5 €/m2;+ 0,1 %;+ 0,7 %;+ 13,6 %
Abril 2022;18,4 €/m2;- 0,3 %;+ 3,3 %;+ 13,5 %
Marzo 2022;18,5 €/m2;+ 0,9 %;+ 5,4 %;+ 13,0 %
Febrero 2022;18,3 €/m2;+ 2,7 %;+ 4,7 %;+ 11,3 %
Enero 2022;17,9 €/m2;+ 1,7 %;+ 4,1 %;+ 8,6 %
Diciembre 2021;17,6 €/m2;+ 0,3 %;+ 4,7 %;+ 5,3 %
Noviembre 2021;17,5 €/m2;+ 2,1 %;+ 6,1 %;+ 2,4 %
Octubre 2021;17,1 €/m2;+ 2,2 %;+ 5,5 %;- 2,0 %
Septiembre 2021;16,8 €/m2;+ 1,6 %;+ 3,5 %;- 5,7 %
Agosto 2021;16,5 €/m2;+ 1,5 %;+ 1,6 %;- 7,6 %
Julio 2021;16,3 €/m2;+ 0,3 %;0,0 %;- 9,7 %
Junio 2021;16,2 €/m2;- 0,2 %;- 1,0 %;- 13,2 %
Mayo 2021;16,2 €/m2;0,0 %;- 1,3 %;- 16,1 %
Abril 2021;16,2 €/m2;- 0,7 %;- 1,2 %;- 15,3 %
Marzo 2021;16,4 €/m2;- 0,6 %;- 1,8 %;- 14,6 %
Febrero 2021;16,5 €/m2;+ 0,1 %;- 3,6 %;- 15,0 %
Enero 2021;16,4 €/m2;- 1,3 %;- 6,0 %;- 13,4 %
Diciembre 2020;16,7 €/m2;- 2,5 %;- 6,3 %;- 11,1 %
Noviembre 2020;17,1 €/m2;- 2,3 %;- 4,3 %;- 9,5 %
Octubre 2020;17,5 €/m2;- 1,6 %;- 2,8 %;- 7,3 %
Septiembre 2020;17,8 €/m2;- 0,4 %;- 4,8 %;- 4,8 %
Agosto 2020;17,9 €/m2;- 0,8 %;- 7,8 %;- 3,2 %
Julio 2020;18,0 €/m2;- 3,6 %;- 6,1 %;- 2,4 %
Junio 2020;18,7 €/m2;- 3,6 %;- 2,6 %;+ 1,2 %
Mayo 2020;19,4 €/m2;+ 1,0 %;- 0,1 %;+ 5,0 %
Abril 2020;19,2 €/m2;0,0 %;+ 1,0 %;+ 3,9 %
Marzo 2020;19,2 €/m2;- 1,1 %;+ 2,3 %;+ 3,9 %
Febrero 2020;19,4 €/m2;+ 2,1 %;+ 2,7 %;+ 4,8 %
Enero 2020;19,0 €/m2;+ 1,3 %;+ 0,6 %;+ 3,4 %
Diciembre 2019;18,7 €/m2;- 0,7 %;+ 0,4 %;+ 2,3 %
Noviembre 2019;18,9 €/m2;0,0 %;+ 2,3 %;+ 2,3 %
Octubre 2019;18,9 €/m2;+ 1,1 %;+ 2,4 %;+ 1,8 %
Septiembre 2019;18,7 €/m2;+ 1,2 %;+ 1,2 %;+ 1,3 %
Agosto 2019;18,5 €/m2;0,0 %;0,0 %;+ 0,3 %
Julio 2019;18,4 €/m2;0,0 %;0,0 %;+ 0,7 %
Junio 2019;18,4 €/m2;0,0 %;0,0 %;+ 0,7 %
Mayo 2019;18,5 €/m2;0,0 %;- 0,2 %;- 0,3 %
Abril 2019;18,5 €/m2;0,0 %;+ 0,5 %;- 1,5 %
Marzo 2019;18,4 €/m2;- 0,3 %;+ 0,7 %;- 0,6 %
Febrero 2019;18,5 €/m2;+ 0,7 %;+ 0,3 %;+ 0,9 %
Enero 2019;18,4 €/m2;+ 0,3 %;- 1,0 %;+ 1,4 %
Diciembre 2018;18,3 €/m2;- 0,7 %;- 0,7 %;+ 2,6 %
Noviembre 2018;18,5 €/m2;- 0,6 %;+ 0,3 %;+ 3,9 %
Octubre 2018;18,6 €/m2;+ 0,6 %;+ 1,3 %;+ 6,1 %
Septiembre 2018;18,4 €/m2;+ 0,2 %;+ 0,7 %;+ 5,4 %
Agosto 2018;18,4 €/m2;+ 0,4 %;- 0,6 %;+ 6,2 %
Julio 2018;18,3 €/m2;0,0 %;- 2,2 %;+ 4,7 %
Junio 2018;18,3 €/m2;- 1,0 %;- 1,3 %;+ 5,9 %
Mayo 2018;18,5 €/m2;- 1,2 %;+ 1,0 %;+ 7,2 %
Abril 2018;18,7 €/m2;+ 1,0 %;+ 3,4 %;+ 7,1 %
Marzo 2018;18,6 €/m2;+ 1,2 %;+ 3,9 %;+ 6,1 %
Febrero 2018;18,3 €/m2;+ 1,2 %;+ 3,2 %;+ 5,1 %
Enero 2018;18,1 €/m2;+ 1,4 %;+ 3,6 %;+ 5,7 %
Diciembre 2017;17,9 €/m2;+ 0,5 %;+ 2,1 %;+ 7,2 %
Noviembre 2017;17,8 €/m2;+ 1,6 %;+ 2,5 %;+ 9,2 %
Octubre 2017;17,5 €/m2;0,0 %;0,0 %;+ 9,3 %
Septiembre 2017;17,5 €/m2;+ 1,0 %;+ 1,1 %;+ 11,1 %
Agosto 2017;17,3 €/m2;- 1,0 %;+ 0,3 %;+ 12,0 %
Julio 2017;17,5 €/m2;+ 1,1 %;0,0 %;+ 12,9 %
Junio 2017;17,3 €/m2;+ 0,2 %;- 1,1 %;+ 11,3 %
Mayo 2017;17,3 €/m2;- 1,3 %;- 1,0 %;+ 9,9 %
Abril 2017;17,5 €/m2;0,0 %;+ 2,1 %;+ 12,9 %
Marzo 2017;17,5 €/m2;+ 0,3 %;+ 5,0 %;+ 14,0 %
Febrero 2017;17,4 €/m2;+ 1,8 %;+ 7,2 %;+ 14,6 %
Enero 2017;17,1 €/m2;+ 2,9 %;+ 7,1 %;+ 14,3 %
Diciembre 2016;16,7 €/m2;+ 2,4 %;+ 5,9 %;+ 14,0 %
Noviembre 2016;16,3 €/m2;+ 1,7 %;+ 5,2 %;+ 12,2 %
Octubre 2016;16,0 €/m2;+ 1,6 %;+ 3,2 %;+ 12,0 %
Septiembre 2016;15,7 €/m2;+ 1,7 %;+ 1,2 %;+ 11,1 %
Agosto 2016;15,5 €/m2;- 0,2 %;- 1,5 %;+ 10,5 %
Julio 2016;15,5 €/m2;- 0,3 %;0,0 %;+ 11,6 %
