Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;16,3 €/m2;0,0 %;+ 1,1 %;+ 8,3 %
Enero 2023;16,3 €/m2;+ 0,9 %;+ 2,6 %;+ 10,5 %
Diciembre 2022;16,1 €/m2;+ 0,2 %;+ 2,8 %;+ 10,4 %
Noviembre 2022;16,1 €/m2;+ 1,5 %;+ 2,3 %;+ 10,4 %
Octubre 2022;15,8 €/m2;+ 1,1 %;+ 1,8 %;+ 8,7 %
Septiembre 2022;15,7 €/m2;- 0,3 %;+ 2,7 %;+ 7,8 %
Agosto 2022;15,7 €/m2;+ 1,1 %;+ 3,1 %;+ 10,0 %
Julio 2022;15,5 €/m2;+ 1,9 %;+ 1,8 %;+ 9,7 %
Junio 2022;15,3 €/m2;+ 0,1 %;+ 1,1 %;+ 7,7 %
Mayo 2022;15,2 €/m2;- 0,2 %;+ 1,6 %;+ 7,0 %
Abril 2022;15,3 €/m2;+ 1,2 %;+ 3,8 %;+ 6,2 %
Marzo 2022;15,1 €/m2;+ 0,6 %;+ 3,5 %;+ 5,7 %
Febrero 2022;15,0 €/m2;+ 2,0 %;+ 3,0 %;+ 5,9 %
Enero 2022;14,7 €/m2;+ 0,8 %;+ 1,0 %;+ 3,2 %
Diciembre 2021;14,6 €/m2;+ 0,1 %;+ 0,3 %;+ 1,5 %
Noviembre 2021;14,6 €/m2;0,0 %;+ 1,9 %;- 1,7 %
Octubre 2021;14,6 €/m2;+ 0,2 %;+ 2,8 %;- 3,6 %
Septiembre 2021;14,5 €/m2;+ 1,7 %;+ 2,6 %;- 5,5 %
Agosto 2021;14,3 €/m2;+ 0,8 %;+ 0,2 %;- 7,5 %
Julio 2021;14,2 €/m2;0,0 %;- 1,4 %;- 9,6 %
Junio 2021;14,2 €/m2;- 0,6 %;- 0,8 %;- 11,4 %
Mayo 2021;14,3 €/m2;- 0,9 %;+ 0,6 %;- 13,2 %
Abril 2021;14,4 €/m2;+ 0,6 %;+ 0,9 %;- 11,0 %
Marzo 2021;14,3 €/m2;+ 0,8 %;- 0,6 %;- 10,7 %
Febrero 2021;14,2 €/m2;- 0,6 %;- 4,4 %;- 11,5 %
Enero 2021;14,2 €/m2;- 0,9 %;- 5,7 %;- 9,2 %
