Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;13,7 €/m2;+ 1,0 %;+ 2,9 %;+ 7,5 %
Enero 2023;13,5 €/m2;+ 1,5 %;+ 2,4 %;+ 7,2 %
Diciembre 2022;13,3 €/m2;+ 0,4 %;+ 1,3 %;+ 6,0 %
Noviembre 2022;13,3 €/m2;+ 0,5 %;+ 2,3 %;+ 6,4 %
Octubre 2022;13,2 €/m2;+ 0,4 %;+ 2,3 %;+ 6,0 %
Septiembre 2022;13,2 €/m2;+ 1,4 %;+ 3,2 %;+ 6,1 %
Agosto 2022;13,0 €/m2;+ 0,5 %;+ 1,7 %;+ 3,6 %
Julio 2022;12,9 €/m2;+ 1,2 %;+ 0,9 %;+ 2,8 %
Junio 2022;12,8 €/m2;0,0 %;- 0,6 %;+ 2,1 %
Mayo 2022;12,8 €/m2;- 0,3 %;+ 0,4 %;+ 2,3 %
Abril 2022;12,8 €/m2;- 0,2 %;+ 1,4 %;+ 2,4 %
Marzo 2022;12,8 €/m2;+ 0,9 %;+ 2,1 %;+ 4,1 %
Febrero 2022;12,7 €/m2;+ 0,7 %;+ 1,9 %;+ 3,2 %
Enero 2022;12,6 €/m2;+ 0,4 %;+ 1,3 %;+ 2,3 %
Diciembre 2021;12,6 €/m2;+ 0,7 %;+ 1,3 %;+ 0,5 %
Noviembre 2021;12,5 €/m2;+ 0,1 %;- 0,4 %;- 0,7 %
Octubre 2021;12,5 €/m2;+ 0,4 %;- 0,8 %;- 1,4 %
Septiembre 2021;12,4 €/m2;- 0,9 %;- 0,7 %;- 1,9 %
Agosto 2021;12,5 €/m2;- 0,3 %;+ 0,4 %;- 1,9 %
Julio 2021;12,6 €/m2;+ 0,5 %;+ 0,5 %;- 1,7 %
Junio 2021;12,5 €/m2;+ 0,2 %;+ 1,4 %;- 1,8 %
Mayo 2021;12,5 €/m2;- 0,2 %;+ 1,3 %;- 3,9 %
Abril 2021;12,5 €/m2;+ 1,5 %;+ 1,4 %;- 3,6 %
Marzo 2021;12,3 €/m2;0,0 %;- 1,5 %;- 3,6 %
Febrero 2021;12,3 €/m2;- 0,1 %;- 2,0 %;- 1,7 %
Enero 2021;12,3 €/m2;- 1,3 %;- 2,4 %;+ 0,8 %
Diciembre 2020;12,5 €/m2;- 0,5 %;- 1,1 %;+ 1,5 %
Noviembre 2020;12,6 €/m2;- 0,5 %;- 1,6 %;+ 1,1 %
Octubre 2020;12,6 €/m2;- 0,1 %;- 1,2 %;+ 0,9 %
Septiembre 2020;12,6 €/m2;- 1,0 %;- 0,7 %;+ 1,6 %
Agosto 2020;12,8 €/m2;- 0,2 %;- 1,7 %;+ 3,1 %
Julio 2020;12,8 €/m2;+ 0,5 %;- 1,4 %;+ 3,0 %
Junio 2020;12,7 €/m2;- 2,0 %;- 0,4 %;+ 0,2 %
Mayo 2020;13,0 €/m2;+ 0,2 %;+ 3,6 %;+ 1,5 %
Abril 2020;13,0 €/m2;+ 1,5 %;+ 6,0 %;- 1,3 %
Marzo 2020;12,8 €/m2;+ 2,0 %;+ 3,8 %;- 3,2 %
Febrero 2020;12,5 €/m2;+ 2,4 %;+ 0,9 %;- 4,9 %
Enero 2020;12,2 €/m2;- 0,7 %;- 2,3 %;- 7,4 %
Diciembre 2019;12,3 €/m2;- 0,9 %;- 1,0 %;- 5,8 %
Noviembre 2019;12,4 €/m2;- 0,7 %;+ 0,4 %;- 5,1 %
Octubre 2019;12,5 €/m2;+ 0,6 %;+ 0,8 %;- 6,6 %
Septiembre 2019;12,4 €/m2;+ 0,5 %;- 2,0 %;- 6,9 %
Agosto 2019;12,4 €/m2;- 0,3 %;- 3,3 %;- 5,0 %
Julio 2019;12,4 €/m2;- 2,2 %;- 5,4 %;- 4,4 %
Junio 2019;12,7 €/m2;- 0,8 %;- 3,8 %;- 2,4 %
Mayo 2019;12,8 €/m2;- 2,5 %;- 2,9 %;- 2,0 %
Abril 2019;13,1 €/m2;- 0,5 %;- 0,6 %;+ 1,7 %
Marzo 2019;13,2 €/m2;+ 0,1 %;+ 0,9 %;+ 2,3 %
Febrero 2019;13,2 €/m2;- 0,3 %;+ 0,6 %;+ 2,6 %
Enero 2019;13,2 €/m2;+ 1,1 %;- 1,4 %;+ 5,0 %
Diciembre 2018;13,1 €/m2;- 0,2 %;- 2,2 %;+ 7,2 %
Noviembre 2018;13,1 €/m2;- 2,3 %;+ 0,5 %;+ 11,0 %
Octubre 2018;13,4 €/m2;+ 0,3 %;+ 3,2 %;+ 13,5 %
Septiembre 2018;13,4 €/m2;+ 2,6 %;+ 2,8 %;+ 12,7 %
Agosto 2018;13,0 €/m2;+ 0,3 %;- 0,3 %;+ 11,5 %
Julio 2018;13,0 €/m2;- 0,2 %;+ 0,6 %;+ 12,1 %
Junio 2018;13,0 €/m2;- 0,4 %;+ 0,9 %;+ 13,7 %
Mayo 2018;13,1 €/m2;+ 1,2 %;+ 1,7 %;+ 16,8 %
Abril 2018;12,9 €/m2;+ 0,1 %;+ 2,6 %;+ 15,4 %
Marzo 2018;12,9 €/m2;+ 0,4 %;+ 5,7 %;+ 16,2 %
Febrero 2018;12,8 €/m2;+ 2,1 %;+ 8,9 %;+ 15,1 %
Enero 2018;12,6 €/m2;+ 3,1 %;+ 6,5 %;+ 13,4 %
Diciembre 2017;12,2 €/m2;+ 3,4 %;+ 2,9 %;+ 10,8 %
Noviembre 2017;11,8 €/m2;- 0,1 %;+ 0,9 %;+ 7,8 %
Octubre 2017;11,8 €/m2;- 0,3 %;+ 1,9 %;+ 9,2 %
Septiembre 2017;11,9 €/m2;+ 1,4 %;+ 3,6 %;+ 9,4 %
Agosto 2017;11,7 €/m2;+ 0,8 %;+ 4,5 %;+ 8,7 %
Julio 2017;11,6 €/m2;+ 1,3 %;+ 3,6 %;+ 7,1 %
Junio 2017;11,4 €/m2;+ 2,3 %;+ 3,2 %;+ 5,5 %
Mayo 2017;11,2 €/m2;0,0 %;+ 0,2 %;+ 4,1 %
Abril 2017;11,2 €/m2;+ 0,8 %;+ 0,8 %;+ 4,0 %
Marzo 2017;11,1 €/m2;- 0,6 %;+ 0,8 %;+ 3,9 %
Febrero 2017;11,2 €/m2;+ 0,5 %;+ 1,9 %;+ 4,4 %
Enero 2017;11,1 €/m2;+ 0,8 %;+ 2,6 %;+ 4,1 %
Diciembre 2016;11,0 €/m2;+ 0,6 %;+ 1,6 %;+ 3,7 %
Noviembre 2016;10,9 €/m2;+ 1,1 %;+ 1,8 %;+ 3,7 %
Octubre 2016;10,8 €/m2;- 0,1 %;0,0 %;+ 2,8 %
Septiembre 2016;10,8 €/m2;+ 0,7 %;- 0,1 %;+ 2,3 %
Agosto 2016;10,8 €/m2;- 0,7 %;+ 0,1 %;+ 1,4 %
Julio 2016;10,8 €/m2;- 0,2 %;+ 0,6 %;+ 1,8 %
Junio 2016;10,8 €/m2;+ 0,9 %;+ 1,6 %;+ 2,5 %
Mayo 2016;10,7 €/m2;- 0,1 %;+ 0,6 %;+ 1,5 %
Abril 2016;10,8 €/m2;+ 0,8 %;+ 0,8 %;+ 2,6 %
Marzo 2016;10,7 €/m2;- 0,1 %;+ 0,5 %;+ 2,1 %
Febrero 2016;10,7 €/m2;+ 0,2 %;+ 1,3 %;+ 2,9 %
Enero 2016;10,7 €/m2;+ 0,4 %;+ 1,3 %;+ 3,6 %
Diciembre 2015;10,6 €/m2;+ 0,7 %;+ 0,3 %;+ 3,3 %
Noviembre 2015;10,6 €/m2;+ 0,2 %;- 0,5 %;+ 2,3 %
Octubre 2015;10,5 €/m2;- 0,6 %;- 1,0 %;+ 1,9 %
Septiembre 2015;10,6 €/m2;- 0,1 %;+ 0,2 %;+ 3,4 %
Agosto 2015;10,6 €/m2;- 0,3 %;+ 0,2 %;+ 2,9 %
Julio 2015;10,6 €/m2;+ 0,6 %;+ 1,5 %;+ 3,6 %
Junio 2015;10,6 €/m2;- 0,1 %;+ 1,2 %;+ 3,4 %
Mayo 2015;10,6 €/m2;+ 1,0 %;+ 2,0 %;+ 3,0 %
Abril 2015;10,5 €/m2;+ 0,3 %;+ 1,8 %;+ 1,6 %
Marzo 2015;10,5 €/m2;+ 0,6 %;+ 1,6 %;+ 0,5 %
Febrero 2015;10,4 €/m2;+ 0,9 %;+ 0,7 %;- 0,3 %
Enero 2015;10,3 €/m2;+ 0,1 %;- 0,3 %;- 0,2 %
Diciembre 2014;10,3 €/m2;- 0,3 %;+ 0,4 %;+ 0,9 %
Noviembre 2014;10,3 €/m2;- 0,1 %;+ 0,1 %;+ 0,9 %
Octubre 2014;10,3 €/m2;+ 0,8 %;+ 0,6 %;+ 0,7 %
Septiembre 2014;10,2 €/m2;- 0,6 %;+ 0,2 %;- 0,4 %
Agosto 2014;10,3 €/m2;+ 0,3 %;+ 0,2 %;+ 0,5 %
Julio 2014;10,3 €/m2;+ 0,4 %;- 0,4 %;- 1,1 %
Junio 2014;10,2 €/m2;- 0,5 %;- 1,7 %;- 2,9 %
Mayo 2014;10,3 €/m2;- 0,3 %;- 1,4 %;- 4,3 %
Abril 2014;10,3 €/m2;- 0,9 %;0,0 %;- 5,0 %
Marzo 2014;10,4 €/m2;- 0,2 %;+ 2,1 %;- 2,0 %
Febrero 2014;10,4 €/m2;+ 1,0 %;+ 2,0 %;- 1,9 %
Enero 2014;10,3 €/m2;+ 1,2 %;+ 0,6 %;- 2,9 %
