Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;17,5 €/m2;+ 0,1 %;+ 1,0 %;+ 14,1 %
Enero 2023;17,5 €/m2;+ 1,3 %;+ 3,3 %;+ 14,8 %
Diciembre 2022;17,2 €/m2;- 0,4 %;+ 5,1 %;+ 14,9 %
Noviembre 2022;17,3 €/m2;+ 2,3 %;+ 6,5 %;+ 15,3 %
Octubre 2022;16,9 €/m2;+ 3,1 %;+ 4,6 %;+ 12,0 %
Septiembre 2022;16,4 €/m2;+ 0,9 %;+ 2,5 %;+ 9,3 %
Agosto 2022;16,3 €/m2;+ 0,5 %;+ 1,6 %;+ 11,4 %
Julio 2022;16,2 €/m2;+ 1,0 %;+ 1,8 %;+ 10,6 %
Junio 2022;16,0 €/m2;+ 0,1 %;+ 1,6 %;+ 8,0 %
Mayo 2022;16,0 €/m2;+ 0,7 %;+ 4,4 %;+ 7,4 %
Abril 2022;15,9 €/m2;+ 0,8 %;+ 4,4 %;+ 6,4 %
Marzo 2022;15,8 €/m2;+ 2,8 %;+ 5,0 %;+ 5,9 %
Febrero 2022;15,3 €/m2;+ 0,8 %;+ 2,2 %;+ 2,6 %
Enero 2022;15,2 €/m2;+ 1,3 %;+ 0,7 %;+ 2,3 %
Diciembre 2021;15,0 €/m2;0,0 %;0,0 %;0,0 %
Noviembre 2021;15,0 €/m2;- 0,6 %;+ 2,8 %;- 1,9 %
Octubre 2021;15,1 €/m2;+ 0,6 %;+ 3,3 %;- 2,8 %
Septiembre 2021;15,0 €/m2;+ 2,8 %;+ 1,3 %;- 3,5 %
Agosto 2021;14,6 €/m2;- 0,2 %;- 2,0 %;- 6,4 %
Julio 2021;14,6 €/m2;- 1,3 %;- 2,1 %;- 10,0 %
Junio 2021;14,8 €/m2;- 0,6 %;- 0,5 %;- 12,5 %
Mayo 2021;14,9 €/m2;- 0,2 %;- 0,2 %;- 11,5 %
Abril 2021;14,9 €/m2;+ 0,3 %;+ 0,4 %;- 8,4 %
Marzo 2021;14,9 €/m2;- 0,3 %;- 0,8 %;- 6,7 %
Febrero 2021;14,9 €/m2;+ 0,4 %;- 2,3 %;- 6,6 %
Enero 2021;14,9 €/m2;- 0,9 %;- 4,3 %;- 9,3 %
Diciembre 2020;15,0 €/m2;- 1,9 %;- 3,5 %;- 8,6 %
Noviembre 2020;15,3 €/m2;- 1,6 %;- 1,9 %;- 7,3 %
Octubre 2020;15,5 €/m2;- 0,1 %;- 4,4 %;- 5,4 %
Septiembre 2020;15,6 €/m2;- 0,2 %;- 8,1 %;- 6,0 %
Agosto 2020;15,6 €/m2;- 4,0 %;- 7,4 %;- 4,3 %
Julio 2020;16,3 €/m2;- 4,0 %;- 0,3 %;+ 1,1 %
Junio 2020;16,9 €/m2;+ 0,5 %;+ 6,1 %;+ 4,9 %
Mayo 2020;16,8 €/m2;+ 3,3 %;+ 5,3 %;+ 4,4 %
Abril 2020;16,3 €/m2;+ 2,1 %;- 0,5 %;+ 1,3 %
Marzo 2020;16,0 €/m2;- 0,2 %;- 2,8 %;- 2,1 %
Febrero 2020;16,0 €/m2;- 2,4 %;- 3,1 %;- 1,5 %
Enero 2020;16,4 €/m2;- 0,2 %;- 0,2 %;+ 2,0 %
Diciembre 2019;16,4 €/m2;- 0,4 %;- 0,8 %;+ 2,6 %
Noviembre 2019;16,5 €/m2;+ 0,5 %;+ 1,3 %;+ 2,4 %
Octubre 2019;16,4 €/m2;- 0,8 %;+ 2,1 %;+ 3,5 %
Septiembre 2019;16,6 €/m2;+ 1,6 %;+ 2,6 %;+ 4,4 %
Agosto 2019;16,3 €/m2;+ 1,3 %;+ 1,0 %;+ 2,8 %
Julio 2019;16,1 €/m2;- 0,4 %;- 0,1 %;+ 2,4 %
Junio 2019;16,1 €/m2;+ 0,1 %;- 1,0 %;+ 3,1 %
Mayo 2019;16,1 €/m2;+ 0,2 %;- 0,7 %;+ 3,3 %
Abril 2019;16,1 €/m2;- 1,3 %;+ 0,1 %;+ 4,9 %
Marzo 2019;16,3 €/m2;+ 0,4 %;+ 1,9 %;+ 5,9 %
Febrero 2019;16,2 €/m2;+ 1,0 %;+ 0,8 %;+ 5,4 %
Enero 2019;16,1 €/m2;+ 0,4 %;+ 1,4 %;+ 7,3 %
Diciembre 2018;16,0 €/m2;- 0,7 %;+ 0,9 %;+ 8,2 %
Noviembre 2018;16,1 €/m2;+ 1,6 %;+ 1,7 %;+ 10,9 %
Octubre 2018;15,9 €/m2;- 0,1 %;+ 0,9 %;+ 9,6 %
Septiembre 2018;15,9 €/m2;+ 0,1 %;+ 1,3 %;+ 9,1 %
Agosto 2018;15,8 €/m2;+ 0,8 %;+ 1,4 %;+ 10,9 %
Julio 2018;15,7 €/m2;+ 0,3 %;+ 2,4 %;+ 10,9 %
Junio 2018;15,7 €/m2;+ 0,3 %;+ 1,7 %;+ 9,0 %
Mayo 2018;15,6 €/m2;+ 1,8 %;+ 1,4 %;+ 8,1 %
Abril 2018;15,3 €/m2;- 0,4 %;+ 2,4 %;+ 7,9 %
Marzo 2018;15,4 €/m2;0,0 %;+ 4,1 %;+ 10,1 %
Febrero 2018;15,4 €/m2;+ 2,8 %;+ 6,0 %;+ 10,1 %
Enero 2018;15,0 €/m2;+ 1,3 %;+ 3,6 %;+ 8,4 %
Diciembre 2017;14,8 €/m2;+ 1,8 %;+ 1,7 %;+ 6,5 %
Noviembre 2017;14,5 €/m2;+ 0,4 %;+ 1,7 %;+ 4,6 %
Octubre 2017;14,5 €/m2;- 0,5 %;+ 2,2 %;+ 6,9 %
Septiembre 2017;14,5 €/m2;+ 1,8 %;+ 1,2 %;+ 10,9 %
Agosto 2017;14,3 €/m2;+ 0,8 %;- 1,1 %;+ 7,7 %
Julio 2017;14,2 €/m2;- 1,5 %;- 0,4 %;+ 6,2 %
Junio 2017;14,4 €/m2;- 0,5 %;+ 2,7 %;+ 8,8 %
Mayo 2017;14,4 €/m2;+ 1,5 %;+ 3,2 %;+ 11,1 %
Abril 2017;14,2 €/m2;+ 1,6 %;+ 2,8 %;+ 9,9 %
Marzo 2017;14,0 €/m2;0,0 %;+ 0,8 %;+ 9,5 %
Febrero 2017;14,0 €/m2;+ 1,2 %;+ 0,8 %;+ 9,5 %
Enero 2017;13,8 €/m2;- 0,4 %;+ 2,2 %;+ 7,5 %
Diciembre 2016;13,9 €/m2;0,0 %;+ 5,9 %;+ 7,1 %
Noviembre 2016;13,9 €/m2;+ 2,7 %;+ 4,8 %;+ 9,6 %
Octubre 2016;13,5 €/m2;+ 3,2 %;+ 1,5 %;+ 8,2 %
Septiembre 2016;13,1 €/m2;- 1,1 %;- 0,8 %;+ 7,3 %
Agosto 2016;13,3 €/m2;- 0,6 %;+ 1,9 %;+ 9,6 %
Julio 2016;13,3 €/m2;+ 0,9 %;+ 3,1 %;+ 9,8 %
Junio 2016;13,2 €/m2;+ 1,6 %;+ 3,4 %;+ 8,2 %
Mayo 2016;13,0 €/m2;+ 0,5 %;+ 1,7 %;+ 7,2 %
Abril 2016;12,9 €/m2;+ 1,2 %;+ 0,6 %;+ 7,1 %
Marzo 2016;12,8 €/m2;0,0 %;- 1,4 %;+ 6,6 %
Febrero 2016;12,8 €/m2;- 0,7 %;+ 0,9 %;+ 7,7 %
Enero 2016;12,9 €/m2;- 0,8 %;+ 2,9 %;+ 8,5 %
Diciembre 2015;13,0 €/m2;+ 2,3 %;+ 6,1 %;+ 7,9 %
Noviembre 2015;12,7 €/m2;+ 1,3 %;+ 4,8 %;+ 4,7 %
Octubre 2015;12,5 €/m2;+ 2,3 %;+ 3,0 %;+ 4,3 %
Septiembre 2015;12,2 €/m2;+ 1,1 %;+ 0,1 %;+ 3,0 %
Agosto 2015;12,1 €/m2;- 0,4 %;- 0,3 %;+ 2,1 %
Julio 2015;12,1 €/m2;- 0,6 %;+ 0,5 %;+ 4,1 %
Junio 2015;12,2 €/m2;+ 0,7 %;+ 1,9 %;+ 4,6 %
Mayo 2015;12,1 €/m2;+ 0,4 %;+ 2,2 %;+ 3,9 %
Abril 2015;12,1 €/m2;+ 0,8 %;+ 1,9 %;+ 3,5 %
Marzo 2015;12,0 €/m2;+ 1,1 %;- 0,2 %;+ 2,7 %
Febrero 2015;11,9 €/m2;0,0 %;- 2,0 %;+ 1,6 %
Enero 2015;11,9 €/m2;- 1,3 %;- 1,1 %;+ 1,0 %
Diciembre 2014;12,0 €/m2;- 0,7 %;+ 1,2 %;+ 2,2 %
Noviembre 2014;12,1 €/m2;+ 0,9 %;+ 2,1 %;+ 2,9 %
Octubre 2014;12,0 €/m2;+ 1,0 %;+ 2,8 %;+ 2,9 %
Septiembre 2014;11,9 €/m2;+ 0,2 %;+ 1,7 %;+ 1,9 %
Agosto 2014;11,8 €/m2;+ 1,6 %;+ 1,5 %;+ 2,2 %
Julio 2014;11,7 €/m2;- 0,1 %;- 0,1 %;+ 0,3 %
Junio 2014;11,7 €/m2;0,0 %;0,0 %;+ 0,8 %
Mayo 2014;11,7 €/m2;0,0 %;0,0 %;+ 0,1 %
Abril 2014;11,7 €/m2;0,0 %;- 0,6 %;+ 0,1 %
Marzo 2014;11,7 €/m2;0,0 %;- 0,7 %;0,0 %
Febrero 2014;11,7 €/m2;- 0,6 %;- 0,7 %;- 0,8 %
Enero 2014;11,7 €/m2;- 0,1 %;+ 0,8 %;+ 0,7 %
Diciembre 2013;11,8 €/m2;- 0,1 %;+ 0,9 %;- 1,8 %
Noviembre 2013;11,8 €/m2;+ 0,9 %;+ 1,5 %;- 1,9 %
Octubre 2013;11,6 €/m2;0,0 %;+ 0,2 %;- 4,3 %
Septiembre 2013;11,6 €/m2;+ 0,5 %;+ 0,6 %;- 4,3 %
Agosto 2013;11,6 €/m2;- 0,4 %;- 0,6 %;- 5,2 %
Julio 2013;11,6 €/m2;+ 0,4 %;- 0,3 %;- 5,3 %
Junio 2013;11,6 €/m2;- 0,7 %;- 0,8 %;- 7,3 %
Mayo 2013;11,7 €/m2;0,0 %;- 0,9 %;- 7,3 %
Abril 2013;11,7 €/m2;- 0,1 %;0,0 %;- 7,5 %
Marzo 2013;11,7 €/m2;- 0,8 %;- 2,5 %;- 6,6 %
Febrero 2013;11,8 €/m2;+ 0,8 %;- 1,8 %;- 6,6 %
Enero 2013;11,7 €/m2;- 2,5 %;- 4,2 %;- 8,3 %
Diciembre 2012;12,0 €/m2;- 0,1 %;- 1,7 %;- 6,0 %
Noviembre 2012;12,0 €/m2;- 1,6 %;- 1,9 %;- 5,7 %
Octubre 2012;12,2 €/m2;0,0 %;- 0,8 %;- 3,1 %
Septiembre 2012;12,2 €/m2;- 0,3 %;- 2,5 %;- 3,9 %
Agosto 2012;12,2 €/m2;- 0,5 %;- 2,9 %;- 1,6 %
Julio 2012;12,3 €/m2;- 1,7 %;- 2,6 %;- 2,2 %
Junio 2012;12,5 €/m2;- 0,7 %;0,0 %;- 1,2 %
Mayo 2012;12,6 €/m2;- 0,2 %;- 0,1 %;- 2,4 %
Abril 2012;12,6 €/m2;+ 0,9 %;- 0,9 %;- 2,7 %
Marzo 2012;12,5 €/m2;- 0,8 %;- 1,8 %;- 3,4 %
Febrero 2012;12,6 €/m2;- 1,0 %;- 0,9 %;- 4,0 %
Enero 2012;12,7 €/m2;- 0,1 %;+ 1,2 %;- 5,0 %
Diciembre 2011;12,7 €/m2;+ 0,1 %;+ 0,5 %;- 3,0 %
Noviembre 2011;12,7 €/m2;+ 1,2 %;+ 2,3 %;- 1,6 %
Octubre 2011;12,6 €/m2;- 0,8 %;+ 0,1 %;- 2,0 %
Septiembre 2011;12,7 €/m2;+ 2,0 %;+ 0,2 %;- 0,7 %
Agosto 2011;12,4 €/m2;- 1,1 %;- 3,6 %;- 5,6 %
Julio 2011;12,6 €/m2;- 0,6 %;- 3,1 %;- 2,8 %
Junio 2011;12,6 €/m2;- 1,9 %;- 2,3 %;- 5,9 %
Mayo 2011;12,9 €/m2;- 0,6 %;- 1,8 %;- 8,2 %
Abril 2011;13,0 €/m2;+ 0,2 %;- 3,2 %;- 9,3 %
Marzo 2011;12,9 €/m2;- 1,4 %;- 1,4 %;n.d.
Febrero 2011;13,1 €/m2;- 2,0 %;+ 1,6 %;n.d.
Enero 2011;13,4 €/m2;+ 2,0 %;+ 4,5 %;n.d.
Diciembre 2010;13,1 €/m2;+ 1,6 %;+ 2,9 %;n.d.
Noviembre 2010;12,9 €/m2;+ 0,8 %;- 1,8 %;n.d.
Octubre 2010;12,8 €/m2;+ 0,5 %;- 0,8 %;n.d.
Septiembre 2010;12,8 €/m2;- 3,1 %;- 5,1 %;n.d.
Agosto 2010;13,2 €/m2;+ 1,9 %;- 6,3 %;n.d.
Julio 2010;12,9 €/m2;- 3,8 %;- 9,6 %;n.d.
Junio 2010;13,4 €/m2;- 4,4 %;n.d.;n.d.
Mayo 2010;14,0 €/m2;- 1,7 %;n.d.;n.d.
Abril 2010;14,3 €/m2;n.d.;n.d.;n.d.
