Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;21,0 €/m2;+ 2,8 %;+ 6,3 %;+ 15,6 %
Enero 2023;20,4 €/m2;+ 2,3 %;+ 2,3 %;+ 15,9 %
Diciembre 2022;20,0 €/m2;+ 1,1 %;- 0,1 %;+ 14,2 %
Noviembre 2022;19,8 €/m2;- 1,1 %;+ 1,7 %;+ 13,0 %
Octubre 2022;20,0 €/m2;0,0 %;+ 4,5 %;+ 13,9 %
Septiembre 2022;20,0 €/m2;+ 2,9 %;+ 5,9 %;+ 15,1 %
Agosto 2022;19,4 €/m2;+ 1,6 %;+ 4,8 %;+ 14,3 %
Julio 2022;19,1 €/m2;+ 1,4 %;+ 3,7 %;+ 14,8 %
Junio 2022;18,9 €/m2;+ 1,8 %;+ 3,0 %;+ 13,3 %
Mayo 2022;18,5 €/m2;+ 0,4 %;+ 2,0 %;+ 11,2 %
Abril 2022;18,5 €/m2;+ 0,7 %;+ 4,6 %;+ 10,8 %
Marzo 2022;18,3 €/m2;+ 0,8 %;+ 4,7 %;+ 10,0 %
Febrero 2022;18,2 €/m2;+ 3,0 %;+ 3,9 %;+ 9,1 %
Enero 2022;17,6 €/m2;+ 0,8 %;+ 0,5 %;+ 4,9 %
Diciembre 2021;17,5 €/m2;0,0 %;+ 0,7 %;+ 3,1 %
Noviembre 2021;17,5 €/m2;- 0,3 %;+ 2,9 %;+ 1,1 %
Octubre 2021;17,6 €/m2;+ 1,1 %;+ 5,3 %;- 1,4 %
Septiembre 2021;17,4 €/m2;+ 2,2 %;+ 4,2 %;- 4,1 %
Agosto 2021;17,0 €/m2;+ 2,0 %;+ 2,0 %;- 6,5 %
Julio 2021;16,7 €/m2;0,0 %;0,0 %;- 9,1 %
Junio 2021;16,7 €/m2;0,0 %;0,0 %;- 11,7 %
Mayo 2021;16,7 €/m2;0,0 %;0,0 %;- 13,6 %
Abril 2021;16,7 €/m2;0,0 %;- 0,9 %;- 12,0 %
Marzo 2021;16,7 €/m2;0,0 %;- 1,9 %;- 11,0 %
Febrero 2021;16,7 €/m2;- 0,9 %;- 3,7 %;- 11,1 %
Enero 2021;16,8 €/m2;- 1,0 %;- 5,5 %;- 9,9 %
Diciembre 2020;17,0 €/m2;- 1,9 %;- 6,3 %;- 10,0 %
Noviembre 2020;17,3 €/m2;- 2,8 %;- 4,8 %;- 8,8 %
Octubre 2020;17,8 €/m2;- 1,8 %;- 2,9 %;- 7,4 %
Septiembre 2020;18,1 €/m2;- 0,3 %;- 4,0 %;- 6,8 %
Agosto 2020;18,2 €/m2;- 0,8 %;- 5,7 %;- 5,1 %
Julio 2020;18,3 €/m2;- 2,9 %;- 3,2 %;- 2,8 %
Junio 2020;18,9 €/m2;- 2,1 %;+ 0,9 %;+ 1,2 %
Mayo 2020;19,3 €/m2;+ 1,8 %;+ 2,8 %;+ 4,3 %
Abril 2020;18,9 €/m2;+ 1,2 %;+ 1,5 %;+ 2,9 %
Marzo 2020;18,7 €/m2;- 0,2 %;- 0,8 %;+ 0,8 %
Febrero 2020;18,7 €/m2;+ 0,5 %;- 1,2 %;+ 0,8 %
Enero 2020;18,7 €/m2;- 1,0 %;- 3,0 %;+ 0,7 %
Diciembre 2019;18,9 €/m2;- 0,7 %;- 3,0 %;+ 2,9 %
Noviembre 2019;19,0 €/m2;- 1,3 %;- 0,9 %;+ 2,6 %
Octubre 2019;19,2 €/m2;- 1,1 %;+ 2,0 %;+ 2,1 %
Septiembre 2019;19,4 €/m2;+ 1,5 %;+ 4,2 %;+ 2,7 %
Agosto 2019;19,2 €/m2;+ 1,7 %;+ 3,7 %;+ 2,2 %
Julio 2019;18,8 €/m2;+ 1,0 %;+ 2,4 %;+ 1,5 %
Junio 2019;18,7 €/m2;+ 0,9 %;+ 0,5 %;+ 0,8 %
Mayo 2019;18,5 €/m2;+ 0,4 %;- 0,6 %;+ 0,9 %
Abril 2019;18,4 €/m2;- 0,9 %;- 0,7 %;+ 1,0 %
Marzo 2019;18,6 €/m2;- 0,2 %;+ 1,3 %;+ 2,5 %
Febrero 2019;18,6 €/m2;+ 0,4 %;+ 0,6 %;+ 3,4 %
Enero 2019;18,5 €/m2;+ 1,2 %;- 1,5 %;+ 3,0 %
Diciembre 2018;18,3 €/m2;- 0,9 %;- 3,2 %;+ 2,7 %
Noviembre 2018;18,5 €/m2;- 1,7 %;- 1,3 %;+ 4,1 %
Octubre 2018;18,8 €/m2;- 0,5 %;+ 1,4 %;+ 6,0 %
Septiembre 2018;18,9 €/m2;+ 1,0 %;+ 2,2 %;+ 9,1 %
Agosto 2018;18,7 €/m2;+ 1,0 %;+ 2,3 %;+ 10,1 %
Julio 2018;18,6 €/m2;+ 0,3 %;+ 1,9 %;+ 9,8 %
Junio 2018;18,5 €/m2;+ 1,1 %;+ 2,2 %;+ 9,4 %
Mayo 2018;18,3 €/m2;+ 0,6 %;+ 1,8 %;+ 8,6 %
Abril 2018;18,2 €/m2;+ 0,5 %;+ 1,2 %;+ 9,4 %
Marzo 2018;18,1 €/m2;+ 0,7 %;+ 1,5 %;+ 9,9 %
Febrero 2018;18,0 €/m2;0,0 %;+ 1,3 %;+ 9,7 %
Enero 2018;18,0 €/m2;+ 0,8 %;+ 1,3 %;+ 10,3 %
Diciembre 2017;17,8 €/m2;+ 0,5 %;+ 2,8 %;+ 11,3 %
Noviembre 2017;17,8 €/m2;0,0 %;+ 4,3 %;+ 11,8 %
Octubre 2017;17,8 €/m2;+ 2,4 %;+ 5,0 %;+ 12,9 %
Septiembre 2017;17,4 €/m2;+ 1,9 %;+ 2,5 %;+ 11,7 %
Agosto 2017;17,0 €/m2;+ 0,7 %;+ 1,0 %;+ 11,5 %
Julio 2017;16,9 €/m2;- 0,1 %;+ 1,6 %;+ 10,8 %
Junio 2017;16,9 €/m2;+ 0,4 %;+ 2,7 %;+ 10,7 %
Mayo 2017;16,9 €/m2;+ 1,3 %;+ 2,8 %;+ 9,5 %
Abril 2017;16,7 €/m2;+ 1,0 %;+ 2,1 %;+ 9,3 %
Marzo 2017;16,5 €/m2;+ 0,6 %;+ 2,8 %;+ 10,0 %
Febrero 2017;16,4 €/m2;+ 0,5 %;+ 3,2 %;+ 9,4 %
Enero 2017;16,3 €/m2;+ 1,7 %;+ 3,6 %;+ 8,8 %
Diciembre 2016;16,0 €/m2;+ 1,0 %;+ 3,3 %;+ 7,4 %
Noviembre 2016;15,9 €/m2;+ 0,9 %;+ 4,0 %;+ 6,8 %
Octubre 2016;15,7 €/m2;+ 1,3 %;+ 3,1 %;+ 6,1 %
Septiembre 2016;15,5 €/m2;+ 1,7 %;+ 1,6 %;+ 6,5 %
Agosto 2016;15,3 €/m2;0,0 %;- 0,9 %;+ 6,3 %
Julio 2016;15,3 €/m2;- 0,1 %;+ 0,2 %;+ 7,9 %
Junio 2016;15,3 €/m2;- 0,8 %;+ 2,0 %;+ 8,0 %
Mayo 2016;15,4 €/m2;+ 1,1 %;+ 2,8 %;+ 9,0 %
Abril 2016;15,2 €/m2;+ 1,6 %;+ 1,6 %;+ 8,9 %
Marzo 2016;15,0 €/m2;0,0 %;+ 0,4 %;+ 7,1 %
Febrero 2016;15,0 €/m2;0,0 %;+ 0,8 %;+ 7,1 %
Enero 2016;15,0 €/m2;+ 0,4 %;+ 1,1 %;+ 7,2 %
Diciembre 2015;14,9 €/m2;+ 0,4 %;+ 2,3 %;+ 6,9 %
Noviembre 2015;14,9 €/m2;+ 0,3 %;+ 3,6 %;+ 6,3 %
Octubre 2015;14,8 €/m2;+ 1,7 %;+ 4,8 %;+ 6,3 %
Septiembre 2015;14,6 €/m2;+ 1,6 %;+ 3,1 %;+ 5,4 %
Agosto 2015;14,4 €/m2;+ 1,5 %;+ 1,6 %;+ 5,1 %
Julio 2015;14,2 €/m2;0,0 %;+ 1,2 %;+ 3,0 %
Junio 2015;14,2 €/m2;+ 0,1 %;+ 1,2 %;+ 3,0 %
Mayo 2015;14,1 €/m2;+ 1,1 %;+ 1,0 %;+ 3,7 %
Abril 2015;14,0 €/m2;0,0 %;0,0 %;+ 2,6 %
Marzo 2015;14,0 €/m2;0,0 %;+ 0,2 %;+ 2,6 %
Febrero 2015;14,0 €/m2;0,0 %;0,0 %;+ 2,7 %
Enero 2015;14,0 €/m2;+ 0,2 %;+ 0,3 %;+ 3,2 %
Diciembre 2014;14,0 €/m2;- 0,2 %;+ 0,9 %;+ 2,8 %
Noviembre 2014;14,0 €/m2;+ 0,3 %;+ 2,4 %;+ 3,1 %
Octubre 2014;13,9 €/m2;+ 0,8 %;+ 1,5 %;+ 2,7 %
Septiembre 2014;13,8 €/m2;+ 1,3 %;+ 0,7 %;+ 2,0 %
Agosto 2014;13,7 €/m2;- 0,6 %;+ 0,2 %;+ 2,2 %
Julio 2014;13,7 €/m2;0,0 %;+ 0,8 %;+ 2,5 %
Junio 2014;13,7 €/m2;+ 0,8 %;+ 0,8 %;+ 2,5 %
Mayo 2014;13,6 €/m2;0,0 %;0,0 %;+ 0,6 %
Abril 2014;13,6 €/m2;0,0 %;+ 0,5 %;- 0,1 %
Marzo 2014;13,6 €/m2;0,0 %;+ 0,4 %;- 1,1 %
Febrero 2014;13,6 €/m2;+ 0,5 %;+ 0,4 %;- 1,8 %
Enero 2014;13,6 €/m2;- 0,1 %;- 0,1 %;- 2,3 %
Diciembre 2013;13,6 €/m2;+ 0,1 %;+ 0,1 %;- 2,9 %
Noviembre 2013;13,6 €/m2;- 0,1 %;+ 1,5 %;- 3,3 %
Octubre 2013;13,6 €/m2;+ 0,1 %;+ 1,2 %;- 3,7 %
Septiembre 2013;13,6 €/m2;+ 1,5 %;+ 1,2 %;- 3,8 %
Agosto 2013;13,4 €/m2;- 0,4 %;- 1,4 %;- 5,1 %
Julio 2013;13,4 €/m2;0,0 %;- 1,7 %;- 4,9 %
Junio 2013;13,4 €/m2;- 1,1 %;- 2,7 %;- 4,5 %
Mayo 2013;13,6 €/m2;- 0,7 %;- 2,3 %;- 4,2 %
Abril 2013;13,7 €/m2;- 0,9 %;- 1,6 %;- 3,9 %
Marzo 2013;13,8 €/m2;- 0,7 %;- 1,5 %;- 4,5 %
Febrero 2013;13,9 €/m2;0,0 %;- 1,0 %;- 4,1 %
Enero 2013;13,9 €/m2;- 0,8 %;- 1,6 %;- 4,6 %
Diciembre 2012;14,0 €/m2;- 0,3 %;- 0,8 %;- 4,3 %
Noviembre 2012;14,0 €/m2;- 0,5 %;- 0,4 %;- 4,3 %
Octubre 2012;14,1 €/m2;0,0 %;- 0,1 %;- 3,5 %
Septiembre 2012;14,1 €/m2;+ 0,1 %;+ 0,4 %;- 4,1 %
Agosto 2012;14,1 €/m2;- 0,2 %;- 0,5 %;- 3,6 %
Julio 2012;14,1 €/m2;+ 0,5 %;- 0,7 %;- 4,0 %
