anio,periodo,codigodistrito,codigobarrio,nombrebarrio,datopoblacion,datopoblacionmenor16,datopoblacionentre16y64,datopoblacionmayor65,datosobreenvejecimiento,datosobreenvejecimientohombres,datosobreenvejecimientomujeres,datofeminidad,datorentamedia,datoparadosregistrados,datoparadosregistradoshombres,datoparadosregistradosmujer,datoafiliacionestrabajo,datoafiliacionestrabajohombres,datoafiliacionestrabajomujer,datoafiliacionesresidencia,datoafiliacionesresidenciahombres,datoafiliacionesresidenciamujer,datoautonomo,datoautonomoshombres,datoautonomosmujer,date,objectid_joined,coddis_joined,nomdis_joined,cod_bar_joined,nombre_joined,shape_leng_joined,cod_dis_tx_joined,barrio_may_joined,cod_disbar_joined,num_bar_joined,barrio_mt_joined,cod_disb_joined,shape_star_joined,shape_stle_joined
2022,Anual,11,112,Opañel,33300,11.53,68.25,20.23,37.1,33.2,39.5,117.9,,1530,634,896,4652,2.652,2,13635,6.429,7.206,1485,988,497,01/01/2022,157,11,Carabanchel,112,Opañel,4492.8314969,11,OPAÑEL,112,2,OPAÑEL,11-2,1107286.0441,4492.8314969
2022,Anual,11,113,San Isidro,39391,12.83,68.29,18.88,36.8,31.8,40,112.9,,2468,1.142,1.326,5786,3.343,2.443,15692,7.559,8.133,1557,1.094,463,01/01/2022,167,11,Carabanchel,113,San Isidro,6149.55254995,11,SAN ISIDRO,113,3,SAN ISIDRO,11-3,1899332.06036,6149.55254995
2022,Anual,11,114,Vista Alegre,46474,12.14,65.63,22.22,36.8,33.2,39.1,119.1,,2243,993,1.250,7046,3.547,3.499,18108,8.255,9.853,2071,1.332,739,01/01/2022,150,11,Carabanchel,114,Vista Alegre,6437.03231387,11,VISTA ALEGRE,114,4,VISTA ALEGRE,11-4,1589225.48185,6437.03231387
2022,Anual,11,115,Puerta Bonita,35395,13.96,68.49,17.55,39.7,33.5,43.4,112.6,,2045,879,1.166,3292,1.855,1.437,13933,6.72,7.213,1148,783,365,01/01/2022,147,11,Carabanchel,115,Puerta Bonita,5985.24337749,11,PUERTA BONITA,115,5,PUERTA BONITA,11-5,1608625.38732,5985.24337749
2022,Anual,11,116,Buenavista,47815,18.57,67.86,13.57,35.3,32.9,37.1,106.5,,2128,880,1.248,13354,6.956,6.398,21170,10.546,10.624,1703,1.148,555,01/01/2022,139,11,Carabanchel,116,Buenavista,11586.85546152,11,BUENAVISTA,116,6,BUENAVISTA,11-6,5613180.40224,11586.8554615
2022,Anual,11,117,Abrantes,30925,15.14,67.33,17.53,36.1,31.1,39.2,115.3,,1585,678,907,3423,1.905,1.518,12327,5.892,6.435,1135,802,333,01/01/2022,146,11,Carabanchel,117,Abrantes,5494.74745131,11,ABRANTES,117,7,ABRANTES,11-7,1564570.60899,5494.74745131
2022,Anual,12,121,Orcasitas,22996,16,65.01,18.99,39.3,33.9,42.7,112.4,,1216,522,694,1575,937,638,9157,4.53,4.627,549,374,175,01/01/2022,137,12,Usera,121,Orcasitas,4664.66743564,12,ORCASITAS,121,1,ORCASITAS,12-1,1356362.7318,4664.66743564
2022,Anual,12,122,Orcasur,14250,15.9,69.87,14.22,32.9,26.9,37.2,106.1,,1026,445,581,3310,1.74,1.57,5394,2.725,2.669,324,228,96,01/01/2022,143,12,Usera,122,Orcasur,6014.65367292,12,ORCASUR,122,2,ORCASUR,12-2,1387349.57518,6014.65367292
2022,Anual,12,123,San Fermín,23460,15.84,69.62,14.54,32,28.8,34.1,109.7,,1444,622,822,2869,1.656,1.213,9334,4.643,4.691,711,481,230,01/01/2022,141,12,Usera,123,San Fermín,5876.02669579,12,SAN FERMIN,123,3,SAN FERMÍN,12-3,1475399.06408,5876.02669579
2022,Anual,12,124,Almendrales,22499,15.09,69.33,15.57,40,31.8,44.8,113.8,,1116,491,625,7639,2.519,5.12,9023,4.23,4.793,870,571,299,01/01/2022,148,12,Usera,124,Almendrales,3727.30843206,12,ALMENDRALES,124,4,ALMENDRALES,12-4,780140.88006,3727.30843206
2022,Anual,12,125,Moscardó,26139,12.52,68.89,18.6,38.2,32.9,41.4,112.6,,1279,552,727,5432,2.505,2.927,10460,4.96,5.5,1205,783,422,01/01/2022,156,12,Usera,125,Moscardó,4248.7102722,12,MOSCARDO,125,5,MOSCARDÓ,12-5,908787.651465,4248.71027219
2022,Anual,12,126,Zofío,14022,13.09,69.21,17.7,36.7,31,40.3,113.4,,743,322,421,1447,890,557,5631,2.696,2.935,454,329,125,01/01/2022,144,12,Usera,126,Zofío,3742.72280117,12,ZOFIO,126,6,ZOFÍO,12-6,774025.53656,3742.72280116
2022,Anual,12,127,Pradolongo,17442,13.84,69.81,16.35,39.8,33.8,43.7,112.2,,892,383,509,2673,1.376,1.297,6576,3.134,3.442,842,542,300,01/01/2022,145,12,Usera,127,Pradolongo,4785.09791705,12,PRADOLONGO,127,7,PRADOLONGO,12-7,1095651.85364,4785.09791705
2022,Anual,13,131,Entrevías,34690,14.21,67.13,18.66,38.4,31.8,42.5,109.1,,2508,1.203,1.305,3833,2.537,1.296,13226,6.556,6.67,1016,716,300,01/01/2022,151,13,Puente de Vallecas,131,Entrevías,11034.98765455,13,ENTREVIAS,131,1,ENTREVÍAS,13-1,5971941.77676,11034.9876545
2022,Anual,13,132,San Diego,42910,14.62,72.03,13.35,37.2,30.9,41.1,109,,2809,1.233,1.576,7381,3.954,3.427,17447,8.526,8.921,1759,1.171,588,01/01/2022,158,13,Puente de Vallecas,132,San Diego,4726.30980582,13,SAN DIEGO,132,2,SAN DIEGO,13-2,1069868.70039,4726.30980581
2022,Anual,13,133,Palomeras Bajas,39935,12.28,70.3,17.42,34.1,27.2,38.8,113.3,,2256,925,1.331,4347,2.235,2.112,16960,8.219,8.741,1185,788,397,01/01/2022,154,13,Puente de Vallecas,133,Palomeras Bajas,5649.53359313,13,PALOMERAS BAJAS,133,3,PALOMERAS BAJAS,13-3,1723868.31405,5649.53359312
2022,Anual,13,134,Palomeras Sureste,42540,13.28,68.24,18.48,36.5,31.3,40,110.4,,2436,1.033,1.403,8015,4.061,3.954,18117,9.018,9.099,1245,864,381,01/01/2022,153,13,Puente de Vallecas,134,Palomeras Sureste,7823.24915143,13,PALOMERAS SURESTE,134,4,PALOMERAS SURESTE,13-4,3108597.47995,7823.24915143
2022,Anual,13,135,Portazgo,28249,13.75,64.84,21.41,37.3,32.9,40.1,112.2,,1809,809,1.000,3166,1.718,1.448,10863,5.36,5.503,1007,668,339,01/01/2022,159,13,Puente de Vallecas,135,Portazgo,4834.74449881,13,PORTAZGO,135,5,PORTAZGO,13-5,1245260.69119,4834.74449881
2022,Anual,13,136,Numancia,47314,12.7,68.71,18.59,36.2,30.8,39.7,111.5,,2848,1.267,1.581,7128,3.477,3.651,19116,9.257,9.859,1623,1.107,516,01/01/2022,169,13,Puente de Vallecas,136,Numancia,5364.46022524,13,NUMANCIA,136,6,NUMANCIA,13-6,1849069.19195,5364.46022524
2022,Anual,14,141,Pavones,8719,11.15,61.99,26.86,36.8,31.3,40.2,119.7,,403,174,229,1517,486,1.031,3214,1.592,1.622,228,159,69,01/01/2022,165,14,Moratalaz,141,Pavones,4120.64910825,14,PAVONES,141,1,PAVONES,14-1,1009652.01594,4120.64910825
2022,Anual,14,142,Horcajo,6354,14.37,74.99,10.64,25,22.3,27.1,107.9,,342,123,219,667,333,334,2884,1.406,1.478,231,155,76,01/01/2022,179,14,Moratalaz,142,Horcajo,3896.49325556,14,HORCAJO,142,2,HORCAJO,14-2,745946.321934,3896.49325555
2022,Anual,14,143,Marroquina,26297,9.6,61.87,28.53,38.2,35.9,39.7,117.1,,1057,417,640,4397,1.922,2.475,10320,5.025,5.295,1100,652,448,01/01/2022,182,14,Moratalaz,143,Marroquina,6747.79567742,14,MARROQUINA,143,3,MARROQUINA,14-3,1790050.43119,6747.79567742
2022,Anual,14,144,Media Legua,17377,11.18,60.2,28.62,35.5,33.2,37,121.5,,836,354,482,2344,1.16,1.184,6354,3.048,3.306,559,363,196,01/01/2022,185,14,Moratalaz,144,Media Legua,4676.05777049,14,MEDIA LEGUA,144,4,MEDIA LEGUA,14-4,998967.71032,4676.05777049
2022,Anual,14,145,Fontarrón,17044,12.23,63.58,24.19,47.1,41.8,50,120,,854,392,462,1496,835,661,6793,3.282,3.511,558,368,190,01/01/2022,174,14,Moratalaz,145,Fontarrón,6220.55647353,14,FONTARRON,145,5,FONTARRÓN,14-5,964573.887451,6220.55647353
