anio,periodo,codigodistrito,codigobarrio,nombrebarrio,datopoblacion,datopoblacionmenor16,datopoblacionentre16y64,datopoblacionmayor65,datosobreenvejecimiento,datosobreenvejecimientohombres,datosobreenvejecimientomujeres,datofeminidad,datorentamedia,datoparadosregistrados,datoparadosregistradoshombres,datoparadosregistradosmujer,datoafiliacionestrabajo,datoafiliacionestrabajohombres,datoafiliacionestrabajomujer,datoafiliacionesresidencia,datoafiliacionesresidenciahombres,datoafiliacionesresidenciamujer,datoautonomo,datoautonomoshombres,datoautonomosmujer,date,objectid_joined,coddis_joined,nomdis_joined,cod_bar_joined,nombre_joined,shape_leng_joined,cod_dis_tx_joined,barrio_may_joined,cod_disbar_joined,num_bar_joined,barrio_mt_joined,cod_disb_joined,shape_star_joined,shape_stle_joined
2022,Anual,6,63,Castillejos,20282,9.94,66.08,23.97,35.1,31.1,37.5,123,,643,266,377,35388,17.007,18.381,8635,4.152,4.483,2204,1.367,837,01/01/2022,233,6,Tetuán,63,Castillejos,3547.92752664,6,CASTILLEJOS,63,3,CASTILLEJOS,6-3,704681.26477,3547.92752664
2022,Anual,6,64,Almenara,22594,11.86,69.17,18.97,40.1,32.4,44.6,117.4,,1301,536,765,8772,4.007,4.765,9434,4.614,4.82,850,562,288,01/01/2022,241,6,Tetuán,64,Almenara,4011.78365095,6,ALMENARA,64,4,ALMENARA,6-4,999367.231008,4011.78365096
2022,Anual,6,65,Valdeacederas,26140,12.31,73.01,14.68,35.4,30.1,38.7,112.9,,1242,515,727,3240,1.897,1.343,12060,5.849,6.211,1152,798,354,01/01/2022,240,6,Tetuán,65,Valdeacederas,5027.59763808,6,VALDEACEDERAS,65,5,VALDEACEDERAS,6-5,1163408.91308,5027.59763808
2022,Anual,6,66,Berruguete,24951,11.91,71.47,16.62,36.1,30.7,39.1,122.7,,1061,492,569,4706,2.197,2.509,11110,5.158,5.952,1132,743,389,01/01/2022,231,6,Tetuán,66,Berruguete,3421.08587877,6,BERRUGUETE,66,6,BERRUGUETE,6-6,607063.386778,3421.08587877
2022,Anual,7,71,Gaztambide,22659,9.54,64.83,25.64,34.8,29.1,38.1,125.3,,623,248,375,10969,4.91,6.059,9131,4.295,4.836,1815,1.06,755,01/01/2022,208,7,Chamberí,71,Gaztambide,2969.10754922,7,GAZTAMBIDE,71,1,GAZTAMBIDE,7-1,506477.728583,2969.10754922
2022,Anual,7,72,Arapiles,23972,10.09,65.62,24.29,34.7,28.5,38.1,122.6,,671,280,391,14488,6.039,8.449,10087,4.852,5.235,1779,1.055,724,01/01/2022,207,7,Chamberí,72,Arapiles,3096.15000842,7,ARAPILES,72,2,ARAPILES,7-2,578229.621477,3096.15000842
2022,Anual,7,73,Trafalgar,24495,9.97,68.49,21.54,32,25.2,36.1,121.4,,717,308,409,17968,7.798,10.17,10728,5.058,5.67,2238,1.324,914,01/01/2022,206,7,Chamberí,73,Trafalgar,3505.63511346,7,TRAFALGAR,73,3,TRAFALGAR,7-3,611878.110237,3505.63511347
2022,Anual,7,74,Almagro,19358,11.44,64.13,24.42,35,27.2,39.7,126.2,,393,173,220,69722,27.385,42.337,7743,3.725,4.018,2583,1.521,1.062,01/01/2022,205,7,Chamberí,74,Almagro,4073.71546314,7,ALMAGRO,74,4,ALMAGRO,7-4,937940.694984,4073.71546314
2022,Anual,7,75,Ríos Rosas,26901,11.35,64.99,23.66,35.6,29.6,38.8,128,,618,253,365,25811,11.51,14.301,11316,5.287,6.029,2143,1.273,870,01/01/2022,213,7,Chamberí,75,Ríos Rosas,4063.12078034,7,RIOS ROSAS,75,5,RÍOS ROSAS,7-5,975419.853646,4063.12078034
2022,Anual,7,76,Vallehermoso,19902,11.31,60.95,27.75,37.1,30.9,40.3,130.9,,412,158,254,14589,5.926,8.663,7662,3.599,4.063,1290,704,586,01/01/2022,214,7,Chamberí,76,Vallehermoso,4220.26344041,7,VALLEHERMOSO,76,6,VALLEHERMOSO,7-6,1069239.03785,4220.26344041
