Anio;Periodo;DatoAfiliacionesTrabajoHombres;DatoAfiliacionesTrabajoMujer;CodigoBarrio;CodigoDistrito;NombreBarrio;NombreDistrito
2017;Anual;0;0;194;19;El Cañaveral;Vicálvaro
2018;Anual;23;8;194;19;El Cañaveral;Vicálvaro
2019;Anual;117;16;194;19;El Cañaveral;Vicálvaro
2020;Anual;77;37;194;19;El Cañaveral;Vicálvaro
2021;Anual;90;62;194;19;El Cañaveral;Vicálvaro
2022;Anual;173;141;194;19;El Cañaveral;Vicálvaro
2010;Anual;2.371;1.430;191;19;Casco histórico de Vicálvaro;Vicálvaro
2011;Anual;2.396;1.437;191;19;Casco histórico de Vicálvaro;Vicálvaro
2012;Anual;2.287;1.420;191;19;Casco histórico de Vicálvaro;Vicálvaro
2013;Anual;2.231;1.890;191;19;Casco histórico de Vicálvaro;Vicálvaro
2014;Anual;2.713;2.070;191;19;Casco histórico de Vicálvaro;Vicálvaro
2015;Anual;2.927;2.348;191;19;Casco histórico de Vicálvaro;Vicálvaro
2016;Anual;3.228;2.529;191;19;Casco histórico de Vicálvaro;Vicálvaro
2017;Anual;3.274;2.527;191;19;Casco histórico de Vicálvaro;Vicálvaro
2018;Anual;2.918;1.538;191;19;Casco histórico de Vicálvaro;Vicálvaro
2019;Anual;3.637;1.693;191;19;Casco histórico de Vicálvaro;Vicálvaro
2020;Anual;4.445;1.868;191;19;Casco histórico de Vicálvaro;Vicálvaro
2021;Anual;4.718;1.826;191;19;Casco histórico de Vicálvaro;Vicálvaro
2022;Anual;5.116;2.081;191;19;Casco histórico de Vicálvaro;Vicálvaro
2010;Anual;160;76;81;8;El Pardo;Fuencarral - El Pardo
2011;Anual;158;83;81;8;El Pardo;Fuencarral - El Pardo
2012;Anual;144;74;81;8;El Pardo;Fuencarral - El Pardo
2013;Anual;158;123;81;8;El Pardo;Fuencarral - El Pardo
2014;Anual;148;134;81;8;El Pardo;Fuencarral - El Pardo
2015;Anual;138;129;81;8;El Pardo;Fuencarral - El Pardo
2016;Anual;143;136;81;8;El Pardo;Fuencarral - El Pardo
2017;Anual;154;131;81;8;El Pardo;Fuencarral - El Pardo
2018;Anual;141;132;81;8;El Pardo;Fuencarral - El Pardo
2019;Anual;158;140;81;8;El Pardo;Fuencarral - El Pardo
2020;Anual;166;149;81;8;El Pardo;Fuencarral - El Pardo
2021;Anual;166;153;81;8;El Pardo;Fuencarral - El Pardo
2022;Anual;175;160;81;8;El Pardo;Fuencarral - El Pardo
2010;Anual;264;297;88;8;El Goloso;Fuencarral - El Pardo
2011;Anual;388;400;88;8;El Goloso;Fuencarral - El Pardo
2012;Anual;791;731;88;8;El Goloso;Fuencarral - El Pardo
2013;Anual;902;1.558;88;8;El Goloso;Fuencarral - El Pardo
2014;Anual;938;1.736;88;8;El Goloso;Fuencarral - El Pardo
2015;Anual;1.078;1.875;88;8;El Goloso;Fuencarral - El Pardo
2016;Anual;1.372;2.176;88;8;El Goloso;Fuencarral - El Pardo
2017;Anual;1.585;2.401;88;8;El Goloso;Fuencarral - El Pardo
2018;Anual;1.621;2.525;88;8;El Goloso;Fuencarral - El Pardo
2019;Anual;1.980;2.998;88;8;El Goloso;Fuencarral - El Pardo
2020;Anual;1.999;2.863;88;8;El Goloso;Fuencarral - El Pardo
2021;Anual;1.975;2.838;88;8;El Goloso;Fuencarral - El Pardo
2022;Anual;2.187;3.667;88;8;El Goloso;Fuencarral - El Pardo
2010;Anual;16.731;12.292;86;8;Valverde;Fuencarral - El Pardo
2011;Anual;17.922;12.549;86;8;Valverde;Fuencarral - El Pardo
2012;Anual;17.502;13.339;86;8;Valverde;Fuencarral - El Pardo
2013;Anual;16.633;14.865;86;8;Valverde;Fuencarral - El Pardo
2014;Anual;16.975;15.505;86;8;Valverde;Fuencarral - El Pardo
2015;Anual;18.073;16.193;86;8;Valverde;Fuencarral - El Pardo
2016;Anual;20.090;17.205;86;8;Valverde;Fuencarral - El Pardo
2017;Anual;21.162;17.698;86;8;Valverde;Fuencarral - El Pardo
2018;Anual;21.171;17.899;86;8;Valverde;Fuencarral - El Pardo
2019;Anual;24.939;20.380;86;8;Valverde;Fuencarral - El Pardo
2020;Anual;26.851;21.213;86;8;Valverde;Fuencarral - El Pardo
2021;Anual;26.095;20.307;86;8;Valverde;Fuencarral - El Pardo
2022;Anual;35.093;28.010;86;8;Valverde;Fuencarral - El Pardo
2010;Anual;2.403;2.751;87;8;Mirasierra;Fuencarral - El Pardo
2011;Anual;2.375;2.751;87;8;Mirasierra;Fuencarral - El Pardo
2012;Anual;2.265;2.706;87;8;Mirasierra;Fuencarral - El Pardo
2013;Anual;2.676;5.244;87;8;Mirasierra;Fuencarral - El Pardo
2014;Anual;2.861;5.578;87;8;Mirasierra;Fuencarral - El Pardo
2015;Anual;2.957;5.872;87;8;Mirasierra;Fuencarral - El Pardo
2016;Anual;3.031;6.008;87;8;Mirasierra;Fuencarral - El Pardo
2017;Anual;3.993;6.704;87;8;Mirasierra;Fuencarral - El Pardo
2018;Anual;4.079;6.697;87;8;Mirasierra;Fuencarral - El Pardo
2019;Anual;4.332;8.702;87;8;Mirasierra;Fuencarral - El Pardo
2020;Anual;4.119;8.323;87;8;Mirasierra;Fuencarral - El Pardo
2021;Anual;4.173;8.147;87;8;Mirasierra;Fuencarral - El Pardo
2022;Anual;7.098;9.932;87;8;Mirasierra;Fuencarral - El Pardo
