Anio;Periodo;DatoAfiliacionesTrabajoHombres;DatoAfiliacionesTrabajoMujer;CodigoBarrio;CodigoDistrito;NombreBarrio;NombreDistrito
2010;Anual;15.837;9.894;166;16;Valdefuentes;Hortaleza
2011;Anual;18.621;14.739;166;16;Valdefuentes;Hortaleza
2012;Anual;19.768;17.493;166;16;Valdefuentes;Hortaleza
2013;Anual;19.240;21.374;166;16;Valdefuentes;Hortaleza
2014;Anual;19.255;22.375;166;16;Valdefuentes;Hortaleza
2015;Anual;20.382;23.199;166;16;Valdefuentes;Hortaleza
2016;Anual;21.195;23.277;166;16;Valdefuentes;Hortaleza
2017;Anual;20.707;24.128;166;16;Valdefuentes;Hortaleza
2018;Anual;23.173;26.095;166;16;Valdefuentes;Hortaleza
2019;Anual;24.826;27.907;166;16;Valdefuentes;Hortaleza
2020;Anual;26.531;31.127;166;16;Valdefuentes;Hortaleza
2021;Anual;28.784;31.424;166;16;Valdefuentes;Hortaleza
2022;Anual;31.280;33.743;166;16;Valdefuentes;Hortaleza
2010;Anual;5.715;2.395;212;21;Aeropuerto;Barajas
2011;Anual;5.985;2.468;212;21;Aeropuerto;Barajas
2012;Anual;5.936;2.377;212;21;Aeropuerto;Barajas
2013;Anual;2.568;1.575;212;21;Aeropuerto;Barajas
2014;Anual;2.874;2.005;212;21;Aeropuerto;Barajas
2015;Anual;2.889;1.970;212;21;Aeropuerto;Barajas
2016;Anual;3.035;2.062;212;21;Aeropuerto;Barajas
2017;Anual;3.399;2.441;212;21;Aeropuerto;Barajas
2018;Anual;3.841;2.659;212;21;Aeropuerto;Barajas
2019;Anual;4.090;2.618;212;21;Aeropuerto;Barajas
2020;Anual;4.492;2.806;212;21;Aeropuerto;Barajas
2021;Anual;4.419;2.809;212;21;Aeropuerto;Barajas
2022;Anual;4.831;3.156;212;21;Aeropuerto;Barajas
2010;Anual;721;694;214;21;Timón;Barajas
2011;Anual;777;748;214;21;Timón;Barajas
2012;Anual;751;671;214;21;Timón;Barajas
2013;Anual;662;823;214;21;Timón;Barajas
2014;Anual;920;1.135;214;21;Timón;Barajas
2015;Anual;962;1.217;214;21;Timón;Barajas
2016;Anual;1.125;1.360;214;21;Timón;Barajas
2017;Anual;1.289;1.462;214;21;Timón;Barajas
2018;Anual;1.386;1.618;214;21;Timón;Barajas
2019;Anual;1.427;1.612;214;21;Timón;Barajas
2020;Anual;1.512;1.648;214;21;Timón;Barajas
2021;Anual;1.335;1.382;214;21;Timón;Barajas
2022;Anual;1.535;1.470;214;21;Timón;Barajas
2010;Anual;609;609;82;8;Fuentelarreina;Fuencarral - El Pardo
2011;Anual;588;581;82;8;Fuentelarreina;Fuencarral - El Pardo
2012;Anual;690;709;82;8;Fuentelarreina;Fuencarral - El Pardo
2013;Anual;664;1.038;82;8;Fuentelarreina;Fuencarral - El Pardo
2014;Anual;649;1.028;82;8;Fuentelarreina;Fuencarral - El Pardo
2015;Anual;713;1.123;82;8;Fuentelarreina;Fuencarral - El Pardo
2016;Anual;792;1.210;82;8;Fuentelarreina;Fuencarral - El Pardo
2017;Anual;916;1.353;82;8;Fuentelarreina;Fuencarral - El Pardo
2018;Anual;849;1.325;82;8;Fuentelarreina;Fuencarral - El Pardo
2019;Anual;912;1.348;82;8;Fuentelarreina;Fuencarral - El Pardo
2020;Anual;476;740;82;8;Fuentelarreina;Fuencarral - El Pardo
2021;Anual;507;767;82;8;Fuentelarreina;Fuencarral - El Pardo
2022;Anual;796;1.229;82;8;Fuentelarreina;Fuencarral - El Pardo
2010;Anual;5.794;10.881;85;8;La Paz;Fuencarral - El Pardo
2011;Anual;7.397;11.881;85;8;La Paz;Fuencarral - El Pardo
2012;Anual;8.737;12.699;85;8;La Paz;Fuencarral - El Pardo
2013;Anual;8.813;13.854;85;8;La Paz;Fuencarral - El Pardo
2014;Anual;8.476;13.722;85;8;La Paz;Fuencarral - El Pardo
2015;Anual;9.472;14.767;85;8;La Paz;Fuencarral - El Pardo
2016;Anual;9.582;14.916;85;8;La Paz;Fuencarral - El Pardo
2017;Anual;11.049;16.073;85;8;La Paz;Fuencarral - El Pardo
2018;Anual;11.500;16.836;85;8;La Paz;Fuencarral - El Pardo
2019;Anual;12.430;17.669;85;8;La Paz;Fuencarral - El Pardo
2020;Anual;13.796;18.874;85;8;La Paz;Fuencarral - El Pardo
2021;Anual;13.383;18.817;85;8;La Paz;Fuencarral - El Pardo
2022;Anual;13.551;19.510;85;8;La Paz;Fuencarral - El Pardo
2010;Anual;3.581;2.773;83;8;Peñagrande;Fuencarral - El Pardo
2011;Anual;3.860;2.996;83;8;Peñagrande;Fuencarral - El Pardo
2012;Anual;3.758;3.137;83;8;Peñagrande;Fuencarral - El Pardo
2013;Anual;3.496;4.477;83;8;Peñagrande;Fuencarral - El Pardo
2014;Anual;3.542;4.542;83;8;Peñagrande;Fuencarral - El Pardo
2015;Anual;3.611;4.618;83;8;Peñagrande;Fuencarral - El Pardo
2016;Anual;3.765;4.632;83;8;Peñagrande;Fuencarral - El Pardo
2017;Anual;3.933;4.783;83;8;Peñagrande;Fuencarral - El Pardo
2018;Anual;4.023;4.743;83;8;Peñagrande;Fuencarral - El Pardo
2019;Anual;4.330;4.958;83;8;Peñagrande;Fuencarral - El Pardo
2020;Anual;4.737;5.862;83;8;Peñagrande;Fuencarral - El Pardo
2021;Anual;4.372;5.502;83;8;Peñagrande;Fuencarral - El Pardo
2022;Anual;4.696;5.867;83;8;Peñagrande;Fuencarral - El Pardo
2010;Anual;2.848;1.895;84;8;Pilar;Fuencarral - El Pardo
2011;Anual;2.826;2.234;84;8;Pilar;Fuencarral - El Pardo
2012;Anual;2.680;2.098;84;8;Pilar;Fuencarral - El Pardo
2013;Anual;2.532;3.105;84;8;Pilar;Fuencarral - El Pardo
2014;Anual;2.690;3.267;84;8;Pilar;Fuencarral - El Pardo
2015;Anual;2.848;3.429;84;8;Pilar;Fuencarral - El Pardo
2016;Anual;2.904;3.545;84;8;Pilar;Fuencarral - El Pardo
2017;Anual;2.988;3.642;84;8;Pilar;Fuencarral - El Pardo
2018;Anual;2.839;3.478;84;8;Pilar;Fuencarral - El Pardo
2019;Anual;3.190;3.802;84;8;Pilar;Fuencarral - El Pardo
2020;Anual;3.240;3.951;84;8;Pilar;Fuencarral - El Pardo
2021;Anual;3.101;3.316;84;8;Pilar;Fuencarral - El Pardo
2022;Anual;3.454;3.532;84;8;Pilar;Fuencarral - El Pardo
2010;Anual;3.757;2.624;159;15;Costillares;Ciudad Lineal
2011;Anual;6.339;5.225;159;15;Costillares;Ciudad Lineal
2012;Anual;6.618;4.597;159;15;Costillares;Ciudad Lineal
2013;Anual;6.165;6.227;159;15;Costillares;Ciudad Lineal
2014;Anual;5.707;6.034;159;15;Costillares;Ciudad Lineal
2015;Anual;5.959;6.319;159;15;Costillares;Ciudad Lineal
2016;Anual;6.219;6.517;159;15;Costillares;Ciudad Lineal
2017;Anual;6.345;6.584;159;15;Costillares;Ciudad Lineal
2018;Anual;6.732;6.734;159;15;Costillares;Ciudad Lineal
2019;Anual;6.997;7.036;159;15;Costillares;Ciudad Lineal
2020;Anual;7.040;7.128;159;15;Costillares;Ciudad Lineal
2021;Anual;7.317;6.917;159;15;Costillares;Ciudad Lineal
2022;Anual;6.265;6.820;159;15;Costillares;Ciudad Lineal
2010;Anual;22.298;22.439;56;5;Castilla;Chamartín
2011;Anual;22.073;23.287;56;5;Castilla;Chamartín
2012;Anual;21.963;23.156;56;5;Castilla;Chamartín
2013;Anual;18.498;21.785;56;5;Castilla;Chamartín
2014;Anual;18.066;21.806;56;5;Castilla;Chamartín
2015;Anual;15.104;21.706;56;5;Castilla;Chamartín
2016;Anual;18.889;25.803;56;5;Castilla;Chamartín
2017;Anual;19.939;27.286;56;5;Castilla;Chamartín
2018;Anual;21.473;28.097;56;5;Castilla;Chamartín
2019;Anual;22.263;28.503;56;5;Castilla;Chamartín
2020;Anual;20.279;26.066;56;5;Castilla;Chamartín
2021;Anual;19.829;25.588;56;5;Castilla;Chamartín
2022;Anual;20.265;25.926;56;5;Castilla;Chamartín
2010;Anual;1.583;925;165;16;Apóstol Santiago;Hortaleza
2011;Anual;1.601;996;165;16;Apóstol Santiago;Hortaleza
2012;Anual;1.470;969;165;16;Apóstol Santiago;Hortaleza
2013;Anual;1.420;1.323;165;16;Apóstol Santiago;Hortaleza
2014;Anual;1.427;1.357;165;16;Apóstol Santiago;Hortaleza
2015;Anual;1.471;1.340;165;16;Apóstol Santiago;Hortaleza
2016;Anual;1.497;1.368;165;16;Apóstol Santiago;Hortaleza
2017;Anual;722;943;165;16;Apóstol Santiago;Hortaleza
2018;Anual;732;910;165;16;Apóstol Santiago;Hortaleza
2019;Anual;774;986;165;16;Apóstol Santiago;Hortaleza
2020;Anual;787;976;165;16;Apóstol Santiago;Hortaleza
2021;Anual;734;920;165;16;Apóstol Santiago;Hortaleza
2022;Anual;1.038;1.298;165;16;Apóstol Santiago;Hortaleza
2010;Anual;7.222;5.028;164;16;Pinar del Rey;Hortaleza
2011;Anual;6.994;5.207;164;16;Pinar del Rey;Hortaleza
2012;Anual;5.960;4.918;164;16;Pinar del Rey;Hortaleza
2013;Anual;5.746;5.452;164;16;Pinar del Rey;Hortaleza
2014;Anual;4.242;4.408;164;16;Pinar del Rey;Hortaleza
2015;Anual;4.257;4.625;164;16;Pinar del Rey;Hortaleza
2016;Anual;4.380;4.983;164;16;Pinar del Rey;Hortaleza
2017;Anual;4.570;5.150;164;16;Pinar del Rey;Hortaleza
2018;Anual;5.118;5.854;164;16;Pinar del Rey;Hortaleza
2019;Anual;5.636;6.361;164;16;Pinar del Rey;Hortaleza
2020;Anual;5.499;5.917;164;16;Pinar del Rey;Hortaleza
2021;Anual;5.472;5.858;164;16;Pinar del Rey;Hortaleza
2022;Anual;5.783;6.162;164;16;Pinar del Rey;Hortaleza
2010;Anual;4.070;3.264;96;9;El Plantío;Moncloa - Aravaca
2011;Anual;4.808;3.778;96;9;El Plantío;Moncloa - Aravaca
2012;Anual;5.046;4.139;96;9;El Plantío;Moncloa - Aravaca
2013;Anual;5.186;4.479;96;9;El Plantío;Moncloa - Aravaca
2014;Anual;4.691;4.365;96;9;El Plantío;Moncloa - Aravaca
2015;Anual;4.835;4.748;96;9;El Plantío;Moncloa - Aravaca
2016;Anual;4.305;4.256;96;9;El Plantío;Moncloa - Aravaca
2017;Anual;4.567;4.343;96;9;El Plantío;Moncloa - Aravaca
2018;Anual;4.837;4.322;96;9;El Plantío;Moncloa - Aravaca
2019;Anual;5.207;4.904;96;9;El Plantío;Moncloa - Aravaca
2020;Anual;5.109;4.806;96;9;El Plantío;Moncloa - Aravaca
2021;Anual;5.026;4.483;96;9;El Plantío;Moncloa - Aravaca
2022;Anual;5.522;4.573;96;9;El Plantío;Moncloa - Aravaca
2010;Anual;10.780;14.210;93;9;Ciudad Universitaria;Moncloa - Aravaca
2011;Anual;10.233;12.282;93;9;Ciudad Universitaria;Moncloa - Aravaca
2012;Anual;10.716;12.847;93;9;Ciudad Universitaria;Moncloa - Aravaca
2013;Anual;9.923;13.551;93;9;Ciudad Universitaria;Moncloa - Aravaca
2014;Anual;15.518;26.304;93;9;Ciudad Universitaria;Moncloa - Aravaca
2015;Anual;15.766;26.624;93;9;Ciudad Universitaria;Moncloa - Aravaca
2016;Anual;16.392;28.037;93;9;Ciudad Universitaria;Moncloa - Aravaca
2017;Anual;16.957;28.970;93;9;Ciudad Universitaria;Moncloa - Aravaca
2018;Anual;17.112;29.471;93;9;Ciudad Universitaria;Moncloa - Aravaca
2019;Anual;17.231;29.535;93;9;Ciudad Universitaria;Moncloa - Aravaca
2020;Anual;17.522;30.060;93;9;Ciudad Universitaria;Moncloa - Aravaca
2021;Anual;18.072;31.606;93;9;Ciudad Universitaria;Moncloa - Aravaca
2022;Anual;18.480;32.272;93;9;Ciudad Universitaria;Moncloa - Aravaca
2010;Anual;563;613;213;21;Casco Histórico de Barajas;Barajas
2011;Anual;602;638;213;21;Casco Histórico de Barajas;Barajas
2012;Anual;578;581;213;21;Casco Histórico de Barajas;Barajas
2013;Anual;559;634;213;21;Casco Histórico de Barajas;Barajas
2014;Anual;593;638;213;21;Casco Histórico de Barajas;Barajas
2015;Anual;675;667;213;21;Casco Histórico de Barajas;Barajas
2016;Anual;721;719;213;21;Casco Histórico de Barajas;Barajas
2017;Anual;699;738;213;21;Casco Histórico de Barajas;Barajas
2018;Anual;701;736;213;21;Casco Histórico de Barajas;Barajas
2019;Anual;804;789;213;21;Casco Histórico de Barajas;Barajas
2020;Anual;829;766;213;21;Casco Histórico de Barajas;Barajas
2021;Anual;736;687;213;21;Casco Histórico de Barajas;Barajas
2022;Anual;727;705;213;21;Casco Histórico de Barajas;Barajas
2010;Anual;2.317;4.638;95;9;Valdemarín;Moncloa - Aravaca
2011;Anual;2.226;2.607;95;9;Valdemarín;Moncloa - Aravaca
2012;Anual;2.299;2.616;95;9;Valdemarín;Moncloa - Aravaca
2013;Anual;2.318;3.311;95;9;Valdemarín;Moncloa - Aravaca
2014;Anual;2.493;3.731;95;9;Valdemarín;Moncloa - Aravaca
2015;Anual;2.940;4.111;95;9;Valdemarín;Moncloa - Aravaca
2016;Anual;3.271;4.352;95;9;Valdemarín;Moncloa - Aravaca
2017;Anual;3.498;4.407;95;9;Valdemarín;Moncloa - Aravaca
2018;Anual;3.590;4.275;95;9;Valdemarín;Moncloa - Aravaca
2019;Anual;3.737;4.582;95;9;Valdemarín;Moncloa - Aravaca
2020;Anual;6.549;7.785;95;9;Valdemarín;Moncloa - Aravaca
2021;Anual;5.832;6.979;95;9;Valdemarín;Moncloa - Aravaca
2022;Anual;6.008;7.545;95;9;Valdemarín;Moncloa - Aravaca
2010;Anual;4.204;2.762;64;6;Almenara;Tetuán
2011;Anual;4.072;2.809;64;6;Almenara;Tetuán
2012;Anual;8.164;7.148;64;6;Almenara;Tetuán
2013;Anual;7.582;7.376;64;6;Almenara;Tetuán
2014;Anual;6.747;6.916;64;6;Almenara;Tetuán
2015;Anual;6.832;6.917;64;6;Almenara;Tetuán
2016;Anual;6.819;7.083;64;6;Almenara;Tetuán
2017;Anual;6.619;6.854;64;6;Almenara;Tetuán
2018;Anual;6.842;7.197;64;6;Almenara;Tetuán
2019;Anual;7.159;8.114;64;6;Almenara;Tetuán
2020;Anual;7.341;9.002;64;6;Almenara;Tetuán
2021;Anual;6.609;7.962;64;6;Almenara;Tetuán
2022;Anual;4.007;4.765;64;6;Almenara;Tetuán
2010;Anual;2.724;1.386;65;6;Valdeacederas;Tetuán
2011;Anual;2.564;1.396;65;6;Valdeacederas;Tetuán
2012;Anual;2.352;1.246;65;6;Valdeacederas;Tetuán
2013;Anual;2.170;1.426;65;6;Valdeacederas;Tetuán
2014;Anual;2.190;1.463;65;6;Valdeacederas;Tetuán
2015;Anual;1.922;1.362;65;6;Valdeacederas;Tetuán
2016;Anual;1.880;1.387;65;6;Valdeacederas;Tetuán
2017;Anual;1.816;1.348;65;6;Valdeacederas;Tetuán
2018;Anual;1.657;1.407;65;6;Valdeacederas;Tetuán
2019;Anual;1.895;1.561;65;6;Valdeacederas;Tetuán
2020;Anual;1.904;1.444;65;6;Valdeacederas;Tetuán
2021;Anual;1.803;1.276;65;6;Valdeacederas;Tetuán
2022;Anual;1.897;1.343;65;6;Valdeacederas;Tetuán
2010;Anual;1.265;994;94;9;Valdezarza;Moncloa - Aravaca
2011;Anual;1.441;1.626;94;9;Valdezarza;Moncloa - Aravaca
2012;Anual;1.342;1.494;94;9;Valdezarza;Moncloa - Aravaca
2013;Anual;1.277;2.052;94;9;Valdezarza;Moncloa - Aravaca
2014;Anual;1.354;2.059;94;9;Valdezarza;Moncloa - Aravaca
2015;Anual;1.352;2.080;94;9;Valdezarza;Moncloa - Aravaca
2016;Anual;1.424;2.209;94;9;Valdezarza;Moncloa - Aravaca
2017;Anual;1.486;2.188;94;9;Valdezarza;Moncloa - Aravaca
2018;Anual;1.424;2.153;94;9;Valdezarza;Moncloa - Aravaca
2019;Anual;1.628;2.281;94;9;Valdezarza;Moncloa - Aravaca
2020;Anual;1.549;2.120;94;9;Valdezarza;Moncloa - Aravaca
2021;Anual;1.504;1.954;94;9;Valdezarza;Moncloa - Aravaca
2022;Anual;1.476;1.987;94;9;Valdezarza;Moncloa - Aravaca
2010;Anual;11.999;11.849;215;21;Corralejos;Barajas
2011;Anual;12.847;12.465;215;21;Corralejos;Barajas
2012;Anual;13.186;13.051;215;21;Corralejos;Barajas
2013;Anual;13.898;13.993;215;21;Corralejos;Barajas
2014;Anual;13.411;12.984;215;21;Corralejos;Barajas
2015;Anual;12.377;11.664;215;21;Corralejos;Barajas
2016;Anual;11.771;11.594;215;21;Corralejos;Barajas
2017;Anual;12.142;12.116;215;21;Corralejos;Barajas
2018;Anual;13.162;13.400;215;21;Corralejos;Barajas
2019;Anual;14.080;14.372;215;21;Corralejos;Barajas
2020;Anual;14.606;14.533;215;21;Corralejos;Barajas
2021;Anual;15.218;15.598;215;21;Corralejos;Barajas
2022;Anual;10.906;9.902;215;21;Corralejos;Barajas
2010;Anual;4.307;4.042;163;16;Canillas;Hortaleza
2011;Anual;4.703;4.133;163;16;Canillas;Hortaleza
2012;Anual;4.943;4.281;163;16;Canillas;Hortaleza
2013;Anual;4.751;4.674;163;16;Canillas;Hortaleza
2014;Anual;4.712;4.750;163;16;Canillas;Hortaleza
2015;Anual;4.526;4.351;163;16;Canillas;Hortaleza
2016;Anual;4.787;4.573;163;16;Canillas;Hortaleza
2017;Anual;5.028;5.154;163;16;Canillas;Hortaleza
2018;Anual;4.358;4.813;163;16;Canillas;Hortaleza
2019;Anual;4.587;5.111;163;16;Canillas;Hortaleza
2020;Anual;4.726;5.092;163;16;Canillas;Hortaleza
2021;Anual;4.496;4.745;163;16;Canillas;Hortaleza
2022;Anual;4.314;4.794;163;16;Canillas;Hortaleza
2010;Anual;11.975;9.451;55;5;Nueva España;Chamartín
2011;Anual;11.797;9.303;55;5;Nueva España;Chamartín
2012;Anual;10.239;8.963;55;5;Nueva España;Chamartín
2013;Anual;9.869;10.806;55;5;Nueva España;Chamartín
2014;Anual;10.101;10.799;55;5;Nueva España;Chamartín
2015;Anual;10.181;10.966;55;5;Nueva España;Chamartín
2016;Anual;9.390;10.953;55;5;Nueva España;Chamartín
2017;Anual;10.103;11.782;55;5;Nueva España;Chamartín
2018;Anual;10.321;11.745;55;5;Nueva España;Chamartín
2019;Anual;10.971;12.102;55;5;Nueva España;Chamartín
2020;Anual;14.062;12.625;55;5;Nueva España;Chamartín
2021;Anual;11.374;11.348;55;5;Nueva España;Chamartín
2022;Anual;11.579;11.969;55;5;Nueva España;Chamartín
2010;Anual;332;283;158;15;Atalaya;Ciudad Lineal
2011;Anual;358;297;158;15;Atalaya;Ciudad Lineal
2012;Anual;243;273;158;15;Atalaya;Ciudad Lineal
2013;Anual;259;438;158;15;Atalaya;Ciudad Lineal
2014;Anual;257;456;158;15;Atalaya;Ciudad Lineal
2015;Anual;234;436;158;15;Atalaya;Ciudad Lineal
2016;Anual;236;465;158;15;Atalaya;Ciudad Lineal
2017;Anual;264;454;158;15;Atalaya;Ciudad Lineal
2018;Anual;232;390;158;15;Atalaya;Ciudad Lineal
2019;Anual;267;428;158;15;Atalaya;Ciudad Lineal
2020;Anual;247;439;158;15;Atalaya;Ciudad Lineal
2021;Anual;241;412;158;15;Atalaya;Ciudad Lineal
2022;Anual;258;438;158;15;Atalaya;Ciudad Lineal
2010;Anual;3.290;3.764;97;9;Aravaca;Moncloa - Aravaca
2011;Anual;3.109;3.889;97;9;Aravaca;Moncloa - Aravaca
2012;Anual;3.239;4.089;97;9;Aravaca;Moncloa - Aravaca
2013;Anual;3.328;6.033;97;9;Aravaca;Moncloa - Aravaca
2014;Anual;4.049;6.331;97;9;Aravaca;Moncloa - Aravaca
2015;Anual;4.579;6.706;97;9;Aravaca;Moncloa - Aravaca
2016;Anual;4.442;6.764;97;9;Aravaca;Moncloa - Aravaca
2017;Anual;4.298;6.750;97;9;Aravaca;Moncloa - Aravaca
2018;Anual;3.774;6.684;97;9;Aravaca;Moncloa - Aravaca
2019;Anual;3.786;7.380;97;9;Aravaca;Moncloa - Aravaca
2020;Anual;3.838;7.169;97;9;Aravaca;Moncloa - Aravaca
2021;Anual;4.001;7.155;97;9;Aravaca;Moncloa - Aravaca
2022;Anual;4.223;7.394;97;9;Aravaca;Moncloa - Aravaca
2010;Anual;15.550;12.131;63;6;Castillejos;Tetuán
2011;Anual;13.911;11.380;63;6;Castillejos;Tetuán
2012;Anual;14.281;11.596;63;6;Castillejos;Tetuán
2013;Anual;13.795;12.255;63;6;Castillejos;Tetuán
2014;Anual;13.310;11.933;63;6;Castillejos;Tetuán
2015;Anual;14.083;13.441;63;6;Castillejos;Tetuán
2016;Anual;13.259;13.113;63;6;Castillejos;Tetuán
2017;Anual;13.193;13.413;63;6;Castillejos;Tetuán
2018;Anual;13.953;13.590;63;6;Castillejos;Tetuán
2019;Anual;14.225;14.610;63;6;Castillejos;Tetuán
2020;Anual;16.322;17.440;63;6;Castillejos;Tetuán
2021;Anual;15.652;16.518;63;6;Castillejos;Tetuán
2022;Anual;17.007;18.381;63;6;Castillejos;Tetuán
2010;Anual;2.085;2.836;211;21;Alameda de Osuna;Barajas
2011;Anual;2.136;2.997;211;21;Alameda de Osuna;Barajas
2012;Anual;2.211;3.076;211;21;Alameda de Osuna;Barajas
2013;Anual;1.832;3.568;211;21;Alameda de Osuna;Barajas
2014;Anual;1.882;3.590;211;21;Alameda de Osuna;Barajas
2015;Anual;3.135;4.837;211;21;Alameda de Osuna;Barajas
2016;Anual;5.009;10.105;211;21;Alameda de Osuna;Barajas
2017;Anual;4.906;9.664;211;21;Alameda de Osuna;Barajas
2018;Anual;4.248;7.263;211;21;Alameda de Osuna;Barajas
2019;Anual;4.548;7.547;211;21;Alameda de Osuna;Barajas
2020;Anual;4.294;7.175;211;21;Alameda de Osuna;Barajas
2021;Anual;3.920;5.776;211;21;Alameda de Osuna;Barajas
2022;Anual;3.791;5.559;211;21;Alameda de Osuna;Barajas
2010;Anual;2.454;1.630;66;6;Berruguete;Tetuán
2011;Anual;2.225;1.695;66;6;Berruguete;Tetuán
2012;Anual;2.036;1.591;66;6;Berruguete;Tetuán
