CodigoBarrio;Anio;numero_alojamientos
153;2017;2
153;2018;2
153;2019;2
153;2020;2
153;2021;2
153;2022;2
154;2015;3
154;2016;3
154;2017;3
154;2018;3
154;2019;4
154;2020;6
154;2021;5
154;2022;4
155;2015;2
155;2016;2
155;2017;2
155;2018;2
155;2019;2
155;2020;2
155;2021;4
155;2022;5
156;2015;1
156;2016;2
156;2017;1
156;2018;1
156;2019;1
156;2020;1
156;2021;1
156;2022;1
157;2015;2
157;2016;2
157;2017;4
157;2018;4
157;2019;4
157;2020;3
157;2021;3
157;2022;3
158;2018;1
158;2019;1
158;2021;1
158;2022;1
159;2015;4
159;2016;5
159;2017;4
159;2018;4
159;2019;4
159;2020;4
159;2021;4
159;2022;4
16;2015;36
16;2016;39
16;2017;39
16;2018;42
16;2019;44
16;2020;44
16;2021;51
16;2022;51
161;2015;3
161;2016;3
161;2017;3
161;2018;3
161;2019;3
161;2020;3
161;2021;3
161;2022;3
162;2015;2
162;2016;2
162;2017;2
162;2018;2
162;2019;2
162;2020;2
162;2021;2
162;2022;2
163;2015;1
163;2016;1
163;2017;1
163;2018;2
163;2019;2
163;2020;3
163;2021;3
163;2022;7
164;2015;3
164;2016;3
164;2017;3
164;2018;4
164;2019;4
164;2020;5
164;2021;5
164;2022;9
166;2015;3
166;2016;3
166;2017;3
166;2018;3
166;2019;3
166;2020;3
166;2021;2
166;2022;4
17;2015;1
171;2015;1
171;2016;4
171;2017;2
171;2018;1
171;2019;1
171;2020;2
171;2021;4
171;2022;5
173;2020;1
173;2021;1
173;2022;1
174;2022;1
181;2015;11
181;2016;11
181;2017;11
181;2018;11
181;2019;12
181;2020;12
181;2021;12
181;2022;12
191;2015;2
191;2016;1
191;2017;1
191;2018;1
191;2019;1
191;2020;1
191;2021;2
191;2022;3
21;2015;11
21;2016;12
21;2017;13
21;2018;14
21;2019;14
21;2020;13
21;2021;13
21;2022;17
211;2015;6
211;2016;6
211;2017;6
211;2018;5
211;2019;6
211;2020;5
211;2021;5
211;2022;5
212;2015;4
212;2016;4
