OID_;OBJECTID;CODDIS;NOMDIS;COD_BAR;NOMBRE;Shape_Leng;COD_DIS_TX;BARRIO_MAY;COD_DISBAR;NUM_BAR;BARRIO_MT;COD_DISB;Shape_STAr;Shape_STLe
11;143;12;Usera;122;Orcasur;6014,65367292;12;ORCASUR;122;2;ORCASUR;12-2;1387349,57518;6014,65367292
12;144;12;Usera;126;Zofío;3742,72280117;12;ZOFIO;126;6;ZOFÍO;12-6;774025,53656;3742,72280116
13;145;12;Usera;127;Pradolongo;4785,09791705;12;PRADOLONGO;127;7;PRADOLONGO;12-7;1095651,85364;4785,09791705
14;146;11;Carabanchel;117;Abrantes;5494,74745131;11;ABRANTES;117;7;ABRANTES;11-7;1564570,60899;5494,74745131
15;147;11;Carabanchel;115;Puerta Bonita;5985,24337749;11;PUERTA BONITA;115;5;PUERTA BONITA;11-5;1608625,38732;5985,24337749
16;148;12;Usera;124;Almendrales;3727,30843206;12;ALMENDRALES;124;4;ALMENDRALES;12-4;780140,88006;3727,30843206
17;149;18;Villa de Vallecas;182;Santa Eugenia;6793,01964889;18;SANTA EUGENIA;182;2;SANTA EUGENIA;18-2;2080233,33866;6793,01964889
18;150;11;Carabanchel;114;Vista Alegre;6437,03231387;11;VISTA ALEGRE;114;4;VISTA ALEGRE;11-4;1589225,48185;6437,03231387
19;151;13;Puente de Vallecas;131;Entrevías;11034,98765455;13;ENTREVIAS;131;1;ENTREVÍAS;13-1;5971941,77676;11034,9876545
20;152;10;Latina;107;Águilas;7627,75299821;10;AGUILAS;107;7;ÁGUILAS;10-7;3609602,61663;7627,75299821
21;153;13;Puente de Vallecas;134;Palomeras Sureste;7823,24915143;13;PALOMERAS SURESTE;134;4;PALOMERAS SURESTE;13-4;3108597,47995;7823,24915143
22;154;13;Puente de Vallecas;133;Palomeras Bajas;5649,53359313;13;PALOMERAS BAJAS;133;3;PALOMERAS BAJAS;13-3;1723868,31405;5649,53359312
23;155;2;Arganzuela;24;Legazpi;5141,64267076;2;LEGAZPI;24;4;LEGAZPI;2-4;1414470,49693;5141,64267076
24;156;12;Usera;125;Moscardó;4248,7102722;12;MOSCARDO;125;5;MOSCARDÓ;12-5;908787,651465;4248,71027219
25;157;11;Carabanchel;112;Opañel;4492,8314969;11;OPAÑEL;112;2;OPAÑEL;11-2;1107286,0441;4492,8314969
26;158;13;Puente de Vallecas;132;San Diego;4726,30980582;13;SAN DIEGO;132;2;SAN DIEGO;13-2;1069868,70039;4726,30980581
27;159;13;Puente de Vallecas;135;Portazgo;4834,74449881;13;PORTAZGO;135;5;PORTAZGO;13-5;1245260,69119;4834,74449881
28;160;11;Carabanchel;111;Comillas;4257,85571595;11;COMILLAS;111;1;COMILLAS;11-1;666096,128544;4257,85571595
29;161;10;Latina;105;Campamento;16523,70180977;10;CAMPAMENTO;105;5;CAMPAMENTO;10-5;9191379,46528;16523,7018098
30;162;2;Arganzuela;23;Chopera;3203,40797373;2;CHOPERA;23;3;CHOPERA;2-3;567786,529133;3203,40797373
31;163;2;Arganzuela;25;Delicias;4818,00335497;2;DELICIAS;25;5;DELICIAS;2-5;1054679,15941;4818,00335497
32;164;10;Latina;104;Aluche;7267,78655978;10;ALUCHE;104;4;ALUCHE;10-4;2849809,70733;7267,78655978
33;165;14;Moratalaz;141;Pavones;4120,64910825;14;PAVONES;141;1;PAVONES;14-1;1009652,01594;4120,64910825
34;166;19;Vicálvaro;193;Valderrivas;4577,75683592;19;VALDERRIVAS;193;3;VALDERRIVAS;19-3;643168,463002;4577,75683592
35;167;11;Carabanchel;113;San Isidro;6149,55254995;11;SAN ISIDRO;113;3;SAN ISIDRO;11-3;1899332,06036;6149,55254995
36;168;19;Vicálvaro;192;Valdebernardo;7086,98958115;19;VALDEBERNARDO;192;2;VALDEBERNARDO;19-2;2555072,51455;7086,98958115
37;169;13;Puente de Vallecas;136;Numancia;5364,46022524;13;NUMANCIA;136;6;NUMANCIA;13-6;1849069,19195;5364,46022524
38;170;3;Retiro;32;Adelfas;3584,88651527;3;ADELFAS;32;2;ADELFAS;3-2;640789,32924;3584,88651527
39;171;2;Arganzuela;22;Acacias;3950,32602512;2;ACACIAS;22;2;ACACIAS;2-2;1073437,93653;3950,32602512
40;172;3;Retiro;31;Pacífico;4017,27773289;3;PACIFICO;31;1;PACÍFICO;3-1;758250,357382;4017,27773289
41;173;2;Arganzuela;26;Palos de la Frontera;3647,7468831;2;PALOS DE LA FRONTERA;26;6;PALOS DE LA FRONTERA;2-6;648442,306207;3647,7468831
42;174;14;Moratalaz;145;Fontarrón;6220,55647353;14;FONTARRON;145;5;FONTARRÓN;14-5;964573,887451;6220,55647353
43;175;2;Arganzuela;27;Atocha;4957,68688238;2;ATOCHA;27;7;ATOCHA;2-7;735680,599505;4957,68688238
44;176;10;Latina;101;Los Cármenes;6182,22331316;10;LOS CARMENES;101;1;LOS CÁRMENES;10-1;1291998,54433;6182,22331316
45;177;14;Moratalaz;146;Vinateros;3721,67137773;14;VINATEROS;146;6;VINATEROS;14-6;593977,281579;3721,67137773
46;178;10;Latina;103;Lucero;5498,29738199;10;LUCERO;103;3;LUCERO;10-3;1678995,60271;5498,29738199
47;179;14;Moratalaz;142;Horcajo;3896,49325556;14;HORCAJO;142;2;HORCAJO;14-2;745946,321934;3896,49325555
48;180;2;Arganzuela;21;Imperial;4557,93764198;2;IMPERIAL;21;1;IMPERIAL;2-1;967678,601988;4557,93764198
49;181;1;Centro;12;Embajadores;4275,227681;1;EMBAJADORES;12;2;EMBAJADORES;1-2;1033724,69833;4275,227681
50;182;14;Moratalaz;143;Marroquina;6747,79567742;14;MARROQUINA;143;3;MARROQUINA;14-3;1790050,43119;6747,79567742
51;183;3;Retiro;36;Niño Jesús;3545,83319896;3;NIÑO JESUS;36;6;NIÑO JESÚS;3-6;643280,623212;3545,83319896
52;184;10;Latina;102;Puerta del Ángel;5368,77588392;10;PUERTA DEL ANGEL;102;2;PUERTA DEL ÁNGEL;10-2;1375298,04853;5368,77588392
53;185;14;Moratalaz;144;Media Legua;4676,05777049;14;MEDIA LEGUA;144;4;MEDIA LEGUA;14-4;998967,71032;4676,05777049
54;186;1;Centro;13;Cortes;3731,07903046;1;CORTES;13;3;CORTES;1-3;591874,121948;3731,07903046
55;187;1;Centro;16;Sol;2719,28788329;1;SOL;16;6;SOL;1-6;445300,822126;2719,28788329
56;188;3;Retiro;33;Estrella;4441,30986873;3;ESTRELLA;33;3;ESTRELLA;3-3;1025524,32048;4441,30986873
57;189;3;Retiro;35;Los Jerónimos;5287,48477429;3;LOS JERONIMOS;35;5;LOS JERÓNIMOS;3-5;1906397,62525;5287,48477429
58;190;3;Retiro;34;Ibiza;2912,81697723;3;IBIZA;34;4;IBIZA;3-4;491968,908798;2912,81697723
59;191;1;Centro;11;Palacio;5754,82274848;1;PALACIO;11;1;PALACIO;1-1;1469905,68364;5754,82274848
60;192;20;San Blas - Canillejas;204;Arcos;5074,87210758;20;ARCOS;204;4;ARCOS;20-4;1305194,03829;5074,87210758
61;193;4;Salamanca;42;Goya;3473,08430751;4;GOYA;42;2;GOYA;4-2;770293,653231;3473,08430751
62;194;20;San Blas - Canillejas;203;Amposta;3097,46051578;20;AMPOSTA;203;3;AMPOSTA;20-3;370249,994462;3097,46051578
63;195;1;Centro;14;Justicia;3597,42142713;1;JUSTICIA;14;4;JUSTICIA;1-4;739414,338038;3597,42142713
64;196;4;Salamanca;41;Recoletos;3926,67638049;4;RECOLETOS;41;1;RECOLETOS;4-1;873144,652054;3926,67638049
65;197;1;Centro;15;Universidad;4060,07581276;1;UNIVERSIDAD;15;5;UNIVERSIDAD;1-5;948027,077316;4060,07581276
66;198;4;Salamanca;43;Fuente del Berro;3886,35058356;4;FUENTE DEL BERRO;43;3;FUENTE DEL BERRO;4-3;852575,751904;3886,35058356
