CodigoBarrio;Anio;numero_locales
;2018;1
11;2014;2767
11;2015;2795
11;2016;2858
11;2017;5567
11;2018;2917
11;2019;2938
11;2020;2939
11;2021;2992
11;2022;3021
111;2014;1325
111;2015;1329
111;2016;1347
111;2017;2627
111;2018;1356
111;2019;1368
111;2020;1373
111;2021;1414
111;2022;1416
112;2014;1861
112;2015;1875
112;2016;1889
112;2017;3702
112;2018;1932
112;2019;1934
112;2020;1954
112;2021;2024
112;2022;2028
113;2014;2010
113;2015;2015
113;2016;2042
113;2017;4006
113;2018;2074
113;2019;2080
113;2020;2097
113;2021;2122
113;2022;2122
114;2014;3254
114;2015;3280
114;2016;3322
114;2017;6482
114;2018;3403
114;2019;3392
114;2020;3404
114;2021;3458
114;2022;3474
115;2014;1517
115;2015;1536
115;2016;1572
115;2017;3016
115;2018;1579
115;2019;1585
115;2020;1593
115;2021;1621
115;2022;1621
116;2014;1944
116;2015;1971
116;2016;2020
116;2017;3873
116;2018;2057
116;2019;2079
116;2020;2108
116;2021;2175
116;2022;2190
117;2014;948
117;2015;965
117;2016;978
117;2017;1895
117;2018;993
117;2019;1002
117;2020;1004
117;2021;1040
117;2022;1041
12;2014;6702
12;2015;6758
12;2016;6843
12;2017;13343
12;2018;6942
12;2019;6968
12;2020;6986
12;2021;7052
12;2022;7060
121;2014;425
121;2015;434
121;2016;447
121;2017;841
121;2018;459
121;2019;447
121;2020;452
121;2021;447
121;2022;445
122;2014;377
122;2015;381
122;2016;405
122;2017;802
122;2018;415
122;2019;416
122;2020;426
122;2021;426
122;2022;430
123;2014;597
123;2015;605
123;2016;615
123;2017;1182
123;2018;628
123;2019;640
123;2020;643
123;2021;641
123;2022;646
124;2014;1112
124;2015;1122
124;2016;1134
124;2017;2181
124;2018;1158
124;2019;1164
124;2020;1163
124;2021;1156
124;2022;1158
125;2014;1372
125;2015;1392
125;2016;1413
125;2017;3089
125;2018;1627
125;2019;1628
125;2020;1640
125;2021;1648
125;2022;1647
126;2014;672
126;2015;675
126;2016;683
126;2017;1334
126;2018;686
126;2019;688
126;2020;695
126;2021;713
126;2022;711
127;2014;1275
127;2015;1301
127;2016;1318
127;2017;2521
127;2018;1335
127;2019;1335
127;2020;1339
127;2021;1353
127;2022;1352
13;2014;2743
13;2015;2762
13;2016;2786
13;2017;5398
13;2018;2826
13;2019;2835
13;2020;2845
13;2021;2873
13;2022;2883
131;2014;1459
131;2015;1472
131;2016;1485
131;2017;2915
131;2018;1506
131;2019;1511
131;2020;1512
131;2021;1524
131;2022;1511
132;2014;2993
132;2015;3024
132;2016;3042
132;2017;5898
132;2018;3057
132;2019;3062
132;2020;3070
132;2021;3071
132;2022;3062
133;2014;1322
133;2015;1330
133;2016;1359
133;2017;2621
133;2018;1381
133;2019;1394
133;2020;1397
133;2021;1401
133;2022;1398
134;2014;1669
134;2015;1699
134;2016;1712
134;2017;3315
134;2018;1721
134;2019;1733
134;2020;1735
134;2021;1724
134;2022;1727
135;2014;1458
135;2015;1476
135;2016;1484
135;2017;2884
135;2018;1500
135;2019;1511
135;2020;1523
135;2021;1530
135;2022;1526
136;2014;2369
136;2015;2386
136;2016;2434
136;2017;4686
136;2018;2440
136;2019;2443
136;2020;2462
136;2021;2470
136;2022;2477
14;2014;4533
14;2015;4611
14;2016;4691
14;2017;9102
14;2018;4794
14;2019;4807
14;2020;4841
14;2021;4925
14;2022;4964
141;2014;245
141;2015;247
141;2016;249
141;2017;477
141;2018;258
141;2019;259
141;2020;261
141;2021;263
141;2022;265
142;2014;127
142;2015;132
142;2016;129
142;2017;247
142;2018;130
142;2019;130
142;2020;131
142;2021;133
142;2022;138
143;2014;1081
143;2015;1087
143;2016;1109
143;2017;2090
143;2018;1103
143;2019;1103
143;2020;1111
143;2021;1115
143;2022;1129
144;2014;538
144;2015;538
144;2016;554
144;2017;1035
144;2018;557
144;2019;558
144;2020;559
144;2021;565
144;2022;561
145;2014;403
145;2015;407
145;2016;415
145;2017;769
145;2018;414
145;2019;417
145;2020;417
145;2021;425
145;2022;429
146;2014;398
146;2015;405
146;2016;406
146;2017;777
146;2018;410
146;2019;410
146;2020;409
146;2021;415
146;2022;417
15;2014;3604
15;2015;3651
15;2016;3704
15;2017;7183
15;2018;3769
15;2019;3779
15;2020;3797
15;2021;3851
15;2022;3866
151;2014;2781
151;2015;2797
151;2016;2807
151;2017;5527
151;2018;2842
151;2019;2855
151;2020;2864
151;2021;2906
151;2022;2933
152;2014;3472
152;2015;3503
152;2016;3528
152;2017;6895
152;2018;3559
152;2019;3591
152;2020;3602
152;2021;3690
152;2022;3707
153;2014;1789
153;2015;1795
153;2016;1804
153;2017;3526
153;2018;1822
153;2019;1837
153;2020;1834
153;2021;1856
153;2022;1869
154;2014;1478
154;2015;1484
154;2016;1497
154;2017;2910
154;2018;1505
154;2019;1511
154;2020;1509
154;2021;1521
154;2022;1523
155;2014;840
155;2015;851
155;2016;861
155;2017;1649
155;2018;860
155;2019;870
155;2020;870
155;2021;889
155;2022;890
156;2014;448
156;2015;456
156;2016;466
156;2017;911
