CodigoBarrio;Anio;numero_locales
156;2018;483
156;2019;482
156;2020;481
156;2021;495
156;2022;497
157;2014;363
157;2015;364
157;2016;367
157;2017;705
157;2018;370
157;2019;377
157;2020;380
157;2021;389
157;2022;390
158;2014;41
158;2015;41
158;2016;41
158;2017;81
158;2018;43
158;2019;42
158;2020;43
158;2021;46
158;2022;46
159;2014;434
159;2015;441
159;2016;462
159;2017;864
159;2018;470
159;2019;467
159;2020;468
159;2021;480
159;2022;482
16;2014;1763
16;2015;1796
16;2016;1837
16;2017;3533
16;2018;1884
16;2019;1978
16;2020;2009
16;2021;2023
16;2022;2042
161;2014;153
161;2015;149
161;2016;159
161;2017;275
161;2018;166
161;2019;166
161;2020;168
161;2021;169
161;2022;168
162;2014;289
162;2015;297
162;2016;329
162;2017;606
162;2018;336
162;2019;344
162;2020;356
162;2021;363
162;2022;385
163;2014;2009
163;2015;2053
163;2016;2098
163;2017;4032
163;2018;2146
163;2019;2158
163;2020;2163
163;2021;2174
163;2022;2187
164;2014;2718
164;2015;2749
164;2016;2781
164;2017;5404
164;2018;2801
164;2019;2809
164;2020;2816
164;2021;2852
164;2022;2879
165;2014;388
165;2015;391
165;2016;394
165;2017;743
165;2018;396
165;2019;396
165;2020;396
165;2021;404
165;2022;421
166;2014;952
166;2015;964
166;2016;1014
166;2017;1912
166;2018;1039
166;2019;1096
166;2020;1114
166;2021;1156
166;2022;1260
17;2014;1501
17;2015;1508
17;2016;1546
17;2017;3022
17;2018;1583
17;2019;1592
17;2020;1607
17;2021;1621
17;2022;1636
171;2014;4243
171;2015;4267
171;2016;4293
171;2017;8338
171;2018;4356
171;2019;4377
171;2020;4401
171;2021;4445
171;2022;4464
172;2014;439
172;2015;438
172;2016;424
172;2017;811
172;2018;434
172;2019;434
172;2020;440
172;2021;450
172;2022;448
173;2014;416
173;2015;429
173;2016;432
173;2017;784
173;2018;422
173;2019;423
173;2020;430
173;2021;444
173;2022;446
174;2014;1535
174;2015;1582
174;2016;1565
174;2017;2894
174;2018;1560
174;2019;1560
174;2020;1573
174;2021;1571
174;2022;1576
175;2014;977
175;2015;994
175;2016;996
175;2017;1844
175;2018;999
175;2019;1009
175;2020;1017
175;2021;1050
175;2022;1060
181;2014;3638
181;2015;4619
181;2016;4679
181;2017;7396
181;2018;3932
181;2019;3958
181;2020;3981
181;2021;4063
181;2022;4084
182;2014;594
182;2015;609
182;2016;618
182;2017;1169
182;2018;635
182;2019;640
182;2020;644
182;2021;654
182;2022;649
183;2017;1616
183;2018;897
183;2019;891
183;2020;915
183;2021;952
183;2022;977
191;2014;1483
191;2015;1498
191;2016;1540
191;2017;3293
191;2018;1732
191;2019;1744
191;2020;1747
191;2021;1786
191;2022;1805
192;2014;673
192;2015;671
192;2016;687
192;2017;709
192;2018;394
192;2019;393
192;2020;393
192;2021;403
192;2022;403
193;2018;105
193;2019;102
193;2020;106
193;2021;106
193;2022;114
194;2018;4
194;2019;24
194;2020;43
194;2021;87
194;2022;118
21;2014;2211
21;2015;2252
21;2016;2292
21;2017;4302
21;2018;2288
21;2019;2302
21;2020;2306
21;2021;2343
21;2022;2411
211;2014;490
211;2015;487
211;2016;491
211;2017;954
211;2018;502
211;2019;503
211;2020;509
211;2021;516
211;2022;527
212;2014;486
212;2015;514
212;2016;531
212;2017;997
212;2018;555
212;2019;566
212;2020;570
212;2021;577
212;2022;582
213;2014;522
213;2015;527
213;2016;533
213;2017;1013
213;2018;535
213;2019;535
213;2020;537
213;2021;538
213;2022;544
214;2014;309
214;2015;334
214;2016;339
214;2017;654
214;2018;354
214;2019;367
214;2020;371
214;2021;400
214;2022;374
215;2014;279
215;2015;286
215;2016;294
215;2017;529
215;2018;295
215;2019;299
215;2020;303
215;2021;312
215;2022;314
22;2014;1489
22;2015;1489
22;2016;1503
22;2017;2811
22;2018;1494
22;2019;1509
22;2020;1513
22;2021;1565
22;2022;1586
23;2014;1369
23;2015;1380
23;2016;1404
23;2017;2675
23;2018;1403
23;2019;1425
23;2020;1433
23;2021;1439
23;2022;1450
24;2014;925
24;2015;948
24;2016;971
24;2017;1829
24;2018;983
24;2019;1012
24;2020;1022
24;2021;1049
24;2022;1063
25;2014;1924
25;2015;1925
25;2016;1959
25;2017;3752
25;2018;1986
25;2019;2111
25;2020;2133
25;2021;2151
25;2022;2187
26;2014;2326
26;2015;2351
26;2016;2397
26;2017;4580
26;2018;2442
26;2019;2481
26;2020;2493
26;2021;2524
26;2022;2577
27;2014;1742
27;2015;1756
27;2016;1790
27;2017;3437
27;2018;1807
27;2019;1806
27;2020;1824
27;2021;1875
27;2022;1894
28;2014;319
28;2015;324
28;2016;332
28;2017;636
28;2018;342
28;2019;342
28;2020;344
28;2021;340
28;2022;340
31;2014;1404
31;2015;1443
31;2016;1476
31;2017;2801
31;2018;1504
31;2019;1523
31;2020;1538
31;2021;1559
31;2022;1566
32;2014;481
32;2015;491
32;2016;509
32;2017;953
32;2018;512
32;2019;518
32;2020;516
32;2021;514
32;2022;522
33;2014;486
33;2015;488
33;2016;488
33;2017;935
33;2018;526
33;2019;530
33;2020;532
33;2021;537
33;2022;532
34;2014;1024
34;2015;1045
34;2016;1076
34;2017;2012
34;2018;1083
34;2019;1069
34;2020;1096
34;2021;1088
34;2022;1105
35;2014;373
35;2015;379
35;2016;389
35;2017;719
35;2018;413
35;2019;408
35;2020;403
35;2021;417
35;2022;425
36;2014;521
36;2015;515
36;2016;550
36;2017;1042
36;2018;564
36;2019;566
36;2020;581
36;2021;579
36;2022;586
41;2014;1656
41;2015;1696
41;2016;1707
41;2017;3262
41;2018;1757
41;2019;1776
41;2020;1817
41;2021;1842
41;2022;1861
42;2014;1875
42;2015;1911
42;2016;1945
42;2017;3652
42;2018;1989
42;2019;2026
42;2020;2041
42;2021;2057
42;2022;2063
43;2014;1011
43;2015;1018
43;2016;1062
43;2017;2025
43;2018;1098
43;2019;1108
43;2020;1111
43;2021;1150
43;2022;1179
44;2014;1885
44;2015;1912
44;2016;1947
44;2017;3749
44;2018;2048
44;2019;2058
44;2020;2064
44;2021;2131
44;2022;2158
45;2014;1151
45;2015;1154
45;2016;1182
45;2017;2176
45;2018;1202
45;2019;1211
45;2020;1219
45;2021;1231
45;2022;1232
46;2014;1160
46;2015;1189
46;2016;1210
46;2017;2327
46;2018;1249
46;2019;1262
46;2020;1272
46;2021;1313
46;2022;1326
51;2014;936
51;2015;941
51;2016;967
51;2017;1869
51;2018;988
51;2019;1011
51;2020;1009
51;2021;1040
51;2022;1038
52;2014;1798
52;2015;1815
52;2016;1828
52;2017;3479
52;2018;1835
52;2019;1849
52;2020;1863
52;2021;1899
52;2022;1900
53;2014;1304
53;2015;1309
53;2016;1350
53;2017;2613
53;2018;1367
53;2019;1383
53;2020;1385
53;2021;1427
53;2022;1428
54;2014;1605
54;2015;1610
54;2016;1632
54;2017;3095
54;2018;1650
54;2019;1672
54;2020;1675
54;2021;1705
54;2022;1718
55;2014;960
55;2015;954
55;2016;989
55;2017;1903
55;2018;1019
55;2019;1019
55;2020;1023
55;2021;1037
55;2022;1044
56;2014;708
56;2015;726
56;2016;728
56;2017;1395
56;2018;732
56;2019;736
56;2020;749
56;2021;759
56;2022;761
61;2014;1621
61;2015;1632
61;2016;1660
61;2017;3177
61;2018;1665
61;2019;1680
61;2020;1688
61;2021;1732
61;2022;1741
62;2014;2491
62;2015;2548
62;2016;2588
62;2017;4889
62;2018;2625
62;2019;2654
62;2020;2647
62;2021;2710
62;2022;2713
63;2014;1202
63;2015;1219
63;2016;1232
63;2017;2321
63;2018;1260
63;2019;1268
63;2020;1268
63;2021;1293
63;2022;1296
64;2014;1421
64;2015;1426
64;2016;1465
64;2017;2845
64;2018;1518
64;2019;1530
64;2020;1534
64;2021;1571
64;2022;1580
65;2014;1873
65;2015;1877
65;2016;1898
65;2017;3636
65;2018;1893
65;2019;1909
65;2020;1917
65;2021;1926
65;2022;1924
66;2014;1493
66;2015;1514
66;2016;1518
66;2017;2922
66;2018;1530
66;2019;1536
66;2020;1538
66;2021;1591
66;2022;1593
71;2014;1580
71;2015;1591
71;2016;1601
71;2017;3105
71;2018;1637
71;2019;1644
71;2020;1676
71;2021;1701
71;2022;1713
72;2014;1352
72;2015;1347
72;2016;1356
72;2017;2625
72;2018;1386
72;2019;1405
72;2020;1421
72;2021;1447
72;2022;1448
73;2014;1732
73;2015;1743
73;2016;1766
73;2017;3397
73;2018;1798
73;2019;1798
73;2020;1816
73;2021;1852
73;2022;1873
74;2014;1163
74;2015;1177
74;2016;1198
74;2017;2350
74;2018;1257
74;2019;1263
74;2020;1282
74;2021;1300
74;2022;1299
75;2014;1386
75;2015;1400
75;2016;1406
75;2017;2714
75;2018;1436
75;2019;1440
75;2020;1461
75;2021;1491
75;2022;1506
76;2014;789
76;2015;795
76;2016;802
76;2017;1544
76;2018;851
76;2019;853
76;2020;857
76;2021;885
76;2022;887
81;2014;226
81;2015;220
81;2016;214
81;2017;397
81;2018;218
81;2019;219
81;2020;219
81;2021;221
81;2022;226
82;2014;24
82;2015;23
82;2016;26
82;2017;44
82;2018;27
82;2019;26
82;2020;27
82;2021;25
82;2022;28
83;2014;1205
83;2015;1195
83;2016;1165
83;2017;2131
83;2018;1164
83;2019;1165
83;2020;1164
83;2021;1173
83;2022;1164
84;2014;2559
84;2015;2580
84;2016;2533
84;2017;4815
84;2018;2526
84;2019;2535
84;2020;2534
84;2021;2567
84;2022;2574
85;2014;796
85;2015;757
85;2016;755
85;2017;1437
85;2018;779
85;2019;775
85;2020;777
85;2021;890
85;2022;914
86;2014;2719
86;2015;2793
86;2016;2719
86;2017;5151
86;2018;2733
86;2019;2732
86;2020;2754
86;2021;2777
86;2022;2782
87;2014;455
87;2015;471
87;2016;475
87;2017;798
87;2018;481
87;2019;480
87;2020;487
87;2021;527
87;2022;555
88;2014;490
88;2015;503
88;2016;525
88;2017;1012
88;2018;567
88;2019;576
88;2020;579
88;2021;594
88;2022;592
91;2014;768
91;2015;790
91;2016;809
91;2017;1531
91;2018;811
91;2019;821
91;2020;829
91;2021;837
91;2022;842
92;2014;1416
92;2015;1440
92;2016;1463
92;2017;2795
92;2018;1474
92;2019;1483
92;2020;1499
92;2021;1530
92;2022;1537
93;2014;948
93;2015;960
93;2016;989
93;2017;1825
93;2018;986
93;2019;995
93;2020;998
93;2021;1060
93;2022;1072
94;2014;931
94;2015;934
94;2016;960
94;2017;1855
94;2018;977
94;2019;982
94;2020;981
94;2021;1016
94;2022;1020
95;2014;103
95;2015;107
95;2016;118
95;2017;212
95;2018;127
95;2019;126
95;2020;128
95;2021;128
95;2022;127
96;2014;219
96;2015;218
96;2016;228
96;2017;432
96;2018;230
96;2019;231
96;2020;236
96;2021;240
96;2022;240
97;2014;724
97;2015;733
97;2016;762
97;2017;1404
97;2018;766
97;2019;766
97;2020;766
97;2021;770
97;2022;769
