Anio;Periodo;DatoPoblacion;CodigoBarrio;CodigoDistrito;NombreBarrio;NombreDistrito
2017;Anual;0;194;19;El Cañaveral;Vicálvaro
2018;Anual;945;194;19;El Cañaveral;Vicálvaro
2019;Anual;1530;194;19;El Cañaveral;Vicálvaro
2020;Anual;2398;194;19;El Cañaveral;Vicálvaro
2021;Anual;4430;194;19;El Cañaveral;Vicálvaro
2022;Anual;8944;194;19;El Cañaveral;Vicálvaro
2005;Anual;44049;191;19;Casco histórico de Vicálvaro;Vicálvaro
2006;Anual;46542;191;19;Casco histórico de Vicálvaro;Vicálvaro
2007;Anual;46007;191;19;Casco histórico de Vicálvaro;Vicálvaro
2008;Anual;48009;191;19;Casco histórico de Vicálvaro;Vicálvaro
2009;Anual;49157;191;19;Casco histórico de Vicálvaro;Vicálvaro
2010;Anual;49768;191;19;Casco histórico de Vicálvaro;Vicálvaro
2011;Anual;50402;191;19;Casco histórico de Vicálvaro;Vicálvaro
2012;Anual;50620;191;19;Casco histórico de Vicálvaro;Vicálvaro
2013;Anual;50686;191;19;Casco histórico de Vicálvaro;Vicálvaro
2014;Anual;50632;191;19;Casco histórico de Vicálvaro;Vicálvaro
2015;Anual;50726;191;19;Casco histórico de Vicálvaro;Vicálvaro
2016;Anual;51238;191;19;Casco histórico de Vicálvaro;Vicálvaro
2017;Anual;51580;191;19;Casco histórico de Vicálvaro;Vicálvaro
2018;Anual;34200;191;19;Casco histórico de Vicálvaro;Vicálvaro
2019;Anual;34816;191;19;Casco histórico de Vicálvaro;Vicálvaro
2020;Anual;35666;191;19;Casco histórico de Vicálvaro;Vicálvaro
2021;Anual;35548;191;19;Casco histórico de Vicálvaro;Vicálvaro
2022;Anual;35086;191;19;Casco histórico de Vicálvaro;Vicálvaro
2005;Anual;3908;81;8;El Pardo;Fuencarral - El Pardo
2006;Anual;3867;81;8;El Pardo;Fuencarral - El Pardo
2007;Anual;3753;81;8;El Pardo;Fuencarral - El Pardo
2008;Anual;3657;81;8;El Pardo;Fuencarral - El Pardo
2009;Anual;3583;81;8;El Pardo;Fuencarral - El Pardo
2010;Anual;3519;81;8;El Pardo;Fuencarral - El Pardo
2011;Anual;3465;81;8;El Pardo;Fuencarral - El Pardo
2012;Anual;3461;81;8;El Pardo;Fuencarral - El Pardo
2013;Anual;3474;81;8;El Pardo;Fuencarral - El Pardo
2014;Anual;3446;81;8;El Pardo;Fuencarral - El Pardo
2015;Anual;3424;81;8;El Pardo;Fuencarral - El Pardo
2016;Anual;3375;81;8;El Pardo;Fuencarral - El Pardo
2017;Anual;3394;81;8;El Pardo;Fuencarral - El Pardo
2018;Anual;3456;81;8;El Pardo;Fuencarral - El Pardo
2019;Anual;3454;81;8;El Pardo;Fuencarral - El Pardo
2020;Anual;3472;81;8;El Pardo;Fuencarral - El Pardo
2021;Anual;3443;81;8;El Pardo;Fuencarral - El Pardo
2022;Anual;3382;81;8;El Pardo;Fuencarral - El Pardo
2005;Anual;2228;88;8;El Goloso;Fuencarral - El Pardo
2006;Anual;3566;88;8;El Goloso;Fuencarral - El Pardo
2007;Anual;5680;88;8;El Goloso;Fuencarral - El Pardo
2008;Anual;8028;88;8;El Goloso;Fuencarral - El Pardo
2009;Anual;9901;88;8;El Goloso;Fuencarral - El Pardo
2010;Anual;11118;88;8;El Goloso;Fuencarral - El Pardo
2011;Anual;12413;88;8;El Goloso;Fuencarral - El Pardo
2012;Anual;13774;88;8;El Goloso;Fuencarral - El Pardo
2013;Anual;14765;88;8;El Goloso;Fuencarral - El Pardo
2014;Anual;15427;88;8;El Goloso;Fuencarral - El Pardo
2015;Anual;16173;88;8;El Goloso;Fuencarral - El Pardo
2016;Anual;16800;88;8;El Goloso;Fuencarral - El Pardo
2017;Anual;17414;88;8;El Goloso;Fuencarral - El Pardo
2018;Anual;17950;88;8;El Goloso;Fuencarral - El Pardo
2019;Anual;18511;88;8;El Goloso;Fuencarral - El Pardo
2020;Anual;19042;88;8;El Goloso;Fuencarral - El Pardo
2021;Anual;18928;88;8;El Goloso;Fuencarral - El Pardo
2022;Anual;19075;88;8;El Goloso;Fuencarral - El Pardo
2005;Anual;34788;86;8;Valverde;Fuencarral - El Pardo
2006;Anual;37044;86;8;Valverde;Fuencarral - El Pardo
2007;Anual;39707;86;8;Valverde;Fuencarral - El Pardo
2008;Anual;44695;86;8;Valverde;Fuencarral - El Pardo
2009;Anual;48556;86;8;Valverde;Fuencarral - El Pardo
2010;Anual;51684;86;8;Valverde;Fuencarral - El Pardo
2011;Anual;53758;86;8;Valverde;Fuencarral - El Pardo
2012;Anual;55131;86;8;Valverde;Fuencarral - El Pardo
2013;Anual;56052;86;8;Valverde;Fuencarral - El Pardo
2014;Anual;56346;86;8;Valverde;Fuencarral - El Pardo
2015;Anual;57074;86;8;Valverde;Fuencarral - El Pardo
2016;Anual;58731;86;8;Valverde;Fuencarral - El Pardo
2017;Anual;60011;86;8;Valverde;Fuencarral - El Pardo
2018;Anual;61941;86;8;Valverde;Fuencarral - El Pardo
2019;Anual;63201;86;8;Valverde;Fuencarral - El Pardo
2020;Anual;64668;86;8;Valverde;Fuencarral - El Pardo
2021;Anual;64042;86;8;Valverde;Fuencarral - El Pardo
2022;Anual;63651;86;8;Valverde;Fuencarral - El Pardo
2005;Anual;27091;87;8;Mirasierra;Fuencarral - El Pardo
2006;Anual;27280;87;8;Mirasierra;Fuencarral - El Pardo
2007;Anual;27409;87;8;Mirasierra;Fuencarral - El Pardo
2008;Anual;27778;87;8;Mirasierra;Fuencarral - El Pardo
2009;Anual;28450;87;8;Mirasierra;Fuencarral - El Pardo
2010;Anual;28798;87;8;Mirasierra;Fuencarral - El Pardo
2011;Anual;29072;87;8;Mirasierra;Fuencarral - El Pardo
2012;Anual;29041;87;8;Mirasierra;Fuencarral - El Pardo
2013;Anual;28939;87;8;Mirasierra;Fuencarral - El Pardo
2014;Anual;28800;87;8;Mirasierra;Fuencarral - El Pardo
2015;Anual;28911;87;8;Mirasierra;Fuencarral - El Pardo
2016;Anual;29519;87;8;Mirasierra;Fuencarral - El Pardo
2017;Anual;30868;87;8;Mirasierra;Fuencarral - El Pardo
2018;Anual;32058;87;8;Mirasierra;Fuencarral - El Pardo
2019;Anual;32898;87;8;Mirasierra;Fuencarral - El Pardo
2020;Anual;34046;87;8;Mirasierra;Fuencarral - El Pardo
2021;Anual;34565;87;8;Mirasierra;Fuencarral - El Pardo
2022;Anual;35240;87;8;Mirasierra;Fuencarral - El Pardo
2005;Anual;14801;166;16;Valdefuentes;Hortaleza
2006;Anual;19179;166;16;Valdefuentes;Hortaleza
2007;Anual;24146;166;16;Valdefuentes;Hortaleza
2008;Anual;30102;166;16;Valdefuentes;Hortaleza
2009;Anual;33448;166;16;Valdefuentes;Hortaleza
2010;Anual;36154;166;16;Valdefuentes;Hortaleza
2011;Anual;38212;166;16;Valdefuentes;Hortaleza
2012;Anual;39754;166;16;Valdefuentes;Hortaleza
2013;Anual;40987;166;16;Valdefuentes;Hortaleza
2014;Anual;41893;166;16;Valdefuentes;Hortaleza
2015;Anual;45399;166;16;Valdefuentes;Hortaleza
2016;Anual;48722;166;16;Valdefuentes;Hortaleza
2017;Anual;51666;166;16;Valdefuentes;Hortaleza
2018;Anual;54297;166;16;Valdefuentes;Hortaleza
2019;Anual;57879;166;16;Valdefuentes;Hortaleza
2020;Anual;61931;166;16;Valdefuentes;Hortaleza
2021;Anual;63254;166;16;Valdefuentes;Hortaleza
2022;Anual;66210;166;16;Valdefuentes;Hortaleza
2005;Anual;2289;212;21;Aeropuerto;Barajas
2006;Anual;2284;212;21;Aeropuerto;Barajas
2007;Anual;2204;212;21;Aeropuerto;Barajas
2008;Anual;2160;212;21;Aeropuerto;Barajas
2009;Anual;2135;212;21;Aeropuerto;Barajas
2010;Anual;2169;212;21;Aeropuerto;Barajas
2011;Anual;2097;212;21;Aeropuerto;Barajas
2012;Anual;2055;212;21;Aeropuerto;Barajas
2013;Anual;2006;212;21;Aeropuerto;Barajas
2014;Anual;1898;212;21;Aeropuerto;Barajas
2015;Anual;1787;212;21;Aeropuerto;Barajas
2016;Anual;1767;212;21;Aeropuerto;Barajas
2017;Anual;1784;212;21;Aeropuerto;Barajas
2018;Anual;1794;212;21;Aeropuerto;Barajas
2019;Anual;1851;212;21;Aeropuerto;Barajas
2020;Anual;1900;212;21;Aeropuerto;Barajas
2021;Anual;1918;212;21;Aeropuerto;Barajas
2022;Anual;1895;212;21;Aeropuerto;Barajas
2005;Anual;7501;214;21;Timón;Barajas
2006;Anual;7764;214;21;Timón;Barajas
2007;Anual;7813;214;21;Timón;Barajas
2008;Anual;7913;214;21;Timón;Barajas
2009;Anual;8081;214;21;Timón;Barajas
2010;Anual;8495;214;21;Timón;Barajas
2011;Anual;8806;214;21;Timón;Barajas
2012;Anual;9077;214;21;Timón;Barajas
2013;Anual;9366;214;21;Timón;Barajas
2014;Anual;9533;214;21;Timón;Barajas
2015;Anual;10050;214;21;Timón;Barajas
2016;Anual;10592;214;21;Timón;Barajas
2017;Anual;11023;214;21;Timón;Barajas
2018;Anual;11750;214;21;Timón;Barajas
2019;Anual;12388;214;21;Timón;Barajas
2020;Anual;12853;214;21;Timón;Barajas
2021;Anual;13334;214;21;Timón;Barajas
2022;Anual;11895;214;21;Timón;Barajas
2005;Anual;3391;82;8;Fuentelarreina;Fuencarral - El Pardo
2006;Anual;3334;82;8;Fuentelarreina;Fuencarral - El Pardo
2007;Anual;3288;82;8;Fuentelarreina;Fuencarral - El Pardo
2008;Anual;3254;82;8;Fuentelarreina;Fuencarral - El Pardo
2009;Anual;3231;82;8;Fuentelarreina;Fuencarral - El Pardo
2010;Anual;3233;82;8;Fuentelarreina;Fuencarral - El Pardo
2011;Anual;3207;82;8;Fuentelarreina;Fuencarral - El Pardo
2012;Anual;3205;82;8;Fuentelarreina;Fuencarral - El Pardo
2013;Anual;3200;82;8;Fuentelarreina;Fuencarral - El Pardo
2014;Anual;3232;82;8;Fuentelarreina;Fuencarral - El Pardo
2015;Anual;3219;82;8;Fuentelarreina;Fuencarral - El Pardo
2016;Anual;3186;82;8;Fuentelarreina;Fuencarral - El Pardo
2017;Anual;3196;82;8;Fuentelarreina;Fuencarral - El Pardo
2018;Anual;3234;82;8;Fuentelarreina;Fuencarral - El Pardo
2019;Anual;3265;82;8;Fuentelarreina;Fuencarral - El Pardo
2020;Anual;3308;82;8;Fuentelarreina;Fuencarral - El Pardo
2021;Anual;3356;82;8;Fuentelarreina;Fuencarral - El Pardo
2022;Anual;3346;82;8;Fuentelarreina;Fuencarral - El Pardo
2005;Anual;37599;85;8;La Paz;Fuencarral - El Pardo
2006;Anual;37251;85;8;La Paz;Fuencarral - El Pardo
2007;Anual;37153;85;8;La Paz;Fuencarral - El Pardo
2008;Anual;36626;85;8;La Paz;Fuencarral - El Pardo
2009;Anual;36319;85;8;La Paz;Fuencarral - El Pardo
2010;Anual;36168;85;8;La Paz;Fuencarral - El Pardo
2011;Anual;35772;85;8;La Paz;Fuencarral - El Pardo
2012;Anual;35285;85;8;La Paz;Fuencarral - El Pardo
2013;Anual;35011;85;8;La Paz;Fuencarral - El Pardo
2014;Anual;34533;85;8;La Paz;Fuencarral - El Pardo
2015;Anual;34248;85;8;La Paz;Fuencarral - El Pardo
2016;Anual;33994;85;8;La Paz;Fuencarral - El Pardo
