Anio;Periodo;DatoPoblacion;CodigoBarrio;CodigoDistrito;NombreBarrio;NombreDistrito
2017;Anual;33803;85;8;La Paz;Fuencarral - El Pardo
2018;Anual;33783;85;8;La Paz;Fuencarral - El Pardo
2019;Anual;33765;85;8;La Paz;Fuencarral - El Pardo
2020;Anual;33644;85;8;La Paz;Fuencarral - El Pardo
2021;Anual;33005;85;8;La Paz;Fuencarral - El Pardo
2022;Anual;32346;85;8;La Paz;Fuencarral - El Pardo
2005;Anual;46385;83;8;Peñagrande;Fuencarral - El Pardo
2006;Anual;46377;83;8;Peñagrande;Fuencarral - El Pardo
2007;Anual;45521;83;8;Peñagrande;Fuencarral - El Pardo
2008;Anual;45968;83;8;Peñagrande;Fuencarral - El Pardo
2009;Anual;46095;83;8;Peñagrande;Fuencarral - El Pardo
2010;Anual;46127;83;8;Peñagrande;Fuencarral - El Pardo
2011;Anual;45795;83;8;Peñagrande;Fuencarral - El Pardo
2012;Anual;45262;83;8;Peñagrande;Fuencarral - El Pardo
2013;Anual;45131;83;8;Peñagrande;Fuencarral - El Pardo
2014;Anual;44543;83;8;Peñagrande;Fuencarral - El Pardo
2015;Anual;44164;83;8;Peñagrande;Fuencarral - El Pardo
2016;Anual;44147;83;8;Peñagrande;Fuencarral - El Pardo
2017;Anual;44262;83;8;Peñagrande;Fuencarral - El Pardo
2018;Anual;44412;83;8;Peñagrande;Fuencarral - El Pardo
2019;Anual;44508;83;8;Peñagrande;Fuencarral - El Pardo
2020;Anual;44938;83;8;Peñagrande;Fuencarral - El Pardo
2021;Anual;44383;83;8;Peñagrande;Fuencarral - El Pardo
2022;Anual;43887;83;8;Peñagrande;Fuencarral - El Pardo
2005;Anual;51220;84;8;Pilar;Fuencarral - El Pardo
2006;Anual;50536;84;8;Pilar;Fuencarral - El Pardo
2007;Anual;50199;84;8;Pilar;Fuencarral - El Pardo
2008;Anual;50079;84;8;Pilar;Fuencarral - El Pardo
2009;Anual;49819;84;8;Pilar;Fuencarral - El Pardo
2010;Anual;49111;84;8;Pilar;Fuencarral - El Pardo
2011;Anual;48415;84;8;Pilar;Fuencarral - El Pardo
2012;Anual;47765;84;8;Pilar;Fuencarral - El Pardo
2013;Anual;47280;84;8;Pilar;Fuencarral - El Pardo
2014;Anual;46324;84;8;Pilar;Fuencarral - El Pardo
2015;Anual;45676;84;8;Pilar;Fuencarral - El Pardo
2016;Anual;45730;84;8;Pilar;Fuencarral - El Pardo
2017;Anual;45808;84;8;Pilar;Fuencarral - El Pardo
2018;Anual;46094;84;8;Pilar;Fuencarral - El Pardo
2019;Anual;46419;84;8;Pilar;Fuencarral - El Pardo
2020;Anual;46855;84;8;Pilar;Fuencarral - El Pardo
2021;Anual;45970;84;8;Pilar;Fuencarral - El Pardo
2022;Anual;45354;84;8;Pilar;Fuencarral - El Pardo
2005;Anual;23338;159;15;Costillares;Ciudad Lineal
2006;Anual;23368;159;15;Costillares;Ciudad Lineal
2007;Anual;22840;159;15;Costillares;Ciudad Lineal
2008;Anual;22802;159;15;Costillares;Ciudad Lineal
2009;Anual;23028;159;15;Costillares;Ciudad Lineal
2010;Anual;23070;159;15;Costillares;Ciudad Lineal
2011;Anual;23106;159;15;Costillares;Ciudad Lineal
2012;Anual;22906;159;15;Costillares;Ciudad Lineal
2013;Anual;22685;159;15;Costillares;Ciudad Lineal
2014;Anual;22306;159;15;Costillares;Ciudad Lineal
2015;Anual;22058;159;15;Costillares;Ciudad Lineal
2016;Anual;21967;159;15;Costillares;Ciudad Lineal
2017;Anual;21941;159;15;Costillares;Ciudad Lineal
2018;Anual;22019;159;15;Costillares;Ciudad Lineal
2019;Anual;22010;159;15;Costillares;Ciudad Lineal
2020;Anual;22245;159;15;Costillares;Ciudad Lineal
2021;Anual;22074;159;15;Costillares;Ciudad Lineal
2022;Anual;21768;159;15;Costillares;Ciudad Lineal
2005;Anual;16904;56;5;Castilla;Chamartín
2006;Anual;16819;56;5;Castilla;Chamartín
2007;Anual;16951;56;5;Castilla;Chamartín
2008;Anual;17012;56;5;Castilla;Chamartín
2009;Anual;17128;56;5;Castilla;Chamartín
2010;Anual;17115;56;5;Castilla;Chamartín
2011;Anual;17200;56;5;Castilla;Chamartín
2012;Anual;17025;56;5;Castilla;Chamartín
2013;Anual;16832;56;5;Castilla;Chamartín
2014;Anual;16692;56;5;Castilla;Chamartín
2015;Anual;16396;56;5;Castilla;Chamartín
2016;Anual;16402;56;5;Castilla;Chamartín
2017;Anual;16598;56;5;Castilla;Chamartín
2018;Anual;16871;56;5;Castilla;Chamartín
2019;Anual;16880;56;5;Castilla;Chamartín
2020;Anual;17228;56;5;Castilla;Chamartín
2021;Anual;17091;56;5;Castilla;Chamartín
2022;Anual;16988;56;5;Castilla;Chamartín
2005;Anual;16209;165;16;Apóstol Santiago;Hortaleza
2006;Anual;16292;165;16;Apóstol Santiago;Hortaleza
2007;Anual;16048;165;16;Apóstol Santiago;Hortaleza
2008;Anual;15988;165;16;Apóstol Santiago;Hortaleza
2009;Anual;16069;165;16;Apóstol Santiago;Hortaleza
2010;Anual;15953;165;16;Apóstol Santiago;Hortaleza
2011;Anual;15841;165;16;Apóstol Santiago;Hortaleza
2012;Anual;15665;165;16;Apóstol Santiago;Hortaleza
2013;Anual;15474;165;16;Apóstol Santiago;Hortaleza
2014;Anual;15375;165;16;Apóstol Santiago;Hortaleza
2015;Anual;15180;165;16;Apóstol Santiago;Hortaleza
2016;Anual;15253;165;16;Apóstol Santiago;Hortaleza
2017;Anual;15174;165;16;Apóstol Santiago;Hortaleza
2018;Anual;15271;165;16;Apóstol Santiago;Hortaleza
2019;Anual;15418;165;16;Apóstol Santiago;Hortaleza
2020;Anual;15555;165;16;Apóstol Santiago;Hortaleza
2021;Anual;15473;165;16;Apóstol Santiago;Hortaleza
2022;Anual;15374;165;16;Apóstol Santiago;Hortaleza
2005;Anual;58983;164;16;Pinar del Rey;Hortaleza
2006;Anual;58640;164;16;Pinar del Rey;Hortaleza
2007;Anual;57835;164;16;Pinar del Rey;Hortaleza
2008;Anual;57956;164;16;Pinar del Rey;Hortaleza
2009;Anual;57635;164;16;Pinar del Rey;Hortaleza
2010;Anual;57067;164;16;Pinar del Rey;Hortaleza
2011;Anual;56143;164;16;Pinar del Rey;Hortaleza
2012;Anual;55258;164;16;Pinar del Rey;Hortaleza
2013;Anual;54259;164;16;Pinar del Rey;Hortaleza
2014;Anual;53175;164;16;Pinar del Rey;Hortaleza
2015;Anual;52351;164;16;Pinar del Rey;Hortaleza
2016;Anual;52180;164;16;Pinar del Rey;Hortaleza
2017;Anual;51966;164;16;Pinar del Rey;Hortaleza
2018;Anual;52274;164;16;Pinar del Rey;Hortaleza
2019;Anual;52691;164;16;Pinar del Rey;Hortaleza
2020;Anual;53162;164;16;Pinar del Rey;Hortaleza
2021;Anual;52494;164;16;Pinar del Rey;Hortaleza
2022;Anual;51844;164;16;Pinar del Rey;Hortaleza
2005;Anual;2404;96;9;El Plantío;Moncloa - Aravaca
2006;Anual;2469;96;9;El Plantío;Moncloa - Aravaca
2007;Anual;2466;96;9;El Plantío;Moncloa - Aravaca
2008;Anual;2513;96;9;El Plantío;Moncloa - Aravaca
2009;Anual;2539;96;9;El Plantío;Moncloa - Aravaca
2010;Anual;2525;96;9;El Plantío;Moncloa - Aravaca
2011;Anual;2540;96;9;El Plantío;Moncloa - Aravaca
2012;Anual;2495;96;9;El Plantío;Moncloa - Aravaca
2013;Anual;2483;96;9;El Plantío;Moncloa - Aravaca
2014;Anual;2446;96;9;El Plantío;Moncloa - Aravaca
2015;Anual;2462;96;9;El Plantío;Moncloa - Aravaca
2016;Anual;2575;96;9;El Plantío;Moncloa - Aravaca
2017;Anual;2720;96;9;El Plantío;Moncloa - Aravaca
2018;Anual;2720;96;9;El Plantío;Moncloa - Aravaca
2019;Anual;2808;96;9;El Plantío;Moncloa - Aravaca
2020;Anual;2799;96;9;El Plantío;Moncloa - Aravaca
2021;Anual;2916;96;9;El Plantío;Moncloa - Aravaca
2022;Anual;2998;96;9;El Plantío;Moncloa - Aravaca
2005;Anual;17178;93;9;Ciudad Universitaria;Moncloa - Aravaca
2006;Anual;17125;93;9;Ciudad Universitaria;Moncloa - Aravaca
2007;Anual;16386;93;9;Ciudad Universitaria;Moncloa - Aravaca
2008;Anual;16272;93;9;Ciudad Universitaria;Moncloa - Aravaca
2009;Anual;16117;93;9;Ciudad Universitaria;Moncloa - Aravaca
2010;Anual;15975;93;9;Ciudad Universitaria;Moncloa - Aravaca
2011;Anual;15883;93;9;Ciudad Universitaria;Moncloa - Aravaca
2012;Anual;15569;93;9;Ciudad Universitaria;Moncloa - Aravaca
2013;Anual;15702;93;9;Ciudad Universitaria;Moncloa - Aravaca
2014;Anual;15638;93;9;Ciudad Universitaria;Moncloa - Aravaca
2015;Anual;15782;93;9;Ciudad Universitaria;Moncloa - Aravaca
2016;Anual;16019;93;9;Ciudad Universitaria;Moncloa - Aravaca
2017;Anual;16053;93;9;Ciudad Universitaria;Moncloa - Aravaca
2018;Anual;16097;93;9;Ciudad Universitaria;Moncloa - Aravaca
2019;Anual;16260;93;9;Ciudad Universitaria;Moncloa - Aravaca
2020;Anual;16395;93;9;Ciudad Universitaria;Moncloa - Aravaca
2021;Anual;16175;93;9;Ciudad Universitaria;Moncloa - Aravaca
2022;Anual;16220;93;9;Ciudad Universitaria;Moncloa - Aravaca
2005;Anual;7722;213;21;Casco Histórico de Barajas;Barajas
2006;Anual;7858;213;21;Casco Histórico de Barajas;Barajas
2007;Anual;7809;213;21;Casco Histórico de Barajas;Barajas
2008;Anual;7784;213;21;Casco Histórico de Barajas;Barajas
2009;Anual;7905;213;21;Casco Histórico de Barajas;Barajas
2010;Anual;7890;213;21;Casco Histórico de Barajas;Barajas
2011;Anual;7926;213;21;Casco Histórico de Barajas;Barajas
2012;Anual;7830;213;21;Casco Histórico de Barajas;Barajas
2013;Anual;7638;213;21;Casco Histórico de Barajas;Barajas
2014;Anual;7379;213;21;Casco Histórico de Barajas;Barajas
2015;Anual;7252;213;21;Casco Histórico de Barajas;Barajas
2016;Anual;7280;213;21;Casco Histórico de Barajas;Barajas
2017;Anual;7313;213;21;Casco Histórico de Barajas;Barajas
2018;Anual;7336;213;21;Casco Histórico de Barajas;Barajas
2019;Anual;7565;213;21;Casco Histórico de Barajas;Barajas
2020;Anual;7683;213;21;Casco Histórico de Barajas;Barajas
2021;Anual;7504;213;21;Casco Histórico de Barajas;Barajas
2022;Anual;7351;213;21;Casco Histórico de Barajas;Barajas
2005;Anual;3583;95;9;Valdemarín;Moncloa - Aravaca
2006;Anual;4000;95;9;Valdemarín;Moncloa - Aravaca
2007;Anual;4439;95;9;Valdemarín;Moncloa - Aravaca
2008;Anual;4835;95;9;Valdemarín;Moncloa - Aravaca
2009;Anual;5276;95;9;Valdemarín;Moncloa - Aravaca
2010;Anual;5584;95;9;Valdemarín;Moncloa - Aravaca
2011;Anual;5751;95;9;Valdemarín;Moncloa - Aravaca
2012;Anual;6008;95;9;Valdemarín;Moncloa - Aravaca
2013;Anual;6192;95;9;Valdemarín;Moncloa - Aravaca
2014;Anual;6149;95;9;Valdemarín;Moncloa - Aravaca
2015;Anual;6275;95;9;Valdemarín;Moncloa - Aravaca
2016;Anual;6326;95;9;Valdemarín;Moncloa - Aravaca
2017;Anual;6413;95;9;Valdemarín;Moncloa - Aravaca
2018;Anual;6560;95;9;Valdemarín;Moncloa - Aravaca
2019;Anual;6726;95;9;Valdemarín;Moncloa - Aravaca
2020;Anual;6957;95;9;Valdemarín;Moncloa - Aravaca
2021;Anual;6856;95;9;Valdemarín;Moncloa - Aravaca
2022;Anual;7048;95;9;Valdemarín;Moncloa - Aravaca
2005;Anual;18407;64;6;Almenara;Tetuán
2006;Anual;19759;64;6;Almenara;Tetuán
2007;Anual;20899;64;6;Almenara;Tetuán
2008;Anual;21470;64;6;Almenara;Tetuán
2009;Anual;21920;64;6;Almenara;Tetuán
2010;Anual;22359;64;6;Almenara;Tetuán
2011;Anual;22137;64;6;Almenara;Tetuán
2012;Anual;22179;64;6;Almenara;Tetuán
2013;Anual;22110;64;6;Almenara;Tetuán
2014;Anual;21897;64;6;Almenara;Tetuán
2015;Anual;21651;64;6;Almenara;Tetuán
2016;Anual;21769;64;6;Almenara;Tetuán
2017;Anual;21982;64;6;Almenara;Tetuán
2018;Anual;22421;64;6;Almenara;Tetuán
2019;Anual;22642;64;6;Almenara;Tetuán
2020;Anual;23003;64;6;Almenara;Tetuán
2021;Anual;22738;64;6;Almenara;Tetuán
2022;Anual;22594;64;6;Almenara;Tetuán
2005;Anual;23363;65;6;Valdeacederas;Tetuán
2006;Anual;23606;65;6;Valdeacederas;Tetuán
2007;Anual;23937;65;6;Valdeacederas;Tetuán
2008;Anual;24409;65;6;Valdeacederas;Tetuán
2009;Anual;24995;65;6;Valdeacederas;Tetuán
2010;Anual;25270;65;6;Valdeacederas;Tetuán
2011;Anual;25231;65;6;Valdeacederas;Tetuán
2012;Anual;25286;65;6;Valdeacederas;Tetuán
2013;Anual;25494;65;6;Valdeacederas;Tetuán
2014;Anual;24921;65;6;Valdeacederas;Tetuán
2015;Anual;24583;65;6;Valdeacederas;Tetuán
2016;Anual;24932;65;6;Valdeacederas;Tetuán
2017;Anual;25214;65;6;Valdeacederas;Tetuán
2018;Anual;25571;65;6;Valdeacederas;Tetuán
2019;Anual;26021;65;6;Valdeacederas;Tetuán
2020;Anual;26545;65;6;Valdeacederas;Tetuán
2021;Anual;26625;65;6;Valdeacederas;Tetuán
2022;Anual;26140;65;6;Valdeacederas;Tetuán
2005;Anual;32495;94;9;Valdezarza;Moncloa - Aravaca
2006;Anual;32119;94;9;Valdezarza;Moncloa - Aravaca
2007;Anual;31363;94;9;Valdezarza;Moncloa - Aravaca
2008;Anual;31299;94;9;Valdezarza;Moncloa - Aravaca
2009;Anual;31156;94;9;Valdezarza;Moncloa - Aravaca
2010;Anual;31101;94;9;Valdezarza;Moncloa - Aravaca
2011;Anual;30816;94;9;Valdezarza;Moncloa - Aravaca
2012;Anual;30467;94;9;Valdezarza;Moncloa - Aravaca
2013;Anual;30184;94;9;Valdezarza;Moncloa - Aravaca
2014;Anual;29722;94;9;Valdezarza;Moncloa - Aravaca
2015;Anual;29497;94;9;Valdezarza;Moncloa - Aravaca
2016;Anual;29404;94;9;Valdezarza;Moncloa - Aravaca
2017;Anual;29246;94;9;Valdezarza;Moncloa - Aravaca
2018;Anual;29418;94;9;Valdezarza;Moncloa - Aravaca
2019;Anual;29722;94;9;Valdezarza;Moncloa - Aravaca
2020;Anual;30405;94;9;Valdezarza;Moncloa - Aravaca
2021;Anual;30091;94;9;Valdezarza;Moncloa - Aravaca
2022;Anual;29802;94;9;Valdezarza;Moncloa - Aravaca
2005;Anual;4699;215;21;Corralejos;Barajas
2006;Anual;5077;215;21;Corralejos;Barajas
2007;Anual;5545;215;21;Corralejos;Barajas
2008;Anual;5976;215;21;Corralejos;Barajas
2009;Anual;6394;215;21;Corralejos;Barajas
2010;Anual;6703;215;21;Corralejos;Barajas
2011;Anual;6995;215;21;Corralejos;Barajas
2012;Anual;7093;215;21;Corralejos;Barajas
2013;Anual;7131;215;21;Corralejos;Barajas
2014;Anual;7153;215;21;Corralejos;Barajas
2015;Anual;7213;215;21;Corralejos;Barajas
2016;Anual;7300;215;21;Corralejos;Barajas
2017;Anual;7370;215;21;Corralejos;Barajas
2018;Anual;7510;215;21;Corralejos;Barajas
2019;Anual;7642;215;21;Corralejos;Barajas
2020;Anual;7754;215;21;Corralejos;Barajas
2021;Anual;7664;215;21;Corralejos;Barajas
2022;Anual;7601;215;21;Corralejos;Barajas
2005;Anual;44853;163;16;Canillas;Hortaleza
2006;Anual;44589;163;16;Canillas;Hortaleza
2007;Anual;43777;163;16;Canillas;Hortaleza
2008;Anual;43806;163;16;Canillas;Hortaleza
2009;Anual;43780;163;16;Canillas;Hortaleza
2010;Anual;43620;163;16;Canillas;Hortaleza
2011;Anual;43270;163;16;Canillas;Hortaleza
2012;Anual;42504;163;16;Canillas;Hortaleza
2013;Anual;41982;163;16;Canillas;Hortaleza
2014;Anual;41268;163;16;Canillas;Hortaleza
2015;Anual;40564;163;16;Canillas;Hortaleza
2016;Anual;40580;163;16;Canillas;Hortaleza
2017;Anual;40500;163;16;Canillas;Hortaleza
