Año,Id Área,Nombre Área,Presupuesto Gasto,Gasto Real
2013,NA,No distritalizable,9081369.91,8028199.56
2014,216,Hortaleza,16885713.33,9759178.19
2014,217,Villaverde,16340012.24,13212928.31
2014,214,Moratalaz,5371259.75,4852677.24
2014,215,Ciudad Lineal,6332260.59,5512291.89
2014,212,Usera,4443942.09,3731299.35
2014,213,Puente de Vallecas,7609837.27,7312510.23
2014,210,Latina,13020785.69,12895334.06
2014,211,Carabanchel,3681369.89,3260633.15
2014,218,Villa de Vallecas,31927201.16,26830462.1
2014,219,Vicálvaro,10380919.45,7044398.78
2014,NN,Varios distritos,29429987.9,19645154.01
2014,201,Centro,24687077.04,20923693.32
2014,203,Retiro,2720323.41,2370079.64
2014,202,Arganzuela,9882147.98,7978340.44
2014,205,Chamartín,4327724.35,4146597.31
2014,204,Salamanca,1336786.09,1272321.26
2014,207,Chamberí,9797538.16,8977567.59
2014,206,Tetuán,12022573.58,8809151.31
2014,209,Moncloa-Aravaca,24646412.91,18041819.07
2014,208,Fuencarral-El Pardo,36651117.51,33994625.01
2014,221,Barajas,1925009.69,1317820.69
2014,220,San Blas-Canillejas,11700196.05,11070658.62
2014,NA,No distritalizable,17723387.24,16373416.61
2015,216,Hortaleza,10259017.95,8384362.0
2015,217,Villaverde,19185643.87,11382516.62
2015,214,Moratalaz,3298163.68,2310466.98
2015,215,Ciudad Lineal,3380665.59,3027093.67
2015,212,Usera,3172848.78,2050695.52
2015,213,Puente de Vallecas,8470530.22,6454095.54
2015,210,Latina,12040488.68,9021839.56
2015,211,Carabanchel,12441956.96,5934366.37
2015,218,Villa de Vallecas,15258415.02,10768327.04
2015,219,Vicálvaro,12605320.1,10486302.38
2015,NN,Varios distritos,81662212.22,23958751.25
2015,201,Centro,20084727.87,13594073.73
2015,203,Retiro,6577396.79,6185873.22
2015,202,Arganzuela,8450645.11,7365861.02
2015,205,Chamartín,3190756.71,2911882.85
2015,204,Salamanca,2396684.5,2275571.46
2015,207,Chamberí,8174438.93,7197587.93
2015,206,Tetuán,31440451.46,20631915.98
2015,209,Moncloa-Aravaca,27647496.03,22951287.36
2015,208,Fuencarral-El Pardo,12723704.35,6632793.5
2015,221,Barajas,12909420.05,6382012.56
2015,220,San Blas-Canillejas,10577747.51,5979386.27
2015,NA,No distritalizable,18661751.16,12904018.23
2016,216,Hortaleza,13824315.55,9368558.81
2016,217,Villaverde,18465823.35,15490344.86
2016,214,Moratalaz,9854872.04,6368789.22
2016,215,Ciudad Lineal,41747108.19,39600390.31
2016,212,Usera,9166748.57,3321074.41
2016,213,Puente de Vallecas,17497926.11,12027559.41
2016,210,Latina,17447789.49,13421381.49
2016,211,Carabanchel,14212462.69,10123815.95
2016,218,Villa de Vallecas,11024421.6,4890185.13
2016,219,Vicálvaro,6638251.59,4428269.26
2016,NN,Varios distritos,64136876.41,21834148.04
2016,201,Centro,116601423.74,112271615.94
2016,203,Retiro,5437129.56,4227019.46
2016,202,Arganzuela,7626652.45,6018509.82
2016,205,Chamartín,4869302.86,3370015.06
2016,204,Salamanca,4865279.87,1858686.94
2016,207,Chamberí,30240522.22,28040467.4
2016,206,Tetuán,57707356.24,34748714.11
2016,209,Moncloa-Aravaca,15881359.43,8350633.13
2016,208,Fuencarral-El Pardo,9213973.49,5303377.58
2016,221,Barajas,16123776.97,12978964.17
2016,220,San Blas-Canillejas,28121621.08,22066741.32
2016,NA,No distritalizable,22499569.71,17020916.15
2017,216,Hortaleza,31453316.31,6902840.13
2017,217,Villaverde,23082374.92,4115057.44
2017,214,Moratalaz,21488385.95,5759146.15
