Anio;Periodo;DatoSobreEnvejecimiento;CodigoBarrio;CodigoDistrito;NombreBarrio;NombreDistrito
2005;Anual;;194;19;El Cañaveral;Vicálvaro
2006;Anual;;194;19;El Cañaveral;Vicálvaro
2007;Anual;;194;19;El Cañaveral;Vicálvaro
2008;Anual;;194;19;El Cañaveral;Vicálvaro
2009;Anual;;194;19;El Cañaveral;Vicálvaro
2010;Anual;;194;19;El Cañaveral;Vicálvaro
2011;Anual;;194;19;El Cañaveral;Vicálvaro
2012;Anual;;194;19;El Cañaveral;Vicálvaro
2013;Anual;;194;19;El Cañaveral;Vicálvaro
2014;Anual;;194;19;El Cañaveral;Vicálvaro
2015;Anual;;194;19;El Cañaveral;Vicálvaro
2016;Anual;;194;19;El Cañaveral;Vicálvaro
2017;Anual;0.0;194;19;El Cañaveral;Vicálvaro
2018;Anual;13.89;194;19;El Cañaveral;Vicálvaro
2019;Anual;10.2;194;19;El Cañaveral;Vicálvaro
2020;Anual;7.9;194;19;El Cañaveral;Vicálvaro
2021;Anual;12.9;194;19;El Cañaveral;Vicálvaro
2022;Anual;16.6;194;19;El Cañaveral;Vicálvaro
2005;Anual;18.16;191;19;Casco histórico de Vicálvaro;Vicálvaro
2006;Anual;18.02;191;19;Casco histórico de Vicálvaro;Vicálvaro
2007;Anual;18.77;191;19;Casco histórico de Vicálvaro;Vicálvaro
2008;Anual;19.34;191;19;Casco histórico de Vicálvaro;Vicálvaro
2009;Anual;20.38;191;19;Casco histórico de Vicálvaro;Vicálvaro
2010;Anual;20.69;191;19;Casco histórico de Vicálvaro;Vicálvaro
2011;Anual;21.39;191;19;Casco histórico de Vicálvaro;Vicálvaro
2012;Anual;22.45;191;19;Casco histórico de Vicálvaro;Vicálvaro
2013;Anual;23.79;191;19;Casco histórico de Vicálvaro;Vicálvaro
2014;Anual;24.7;191;19;Casco histórico de Vicálvaro;Vicálvaro
2015;Anual;25.61;191;19;Casco histórico de Vicálvaro;Vicálvaro
2016;Anual;26.88;191;19;Casco histórico de Vicálvaro;Vicálvaro
2017;Anual;28.01;191;19;Casco histórico de Vicálvaro;Vicálvaro
2018;Anual;35.59;191;19;Casco histórico de Vicálvaro;Vicálvaro
2019;Anual;37.1;191;19;Casco histórico de Vicálvaro;Vicálvaro
2020;Anual;37.5;191;19;Casco histórico de Vicálvaro;Vicálvaro
2021;Anual;40.7;191;19;Casco histórico de Vicálvaro;Vicálvaro
2022;Anual;41.3;191;19;Casco histórico de Vicálvaro;Vicálvaro
2005;Anual;27.88;81;8;El Pardo;Fuencarral - El Pardo
2006;Anual;30.02;81;8;El Pardo;Fuencarral - El Pardo
2007;Anual;33.19;81;8;El Pardo;Fuencarral - El Pardo
2008;Anual;34.1;81;8;El Pardo;Fuencarral - El Pardo
2009;Anual;35.19;81;8;El Pardo;Fuencarral - El Pardo
2010;Anual;36.59;81;8;El Pardo;Fuencarral - El Pardo
2011;Anual;39.5;81;8;El Pardo;Fuencarral - El Pardo
2012;Anual;39.67;81;8;El Pardo;Fuencarral - El Pardo
2013;Anual;40.46;81;8;El Pardo;Fuencarral - El Pardo
2014;Anual;41.57;81;8;El Pardo;Fuencarral - El Pardo
2015;Anual;43.02;81;8;El Pardo;Fuencarral - El Pardo
2016;Anual;46.14;81;8;El Pardo;Fuencarral - El Pardo
2017;Anual;46.56;81;8;El Pardo;Fuencarral - El Pardo
2018;Anual;46.53;81;8;El Pardo;Fuencarral - El Pardo
2019;Anual;47.2;81;8;El Pardo;Fuencarral - El Pardo
2020;Anual;46.1;81;8;El Pardo;Fuencarral - El Pardo
2021;Anual;44.5;81;8;El Pardo;Fuencarral - El Pardo
2022;Anual;44.6;81;8;El Pardo;Fuencarral - El Pardo
2005;Anual;68.4;88;8;El Goloso;Fuencarral - El Pardo
2006;Anual;67.53;88;8;El Goloso;Fuencarral - El Pardo
2007;Anual;66.61;88;8;El Goloso;Fuencarral - El Pardo
2008;Anual;63.85;88;8;El Goloso;Fuencarral - El Pardo
2009;Anual;63.08;88;8;El Goloso;Fuencarral - El Pardo
2010;Anual;60.89;88;8;El Goloso;Fuencarral - El Pardo
2011;Anual;61.63;88;8;El Goloso;Fuencarral - El Pardo
2012;Anual;58.7;88;8;El Goloso;Fuencarral - El Pardo
2013;Anual;57.13;88;8;El Goloso;Fuencarral - El Pardo
2014;Anual;56.61;88;8;El Goloso;Fuencarral - El Pardo
2015;Anual;55.64;88;8;El Goloso;Fuencarral - El Pardo
2016;Anual;53.46;88;8;El Goloso;Fuencarral - El Pardo
2017;Anual;53.64;88;8;El Goloso;Fuencarral - El Pardo
2018;Anual;50.61;88;8;El Goloso;Fuencarral - El Pardo
2019;Anual;50.0;88;8;El Goloso;Fuencarral - El Pardo
2020;Anual;49.2;88;8;El Goloso;Fuencarral - El Pardo
2021;Anual;43.9;88;8;El Goloso;Fuencarral - El Pardo
2022;Anual;44.6;88;8;El Goloso;Fuencarral - El Pardo
2005;Anual;24.13;86;8;Valverde;Fuencarral - El Pardo
2006;Anual;25.58;86;8;Valverde;Fuencarral - El Pardo
2007;Anual;27.64;86;8;Valverde;Fuencarral - El Pardo
2008;Anual;29.56;86;8;Valverde;Fuencarral - El Pardo
2009;Anual;30.98;86;8;Valverde;Fuencarral - El Pardo
2010;Anual;33.27;86;8;Valverde;Fuencarral - El Pardo
2011;Anual;35.34;86;8;Valverde;Fuencarral - El Pardo
2012;Anual;37.31;86;8;Valverde;Fuencarral - El Pardo
2013;Anual;38.31;86;8;Valverde;Fuencarral - El Pardo
2014;Anual;39.98;86;8;Valverde;Fuencarral - El Pardo
2015;Anual;41.01;86;8;Valverde;Fuencarral - El Pardo
2016;Anual;40.98;86;8;Valverde;Fuencarral - El Pardo
2017;Anual;41.24;86;8;Valverde;Fuencarral - El Pardo
2018;Anual;40.21;86;8;Valverde;Fuencarral - El Pardo
2019;Anual;39.1;86;8;Valverde;Fuencarral - El Pardo
2020;Anual;37.2;86;8;Valverde;Fuencarral - El Pardo
2021;Anual;36.1;86;8;Valverde;Fuencarral - El Pardo
2022;Anual;34.7;86;8;Valverde;Fuencarral - El Pardo
2005;Anual;19.72;87;8;Mirasierra;Fuencarral - El Pardo
2006;Anual;18.55;87;8;Mirasierra;Fuencarral - El Pardo
2007;Anual;18.83;87;8;Mirasierra;Fuencarral - El Pardo
2008;Anual;18.9;87;8;Mirasierra;Fuencarral - El Pardo
2009;Anual;19.1;87;8;Mirasierra;Fuencarral - El Pardo
2010;Anual;19.36;87;8;Mirasierra;Fuencarral - El Pardo
2011;Anual;19.16;87;8;Mirasierra;Fuencarral - El Pardo
2012;Anual;19.44;87;8;Mirasierra;Fuencarral - El Pardo
2013;Anual;19.87;87;8;Mirasierra;Fuencarral - El Pardo
2014;Anual;19.64;87;8;Mirasierra;Fuencarral - El Pardo
2015;Anual;20.14;87;8;Mirasierra;Fuencarral - El Pardo
2016;Anual;20.6;87;8;Mirasierra;Fuencarral - El Pardo
2017;Anual;21.66;87;8;Mirasierra;Fuencarral - El Pardo
2018;Anual;22.23;87;8;Mirasierra;Fuencarral - El Pardo
2019;Anual;22.8;87;8;Mirasierra;Fuencarral - El Pardo
2020;Anual;23.0;87;8;Mirasierra;Fuencarral - El Pardo
2021;Anual;23.5;87;8;Mirasierra;Fuencarral - El Pardo
2022;Anual;24.5;87;8;Mirasierra;Fuencarral - El Pardo
2005;Anual;38.03;166;16;Valdefuentes;Hortaleza
2006;Anual;34.44;166;16;Valdefuentes;Hortaleza
2007;Anual;33.11;166;16;Valdefuentes;Hortaleza
2008;Anual;31.45;166;16;Valdefuentes;Hortaleza
2009;Anual;29.92;166;16;Valdefuentes;Hortaleza
2010;Anual;26.83;166;16;Valdefuentes;Hortaleza
2011;Anual;28.34;166;16;Valdefuentes;Hortaleza
2012;Anual;27.69;166;16;Valdefuentes;Hortaleza
2013;Anual;27.28;166;16;Valdefuentes;Hortaleza
2014;Anual;25.83;166;16;Valdefuentes;Hortaleza
2015;Anual;25.85;166;16;Valdefuentes;Hortaleza
2016;Anual;24.16;166;16;Valdefuentes;Hortaleza
2017;Anual;23.98;166;16;Valdefuentes;Hortaleza
2018;Anual;23.0;166;16;Valdefuentes;Hortaleza
2019;Anual;22.5;166;16;Valdefuentes;Hortaleza
2020;Anual;22.2;166;16;Valdefuentes;Hortaleza
2021;Anual;20.8;166;16;Valdefuentes;Hortaleza
2022;Anual;21.1;166;16;Valdefuentes;Hortaleza
2005;Anual;17.24;212;21;Aeropuerto;Barajas
2006;Anual;20.41;212;21;Aeropuerto;Barajas
2007;Anual;22.97;212;21;Aeropuerto;Barajas
2008;Anual;21.66;212;21;Aeropuerto;Barajas
2009;Anual;25.28;212;21;Aeropuerto;Barajas
2010;Anual;26.55;212;21;Aeropuerto;Barajas
2011;Anual;30.45;212;21;Aeropuerto;Barajas
2012;Anual;33.46;212;21;Aeropuerto;Barajas
2013;Anual;37.01;212;21;Aeropuerto;Barajas
2014;Anual;37.63;212;21;Aeropuerto;Barajas
2015;Anual;37.81;212;21;Aeropuerto;Barajas
2016;Anual;42.32;212;21;Aeropuerto;Barajas
2017;Anual;44.98;212;21;Aeropuerto;Barajas
2018;Anual;44.4;212;21;Aeropuerto;Barajas
2019;Anual;43.4;212;21;Aeropuerto;Barajas
2020;Anual;41.8;212;21;Aeropuerto;Barajas
2021;Anual;43.6;212;21;Aeropuerto;Barajas
2022;Anual;41.9;212;21;Aeropuerto;Barajas
2005;Anual;23.24;214;21;Timón;Barajas
2006;Anual;24.1;214;21;Timón;Barajas
2007;Anual;26.98;214;21;Timón;Barajas
2008;Anual;27.9;214;21;Timón;Barajas
2009;Anual;27.87;214;21;Timón;Barajas
2010;Anual;27.81;214;21;Timón;Barajas
2011;Anual;26.72;214;21;Timón;Barajas
2012;Anual;27.7;214;21;Timón;Barajas
2013;Anual;29.16;214;21;Timón;Barajas
2014;Anual;30.66;214;21;Timón;Barajas
2015;Anual;31.44;214;21;Timón;Barajas
2016;Anual;31.28;214;21;Timón;Barajas
2017;Anual;30.83;214;21;Timón;Barajas
2018;Anual;30.98;214;21;Timón;Barajas
2019;Anual;30.7;214;21;Timón;Barajas
2020;Anual;29.6;214;21;Timón;Barajas
2021;Anual;30.6;214;21;Timón;Barajas
2022;Anual;30.8;214;21;Timón;Barajas
2005;Anual;22.79;82;8;Fuentelarreina;Fuencarral - El Pardo
2006;Anual;22.77;82;8;Fuentelarreina;Fuencarral - El Pardo
2007;Anual;23.63;82;8;Fuentelarreina;Fuencarral - El Pardo
2008;Anual;23.47;82;8;Fuentelarreina;Fuencarral - El Pardo
2009;Anual;25.18;82;8;Fuentelarreina;Fuencarral - El Pardo
2010;Anual;25.54;82;8;Fuentelarreina;Fuencarral - El Pardo
2011;Anual;26.99;82;8;Fuentelarreina;Fuencarral - El Pardo
2012;Anual;28.2;82;8;Fuentelarreina;Fuencarral - El Pardo
2013;Anual;28.15;82;8;Fuentelarreina;Fuencarral - El Pardo
2014;Anual;28.88;82;8;Fuentelarreina;Fuencarral - El Pardo
2015;Anual;30.15;82;8;Fuentelarreina;Fuencarral - El Pardo
2016;Anual;29.0;82;8;Fuentelarreina;Fuencarral - El Pardo
2017;Anual;30.19;82;8;Fuentelarreina;Fuencarral - El Pardo
2018;Anual;32.26;82;8;Fuentelarreina;Fuencarral - El Pardo
2019;Anual;32.4;82;8;Fuentelarreina;Fuencarral - El Pardo
2020;Anual;32.6;82;8;Fuentelarreina;Fuencarral - El Pardo
2021;Anual;33.7;82;8;Fuentelarreina;Fuencarral - El Pardo
2022;Anual;34.0;82;8;Fuentelarreina;Fuencarral - El Pardo
2005;Anual;22.18;85;8;La Paz;Fuencarral - El Pardo
2006;Anual;21.81;85;8;La Paz;Fuencarral - El Pardo
2007;Anual;21.89;85;8;La Paz;Fuencarral - El Pardo
2008;Anual;21.68;85;8;La Paz;Fuencarral - El Pardo
2009;Anual;21.62;85;8;La Paz;Fuencarral - El Pardo
2010;Anual;21.09;85;8;La Paz;Fuencarral - El Pardo
2011;Anual;20.47;85;8;La Paz;Fuencarral - El Pardo
2012;Anual;20.05;85;8;La Paz;Fuencarral - El Pardo
2013;Anual;20.12;85;8;La Paz;Fuencarral - El Pardo
2014;Anual;19.75;85;8;La Paz;Fuencarral - El Pardo
2015;Anual;19.66;85;8;La Paz;Fuencarral - El Pardo
2016;Anual;19.55;85;8;La Paz;Fuencarral - El Pardo
2017;Anual;19.86;85;8;La Paz;Fuencarral - El Pardo
2018;Anual;20.39;85;8;La Paz;Fuencarral - El Pardo
2019;Anual;20.6;85;8;La Paz;Fuencarral - El Pardo
2020;Anual;20.9;85;8;La Paz;Fuencarral - El Pardo
2021;Anual;21.8;85;8;La Paz;Fuencarral - El Pardo
2022;Anual;22.7;85;8;La Paz;Fuencarral - El Pardo
2005;Anual;23.99;83;8;Peñagrande;Fuencarral - El Pardo
2006;Anual;23.83;83;8;Peñagrande;Fuencarral - El Pardo
2007;Anual;24.55;83;8;Peñagrande;Fuencarral - El Pardo
2008;Anual;24.79;83;8;Peñagrande;Fuencarral - El Pardo
2009;Anual;24.89;83;8;Peñagrande;Fuencarral - El Pardo
2010;Anual;25.35;83;8;Peñagrande;Fuencarral - El Pardo
2011;Anual;25.43;83;8;Peñagrande;Fuencarral - El Pardo
2012;Anual;25.43;83;8;Peñagrande;Fuencarral - El Pardo
2013;Anual;25.83;83;8;Peñagrande;Fuencarral - El Pardo
2014;Anual;25.96;83;8;Peñagrande;Fuencarral - El Pardo
2015;Anual;26.08;83;8;Peñagrande;Fuencarral - El Pardo
2016;Anual;26.2;83;8;Peñagrande;Fuencarral - El Pardo
