Anio;Periodo;DatoAfiliacionesResidenciaHombres;DatoAfiliacionesResidenciaMujer;CodigoBarrio;CodigoDistrito;NombreBarrio;NombreDistrito
2017;Anual;3.637;3.573;88;8;El Goloso;Fuencarral - El Pardo
2018;Anual;3.635;3.601;88;8;El Goloso;Fuencarral - El Pardo
2019;Anual;3.802;3.800;88;8;El Goloso;Fuencarral - El Pardo
2020;Anual;3.896;3.952;88;8;El Goloso;Fuencarral - El Pardo
2021;Anual;4.011;4.085;88;8;El Goloso;Fuencarral - El Pardo
2022;Anual;4.113;4.159;88;8;El Goloso;Fuencarral - El Pardo
2013;Anual;11.108;11.608;86;8;Valverde;Fuencarral - El Pardo
2014;Anual;10.096;10.476;86;8;Valverde;Fuencarral - El Pardo
2015;Anual;10.119;10.518;86;8;Valverde;Fuencarral - El Pardo
2016;Anual;11.228;11.803;86;8;Valverde;Fuencarral - El Pardo
2017;Anual;12.418;12.982;86;8;Valverde;Fuencarral - El Pardo
2018;Anual;12.410;13.064;86;8;Valverde;Fuencarral - El Pardo
2019;Anual;12.934;13.764;86;8;Valverde;Fuencarral - El Pardo
2020;Anual;13.275;13.914;86;8;Valverde;Fuencarral - El Pardo
2021;Anual;13.308;13.939;86;8;Valverde;Fuencarral - El Pardo
2022;Anual;13.563;14.245;86;8;Valverde;Fuencarral - El Pardo
2013;Anual;4.937;5.070;87;8;Mirasierra;Fuencarral - El Pardo
2014;Anual;4.632;4.766;87;8;Mirasierra;Fuencarral - El Pardo
2015;Anual;4.680;4.838;87;8;Mirasierra;Fuencarral - El Pardo
2016;Anual;5.165;5.315;87;8;Mirasierra;Fuencarral - El Pardo
2017;Anual;5.847;6.010;87;8;Mirasierra;Fuencarral - El Pardo
2018;Anual;5.931;6.116;87;8;Mirasierra;Fuencarral - El Pardo
2019;Anual;6.383;6.448;87;8;Mirasierra;Fuencarral - El Pardo
2020;Anual;6.585;6.651;87;8;Mirasierra;Fuencarral - El Pardo
2021;Anual;6.656;6.847;87;8;Mirasierra;Fuencarral - El Pardo
2022;Anual;6.928;7.092;87;8;Mirasierra;Fuencarral - El Pardo
2013;Anual;8.275;8.081;166;16;Valdefuentes;Hortaleza
2014;Anual;7.915;7.729;166;16;Valdefuentes;Hortaleza
2015;Anual;7.925;7.734;166;16;Valdefuentes;Hortaleza
2016;Anual;8.607;8.358;166;16;Valdefuentes;Hortaleza
2017;Anual;11.756;11.338;166;16;Valdefuentes;Hortaleza
2018;Anual;11.784;11.432;166;16;Valdefuentes;Hortaleza
2019;Anual;12.463;12.162;166;16;Valdefuentes;Hortaleza
2020;Anual;13.402;12.892;166;16;Valdefuentes;Hortaleza
2021;Anual;14.005;13.670;166;16;Valdefuentes;Hortaleza
2022;Anual;14.615;14.241;166;16;Valdefuentes;Hortaleza
2013;Anual;271;341;212;21;Aeropuerto;Barajas
2014;Anual;235;303;212;21;Aeropuerto;Barajas
2015;Anual;228;314;212;21;Aeropuerto;Barajas
2016;Anual;278;338;212;21;Aeropuerto;Barajas
2017;Anual;304;328;212;21;Aeropuerto;Barajas
2018;Anual;316;339;212;21;Aeropuerto;Barajas
2019;Anual;333;339;212;21;Aeropuerto;Barajas
2020;Anual;345;336;212;21;Aeropuerto;Barajas
2021;Anual;343;338;212;21;Aeropuerto;Barajas
2022;Anual;354;364;212;21;Aeropuerto;Barajas
2013;Anual;1.566;1.518;214;21;Timón;Barajas
2014;Anual;1.860;1.862;214;21;Timón;Barajas
2015;Anual;1.901;1.891;214;21;Timón;Barajas
2016;Anual;2.266;2.278;214;21;Timón;Barajas
2017;Anual;2.559;2.578;214;21;Timón;Barajas
2018;Anual;2.579;2.626;214;21;Timón;Barajas
2019;Anual;2.725;2.822;214;21;Timón;Barajas
2020;Anual;2.891;2.973;214;21;Timón;Barajas
2021;Anual;2.888;3.010;214;21;Timón;Barajas
2022;Anual;3.076;3.177;214;21;Timón;Barajas
2013;Anual;466;527;82;8;Fuentelarreina;Fuencarral - El Pardo
2014;Anual;415;488;82;8;Fuentelarreina;Fuencarral - El Pardo
2015;Anual;413;487;82;8;Fuentelarreina;Fuencarral - El Pardo
2016;Anual;498;545;82;8;Fuentelarreina;Fuencarral - El Pardo
2017;Anual;493;555;82;8;Fuentelarreina;Fuencarral - El Pardo
2018;Anual;483;564;82;8;Fuentelarreina;Fuencarral - El Pardo
2019;Anual;499;577;82;8;Fuentelarreina;Fuencarral - El Pardo
2020;Anual;536;571;82;8;Fuentelarreina;Fuencarral - El Pardo
2021;Anual;564;610;82;8;Fuentelarreina;Fuencarral - El Pardo
2022;Anual;574;638;82;8;Fuentelarreina;Fuencarral - El Pardo
2013;Anual;6.269;6.442;85;8;La Paz;Fuencarral - El Pardo
2014;Anual;5.514;5.712;85;8;La Paz;Fuencarral - El Pardo
2015;Anual;5.455;5.714;85;8;La Paz;Fuencarral - El Pardo
2016;Anual;6.046;6.316;85;8;La Paz;Fuencarral - El Pardo
2017;Anual;5.907;6.262;85;8;La Paz;Fuencarral - El Pardo
2018;Anual;5.900;6.250;85;8;La Paz;Fuencarral - El Pardo
2019;Anual;5.952;6.278;85;8;La Paz;Fuencarral - El Pardo
2020;Anual;5.900;6.202;85;8;La Paz;Fuencarral - El Pardo
2021;Anual;5.717;5.994;85;8;La Paz;Fuencarral - El Pardo
2022;Anual;5.676;5.954;85;8;La Paz;Fuencarral - El Pardo
2013;Anual;8.044;8.472;83;8;Peñagrande;Fuencarral - El Pardo
2014;Anual;7.149;7.584;83;8;Peñagrande;Fuencarral - El Pardo
2015;Anual;7.221;7.650;83;8;Peñagrande;Fuencarral - El Pardo
2016;Anual;8.016;8.542;83;8;Peñagrande;Fuencarral - El Pardo
2017;Anual;8.163;8.603;83;8;Peñagrande;Fuencarral - El Pardo
2018;Anual;8.174;8.697;83;8;Peñagrande;Fuencarral - El Pardo
2019;Anual;8.235;8.811;83;8;Peñagrande;Fuencarral - El Pardo
2020;Anual;8.260;8.852;83;8;Peñagrande;Fuencarral - El Pardo
2021;Anual;8.186;8.740;83;8;Peñagrande;Fuencarral - El Pardo
2022;Anual;8.274;8.866;83;8;Peñagrande;Fuencarral - El Pardo
2013;Anual;7.877;9.022;84;8;Pilar;Fuencarral - El Pardo
2014;Anual;6.969;7.964;84;8;Pilar;Fuencarral - El Pardo
2015;Anual;6.901;7.856;84;8;Pilar;Fuencarral - El Pardo
2016;Anual;7.806;8.688;84;8;Pilar;Fuencarral - El Pardo
2017;Anual;8.244;9.030;84;8;Pilar;Fuencarral - El Pardo
2018;Anual;8.368;9.035;84;8;Pilar;Fuencarral - El Pardo
2019;Anual;8.558;9.362;84;8;Pilar;Fuencarral - El Pardo
2020;Anual;8.729;9.427;84;8;Pilar;Fuencarral - El Pardo
2021;Anual;8.689;9.321;84;8;Pilar;Fuencarral - El Pardo
2022;Anual;8.835;9.406;84;8;Pilar;Fuencarral - El Pardo
2013;Anual;3.762;4.115;159;15;Costillares;Ciudad Lineal
2014;Anual;3.344;3.674;159;15;Costillares;Ciudad Lineal
2015;Anual;3.379;3.619;159;15;Costillares;Ciudad Lineal
2016;Anual;3.775;3.999;159;15;Costillares;Ciudad Lineal
2017;Anual;3.827;4.095;159;15;Costillares;Ciudad Lineal
2018;Anual;3.872;4.116;159;15;Costillares;Ciudad Lineal
2019;Anual;3.914;4.220;159;15;Costillares;Ciudad Lineal
2020;Anual;3.997;4.298;159;15;Costillares;Ciudad Lineal
2021;Anual;3.993;4.270;159;15;Costillares;Ciudad Lineal
2022;Anual;4.056;4.316;159;15;Costillares;Ciudad Lineal
2013;Anual;2.945;3.025;56;5;Castilla;Chamartín
2014;Anual;2.623;2.713;56;5;Castilla;Chamartín
2015;Anual;2.682;2.704;56;5;Castilla;Chamartín
2016;Anual;2.965;3.102;56;5;Castilla;Chamartín
2017;Anual;3.190;3.265;56;5;Castilla;Chamartín
2018;Anual;3.151;3.257;56;5;Castilla;Chamartín
2019;Anual;3.306;3.431;56;5;Castilla;Chamartín
2020;Anual;3.350;3.437;56;5;Castilla;Chamartín
2021;Anual;3.324;3.380;56;5;Castilla;Chamartín
2013;Anual;2.537;2.814;165;16;Apóstol Santiago;Hortaleza
2014;Anual;2.199;2.557;165;16;Apóstol Santiago;Hortaleza
2015;Anual;2.236;2.571;165;16;Apóstol Santiago;Hortaleza
2016;Anual;2.546;2.829;165;16;Apóstol Santiago;Hortaleza
2017;Anual;2.628;2.918;165;16;Apóstol Santiago;Hortaleza
2018;Anual;2.706;2.940;165;16;Apóstol Santiago;Hortaleza
2019;Anual;2.831;3.054;165;16;Apóstol Santiago;Hortaleza
2020;Anual;2.904;3.042;165;16;Apóstol Santiago;Hortaleza
2021;Anual;2.926;2.997;165;16;Apóstol Santiago;Hortaleza
2022;Anual;3.027;3.080;165;16;Apóstol Santiago;Hortaleza
2013;Anual;9.343;9.991;164;16;Pinar del Rey;Hortaleza
2014;Anual;8.113;8.830;164;16;Pinar del Rey;Hortaleza
2015;Anual;8.167;8.872;164;16;Pinar del Rey;Hortaleza
2016;Anual;9.126;9.788;164;16;Pinar del Rey;Hortaleza
2017;Anual;9.395;10.159;164;16;Pinar del Rey;Hortaleza
2018;Anual;9.605;10.197;164;16;Pinar del Rey;Hortaleza
2019;Anual;9.823;10.504;164;16;Pinar del Rey;Hortaleza
2020;Anual;9.969;10.608;164;16;Pinar del Rey;Hortaleza
2021;Anual;9.752;10.413;164;16;Pinar del Rey;Hortaleza
2022;Anual;9.988;10.722;164;16;Pinar del Rey;Hortaleza
2013;Anual;439;477;96;9;El Plantío;Moncloa - Aravaca
2014;Anual;385;401;96;9;El Plantío;Moncloa - Aravaca
2015;Anual;375;419;96;9;El Plantío;Moncloa - Aravaca
2016;Anual;442;482;96;9;El Plantío;Moncloa - Aravaca
2017;Anual;496;537;96;9;El Plantío;Moncloa - Aravaca
2018;Anual;506;534;96;9;El Plantío;Moncloa - Aravaca
2019;Anual;522;534;96;9;El Plantío;Moncloa - Aravaca
2020;Anual;529;568;96;9;El Plantío;Moncloa - Aravaca
2021;Anual;533;563;96;9;El Plantío;Moncloa - Aravaca
2022;Anual;574;610;96;9;El Plantío;Moncloa - Aravaca
2013;Anual;2.385;2.678;93;9;Ciudad Universitaria;Moncloa - Aravaca
2014;Anual;2.143;2.365;93;9;Ciudad Universitaria;Moncloa - Aravaca
2015;Anual;2.151;2.345;93;9;Ciudad Universitaria;Moncloa - Aravaca
2016;Anual;2.506;2.706;93;9;Ciudad Universitaria;Moncloa - Aravaca
2017;Anual;2.689;2.866;93;9;Ciudad Universitaria;Moncloa - Aravaca
2018;Anual;2.654;2.816;93;9;Ciudad Universitaria;Moncloa - Aravaca
2019;Anual;2.779;2.925;93;9;Ciudad Universitaria;Moncloa - Aravaca
2020;Anual;2.827;3.007;93;9;Ciudad Universitaria;Moncloa - Aravaca
2021;Anual;2.877;3.002;93;9;Ciudad Universitaria;Moncloa - Aravaca
2022;Anual;2.939;3.078;93;9;Ciudad Universitaria;Moncloa - Aravaca
2013;Anual;1.558;1.458;213;21;Casco Histórico de Barajas;Barajas
2014;Anual;1.320;1.228;213;21;Casco Histórico de Barajas;Barajas
2015;Anual;1.306;1.241;213;21;Casco Histórico de Barajas;Barajas
2016;Anual;1.470;1.427;213;21;Casco Histórico de Barajas;Barajas
2017;Anual;1.548;1.481;213;21;Casco Histórico de Barajas;Barajas
2018;Anual;1.538;1.507;213;21;Casco Histórico de Barajas;Barajas
2019;Anual;1.613;1.538;213;21;Casco Histórico de Barajas;Barajas
2020;Anual;1.697;1.594;213;21;Casco Histórico de Barajas;Barajas
2021;Anual;1.645;1.562;213;21;Casco Histórico de Barajas;Barajas
2022;Anual;1.643;1.600;213;21;Casco Histórico de Barajas;Barajas
2013;Anual;1.092;1.130;95;9;Valdemarín;Moncloa - Aravaca
2014;Anual;994;1.050;95;9;Valdemarín;Moncloa - Aravaca
2015;Anual;986;1.072;95;9;Valdemarín;Moncloa - Aravaca
2016;Anual;817;908;95;9;Valdemarín;Moncloa - Aravaca
2017;Anual;1.198;1.276;95;9;Valdemarín;Moncloa - Aravaca
2018;Anual;1.173;1.288;95;9;Valdemarín;Moncloa - Aravaca
2019;Anual;1.221;1.327;95;9;Valdemarín;Moncloa - Aravaca
2020;Anual;1.258;1.350;95;9;Valdemarín;Moncloa - Aravaca
2021;Anual;1.307;1.401;95;9;Valdemarín;Moncloa - Aravaca
2022;Anual;1.332;1.405;95;9;Valdemarín;Moncloa - Aravaca
2013;Anual;3.567;4.023;64;6;Almenara;Tetuán
2014;Anual;3.129;3.630;64;6;Almenara;Tetuán
2015;Anual;3.182;3.598;64;6;Almenara;Tetuán
2016;Anual;3.607;4.123;64;6;Almenara;Tetuán
2017;Anual;3.951;4.470;64;6;Almenara;Tetuán
2018;Anual;4.003;4.502;64;6;Almenara;Tetuán
2019;Anual;4.234;4.759;64;6;Almenara;Tetuán
2020;Anual;4.371;4.720;64;6;Almenara;Tetuán
2021;Anual;4.368;4.686;64;6;Almenara;Tetuán
2022;Anual;4.614;4.820;64;6;Almenara;Tetuán
2013;Anual;4.596;5.346;65;6;Valdeacederas;Tetuán
2014;Anual;4.038;4.694;65;6;Valdeacederas;Tetuán
2015;Anual;4.032;4.664;65;6;Valdeacederas;Tetuán
2016;Anual;4.636;5.340;65;6;Valdeacederas;Tetuán
2017;Anual;5.110;5.779;65;6;Valdeacederas;Tetuán
2018;Anual;5.168;5.813;65;6;Valdeacederas;Tetuán
2019;Anual;5.458;6.016;65;6;Valdeacederas;Tetuán
2020;Anual;5.586;5.983;65;6;Valdeacederas;Tetuán
2021;Anual;5.596;6.007;65;6;Valdeacederas;Tetuán
2022;Anual;5.849;6.211;65;6;Valdeacederas;Tetuán
2013;Anual;5.157;5.484;94;9;Valdezarza;Moncloa - Aravaca
2014;Anual;4.583;4.855;94;9;Valdezarza;Moncloa - Aravaca
2015;Anual;4.590;4.867;94;9;Valdezarza;Moncloa - Aravaca
2016;Anual;4.748;5.100;94;9;Valdezarza;Moncloa - Aravaca
2017;Anual;5.237;5.679;94;9;Valdezarza;Moncloa - Aravaca
2018;Anual;5.291;5.694;94;9;Valdezarza;Moncloa - Aravaca
2019;Anual;5.508;5.752;94;9;Valdezarza;Moncloa - Aravaca
2020;Anual;5.667;5.867;94;9;Valdezarza;Moncloa - Aravaca
2021;Anual;5.515;5.887;94;9;Valdezarza;Moncloa - Aravaca
2022;Anual;5.704;6.128;94;9;Valdezarza;Moncloa - Aravaca
2013;Anual;1.458;1.436;215;21;Corralejos;Barajas
2014;Anual;980;982;215;21;Corralejos;Barajas
2015;Anual;984;978;215;21;Corralejos;Barajas
2016;Anual;1.484;1.466;215;21;Corralejos;Barajas
2017;Anual;1.568;1.538;215;21;Corralejos;Barajas
2018;Anual;1.573;1.570;215;21;Corralejos;Barajas
2019;Anual;1.646;1.653;215;21;Corralejos;Barajas
2020;Anual;1.669;1.676;215;21;Corralejos;Barajas
2021;Anual;1.657;1.681;215;21;Corralejos;Barajas
2022;Anual;1.698;1.724;215;21;Corralejos;Barajas
2013;Anual;7.406;7.668;163;16;Canillas;Hortaleza
2014;Anual;6.556;6.882;163;16;Canillas;Hortaleza
2015;Anual;6.578;6.848;163;16;Canillas;Hortaleza
2016;Anual;7.276;7.607;163;16;Canillas;Hortaleza
2017;Anual;7.426;7.777;163;16;Canillas;Hortaleza
2018;Anual;7.431;7.811;163;16;Canillas;Hortaleza
2019;Anual;7.537;7.979;163;16;Canillas;Hortaleza
2020;Anual;7.635;7.896;163;16;Canillas;Hortaleza
2021;Anual;7.471;7.777;163;16;Canillas;Hortaleza
2022;Anual;7.517;7.950;163;16;Canillas;Hortaleza
2013;Anual;3.987;4.394;55;5;Nueva España;Chamartín
2014;Anual;3.498;3.928;55;5;Nueva España;Chamartín
2015;Anual;3.534;3.902;55;5;Nueva España;Chamartín
2016;Anual;4.092;4.452;55;5;Nueva España;Chamartín
2017;Anual;4.407;4.765;55;5;Nueva España;Chamartín
2018;Anual;4.438;4.748;55;5;Nueva España;Chamartín
2019;Anual;4.639;4.945;55;5;Nueva España;Chamartín
2020;Anual;4.772;5.028;55;5;Nueva España;Chamartín
2021;Anual;4.840;5.081;55;5;Nueva España;Chamartín
2013;Anual;243;308;158;15;Atalaya;Ciudad Lineal
2014;Anual;213;262;158;15;Atalaya;Ciudad Lineal
2015;Anual;217;253;158;15;Atalaya;Ciudad Lineal
2016;Anual;253;312;158;15;Atalaya;Ciudad Lineal
2017;Anual;245;307;158;15;Atalaya;Ciudad Lineal
2018;Anual;240;304;158;15;Atalaya;Ciudad Lineal
2019;Anual;247;304;158;15;Atalaya;Ciudad Lineal
2020;Anual;245;311;158;15;Atalaya;Ciudad Lineal
2021;Anual;258;299;158;15;Atalaya;Ciudad Lineal
2022;Anual;276;318;158;15;Atalaya;Ciudad Lineal
2013;Anual;4.399;4.902;97;9;Aravaca;Moncloa - Aravaca
2014;Anual;3.703;4.110;97;9;Aravaca;Moncloa - Aravaca
2015;Anual;3.755;4.107;97;9;Aravaca;Moncloa - Aravaca
2016;Anual;4.489;4.954;97;9;Aravaca;Moncloa - Aravaca
2017;Anual;4.624;5.131;97;9;Aravaca;Moncloa - Aravaca
2018;Anual;4.695;5.167;97;9;Aravaca;Moncloa - Aravaca
2019;Anual;4.898;5.385;97;9;Aravaca;Moncloa - Aravaca
2020;Anual;5.047;5.425;97;9;Aravaca;Moncloa - Aravaca
2021;Anual;5.178;5.446;97;9;Aravaca;Moncloa - Aravaca
2022;Anual;5.254;5.566;97;9;Aravaca;Moncloa - Aravaca
2013;Anual;3.472;3.876;63;6;Castillejos;Tetuán
2014;Anual;2.997;3.484;63;6;Castillejos;Tetuán
2015;Anual;3.008;3.417;63;6;Castillejos;Tetuán
2016;Anual;3.416;3.811;63;6;Castillejos;Tetuán
2017;Anual;3.763;4.128;63;6;Castillejos;Tetuán
2018;Anual;3.758;4.065;63;6;Castillejos;Tetuán
2019;Anual;3.924;4.263;63;6;Castillejos;Tetuán
2020;Anual;4.020;4.306;63;6;Castillejos;Tetuán
2021;Anual;4.063;4.337;63;6;Castillejos;Tetuán
2022;Anual;4.152;4.483;63;6;Castillejos;Tetuán
2013;Anual;3.686;3.681;211;21;Alameda de Osuna;Barajas
2014;Anual;3.128;3.169;211;21;Alameda de Osuna;Barajas
2015;Anual;3.121;3.182;211;21;Alameda de Osuna;Barajas
2016;Anual;3.448;3.604;211;21;Alameda de Osuna;Barajas
2017;Anual;3.521;3.592;211;21;Alameda de Osuna;Barajas
2018;Anual;3.548;3.558;211;21;Alameda de Osuna;Barajas
2019;Anual;3.580;3.601;211;21;Alameda de Osuna;Barajas
2020;Anual;3.625;3.684;211;21;Alameda de Osuna;Barajas
2021;Anual;3.597;3.674;211;21;Alameda de Osuna;Barajas
2022;Anual;3.646;3.738;211;21;Alameda de Osuna;Barajas
2013;Anual;4.178;5.218;66;6;Berruguete;Tetuán
2014;Anual;3.604;4.640;66;6;Berruguete;Tetuán
2015;Anual;3.603;4.568;66;6;Berruguete;Tetuán
2016;Anual;4.152;5.214;66;6;Berruguete;Tetuán
2017;Anual;4.489;5.644;66;6;Berruguete;Tetuán
2018;Anual;4.582;5.611;66;6;Berruguete;Tetuán
2019;Anual;4.842;5.879;66;6;Berruguete;Tetuán
2020;Anual;5.023;5.842;66;6;Berruguete;Tetuán
2021;Anual;5.041;5.857;66;6;Berruguete;Tetuán
2022;Anual;5.158;5.952;66;6;Berruguete;Tetuán
2013;Anual;1.085;1.188;157;15;Colina;Ciudad Lineal
2014;Anual;922;1.041;157;15;Colina;Ciudad Lineal
2015;Anual;937;1.043;157;15;Colina;Ciudad Lineal
2016;Anual;1.046;1.151;157;15;Colina;Ciudad Lineal
2017;Anual;1.075;1.197;157;15;Colina;Ciudad Lineal
2018;Anual;1.100;1.179;157;15;Colina;Ciudad Lineal
2019;Anual;1.135;1.287;157;15;Colina;Ciudad Lineal
2020;Anual;1.215;1.320;157;15;Colina;Ciudad Lineal
2021;Anual;1.233;1.313;157;15;Colina;Ciudad Lineal
2022;Anual;1.265;1.313;157;15;Colina;Ciudad Lineal
2013;Anual;2.705;2.712;162;16;Piovera;Hortaleza
2014;Anual;2.402;2.444;162;16;Piovera;Hortaleza
2015;Anual;2.374;2.460;162;16;Piovera;Hortaleza
2016;Anual;2.746;2.791;162;16;Piovera;Hortaleza
2017;Anual;2.887;2.852;162;16;Piovera;Hortaleza
2018;Anual;2.879;2.875;162;16;Piovera;Hortaleza
2019;Anual;2.959;3.011;162;16;Piovera;Hortaleza
2020;Anual;2.998;2.998;162;16;Piovera;Hortaleza
2021;Anual;2.950;2.985;162;16;Piovera;Hortaleza
2022;Anual;2.978;3.000;162;16;Piovera;Hortaleza
2013;Anual;5.219;5.675;54;5;Hispanoamérica;Chamartín
2014;Anual;4.630;5.041;54;5;Hispanoamérica;Chamartín
2015;Anual;4.575;5.033;54;5;Hispanoamérica;Chamartín
2016;Anual;5.251;5.716;54;5;Hispanoamérica;Chamartín
2017;Anual;5.527;6.014;54;5;Hispanoamérica;Chamartín
2018;Anual;5.588;6.001;54;5;Hispanoamérica;Chamartín
2019;Anual;5.762;6.129;54;5;Hispanoamérica;Chamartín
2020;Anual;5.835;6.305;54;5;Hispanoamérica;Chamartín
2021;Anual;5.840;6.399;54;5;Hispanoamérica;Chamartín
2013;Anual;4.690;5.861;61;6;Bellas Vistas;Tetuán
2014;Anual;4.102;5.180;61;6;Bellas Vistas;Tetuán
2015;Anual;4.126;5.046;61;6;Bellas Vistas;Tetuán
2016;Anual;4.742;5.834;61;6;Bellas Vistas;Tetuán
2017;Anual;5.140;6.160;61;6;Bellas Vistas;Tetuán
2018;Anual;5.276;6.179;61;6;Bellas Vistas;Tetuán
2019;Anual;5.592;6.397;61;6;Bellas Vistas;Tetuán
2020;Anual;5.762;6.454;61;6;Bellas Vistas;Tetuán
2021;Anual;5.694;6.415;61;6;Bellas Vistas;Tetuán
2022;Anual;5.883;6.499;61;6;Bellas Vistas;Tetuán
2013;Anual;924;836;161;16;Palomas;Hortaleza
2014;Anual;1.129;1.027;161;16;Palomas;Hortaleza
2015;Anual;1.129;1.046;161;16;Palomas;Hortaleza
2016;Anual;1.269;1.181;161;16;Palomas;Hortaleza
2017;Anual;1.284;1.219;161;16;Palomas;Hortaleza
2018;Anual;1.292;1.241;161;16;Palomas;Hortaleza
2019;Anual;1.329;1.270;161;16;Palomas;Hortaleza
2020;Anual;1.349;1.282;161;16;Palomas;Hortaleza
2021;Anual;1.307;1.279;161;16;Palomas;Hortaleza
2022;Anual;1.330;1.317;161;16;Palomas;Hortaleza
2013;Anual;5.687;6.738;62;6;Cuatro Caminos;Tetuán
2014;Anual;5.031;6.054;62;6;Cuatro Caminos;Tetuán
2015;Anual;4.975;5.889;62;6;Cuatro Caminos;Tetuán
2016;Anual;5.737;6.640;62;6;Cuatro Caminos;Tetuán
2017;Anual;6.274;7.197;62;6;Cuatro Caminos;Tetuán
2018;Anual;6.272;7.090;62;6;Cuatro Caminos;Tetuán
2019;Anual;6.529;7.270;62;6;Cuatro Caminos;Tetuán
2020;Anual;6.754;7.475;62;6;Cuatro Caminos;Tetuán
2021;Anual;6.765;7.500;62;6;Cuatro Caminos;Tetuán
2022;Anual;6.986;7.732;62;6;Cuatro Caminos;Tetuán
2013;Anual;2.209;2.298;156;15;San Juan Bautista;Ciudad Lineal
2014;Anual;1.924;2.018;156;15;San Juan Bautista;Ciudad Lineal
2015;Anual;1.898;2.087;156;15;San Juan Bautista;Ciudad Lineal
2016;Anual;2.172;2.343;156;15;San Juan Bautista;Ciudad Lineal
2017;Anual;2.295;2.420;156;15;San Juan Bautista;Ciudad Lineal
2018;Anual;2.293;2.438;156;15;San Juan Bautista;Ciudad Lineal
2019;Anual;2.335;2.555;156;15;San Juan Bautista;Ciudad Lineal
2020;Anual;2.372;2.496;156;15;San Juan Bautista;Ciudad Lineal
2021;Anual;2.380;2.535;156;15;San Juan Bautista;Ciudad Lineal
2022;Anual;2.464;2.536;156;15;San Juan Bautista;Ciudad Lineal
2013;Anual;6.490;7.335;52;5;Prosperidad;Chamartín
2014;Anual;5.755;6.505;52;5;Prosperidad;Chamartín
2015;Anual;5.706;6.472;52;5;Prosperidad;Chamartín
2016;Anual;6.460;7.177;52;5;Prosperidad;Chamartín
2017;Anual;6.831;7.511;52;5;Prosperidad;Chamartín
2018;Anual;6.836;7.491;52;5;Prosperidad;Chamartín
2019;Anual;7.041;7.849;52;5;Prosperidad;Chamartín
2020;Anual;7.209;7.863;52;5;Prosperidad;Chamartín
2021;Anual;7.150;7.757;52;5;Prosperidad;Chamartín
2013;Anual;3.150;3.793;53;5;Ciudad Jardín;Chamartín
2014;Anual;2.792;3.328;53;5;Ciudad Jardín;Chamartín
2015;Anual;2.784;3.315;53;5;Ciudad Jardín;Chamartín
2016;Anual;3.194;3.804;53;5;Ciudad Jardín;Chamartín
2017;Anual;3.324;3.970;53;5;Ciudad Jardín;Chamartín
2018;Anual;3.375;3.941;53;5;Ciudad Jardín;Chamartín
2019;Anual;3.504;4.119;53;5;Ciudad Jardín;Chamartín
2020;Anual;3.599;4.089;53;5;Ciudad Jardín;Chamartín
2021;Anual;3.557;4.085;53;5;Ciudad Jardín;Chamartín
2013;Anual;2.892;3.151;51;5;El Viso;Chamartín
2014;Anual;2.567;2.834;51;5;El Viso;Chamartín
