Anio;Periodo;DatoAfiliacionesResidenciaHombres;DatoAfiliacionesResidenciaMujer;CodigoBarrio;CodigoDistrito;NombreBarrio;NombreDistrito
2017;Anual;0;0;194;19;El Cañaveral;Vicálvaro
2018;Anual;64;67;194;19;El Cañaveral;Vicálvaro
2019;Anual;206;179;194;19;El Cañaveral;Vicálvaro
2020;Anual;449;389;194;19;El Cañaveral;Vicálvaro
2021;Anual;475;399;194;19;El Cañaveral;Vicálvaro
2022;Anual;1.382;1.245;194;19;El Cañaveral;Vicálvaro
2013;Anual;9.812;9.321;191;19;Casco histórico de Vicálvaro;Vicálvaro
2014;Anual;8.659;8.446;191;19;Casco histórico de Vicálvaro;Vicálvaro
2015;Anual;8.748;8.519;191;19;Casco histórico de Vicálvaro;Vicálvaro
2016;Anual;10.330;10.123;191;19;Casco histórico de Vicálvaro;Vicálvaro
2017;Anual;10.775;10.486;191;19;Casco histórico de Vicálvaro;Vicálvaro
2018;Anual;6.195;6.096;191;19;Casco histórico de Vicálvaro;Vicálvaro
2019;Anual;6.535;6.374;191;19;Casco histórico de Vicálvaro;Vicálvaro
2020;Anual;6.693;6.584;191;19;Casco histórico de Vicálvaro;Vicálvaro
2021;Anual;6.894;6.758;191;19;Casco histórico de Vicálvaro;Vicálvaro
2022;Anual;6.846;6.864;191;19;Casco histórico de Vicálvaro;Vicálvaro
2013;Anual;551;542;81;8;El Pardo;Fuencarral - El Pardo
2014;Anual;494;494;81;8;El Pardo;Fuencarral - El Pardo
2015;Anual;486;494;81;8;El Pardo;Fuencarral - El Pardo
2016;Anual;562;523;81;8;El Pardo;Fuencarral - El Pardo
2017;Anual;569;548;81;8;El Pardo;Fuencarral - El Pardo
2018;Anual;579;569;81;8;El Pardo;Fuencarral - El Pardo
2019;Anual;600;594;81;8;El Pardo;Fuencarral - El Pardo
2020;Anual;653;600;81;8;El Pardo;Fuencarral - El Pardo
2021;Anual;671;582;81;8;El Pardo;Fuencarral - El Pardo
2022;Anual;711;613;81;8;El Pardo;Fuencarral - El Pardo
2013;Anual;2.973;2.960;88;8;El Goloso;Fuencarral - El Pardo
2014;Anual;2.392;2.390;88;8;El Goloso;Fuencarral - El Pardo
2015;Anual;2.423;2.430;88;8;El Goloso;Fuencarral - El Pardo
2016;Anual;3.351;3.312;88;8;El Goloso;Fuencarral - El Pardo
