Anio;Periodo;DatoAutonomosHombres;DatoAutonomosMujer;CodigoBarrio;CodigoDistrito;NombreBarrio;NombreDistrito
2017;Anual;0;0;194;19;El Cañaveral;Vicálvaro
2018;Anual;5;4;194;19;El Cañaveral;Vicálvaro
2019;Anual;11;9;194;19;El Cañaveral;Vicálvaro
2020;Anual;28;14;194;19;El Cañaveral;Vicálvaro
2021;Anual;41;19;194;19;El Cañaveral;Vicálvaro
2022;Anual;79;38;194;19;El Cañaveral;Vicálvaro
2010;Anual;731;339;191;19;Casco histórico de Vicálvaro;Vicálvaro
2011;Anual;701;307;191;19;Casco histórico de Vicálvaro;Vicálvaro
2012;Anual;615;284;191;19;Casco histórico de Vicálvaro;Vicálvaro
2013;Anual;675;308;191;19;Casco histórico de Vicálvaro;Vicálvaro
2014;Anual;741;341;191;19;Casco histórico de Vicálvaro;Vicálvaro
2015;Anual;769;361;191;19;Casco histórico de Vicálvaro;Vicálvaro
2016;Anual;812;382;191;19;Casco histórico de Vicálvaro;Vicálvaro
2017;Anual;862;404;191;19;Casco histórico de Vicálvaro;Vicálvaro
2018;Anual;705;297;191;19;Casco histórico de Vicálvaro;Vicálvaro
2019;Anual;859;325;191;19;Casco histórico de Vicálvaro;Vicálvaro
2020;Anual;895;356;191;19;Casco histórico de Vicálvaro;Vicálvaro
2021;Anual;870;339;191;19;Casco histórico de Vicálvaro;Vicálvaro
2022;Anual;853;333;191;19;Casco histórico de Vicálvaro;Vicálvaro
2010;Anual;63;28;81;8;El Pardo;Fuencarral - El Pardo
2011;Anual;53;31;81;8;El Pardo;Fuencarral - El Pardo
2012;Anual;49;24;81;8;El Pardo;Fuencarral - El Pardo
2013;Anual;48;20;81;8;El Pardo;Fuencarral - El Pardo
2014;Anual;54;19;81;8;El Pardo;Fuencarral - El Pardo
2015;Anual;52;25;81;8;El Pardo;Fuencarral - El Pardo
2016;Anual;53;23;81;8;El Pardo;Fuencarral - El Pardo
2017;Anual;59;30;81;8;El Pardo;Fuencarral - El Pardo
2018;Anual;50;25;81;8;El Pardo;Fuencarral - El Pardo
2019;Anual;65;36;81;8;El Pardo;Fuencarral - El Pardo
2020;Anual;65;34;81;8;El Pardo;Fuencarral - El Pardo
2021;Anual;64;38;81;8;El Pardo;Fuencarral - El Pardo
2022;Anual;65;31;81;8;El Pardo;Fuencarral - El Pardo
2010;Anual;90;63;88;8;El Goloso;Fuencarral - El Pardo
2011;Anual;107;78;88;8;El Goloso;Fuencarral - El Pardo
2012;Anual;112;74;88;8;El Goloso;Fuencarral - El Pardo
2013;Anual;135;91;88;8;El Goloso;Fuencarral - El Pardo
2014;Anual;187;119;88;8;El Goloso;Fuencarral - El Pardo
2015;Anual;233;161;88;8;El Goloso;Fuencarral - El Pardo
2016;Anual;280;186;88;8;El Goloso;Fuencarral - El Pardo
2017;Anual;313;204;88;8;El Goloso;Fuencarral - El Pardo
2018;Anual;221;114;88;8;El Goloso;Fuencarral - El Pardo
2019;Anual;382;270;88;8;El Goloso;Fuencarral - El Pardo
2020;Anual;404;278;88;8;El Goloso;Fuencarral - El Pardo
2021;Anual;385;271;88;8;El Goloso;Fuencarral - El Pardo
2022;Anual;394;277;88;8;El Goloso;Fuencarral - El Pardo
2010;Anual;964;473;86;8;Valverde;Fuencarral - El Pardo
2011;Anual;970;492;86;8;Valverde;Fuencarral - El Pardo
2012;Anual;849;449;86;8;Valverde;Fuencarral - El Pardo
2013;Anual;902;500;86;8;Valverde;Fuencarral - El Pardo
2014;Anual;1.063;579;86;8;Valverde;Fuencarral - El Pardo
2015;Anual;1.125;646;86;8;Valverde;Fuencarral - El Pardo
2016;Anual;1.140;672;86;8;Valverde;Fuencarral - El Pardo
2017;Anual;1.229;776;86;8;Valverde;Fuencarral - El Pardo
2018;Anual;1.068;587;86;8;Valverde;Fuencarral - El Pardo
2019;Anual;1.479;891;86;8;Valverde;Fuencarral - El Pardo
2020;Anual;1.542;937;86;8;Valverde;Fuencarral - El Pardo
2021;Anual;1.519;907;86;8;Valverde;Fuencarral - El Pardo
2022;Anual;1.499;914;86;8;Valverde;Fuencarral - El Pardo
2010;Anual;460;330;87;8;Mirasierra;Fuencarral - El Pardo
2011;Anual;474;339;87;8;Mirasierra;Fuencarral - El Pardo
2012;Anual;415;287;87;8;Mirasierra;Fuencarral - El Pardo
