Anio;Periodo;DatoRentaMedia;CodigoBarrio;CodigoDistrito;NombreBarrio;NombreDistrito
2013;Anual;;194;19;El Cañaveral;Vicálvaro
2014;Anual;;194;19;El Cañaveral;Vicálvaro
2015;Anual;;194;19;El Cañaveral;Vicálvaro
2016;Anual;19674.0;194;19;El Cañaveral;Vicálvaro
2017;Anual;31445.0;194;19;El Cañaveral;Vicálvaro
2018;Anual;34452.0;194;19;El Cañaveral;Vicálvaro
2019;Anual;37328.0;194;19;El Cañaveral;Vicálvaro
2020;Anual;38310.0;194;19;El Cañaveral;Vicálvaro
2013;Anual;32908.9018544214;191;19;Casco histórico de Vicálvaro;Vicálvaro
2014;Anual;33101.2054290057;191;19;Casco histórico de Vicálvaro;Vicálvaro
2015;Anual;34498.3449952298;191;19;Casco histórico de Vicálvaro;Vicálvaro
2016;Anual;24578.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2017;Anual;24976.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2018;Anual;25968.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2019;Anual;27762.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2020;Anual;27740.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2013;Anual;35555.1293173293;81;8;El Pardo;Fuencarral - El Pardo
2014;Anual;36339.5542410374;81;8;El Pardo;Fuencarral - El Pardo
2015;Anual;39061.7270865533;81;8;El Pardo;Fuencarral - El Pardo
2016;Anual;37585.0;81;8;El Pardo;Fuencarral - El Pardo
2017;Anual;36745.0;81;8;El Pardo;Fuencarral - El Pardo
2018;Anual;38883.0;81;8;El Pardo;Fuencarral - El Pardo
2019;Anual;38949.0;81;8;El Pardo;Fuencarral - El Pardo
2020;Anual;38460.0;81;8;El Pardo;Fuencarral - El Pardo
2013;Anual;51444.6646065808;88;8;El Goloso;Fuencarral - El Pardo
2014;Anual;52624.0043548387;88;8;El Goloso;Fuencarral - El Pardo
2015;Anual;57441.3442330211;88;8;El Goloso;Fuencarral - El Pardo
2016;Anual;60056.0;88;8;El Goloso;Fuencarral - El Pardo
2017;Anual;61919.0;88;8;El Goloso;Fuencarral - El Pardo
2018;Anual;67420.0;88;8;El Goloso;Fuencarral - El Pardo
2019;Anual;69589.0;88;8;El Goloso;Fuencarral - El Pardo
2020;Anual;69983.0;88;8;El Goloso;Fuencarral - El Pardo
2013;Anual;39314.8635767961;86;8;Valverde;Fuencarral - El Pardo
2014;Anual;39880.7449165016;86;8;Valverde;Fuencarral - El Pardo
2015;Anual;42537.2500960052;86;8;Valverde;Fuencarral - El Pardo
2016;Anual;43898.0;86;8;Valverde;Fuencarral - El Pardo
2017;Anual;44503.0;86;8;Valverde;Fuencarral - El Pardo
2018;Anual;46290.0;86;8;Valverde;Fuencarral - El Pardo
2019;Anual;48606.0;86;8;Valverde;Fuencarral - El Pardo
2020;Anual;48350.0;86;8;Valverde;Fuencarral - El Pardo
2013;Anual;73487.0927797396;87;8;Mirasierra;Fuencarral - El Pardo
2014;Anual;73749.5049548864;87;8;Mirasierra;Fuencarral - El Pardo
2015;Anual;78328.1005562156;87;8;Mirasierra;Fuencarral - El Pardo
2016;Anual;69353.0;87;8;Mirasierra;Fuencarral - El Pardo
2017;Anual;69838.0;87;8;Mirasierra;Fuencarral - El Pardo
2018;Anual;72361.0;87;8;Mirasierra;Fuencarral - El Pardo
2019;Anual;74511.0;87;8;Mirasierra;Fuencarral - El Pardo
2020;Anual;73969.0;87;8;Mirasierra;Fuencarral - El Pardo
2013;Anual;52532.1401325811;166;16;Valdefuentes;Hortaleza
2014;Anual;52805.8221451664;166;16;Valdefuentes;Hortaleza
2015;Anual;55975.1455794732;166;16;Valdefuentes;Hortaleza
2016;Anual;53810.0;166;16;Valdefuentes;Hortaleza
2017;Anual;55523.0;166;16;Valdefuentes;Hortaleza
2018;Anual;58384.0;166;16;Valdefuentes;Hortaleza
2019;Anual;61065.0;166;16;Valdefuentes;Hortaleza
2020;Anual;59987.0;166;16;Valdefuentes;Hortaleza
2013;Anual;22620.3091935484;212;21;Aeropuerto;Barajas
2014;Anual;22835.2432880845;212;21;Aeropuerto;Barajas
2015;Anual;24254.3146616541;212;21;Aeropuerto;Barajas
2016;Anual;25366.0;212;21;Aeropuerto;Barajas
2017;Anual;25585.0;212;21;Aeropuerto;Barajas
2018;Anual;27316.0;212;21;Aeropuerto;Barajas
2019;Anual;28553.0;212;21;Aeropuerto;Barajas
2020;Anual;28191.0;212;21;Aeropuerto;Barajas
2013;Anual;38646.9129867194;214;21;Timón;Barajas
2014;Anual;38994.3607302338;214;21;Timón;Barajas
2015;Anual;40271.041996997;214;21;Timón;Barajas
2016;Anual;41636.0;214;21;Timón;Barajas
2017;Anual;41505.0;214;21;Timón;Barajas
2018;Anual;42831.0;214;21;Timón;Barajas
2019;Anual;44825.0;214;21;Timón;Barajas
2020;Anual;45064.0;214;21;Timón;Barajas
2013;Anual;83047.4152124646;82;8;Fuentelarreina;Fuencarral - El Pardo
2014;Anual;97929.5570328639;82;8;Fuentelarreina;Fuencarral - El Pardo
2015;Anual;98155.7929422895;82;8;Fuentelarreina;Fuencarral - El Pardo
2016;Anual;85127.0;82;8;Fuentelarreina;Fuencarral - El Pardo
2017;Anual;84239.0;82;8;Fuentelarreina;Fuencarral - El Pardo
2018;Anual;90678.0;82;8;Fuentelarreina;Fuencarral - El Pardo
2019;Anual;89744.0;82;8;Fuentelarreina;Fuencarral - El Pardo
2020;Anual;88753.0;82;8;Fuentelarreina;Fuencarral - El Pardo
2013;Anual;56953.098539335;85;8;La Paz;Fuencarral - El Pardo
2014;Anual;57508.9458634928;85;8;La Paz;Fuencarral - El Pardo
2015;Anual;58457.3752869185;85;8;La Paz;Fuencarral - El Pardo
2016;Anual;59243.0;85;8;La Paz;Fuencarral - El Pardo
2017;Anual;59580.0;85;8;La Paz;Fuencarral - El Pardo
2018;Anual;61899.0;85;8;La Paz;Fuencarral - El Pardo
2019;Anual;62831.0;85;8;La Paz;Fuencarral - El Pardo
2020;Anual;61451.0;85;8;La Paz;Fuencarral - El Pardo
2013;Anual;39527.2353793355;83;8;Peñagrande;Fuencarral - El Pardo
2014;Anual;44658.686251895;83;8;Peñagrande;Fuencarral - El Pardo
2015;Anual;45508.0580730877;83;8;Peñagrande;Fuencarral - El Pardo
2016;Anual;46484.0;83;8;Peñagrande;Fuencarral - El Pardo
2017;Anual;46883.0;83;8;Peñagrande;Fuencarral - El Pardo
2018;Anual;48909.0;83;8;Peñagrande;Fuencarral - El Pardo
2019;Anual;49838.0;83;8;Peñagrande;Fuencarral - El Pardo
2020;Anual;49757.0;83;8;Peñagrande;Fuencarral - El Pardo
2013;Anual;32912.2936380902;84;8;Pilar;Fuencarral - El Pardo
2014;Anual;33137.6417320382;84;8;Pilar;Fuencarral - El Pardo
2015;Anual;33746.0138188456;84;8;Pilar;Fuencarral - El Pardo
2016;Anual;34260.0;84;8;Pilar;Fuencarral - El Pardo
2017;Anual;34532.0;84;8;Pilar;Fuencarral - El Pardo
2018;Anual;35594.0;84;8;Pilar;Fuencarral - El Pardo
2019;Anual;36887.0;84;8;Pilar;Fuencarral - El Pardo
2020;Anual;36799.0;84;8;Pilar;Fuencarral - El Pardo
2013;Anual;61976.636143655;159;15;Costillares;Ciudad Lineal
2014;Anual;64340.5420207254;159;15;Costillares;Ciudad Lineal
2015;Anual;65589.45233329;159;15;Costillares;Ciudad Lineal
2016;Anual;66648.0;159;15;Costillares;Ciudad Lineal
2017;Anual;65144.0;159;15;Costillares;Ciudad Lineal
2018;Anual;70459.0;159;15;Costillares;Ciudad Lineal
2019;Anual;71732.0;159;15;Costillares;Ciudad Lineal
2020;Anual;70743.0;159;15;Costillares;Ciudad Lineal
2013;Anual;53214.4407089014;56;5;Castilla;Chamartín
2014;Anual;55731.312256254;56;5;Castilla;Chamartín
2015;Anual;54869.9650135588;56;5;Castilla;Chamartín
2016;Anual;56554.0;56;5;Castilla;Chamartín
2017;Anual;58137.0;56;5;Castilla;Chamartín
2018;Anual;61310.0;56;5;Castilla;Chamartín
2019;Anual;61185.0;56;5;Castilla;Chamartín
2020;Anual;62012.0;56;5;Castilla;Chamartín
2013;Anual;35135.797848522;165;16;Apóstol Santiago;Hortaleza
2014;Anual;35149.2457802352;165;16;Apóstol Santiago;Hortaleza
2015;Anual;36691.4783926056;165;16;Apóstol Santiago;Hortaleza
2016;Anual;37313.0;165;16;Apóstol Santiago;Hortaleza
2017;Anual;37643.0;165;16;Apóstol Santiago;Hortaleza
2018;Anual;38900.0;165;16;Apóstol Santiago;Hortaleza
2019;Anual;41116.0;165;16;Apóstol Santiago;Hortaleza
2020;Anual;40604.0;165;16;Apóstol Santiago;Hortaleza
2013;Anual;32811.4496718174;164;16;Pinar del Rey;Hortaleza
2014;Anual;33645.4263082833;164;16;Pinar del Rey;Hortaleza
2015;Anual;33701.4312862047;164;16;Pinar del Rey;Hortaleza
2016;Anual;33780.0;164;16;Pinar del Rey;Hortaleza
2017;Anual;34494.0;164;16;Pinar del Rey;Hortaleza
2018;Anual;35784.0;164;16;Pinar del Rey;Hortaleza
2019;Anual;37114.0;164;16;Pinar del Rey;Hortaleza
2020;Anual;36609.0;164;16;Pinar del Rey;Hortaleza
2013;Anual;93597.3047619048;96;9;El Plantío;Moncloa - Aravaca
2014;Anual;114186.303445596;96;9;El Plantío;Moncloa - Aravaca
2015;Anual;101419.171710362;96;9;El Plantío;Moncloa - Aravaca
2016;Anual;89015.0;96;9;El Plantío;Moncloa - Aravaca
2017;Anual;89215.0;96;9;El Plantío;Moncloa - Aravaca
2018;Anual;91933.0;96;9;El Plantío;Moncloa - Aravaca
2019;Anual;91479.0;96;9;El Plantío;Moncloa - Aravaca
2020;Anual;89731.0;96;9;El Plantío;Moncloa - Aravaca
2013;Anual;62275.7900262146;93;9;Ciudad Universitaria;Moncloa - Aravaca
2014;Anual;64474.7706969178;93;9;Ciudad Universitaria;Moncloa - Aravaca
2015;Anual;67390.492096167;93;9;Ciudad Universitaria;Moncloa - Aravaca
2016;Anual;61444.0;93;9;Ciudad Universitaria;Moncloa - Aravaca
2017;Anual;60565.0;93;9;Ciudad Universitaria;Moncloa - Aravaca
2018;Anual;65330.0;93;9;Ciudad Universitaria;Moncloa - Aravaca
2019;Anual;62812.0;93;9;Ciudad Universitaria;Moncloa - Aravaca
2020;Anual;65088.0;93;9;Ciudad Universitaria;Moncloa - Aravaca
2013;Anual;33312.1400101729;213;21;Casco Histórico de Barajas;Barajas
2014;Anual;32838.9432610904;213;21;Casco Histórico de Barajas;Barajas
2015;Anual;29450.04216593;213;21;Casco Histórico de Barajas;Barajas
2016;Anual;29179.0;213;21;Casco Histórico de Barajas;Barajas
2017;Anual;30335.0;213;21;Casco Histórico de Barajas;Barajas
2018;Anual;31626.0;213;21;Casco Histórico de Barajas;Barajas
2019;Anual;32746.0;213;21;Casco Histórico de Barajas;Barajas
2020;Anual;31566.0;213;21;Casco Histórico de Barajas;Barajas
2013;Anual;106640.846500868;95;9;Valdemarín;Moncloa - Aravaca
