ANIO;CODDIS;NOMDIS;PrecioVentaEurosM2
2021;14;Moratalaz;2.532
2020;14;Moratalaz;2.569
2019;14;Moratalaz;2.515
2018;14;Moratalaz;2.499
2017;14;Moratalaz;2.260
2016;14;Moratalaz;2.076
2015;14;Moratalaz;1.904
2014;14;Moratalaz;1.904
2013;14;Moratalaz;1.898
2012;14;Moratalaz;2.047
2011;14;Moratalaz;2.293
2010;14;Moratalaz;2.600
2009;14;Moratalaz;2.600
2022;13;Puente de Vallecas;2.112
2021;13;Puente de Vallecas;1.921
2020;13;Puente de Vallecas;1.887
2019;13;Puente de Vallecas;1.954
2018;13;Puente de Vallecas;1.862
2017;13;Puente de Vallecas;1.513
2016;13;Puente de Vallecas;1.290
2015;13;Puente de Vallecas;1.328
2014;13;Puente de Vallecas;1.281
2013;13;Puente de Vallecas;1.408
2012;13;Puente de Vallecas;1.545
2011;13;Puente de Vallecas;1.910
2010;13;Puente de Vallecas;2.374
2009;13;Puente de Vallecas;2.507
2008;13;Puente de Vallecas;2.657
2007;13;Puente de Vallecas;2.786
2022;3;Retiro;5.017
2021;3;Retiro;4.733
2020;3;Retiro;4.502
2019;3;Retiro;4.539
2018;3;Retiro;4.478
2017;3;Retiro;4.011
2016;3;Retiro;3.459
2015;3;Retiro;3.368
2014;3;Retiro;3.069
2013;3;Retiro;3.186
2012;3;Retiro;3.370
2011;3;Retiro;3.618
2010;3;Retiro;3.868
2009;3;Retiro;3.938
2008;3;Retiro;4.151
2022;4;Salamanca;6.633
2021;4;Salamanca;6.088
2020;4;Salamanca;5.740
2019;4;Salamanca;5.873
2018;4;Salamanca;5.710
2017;4;Salamanca;5.158
2016;4;Salamanca;4.495
2015;4;Salamanca;4.375
2014;4;Salamanca;4.145
2013;4;Salamanca;4.013
2012;4;Salamanca;4.187
2011;4;Salamanca;4.454
2010;4;Salamanca;4.654
2009;4;Salamanca;4.718
2008;4;Salamanca;4.776
2007;4;Salamanca;4.636
2022;20;San Blas - Canillejas;2.776
2021;20;San Blas - Canillejas;2.596
2020;20;San Blas - Canillejas;2.558
2019;20;San Blas - Canillejas;2.468
2018;20;San Blas - Canillejas;2.485
2017;20;San Blas - Canillejas;2.425
2016;20;San Blas - Canillejas;2.098
2015;20;San Blas - Canillejas;2.043
2014;20;San Blas - Canillejas;2.104
2013;20;San Blas - Canillejas;2.150
2012;20;San Blas - Canillejas;2.196
2011;20;San Blas - Canillejas;2.598
2010;20;San Blas - Canillejas;2.887
2009;20;San Blas - Canillejas;2.915
2008;20;San Blas - Canillejas;3.086
2007;20;San Blas - Canillejas;3.470
2022;6;Tetuán;4.051
2021;6;Tetuán;3.677
2020;6;Tetuán;3.649
2019;6;Tetuán;3.656
2018;6;Tetuán;3.629
2017;6;Tetuán;3.086
2016;6;Tetuán;2.769
2015;6;Tetuán;2.605
2014;6;Tetuán;2.575
2013;6;Tetuán;2.634
2012;6;Tetuán;2.812
2011;6;Tetuán;3.157
2010;6;Tetuán;3.399
2009;6;Tetuán;3.476
2008;6;Tetuán;3.539
2007;6;Tetuán;3.857
2022;12;Usera;2.182
2021;12;Usera;2.014
2020;12;Usera;1.942
2019;12;Usera;2.031
2018;12;Usera;1.971
2017;12;Usera;1.695
2016;12;Usera;1.517
2015;12;Usera;1.499
2014;12;Usera;1.441
2013;12;Usera;1.587
2012;12;Usera;1.803
2011;12;Usera;2.106
2010;12;Usera;2.403
2009;12;Usera;2.511
2008;12;Usera;2.718
2007;12;Usera;2.851
2022;19;Vicálvaro;2.708
2021;19;Vicálvaro;2.413
2020;19;Vicálvaro;2.318
2019;19;Vicálvaro;2.318
2018;19;Vicálvaro;2.132
2017;19;Vicálvaro;1.809
2016;19;Vicálvaro;1.674
2015;19;Vicálvaro;1.641
2014;19;Vicálvaro;1.624
2013;19;Vicálvaro;1.813
2012;19;Vicálvaro;1.898
2011;19;Vicálvaro;2.343
2010;19;Vicálvaro;2.583
2022;18;Villa de Vallecas;2.529
2021;18;Villa de Vallecas;2.372
2020;18;Villa de Vallecas;2.384
2019;18;Villa de Vallecas;2.419
2018;18;Villa de Vallecas;2.273
2017;18;Villa de Vallecas;2.048
2016;18;Villa de Vallecas;1.941
2015;18;Villa de Vallecas;1.838
2014;18;Villa de Vallecas;1.950
2013;18;Villa de Vallecas;1.965
2012;18;Villa de Vallecas;2.132
2011;18;Villa de Vallecas;2.497
2010;18;Villa de Vallecas;2.691
2009;18;Villa de Vallecas;2.651
2008;18;Villa de Vallecas;2.714
2022;17;Villaverde;1.834
2021;17;Villaverde;1.689
2020;17;Villaverde;1.706
2019;17;Villaverde;1.719
2018;17;Villaverde;1.650
2017;17;Villaverde;1.401
2016;17;Villaverde;1.496
2015;17;Villaverde;1.345
2014;17;Villaverde;1.349
2013;17;Villaverde;1.339
2012;17;Villaverde;1.511
2011;17;Villaverde;1.897
2010;17;Villaverde;2.198
2009;17;Villaverde;2.230
2008;17;Villaverde;2.452
