Anio;Periodo;DatoAfiliacionesTrabajo;CodigoBarrio;CodigoDistrito;NombreBarrio;NombreDistrito
2017;Anual;0;194;19;El Cañaveral;Vicálvaro
2018;Anual;31;194;19;El Cañaveral;Vicálvaro
2019;Anual;133;194;19;El Cañaveral;Vicálvaro
2020;Anual;114;194;19;El Cañaveral;Vicálvaro
2021;Anual;152;194;19;El Cañaveral;Vicálvaro
2022;Anual;314;194;19;El Cañaveral;Vicálvaro
2010;Anual;3801;191;19;Casco histórico de Vicálvaro;Vicálvaro
2011;Anual;3833;191;19;Casco histórico de Vicálvaro;Vicálvaro
2012;Anual;3707;191;19;Casco histórico de Vicálvaro;Vicálvaro
2013;Anual;4121;191;19;Casco histórico de Vicálvaro;Vicálvaro
2014;Anual;4783;191;19;Casco histórico de Vicálvaro;Vicálvaro
2015;Anual;5275;191;19;Casco histórico de Vicálvaro;Vicálvaro
2016;Anual;5757;191;19;Casco histórico de Vicálvaro;Vicálvaro
2017;Anual;5801;191;19;Casco histórico de Vicálvaro;Vicálvaro
2018;Anual;4456;191;19;Casco histórico de Vicálvaro;Vicálvaro
2019;Anual;5330;191;19;Casco histórico de Vicálvaro;Vicálvaro
2020;Anual;6313;191;19;Casco histórico de Vicálvaro;Vicálvaro
2021;Anual;6544;191;19;Casco histórico de Vicálvaro;Vicálvaro
2022;Anual;7197;191;19;Casco histórico de Vicálvaro;Vicálvaro
2010;Anual;236;81;8;El Pardo;Fuencarral - El Pardo
2011;Anual;241;81;8;El Pardo;Fuencarral - El Pardo
2012;Anual;218;81;8;El Pardo;Fuencarral - El Pardo
2013;Anual;281;81;8;El Pardo;Fuencarral - El Pardo
2014;Anual;282;81;8;El Pardo;Fuencarral - El Pardo
2015;Anual;267;81;8;El Pardo;Fuencarral - El Pardo
2016;Anual;279;81;8;El Pardo;Fuencarral - El Pardo
2017;Anual;285;81;8;El Pardo;Fuencarral - El Pardo
2018;Anual;273;81;8;El Pardo;Fuencarral - El Pardo
2019;Anual;298;81;8;El Pardo;Fuencarral - El Pardo
2020;Anual;315;81;8;El Pardo;Fuencarral - El Pardo
2021;Anual;319;81;8;El Pardo;Fuencarral - El Pardo
2022;Anual;335;81;8;El Pardo;Fuencarral - El Pardo
2010;Anual;561;88;8;El Goloso;Fuencarral - El Pardo
2011;Anual;788;88;8;El Goloso;Fuencarral - El Pardo
2012;Anual;1522;88;8;El Goloso;Fuencarral - El Pardo
2013;Anual;2460;88;8;El Goloso;Fuencarral - El Pardo
2014;Anual;2674;88;8;El Goloso;Fuencarral - El Pardo
2015;Anual;2953;88;8;El Goloso;Fuencarral - El Pardo
2016;Anual;3548;88;8;El Goloso;Fuencarral - El Pardo
2017;Anual;3986;88;8;El Goloso;Fuencarral - El Pardo
2018;Anual;4146;88;8;El Goloso;Fuencarral - El Pardo
2019;Anual;4978;88;8;El Goloso;Fuencarral - El Pardo
2020;Anual;4862;88;8;El Goloso;Fuencarral - El Pardo
2021;Anual;4813;88;8;El Goloso;Fuencarral - El Pardo
2022;Anual;5854;88;8;El Goloso;Fuencarral - El Pardo
2010;Anual;29023;86;8;Valverde;Fuencarral - El Pardo
2011;Anual;30471;86;8;Valverde;Fuencarral - El Pardo
2012;Anual;30841;86;8;Valverde;Fuencarral - El Pardo
2013;Anual;31498;86;8;Valverde;Fuencarral - El Pardo
2014;Anual;32480;86;8;Valverde;Fuencarral - El Pardo
2015;Anual;34266;86;8;Valverde;Fuencarral - El Pardo
2016;Anual;37295;86;8;Valverde;Fuencarral - El Pardo
2017;Anual;38860;86;8;Valverde;Fuencarral - El Pardo
2018;Anual;39070;86;8;Valverde;Fuencarral - El Pardo
2019;Anual;45319;86;8;Valverde;Fuencarral - El Pardo
2020;Anual;48064;86;8;Valverde;Fuencarral - El Pardo
2021;Anual;46402;86;8;Valverde;Fuencarral - El Pardo
2022;Anual;63103;86;8;Valverde;Fuencarral - El Pardo
2010;Anual;5154;87;8;Mirasierra;Fuencarral - El Pardo
2011;Anual;5126;87;8;Mirasierra;Fuencarral - El Pardo
2012;Anual;4971;87;8;Mirasierra;Fuencarral - El Pardo
2013;Anual;7920;87;8;Mirasierra;Fuencarral - El Pardo
2014;Anual;8439;87;8;Mirasierra;Fuencarral - El Pardo
2015;Anual;8829;87;8;Mirasierra;Fuencarral - El Pardo
2016;Anual;9039;87;8;Mirasierra;Fuencarral - El Pardo
2017;Anual;10697;87;8;Mirasierra;Fuencarral - El Pardo
2018;Anual;10776;87;8;Mirasierra;Fuencarral - El Pardo
2019;Anual;13034;87;8;Mirasierra;Fuencarral - El Pardo
2020;Anual;12442;87;8;Mirasierra;Fuencarral - El Pardo
2021;Anual;12320;87;8;Mirasierra;Fuencarral - El Pardo
2022;Anual;17030;87;8;Mirasierra;Fuencarral - El Pardo
2010;Anual;25731;166;16;Valdefuentes;Hortaleza
2011;Anual;33360;166;16;Valdefuentes;Hortaleza
2012;Anual;37261;166;16;Valdefuentes;Hortaleza
2013;Anual;40614;166;16;Valdefuentes;Hortaleza
2014;Anual;41630;166;16;Valdefuentes;Hortaleza
2015;Anual;43581;166;16;Valdefuentes;Hortaleza
2016;Anual;44472;166;16;Valdefuentes;Hortaleza
2017;Anual;44835;166;16;Valdefuentes;Hortaleza
2018;Anual;49268;166;16;Valdefuentes;Hortaleza
2019;Anual;52733;166;16;Valdefuentes;Hortaleza
2020;Anual;57658;166;16;Valdefuentes;Hortaleza
2021;Anual;60208;166;16;Valdefuentes;Hortaleza
2022;Anual;65023;166;16;Valdefuentes;Hortaleza
2010;Anual;8110;212;21;Aeropuerto;Barajas
2011;Anual;8453;212;21;Aeropuerto;Barajas
2012;Anual;8313;212;21;Aeropuerto;Barajas
2013;Anual;4143;212;21;Aeropuerto;Barajas
2014;Anual;4879;212;21;Aeropuerto;Barajas
