Anio;Periodo;DatoParadosRegistrados;CodigoBarrio;CodigoDistrito;NombreBarrio;NombreDistrito
2017;Noviembre;24.0;194;19;El Cañaveral;Vicálvaro
2017;Diciembre;38.0;194;19;El Cañaveral;Vicálvaro
2018;Enero;47.0;194;19;El Cañaveral;Vicálvaro
2018;Febrero;41.0;194;19;El Cañaveral;Vicálvaro
2018;Marzo;43.0;194;19;El Cañaveral;Vicálvaro
2018;Abril;45.0;194;19;El Cañaveral;Vicálvaro
2018;Mayo;50.0;194;19;El Cañaveral;Vicálvaro
2018;Junio;46.0;194;19;El Cañaveral;Vicálvaro
2018;Julio;49.0;194;19;El Cañaveral;Vicálvaro
2018;Agosto;47.0;194;19;El Cañaveral;Vicálvaro
2018;Septiembre;49.0;194;19;El Cañaveral;Vicálvaro
2018;Octubre;49.0;194;19;El Cañaveral;Vicálvaro
2018;Noviembre;50.0;194;19;El Cañaveral;Vicálvaro
2018;Diciembre;51.0;194;19;El Cañaveral;Vicálvaro
2019;Enero;62.0;194;19;El Cañaveral;Vicálvaro
2019;Febrero;63.0;194;19;El Cañaveral;Vicálvaro
2019;Marzo;63.0;194;19;El Cañaveral;Vicálvaro
2019;Abril;70.0;194;19;El Cañaveral;Vicálvaro
2019;Mayo;67.0;194;19;El Cañaveral;Vicálvaro
2019;Junio;70.0;194;19;El Cañaveral;Vicálvaro
2019;Julio;56.0;194;19;El Cañaveral;Vicálvaro
2019;Agosto;69.0;194;19;El Cañaveral;Vicálvaro
2019;Septiembre;66.0;194;19;El Cañaveral;Vicálvaro
2019;Octubre;69.0;194;19;El Cañaveral;Vicálvaro
2019;Noviembre;69.0;194;19;El Cañaveral;Vicálvaro
2019;Diciembre;74.0;194;19;El Cañaveral;Vicálvaro
2020;Enero;87.0;194;19;El Cañaveral;Vicálvaro
2020;Febrero;94.0;194;19;El Cañaveral;Vicálvaro
2020;Marzo;98.0;194;19;El Cañaveral;Vicálvaro
2020;Abril;111.0;194;19;El Cañaveral;Vicálvaro
2020;Mayo;122.0;194;19;El Cañaveral;Vicálvaro
2020;Junio;120.0;194;19;El Cañaveral;Vicálvaro
2020;Julio;116.0;194;19;El Cañaveral;Vicálvaro
2020;Agosto;124.0;194;19;El Cañaveral;Vicálvaro
2020;Septiembre;131.0;194;19;El Cañaveral;Vicálvaro
2020;Octubre;133.0;194;19;El Cañaveral;Vicálvaro
2020;Noviembre;140.0;194;19;El Cañaveral;Vicálvaro
2020;Diciembre;156.0;194;19;El Cañaveral;Vicálvaro
2021;Enero;169.0;194;19;El Cañaveral;Vicálvaro
2021;Febrero;185.0;194;19;El Cañaveral;Vicálvaro
2021;Marzo;193.0;194;19;El Cañaveral;Vicálvaro
2021;Abril;215.0;194;19;El Cañaveral;Vicálvaro
2021;Mayo;224.0;194;19;El Cañaveral;Vicálvaro
2021;Junio;233.0;194;19;El Cañaveral;Vicálvaro
2021;Julio;242.0;194;19;El Cañaveral;Vicálvaro
2021;Agosto;259.0;194;19;El Cañaveral;Vicálvaro
2021;Septiembre;271.0;194;19;El Cañaveral;Vicálvaro
2021;Octubre;267.0;194;19;El Cañaveral;Vicálvaro
2021;Noviembre;264.0;194;19;El Cañaveral;Vicálvaro
2021;Diciembre;252.0;194;19;El Cañaveral;Vicálvaro
2022;Enero;269.0;194;19;El Cañaveral;Vicálvaro
2022;Febrero;283.0;194;19;El Cañaveral;Vicálvaro
2022;Marzo;291.0;194;19;El Cañaveral;Vicálvaro
2022;Abril;287.0;194;19;El Cañaveral;Vicálvaro
2022;Mayo;301.0;194;19;El Cañaveral;Vicálvaro
2022;Junio;240.0;194;19;El Cañaveral;Vicálvaro
2022;Julio;310.0;194;19;El Cañaveral;Vicálvaro
2022;Agosto;340.0;194;19;El Cañaveral;Vicálvaro
2022;Septiembre;368.0;194;19;El Cañaveral;Vicálvaro
2022;Octubre;358.0;194;19;El Cañaveral;Vicálvaro
2022;Noviembre;358.0;194;19;El Cañaveral;Vicálvaro
2022;Diciembre;343.0;194;19;El Cañaveral;Vicálvaro
2023;Enero;379.0;194;19;El Cañaveral;Vicálvaro
2023;Febrero;408.0;194;19;El Cañaveral;Vicálvaro
2012;Diciembre;4064.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2013;Enero;4288.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2013;Febrero;4277.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2013;Marzo;4256.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2013;Abril;4213.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2013;Mayo;4155.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2013;Junio;4196.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2013;Julio;4214.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2013;Agosto;4219.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2013;Septiembre;4201.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2013;Octubre;4176.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2013;Noviembre;4052.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2013;Diciembre;;191;19;Casco histórico de Vicálvaro;Vicálvaro
2014;Enero;4172.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2014;Febrero;4173.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2014;Marzo;4223.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2014;Abril;4120.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2014;Mayo;4034.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2014;Junio;3924.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2014;Julio;4045.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2014;Agosto;4083.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2014;Septiembre;4095.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2014;Octubre;4098.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2014;Noviembre;4073.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2014;Diciembre;4022.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2015;Enero;3965.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2015;Febrero;3997.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2015;Marzo;3972.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2015;Abril;3915.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2015;Mayo;3827.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2015;Junio;3767.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2015;Julio;3818.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2015;Agosto;3797.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2015;Septiembre;3738.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2015;Octubre;3790.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2015;Noviembre;3752.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2015;Diciembre;3683.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2016;Enero;3683.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2016;Febrero;3666.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2016;Marzo;3629.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2016;Abril;3570.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2016;Mayo;3505.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2016;Junio;3475.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2016;Julio;3438.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
