Anio;Periodo;DatoPoblacionMayor65;CodigoBarrio;CodigoDistrito;NombreBarrio;NombreDistrito
2005;Anual;;194;19;El Cañaveral;Vicálvaro
2006;Anual;;194;19;El Cañaveral;Vicálvaro
2007;Anual;;194;19;El Cañaveral;Vicálvaro
2008;Anual;;194;19;El Cañaveral;Vicálvaro
2009;Anual;;194;19;El Cañaveral;Vicálvaro
2010;Anual;;194;19;El Cañaveral;Vicálvaro
2011;Anual;;194;19;El Cañaveral;Vicálvaro
2012;Anual;;194;19;El Cañaveral;Vicálvaro
2013;Anual;;194;19;El Cañaveral;Vicálvaro
2014;Anual;;194;19;El Cañaveral;Vicálvaro
2015;Anual;;194;19;El Cañaveral;Vicálvaro
2016;Anual;;194;19;El Cañaveral;Vicálvaro
2017;Anual;0.0;194;19;El Cañaveral;Vicálvaro
2018;Anual;3.81;194;19;El Cañaveral;Vicálvaro
2019;Anual;3.2;194;19;El Cañaveral;Vicálvaro
2020;Anual;3.17;194;19;El Cañaveral;Vicálvaro
2021;Anual;2.62;194;19;El Cañaveral;Vicálvaro
2022;Anual;2.29;194;19;El Cañaveral;Vicálvaro
2005;Anual;8.06;191;19;Casco histórico de Vicálvaro;Vicálvaro
2006;Anual;8.26;191;19;Casco histórico de Vicálvaro;Vicálvaro
2007;Anual;8.41;191;19;Casco histórico de Vicálvaro;Vicálvaro
2008;Anual;8.48;191;19;Casco histórico de Vicálvaro;Vicálvaro
2009;Anual;8.74;191;19;Casco histórico de Vicálvaro;Vicálvaro
2010;Anual;9.0;191;19;Casco histórico de Vicálvaro;Vicálvaro
2011;Anual;9.29;191;19;Casco histórico de Vicálvaro;Vicálvaro
2012;Anual;9.57;191;19;Casco histórico de Vicálvaro;Vicálvaro
2013;Anual;9.87;191;19;Casco histórico de Vicálvaro;Vicálvaro
2014;Anual;10.2;191;19;Casco histórico de Vicálvaro;Vicálvaro
2015;Anual;10.54;191;19;Casco histórico de Vicálvaro;Vicálvaro
2016;Anual;10.78;191;19;Casco histórico de Vicálvaro;Vicálvaro
2017;Anual;10.99;191;19;Casco histórico de Vicálvaro;Vicálvaro
2018;Anual;22.04;191;19;Casco histórico de Vicálvaro;Vicálvaro
2019;Anual;21.35;191;19;Casco histórico de Vicálvaro;Vicálvaro
2020;Anual;20.79;191;19;Casco histórico de Vicálvaro;Vicálvaro
2021;Anual;20.44;191;19;Casco histórico de Vicálvaro;Vicálvaro
2022;Anual;20.32;191;19;Casco histórico de Vicálvaro;Vicálvaro
2005;Anual;29.55;81;8;El Pardo;Fuencarral - El Pardo
2006;Anual;29.89;81;8;El Pardo;Fuencarral - El Pardo
2007;Anual;30.67;81;8;El Pardo;Fuencarral - El Pardo
2008;Anual;30.79;81;8;El Pardo;Fuencarral - El Pardo
2009;Anual;30.14;81;8;El Pardo;Fuencarral - El Pardo
2010;Anual;29.98;81;8;El Pardo;Fuencarral - El Pardo
2011;Anual;30.25;81;8;El Pardo;Fuencarral - El Pardo
2012;Anual;29.36;81;8;El Pardo;Fuencarral - El Pardo
2013;Anual;28.96;81;8;El Pardo;Fuencarral - El Pardo
2014;Anual;28.06;81;8;El Pardo;Fuencarral - El Pardo
2015;Anual;27.83;81;8;El Pardo;Fuencarral - El Pardo
2016;Anual;27.23;81;8;El Pardo;Fuencarral - El Pardo
2017;Anual;26.58;81;8;El Pardo;Fuencarral - El Pardo
2018;Anual;26.24;81;8;El Pardo;Fuencarral - El Pardo
2019;Anual;25.71;81;8;El Pardo;Fuencarral - El Pardo
2020;Anual;25.32;81;8;El Pardo;Fuencarral - El Pardo
2021;Anual;24.75;81;8;El Pardo;Fuencarral - El Pardo
2022;Anual;24.75;81;8;El Pardo;Fuencarral - El Pardo
2005;Anual;55.39;88;8;El Goloso;Fuencarral - El Pardo
2006;Anual;33.68;88;8;El Goloso;Fuencarral - El Pardo
2007;Anual;22.15;88;8;El Goloso;Fuencarral - El Pardo
2008;Anual;16.37;88;8;El Goloso;Fuencarral - El Pardo
2009;Anual;13.32;88;8;El Goloso;Fuencarral - El Pardo
2010;Anual;11.06;88;8;El Goloso;Fuencarral - El Pardo
2011;Anual;10.94;88;8;El Goloso;Fuencarral - El Pardo
2012;Anual;9.93;88;8;El Goloso;Fuencarral - El Pardo
2013;Anual;9.4;88;8;El Goloso;Fuencarral - El Pardo
2014;Anual;9.17;88;8;El Goloso;Fuencarral - El Pardo
2015;Anual;8.6;88;8;El Goloso;Fuencarral - El Pardo
2016;Anual;8.34;88;8;El Goloso;Fuencarral - El Pardo
2017;Anual;8.36;88;8;El Goloso;Fuencarral - El Pardo
2018;Anual;8.19;88;8;El Goloso;Fuencarral - El Pardo
2019;Anual;7.91;88;8;El Goloso;Fuencarral - El Pardo
2020;Anual;7.67;88;8;El Goloso;Fuencarral - El Pardo
2021;Anual;7.11;88;8;El Goloso;Fuencarral - El Pardo
2022;Anual;8.06;88;8;El Goloso;Fuencarral - El Pardo
2005;Anual;19.56;86;8;Valverde;Fuencarral - El Pardo
2006;Anual;18.59;86;8;Valverde;Fuencarral - El Pardo
2007;Anual;17.16;86;8;Valverde;Fuencarral - El Pardo
2008;Anual;15.24;86;8;Valverde;Fuencarral - El Pardo
2009;Anual;14.11;86;8;Valverde;Fuencarral - El Pardo
2010;Anual;13.44;86;8;Valverde;Fuencarral - El Pardo
2011;Anual;12.88;86;8;Valverde;Fuencarral - El Pardo
2012;Anual;12.61;86;8;Valverde;Fuencarral - El Pardo
2013;Anual;12.53;86;8;Valverde;Fuencarral - El Pardo
2014;Anual;12.43;86;8;Valverde;Fuencarral - El Pardo
2015;Anual;12.28;86;8;Valverde;Fuencarral - El Pardo
2016;Anual;12.13;86;8;Valverde;Fuencarral - El Pardo
2017;Anual;11.96;86;8;Valverde;Fuencarral - El Pardo
2018;Anual;11.77;86;8;Valverde;Fuencarral - El Pardo
2019;Anual;11.76;86;8;Valverde;Fuencarral - El Pardo
2020;Anual;11.65;86;8;Valverde;Fuencarral - El Pardo
2021;Anual;11.81;86;8;Valverde;Fuencarral - El Pardo
2022;Anual;12.08;86;8;Valverde;Fuencarral - El Pardo
2005;Anual;7.07;87;8;Mirasierra;Fuencarral - El Pardo
2006;Anual;7.61;87;8;Mirasierra;Fuencarral - El Pardo
2007;Anual;8.33;87;8;Mirasierra;Fuencarral - El Pardo
2008;Anual;8.91;87;8;Mirasierra;Fuencarral - El Pardo
2009;Anual;9.57;87;8;Mirasierra;Fuencarral - El Pardo
2010;Anual;10.15;87;8;Mirasierra;Fuencarral - El Pardo
2011;Anual;10.92;87;8;Mirasierra;Fuencarral - El Pardo
2012;Anual;11.69;87;8;Mirasierra;Fuencarral - El Pardo
2013;Anual;12.54;87;8;Mirasierra;Fuencarral - El Pardo
2014;Anual;13.36;87;8;Mirasierra;Fuencarral - El Pardo
2015;Anual;14.03;87;8;Mirasierra;Fuencarral - El Pardo
2016;Anual;14.46;87;8;Mirasierra;Fuencarral - El Pardo
2017;Anual;14.42;87;8;Mirasierra;Fuencarral - El Pardo
2018;Anual;14.42;87;8;Mirasierra;Fuencarral - El Pardo
2019;Anual;14.49;87;8;Mirasierra;Fuencarral - El Pardo
2020;Anual;14.74;87;8;Mirasierra;Fuencarral - El Pardo
2021;Anual;15.14;87;8;Mirasierra;Fuencarral - El Pardo
2022;Anual;15.41;87;8;Mirasierra;Fuencarral - El Pardo
2005;Anual;7.33;166;16;Valdefuentes;Hortaleza
2006;Anual;6.15;166;16;Valdefuentes;Hortaleza
2007;Anual;5.53;166;16;Valdefuentes;Hortaleza
2008;Anual;5.3;166;16;Valdefuentes;Hortaleza
2009;Anual;5.29;166;16;Valdefuentes;Hortaleza
2010;Anual;5.36;166;16;Valdefuentes;Hortaleza
2011;Anual;5.66;166;16;Valdefuentes;Hortaleza
2012;Anual;5.89;166;16;Valdefuentes;Hortaleza
2013;Anual;6.14;166;16;Valdefuentes;Hortaleza
2014;Anual;6.41;166;16;Valdefuentes;Hortaleza
2015;Anual;6.53;166;16;Valdefuentes;Hortaleza
2016;Anual;6.62;166;16;Valdefuentes;Hortaleza
2017;Anual;6.92;166;16;Valdefuentes;Hortaleza
2018;Anual;7.11;166;16;Valdefuentes;Hortaleza
2019;Anual;7.31;166;16;Valdefuentes;Hortaleza
2020;Anual;7.46;166;16;Valdefuentes;Hortaleza
2021;Anual;7.53;166;16;Valdefuentes;Hortaleza
2022;Anual;7.69;166;16;Valdefuentes;Hortaleza
2005;Anual;12.66;212;21;Aeropuerto;Barajas
2006;Anual;12.87;212;21;Aeropuerto;Barajas
2007;Anual;12.84;212;21;Aeropuerto;Barajas
2008;Anual;12.82;212;21;Aeropuerto;Barajas
2009;Anual;12.6;212;21;Aeropuerto;Barajas
2010;Anual;12.68;212;21;Aeropuerto;Barajas
2011;Anual;12.68;212;21;Aeropuerto;Barajas
2012;Anual;13.24;212;21;Aeropuerto;Barajas
2013;Anual;14.01;212;21;Aeropuerto;Barajas
2014;Anual;15.12;212;21;Aeropuerto;Barajas
2015;Anual;15.84;212;21;Aeropuerto;Barajas
2016;Anual;15.11;212;21;Aeropuerto;Barajas
2017;Anual;15.08;212;21;Aeropuerto;Barajas
2018;Anual;15.44;212;21;Aeropuerto;Barajas
2019;Anual;15.07;212;21;Aeropuerto;Barajas
2020;Anual;15.11;212;21;Aeropuerto;Barajas
2021;Anual;14.7;212;21;Aeropuerto;Barajas
2022;Anual;14.72;212;21;Aeropuerto;Barajas
2005;Anual;10.43;214;21;Timón;Barajas
2006;Anual;10.74;214;21;Timón;Barajas
2007;Anual;10.82;214;21;Timón;Barajas
2008;Anual;11.01;214;21;Timón;Barajas
2009;Anual;11.1;214;21;Timón;Barajas
2010;Anual;10.88;214;21;Timón;Barajas
2011;Anual;10.75;214;21;Timón;Barajas
2012;Anual;10.62;214;21;Timón;Barajas
2013;Anual;10.4;214;21;Timón;Barajas
2014;Anual;10.47;214;21;Timón;Barajas
2015;Anual;10.35;214;21;Timón;Barajas
2016;Anual;10.14;214;21;Timón;Barajas
2017;Anual;10.27;214;21;Timón;Barajas
2018;Anual;10.11;214;21;Timón;Barajas
2019;Anual;10.2;214;21;Timón;Barajas
2020;Anual;10.55;214;21;Timón;Barajas
2021;Anual;10.53;214;21;Timón;Barajas
2022;Anual;11.79;214;21;Timón;Barajas
2005;Anual;18.35;82;8;Fuentelarreina;Fuencarral - El Pardo
2006;Anual;18.84;82;8;Fuentelarreina;Fuencarral - El Pardo
2007;Anual;19.95;82;8;Fuentelarreina;Fuencarral - El Pardo
2008;Anual;20.56;82;8;Fuentelarreina;Fuencarral - El Pardo
2009;Anual;21.51;82;8;Fuentelarreina;Fuencarral - El Pardo
2010;Anual;22.89;82;8;Fuentelarreina;Fuencarral - El Pardo
2011;Anual;23.92;82;8;Fuentelarreina;Fuencarral - El Pardo
2012;Anual;24.9;82;8;Fuentelarreina;Fuencarral - El Pardo
2013;Anual;25.53;82;8;Fuentelarreina;Fuencarral - El Pardo
2014;Anual;25.71;82;8;Fuentelarreina;Fuencarral - El Pardo
2015;Anual;26.06;82;8;Fuentelarreina;Fuencarral - El Pardo
2016;Anual;26.3;82;8;Fuentelarreina;Fuencarral - El Pardo
2017;Anual;26.22;82;8;Fuentelarreina;Fuencarral - El Pardo
2018;Anual;25.97;82;8;Fuentelarreina;Fuencarral - El Pardo
2019;Anual;26.4;82;8;Fuentelarreina;Fuencarral - El Pardo
2020;Anual;26.27;82;8;Fuentelarreina;Fuencarral - El Pardo
2021;Anual;25.63;82;8;Fuentelarreina;Fuencarral - El Pardo
2022;Anual;26.09;82;8;Fuentelarreina;Fuencarral - El Pardo
2005;Anual;12.08;85;8;La Paz;Fuencarral - El Pardo
2006;Anual;13.18;85;8;La Paz;Fuencarral - El Pardo
2007;Anual;13.98;85;8;La Paz;Fuencarral - El Pardo
2008;Anual;15.05;85;8;La Paz;Fuencarral - El Pardo
2009;Anual;16.2;85;8;La Paz;Fuencarral - El Pardo
2010;Anual;17.74;85;8;La Paz;Fuencarral - El Pardo
2011;Anual;19.49;85;8;La Paz;Fuencarral - El Pardo
2012;Anual;21.19;85;8;La Paz;Fuencarral - El Pardo
2013;Anual;23.01;85;8;La Paz;Fuencarral - El Pardo
2014;Anual;24.91;85;8;La Paz;Fuencarral - El Pardo
2015;Anual;26.69;85;8;La Paz;Fuencarral - El Pardo
2016;Anual;28.21;85;8;La Paz;Fuencarral - El Pardo
2017;Anual;29.57;85;8;La Paz;Fuencarral - El Pardo
2018;Anual;30.74;85;8;La Paz;Fuencarral - El Pardo
2019;Anual;31.85;85;8;La Paz;Fuencarral - El Pardo
2020;Anual;33.04;85;8;La Paz;Fuencarral - El Pardo
2021;Anual;34.26;85;8;La Paz;Fuencarral - El Pardo
2022;Anual;35.53;85;8;La Paz;Fuencarral - El Pardo
2005;Anual;14.66;83;8;Peñagrande;Fuencarral - El Pardo
2006;Anual;15.46;83;8;Peñagrande;Fuencarral - El Pardo
2007;Anual;16.09;83;8;Peñagrande;Fuencarral - El Pardo
2008;Anual;16.54;83;8;Peñagrande;Fuencarral - El Pardo
2009;Anual;17.13;83;8;Peñagrande;Fuencarral - El Pardo
2010;Anual;17.92;83;8;Peñagrande;Fuencarral - El Pardo
2011;Anual;18.85;83;8;Peñagrande;Fuencarral - El Pardo
2012;Anual;19.88;83;8;Peñagrande;Fuencarral - El Pardo
2013;Anual;20.72;83;8;Peñagrande;Fuencarral - El Pardo
2014;Anual;21.84;83;8;Peñagrande;Fuencarral - El Pardo
2015;Anual;23.05;83;8;Peñagrande;Fuencarral - El Pardo
2016;Anual;23.89;83;8;Peñagrande;Fuencarral - El Pardo
