ANIO;CODDIS;NOMDIS;PrecioAlquilerEurosM2
2016;8;Fuencarral - El Pardo;11,2
2015;8;Fuencarral - El Pardo;10,4
2014;8;Fuencarral - El Pardo;10,2
2013;8;Fuencarral - El Pardo;9,8
2012;8;Fuencarral - El Pardo;10,2
2011;8;Fuencarral - El Pardo;10,7
2010;8;Fuencarral - El Pardo;10,6
2009;8;Fuencarral - El Pardo;9,9
2022;16;Hortaleza;13,3
2021;16;Hortaleza;12,6
2020;16;Hortaleza;12,5
2019;16;Hortaleza;12,3
2018;16;Hortaleza;13,1
2017;16;Hortaleza;12,2
2016;16;Hortaleza;11,0
2015;16;Hortaleza;10,6
2014;16;Hortaleza;10,3
2013;16;Hortaleza;10,2
2012;16;Hortaleza;10,7
2011;16;Hortaleza;11,4
2010;16;Hortaleza;11,5
2009;16;Hortaleza;11,0
2022;10;Latina;13,0
2021;10;Latina;11,8
2020;10;Latina;12,0
2019;10;Latina;12,4
2018;10;Latina;11,4
2017;10;Latina;10,3
2016;10;Latina;9,4
2015;10;Latina;8,7
2014;10;Latina;8,5
2013;10;Latina;8,4
2012;10;Latina;9,0
2011;10;Latina;9,5
2010;10;Latina;9,7
2009;10;Latina;11,0
2022;9;Moncloa - Aravaca;15,3
2021;9;Moncloa - Aravaca;13,9
2020;9;Moncloa - Aravaca;14,4
2019;9;Moncloa - Aravaca;14,6
2018;9;Moncloa - Aravaca;14,6
2017;9;Moncloa - Aravaca;13,3
2016;9;Moncloa - Aravaca;12,9
2015;9;Moncloa - Aravaca;12,0
2014;9;Moncloa - Aravaca;11,2
2013;9;Moncloa - Aravaca;10,7
2012;9;Moncloa - Aravaca;11,3
2011;9;Moncloa - Aravaca;11,7
2010;9;Moncloa - Aravaca;12,5
2009;9;Moncloa - Aravaca;13,3
2022;14;Moratalaz;12,0
2021;14;Moratalaz;11,1
2020;14;Moratalaz;11,1
2019;14;Moratalaz;11,2
2018;14;Moratalaz;9,7
2017;14;Moratalaz;10,0
2016;14;Moratalaz;9,4
2015;14;Moratalaz;8,7
2014;14;Moratalaz;8,2
2013;14;Moratalaz;8,1
2012;14;Moratalaz;8,7
2011;14;Moratalaz;9,2
2022;13;Puente de Vallecas;12,9
2021;13;Puente de Vallecas;12,0
2020;13;Puente de Vallecas;12,1
2019;13;Puente de Vallecas;12,4
2018;13;Puente de Vallecas;11,4
2017;13;Puente de Vallecas;10,4
2016;13;Puente de Vallecas;9,4
2015;13;Puente de Vallecas;8,8
2014;13;Puente de Vallecas;8,3
2013;13;Puente de Vallecas;8,4
2012;13;Puente de Vallecas;9,1
2011;13;Puente de Vallecas;9,7
2010;13;Puente de Vallecas;10,0
2022;3;Retiro;17,2
2021;3;Retiro;15,0
2020;3;Retiro;15,0
2019;3;Retiro;16,4
2018;3;Retiro;16,0
2017;3;Retiro;14,8
2016;3;Retiro;13,9
2015;3;Retiro;13,0
2014;3;Retiro;12,0
2013;3;Retiro;11,8
2012;3;Retiro;12,0
2011;3;Retiro;12,7
2010;3;Retiro;13,1
2022;4;Salamanca;20,0
2021;4;Salamanca;17,5
2020;4;Salamanca;17,0
2019;4;Salamanca;18,9
2018;4;Salamanca;18,3
2017;4;Salamanca;17,8
2016;4;Salamanca;16,0
2015;4;Salamanca;14,9
2014;4;Salamanca;14,0
2013;4;Salamanca;13,6
2012;4;Salamanca;14,0
2011;4;Salamanca;14,6
2010;4;Salamanca;15,0
2009;4;Salamanca;15,5
2022;20;San Blas - Canillejas;12,5
2021;20;San Blas - Canillejas;11,4
2020;20;San Blas - Canillejas;11,8
2019;20;San Blas - Canillejas;11,9
2018;20;San Blas - Canillejas;11,6
2017;20;San Blas - Canillejas;11,2
2016;20;San Blas - Canillejas;10,0
2015;20;San Blas - Canillejas;9,3
2014;20;San Blas - Canillejas;8,7
2013;20;San Blas - Canillejas;9,1
2012;20;San Blas - Canillejas;9,6
2011;20;San Blas - Canillejas;10,2
2010;20;San Blas - Canillejas;10,8
2009;20;San Blas - Canillejas;11,9
2022;6;Tetuán;16,6
2021;6;Tetuán;15,1
2020;6;Tetuán;14,9
2019;6;Tetuán;16,0
2018;6;Tetuán;15,4
2017;6;Tetuán;14,9
2016;6;Tetuán;13,5
2015;6;Tetuán;12,2
2014;6;Tetuán;11,4
2013;6;Tetuán;11,2
