Anio;Periodo;DatoAutonomo;CodigoBarrio;CodigoDistrito;NombreBarrio;NombreDistrito
2017;Anual;0;194;19;El Cañaveral;Vicálvaro
2018;Anual;9;194;19;El Cañaveral;Vicálvaro
2019;Anual;20;194;19;El Cañaveral;Vicálvaro
2020;Anual;42;194;19;El Cañaveral;Vicálvaro
2021;Anual;60;194;19;El Cañaveral;Vicálvaro
2022;Anual;117;194;19;El Cañaveral;Vicálvaro
2010;Anual;1070;191;19;Casco histórico de Vicálvaro;Vicálvaro
2011;Anual;1008;191;19;Casco histórico de Vicálvaro;Vicálvaro
2012;Anual;899;191;19;Casco histórico de Vicálvaro;Vicálvaro
2013;Anual;983;191;19;Casco histórico de Vicálvaro;Vicálvaro
2014;Anual;1082;191;19;Casco histórico de Vicálvaro;Vicálvaro
2015;Anual;1130;191;19;Casco histórico de Vicálvaro;Vicálvaro
2016;Anual;1194;191;19;Casco histórico de Vicálvaro;Vicálvaro
2017;Anual;1266;191;19;Casco histórico de Vicálvaro;Vicálvaro
2018;Anual;1002;191;19;Casco histórico de Vicálvaro;Vicálvaro
2019;Anual;1184;191;19;Casco histórico de Vicálvaro;Vicálvaro
2020;Anual;1251;191;19;Casco histórico de Vicálvaro;Vicálvaro
2021;Anual;1209;191;19;Casco histórico de Vicálvaro;Vicálvaro
2022;Anual;1186;191;19;Casco histórico de Vicálvaro;Vicálvaro
2010;Anual;91;81;8;El Pardo;Fuencarral - El Pardo
2011;Anual;84;81;8;El Pardo;Fuencarral - El Pardo
2012;Anual;73;81;8;El Pardo;Fuencarral - El Pardo
2013;Anual;68;81;8;El Pardo;Fuencarral - El Pardo
2014;Anual;73;81;8;El Pardo;Fuencarral - El Pardo
2015;Anual;77;81;8;El Pardo;Fuencarral - El Pardo
2016;Anual;76;81;8;El Pardo;Fuencarral - El Pardo
2017;Anual;89;81;8;El Pardo;Fuencarral - El Pardo
2018;Anual;75;81;8;El Pardo;Fuencarral - El Pardo
2019;Anual;101;81;8;El Pardo;Fuencarral - El Pardo
2020;Anual;99;81;8;El Pardo;Fuencarral - El Pardo
2021;Anual;102;81;8;El Pardo;Fuencarral - El Pardo
2022;Anual;96;81;8;El Pardo;Fuencarral - El Pardo
2010;Anual;153;88;8;El Goloso;Fuencarral - El Pardo
2011;Anual;185;88;8;El Goloso;Fuencarral - El Pardo
2012;Anual;186;88;8;El Goloso;Fuencarral - El Pardo
2013;Anual;226;88;8;El Goloso;Fuencarral - El Pardo
2014;Anual;306;88;8;El Goloso;Fuencarral - El Pardo
2015;Anual;394;88;8;El Goloso;Fuencarral - El Pardo
2016;Anual;466;88;8;El Goloso;Fuencarral - El Pardo
2017;Anual;517;88;8;El Goloso;Fuencarral - El Pardo
2018;Anual;335;88;8;El Goloso;Fuencarral - El Pardo
2019;Anual;652;88;8;El Goloso;Fuencarral - El Pardo
2020;Anual;682;88;8;El Goloso;Fuencarral - El Pardo
2021;Anual;656;88;8;El Goloso;Fuencarral - El Pardo
2022;Anual;671;88;8;El Goloso;Fuencarral - El Pardo
2010;Anual;1437;86;8;Valverde;Fuencarral - El Pardo
2011;Anual;1462;86;8;Valverde;Fuencarral - El Pardo
2012;Anual;1298;86;8;Valverde;Fuencarral - El Pardo
2013;Anual;1402;86;8;Valverde;Fuencarral - El Pardo
2014;Anual;1642;86;8;Valverde;Fuencarral - El Pardo
2015;Anual;1771;86;8;Valverde;Fuencarral - El Pardo
2016;Anual;1812;86;8;Valverde;Fuencarral - El Pardo
2017;Anual;2005;86;8;Valverde;Fuencarral - El Pardo
2018;Anual;1655;86;8;Valverde;Fuencarral - El Pardo
2019;Anual;2370;86;8;Valverde;Fuencarral - El Pardo
2020;Anual;2479;86;8;Valverde;Fuencarral - El Pardo
2021;Anual;2426;86;8;Valverde;Fuencarral - El Pardo
2022;Anual;2413;86;8;Valverde;Fuencarral - El Pardo
2010;Anual;790;87;8;Mirasierra;Fuencarral - El Pardo
2011;Anual;813;87;8;Mirasierra;Fuencarral - El Pardo
2012;Anual;702;87;8;Mirasierra;Fuencarral - El Pardo
2013;Anual;769;87;8;Mirasierra;Fuencarral - El Pardo
2014;Anual;897;87;8;Mirasierra;Fuencarral - El Pardo
2015;Anual;990;87;8;Mirasierra;Fuencarral - El Pardo
2016;Anual;1031;87;8;Mirasierra;Fuencarral - El Pardo
2017;Anual;1089;87;8;Mirasierra;Fuencarral - El Pardo
2018;Anual;967;87;8;Mirasierra;Fuencarral - El Pardo
2019;Anual;1244;87;8;Mirasierra;Fuencarral - El Pardo
2020;Anual;1320;87;8;Mirasierra;Fuencarral - El Pardo
2021;Anual;1292;87;8;Mirasierra;Fuencarral - El Pardo
2022;Anual;1307;87;8;Mirasierra;Fuencarral - El Pardo
2010;Anual;842;166;16;Valdefuentes;Hortaleza
2011;Anual;906;166;16;Valdefuentes;Hortaleza
2012;Anual;841;166;16;Valdefuentes;Hortaleza
2013;Anual;912;166;16;Valdefuentes;Hortaleza
2014;Anual;1124;166;16;Valdefuentes;Hortaleza
2015;Anual;1284;166;16;Valdefuentes;Hortaleza
2016;Anual;1406;166;16;Valdefuentes;Hortaleza
2017;Anual;1599;166;16;Valdefuentes;Hortaleza
2018;Anual;1314;166;16;Valdefuentes;Hortaleza
2019;Anual;2100;166;16;Valdefuentes;Hortaleza
2020;Anual;2325;166;16;Valdefuentes;Hortaleza
2021;Anual;2309;166;16;Valdefuentes;Hortaleza
