Anio;Periodo;DatoAfiliacionesResidencia;CodigoBarrio;CodigoDistrito;NombreBarrio;NombreDistrito
2017;Anual;0;194;19;El Cañaveral;Vicálvaro
2018;Anual;131;194;19;El Cañaveral;Vicálvaro
2019;Anual;385;194;19;El Cañaveral;Vicálvaro
2020;Anual;838;194;19;El Cañaveral;Vicálvaro
2021;Anual;874;194;19;El Cañaveral;Vicálvaro
2022;Anual;2627;194;19;El Cañaveral;Vicálvaro
2013;Anual;19133;191;19;Casco histórico de Vicálvaro;Vicálvaro
2014;Anual;17105;191;19;Casco histórico de Vicálvaro;Vicálvaro
2015;Anual;17267;191;19;Casco histórico de Vicálvaro;Vicálvaro
2016;Anual;20453;191;19;Casco histórico de Vicálvaro;Vicálvaro
2017;Anual;21261;191;19;Casco histórico de Vicálvaro;Vicálvaro
2018;Anual;12291;191;19;Casco histórico de Vicálvaro;Vicálvaro
2019;Anual;12909;191;19;Casco histórico de Vicálvaro;Vicálvaro
2020;Anual;13277;191;19;Casco histórico de Vicálvaro;Vicálvaro
2021;Anual;13652;191;19;Casco histórico de Vicálvaro;Vicálvaro
2022;Anual;13710;191;19;Casco histórico de Vicálvaro;Vicálvaro
2013;Anual;1093;81;8;El Pardo;Fuencarral - El Pardo
2014;Anual;988;81;8;El Pardo;Fuencarral - El Pardo
2015;Anual;980;81;8;El Pardo;Fuencarral - El Pardo
2016;Anual;1085;81;8;El Pardo;Fuencarral - El Pardo
2017;Anual;1117;81;8;El Pardo;Fuencarral - El Pardo
2018;Anual;1148;81;8;El Pardo;Fuencarral - El Pardo
2019;Anual;1194;81;8;El Pardo;Fuencarral - El Pardo
2020;Anual;1253;81;8;El Pardo;Fuencarral - El Pardo
2021;Anual;1253;81;8;El Pardo;Fuencarral - El Pardo
2022;Anual;1324;81;8;El Pardo;Fuencarral - El Pardo
2013;Anual;5933;88;8;El Goloso;Fuencarral - El Pardo
2014;Anual;4782;88;8;El Goloso;Fuencarral - El Pardo
2015;Anual;4853;88;8;El Goloso;Fuencarral - El Pardo
2016;Anual;6663;88;8;El Goloso;Fuencarral - El Pardo
2017;Anual;7210;88;8;El Goloso;Fuencarral - El Pardo
