Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;12,6 €/m2;- 0,5 %;+ 1,1 %;+ 7,1 %
Enero 2023;12,6 €/m2;+ 1,0 %;+ 3,5 %;+ 8,5 %
Diciembre 2022;12,5 €/m2;+ 0,6 %;+ 3,5 %;+ 7,5 %
Noviembre 2022;12,4 €/m2;+ 1,8 %;+ 2,2 %;+ 8,5 %
Octubre 2022;12,2 €/m2;+ 1,1 %;+ 0,5 %;+ 6,1 %
Septiembre 2022;12,1 €/m2;- 0,6 %;- 0,7 %;+ 5,3 %
Agosto 2022;12,2 €/m2;+ 0,1 %;- 2,0 %;+ 7,6 %
Julio 2022;12,1 €/m2;- 0,1 %;- 1,9 %;+ 6,6 %
Junio 2022;12,2 €/m2;- 1,9 %;- 0,5 %;+ 6,3 %
Mayo 2022;12,4 €/m2;+ 0,2 %;+ 5,8 %;+ 7,7 %
Abril 2022;12,4 €/m2;+ 1,3 %;+ 6,3 %;+ 9,7 %
Marzo 2022;12,2 €/m2;+ 4,2 %;+ 5,1 %;+ 8,0 %
Febrero 2022;11,7 €/m2;+ 0,7 %;+ 2,4 %;+ 4,2 %
Enero 2022;11,6 €/m2;+ 0,1 %;+ 1,2 %;+ 2,4 %
Diciembre 2021;11,6 €/m2;+ 1,6 %;+ 1,3 %;+ 2,8 %
Noviembre 2021;11,4 €/m2;- 0,5 %;+ 1,3 %;+ 0,2 %
Octubre 2021;11,5 €/m2;+ 0,3 %;+ 1,0 %;- 0,7 %
Septiembre 2021;11,5 €/m2;+ 1,5 %;+ 0,2 %;0,0 %
Agosto 2021;11,3 €/m2;- 0,8 %;- 1,8 %;- 3,6 %
Julio 2021;11,4 €/m2;- 0,5 %;+ 0,9 %;- 4,2 %
Junio 2021;11,4 €/m2;- 0,6 %;+ 1,1 %;- 2,0 %
Mayo 2021;11,5 €/m2;+ 2,0 %;+ 2,3 %;- 0,2 %
Abril 2021;11,3 €/m2;- 0,3 %;- 0,8 %;- 3,4 %
Marzo 2021;11,3 €/m2;+ 0,6 %;0,0 %;- 3,7 %
Febrero 2021;11,3 €/m2;- 1,1 %;- 1,6 %;- 6,4 %
Enero 2021;11,4 €/m2;+ 0,5 %;- 1,8 %;- 4,7 %
Diciembre 2020;11,3 €/m2;- 1,0 %;- 1,4 %;- 3,4 %
Noviembre 2020;11,4 €/m2;- 1,3 %;- 2,6 %;- 3,4 %
Octubre 2020;11,6 €/m2;+ 1,0 %;- 2,6 %;- 3,8 %
Septiembre 2020;11,5 €/m2;- 2,2 %;- 1,8 %;- 5,2 %
Agosto 2020;11,7 €/m2;- 1,4 %;+ 1,6 %;- 1,2 %
Julio 2020;11,9 €/m2;+ 1,8 %;+ 1,9 %;- 0,4 %
Junio 2020;11,7 €/m2;+ 1,2 %;- 0,6 %;- 1,9 %
Mayo 2020;11,5 €/m2;- 1,2 %;- 4,0 %;- 1,3 %
Abril 2020;11,7 €/m2;- 0,6 %;- 2,2 %;+ 1,3 %
Marzo 2020;11,8 €/m2;- 2,3 %;+ 0,3 %;+ 0,9 %
Febrero 2020;12,0 €/m2;+ 0,7 %;+ 1,7 %;+ 2,9 %
Enero 2020;11,9 €/m2;+ 1,9 %;- 0,9 %;+ 2,5 %
Diciembre 2019;11,7 €/m2;- 0,9 %;- 3,2 %;+ 0,6 %
Noviembre 2019;11,8 €/m2;- 1,8 %;- 0,4 %;+ 3,5 %
Octubre 2019;12,0 €/m2;- 0,5 %;+ 0,9 %;+ 8,0 %
Septiembre 2019;12,1 €/m2;+ 1,9 %;+ 1,6 %;+ 7,4 %
