Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;13,5 €/m2;+ 1,8 %;+ 2,9 %;+ 8,5 %
Enero 2023;13,2 €/m2;+ 0,9 %;+ 1,5 %;+ 6,4 %
Diciembre 2022;13,1 €/m2;+ 0,1 %;+ 1,8 %;+ 6,5 %
Noviembre 2022;13,1 €/m2;+ 0,5 %;+ 2,0 %;+ 7,3 %
Octubre 2022;13,0 €/m2;+ 1,2 %;+ 1,8 %;+ 7,1 %
Septiembre 2022;12,9 €/m2;+ 0,3 %;+ 1,5 %;+ 6,8 %
Agosto 2022;12,8 €/m2;+ 0,3 %;+ 1,9 %;+ 6,2 %
Julio 2022;12,8 €/m2;+ 0,9 %;+ 1,9 %;+ 6,0 %
Junio 2022;12,7 €/m2;+ 0,7 %;+ 1,0 %;+ 5,1 %
Mayo 2022;12,6 €/m2;+ 0,3 %;+ 1,5 %;+ 4,1 %
Abril 2022;12,6 €/m2;0,0 %;+ 1,1 %;+ 4,1 %
Marzo 2022;12,6 €/m2;+ 1,2 %;+ 2,0 %;+ 3,5 %
Febrero 2022;12,4 €/m2;- 0,1 %;+ 1,8 %;+ 1,9 %
Enero 2022;12,4 €/m2;+ 1,0 %;+ 2,2 %;+ 2,5 %
Diciembre 2021;12,3 €/m2;+ 0,9 %;+ 2,1 %;+ 0,4 %
Noviembre 2021;12,2 €/m2;+ 0,3 %;+ 1,0 %;- 2,2 %
Octubre 2021;12,2 €/m2;+ 1,0 %;+ 0,7 %;- 3,5 %
Septiembre 2021;12,1 €/m2;- 0,2 %;- 0,1 %;- 5,1 %
Agosto 2021;12,1 €/m2;0,0 %;- 0,2 %;- 5,1 %
Julio 2021;12,1 €/m2;+ 0,1 %;+ 0,1 %;- 5,5 %
Junio 2021;12,1 €/m2;- 0,3 %;- 0,6 %;- 5,9 %
Mayo 2021;12,1 €/m2;+ 0,3 %;- 0,6 %;- 6,2 %
Abril 2021;12,1 €/m2;- 0,5 %;- 0,5 %;- 6,8 %
Marzo 2021;12,1 €/m2;- 0,3 %;- 1,0 %;- 5,7 %
Febrero 2021;12,2 €/m2;+ 0,4 %;- 2,4 %;- 5,0 %
Enero 2021;12,1 €/m2;- 1,0 %;- 3,8 %;- 4,9 %
Diciembre 2020;12,3 €/m2;- 1,7 %;- 3,5 %;- 2,8 %
Noviembre 2020;12,5 €/m2;- 1,1 %;- 2,0 %;- 0,7 %
Octubre 2020;12,6 €/m2;- 0,8 %;- 1,4 %;+ 0,2 %
Septiembre 2020;12,7 €/m2;- 0,2 %;- 0,9 %;+ 1,3 %
Agosto 2020;12,7 €/m2;- 0,4 %;- 1,4 %;+ 2,7 %
Julio 2020;12,8 €/m2;- 0,4 %;- 1,3 %;+ 3,2 %
Junio 2020;12,8 €/m2;- 0,6 %;- 0,3 %;+ 4,6 %
Mayo 2020;12,9 €/m2;- 0,3 %;+ 0,7 %;+ 5,6 %
Abril 2020;12,9 €/m2;+ 0,6 %;+ 1,5 %;+ 4,7 %
Marzo 2020;12,9 €/m2;+ 0,4 %;+ 2,0 %;+ 5,2 %
Febrero 2020;12,8 €/m2;+ 0,5 %;+ 2,1 %;+ 4,8 %
Enero 2020;12,8 €/m2;+ 1,1 %;+ 1,4 %;+ 4,4 %
Diciembre 2019;12,6 €/m2;+ 0,4 %;+ 0,6 %;+ 3,7 %
Noviembre 2019;12,6 €/m2;- 0,1 %;+ 1,3 %;+ 2,9 %
Octubre 2019;12,6 €/m2;+ 0,3 %;+ 1,6 %;+ 3,4 %
Septiembre 2019;12,5 €/m2;+ 1,2 %;+ 2,3 %;+ 2,7 %
Agosto 2019;12,4 €/m2;+ 0,1 %;+ 1,4 %;+ 1,7 %
Julio 2019;12,4 €/m2;+ 1,0 %;+ 0,1 %;+ 1,3 %
Junio 2019;12,3 €/m2;+ 0,3 %;+ 0,2 %;- 0,1 %
Mayo 2019;12,2 €/m2;- 1,1 %;- 0,1 %;+ 1,7 %
Abril 2019;12,4 €/m2;+ 1,1 %;+ 1,2 %;+ 4,5 %
Marzo 2019;12,2 €/m2;0,0 %;+ 0,6 %;+ 2,9 %
Febrero 2019;12,2 €/m2;+ 0,1 %;+ 0,2 %;+ 3,2 %
Enero 2019;12,2 €/m2;+ 0,5 %;+ 0,4 %;+ 2,7 %
Diciembre 2018;12,2 €/m2;- 0,4 %;- 0,5 %;+ 0,8 %
Noviembre 2018;12,2 €/m2;+ 0,3 %;+ 0,1 %;+ 2,1 %
Octubre 2018;12,2 €/m2;- 0,4 %;- 0,4 %;+ 2,3 %
Septiembre 2018;12,2 €/m2;+ 0,2 %;- 0,5 %;+ 4,7 %
Agosto 2018;12,2 €/m2;- 0,2 %;+ 1,4 %;+ 5,3 %
Julio 2018;12,2 €/m2;- 0,5 %;+ 3,2 %;+ 6,8 %
Junio 2018;12,3 €/m2;+ 2,1 %;+ 3,2 %;+ 8,1 %
Mayo 2018;12,0 €/m2;+ 1,6 %;+ 1,4 %;+ 6,9 %
Abril 2018;11,8 €/m2;- 0,5 %;- 0,5 %;+ 6,6 %
Marzo 2018;11,9 €/m2;+ 0,3 %;- 1,4 %;+ 7,1 %
Febrero 2018;11,9 €/m2;- 0,4 %;- 0,9 %;+ 6,6 %
Enero 2018;11,9 €/m2;- 1,4 %;0,0 %;+ 5,7 %
Diciembre 2017;12,1 €/m2;+ 0,9 %;+ 3,4 %;+ 8,0 %
Noviembre 2017;12,0 €/m2;+ 0,5 %;+ 3,2 %;+ 8,2 %
Octubre 2017;11,9 €/m2;+ 1,9 %;+ 3,9 %;+ 9,1 %
Septiembre 2017;11,7 €/m2;+ 0,8 %;+ 2,8 %;+ 8,3 %
Agosto 2017;11,6 €/m2;+ 1,2 %;+ 3,0 %;+ 7,1 %
Julio 2017;11,4 €/m2;+ 0,8 %;+ 3,0 %;+ 6,4 %
Junio 2017;11,4 €/m2;+ 1,0 %;+ 2,2 %;+ 6,7 %
Mayo 2017;11,2 €/m2;+ 1,3 %;+ 1,1 %;+ 6,2 %
Abril 2017;11,1 €/m2;0,0 %;- 1,4 %;+ 5,5 %
Marzo 2017;11,1 €/m2;- 0,1 %;- 0,5 %;+ 6,2 %
Febrero 2017;11,1 €/m2;- 1,2 %;+ 0,6 %;+ 7,7 %
Enero 2017;11,3 €/m2;+ 0,8 %;+ 3,3 %;+ 8,9 %
Diciembre 2016;11,2 €/m2;+ 1,0 %;+ 3,6 %;+ 7,6 %
Noviembre 2016;11,1 €/m2;+ 1,4 %;+ 2,3 %;+ 6,7 %
Octubre 2016;10,9 €/m2;+ 1,1 %;+ 1,3 %;+ 5,0 %
Septiembre 2016;10,8 €/m2;- 0,3 %;+ 1,3 %;+ 4,9 %
Agosto 2016;10,8 €/m2;+ 0,5 %;+ 2,1 %;+ 5,6 %
Julio 2016;10,8 €/m2;+ 1,1 %;+ 2,1 %;+ 4,5 %
Junio 2016;10,6 €/m2;+ 0,4 %;+ 1,7 %;+ 3,4 %
Mayo 2016;10,6 €/m2;+ 0,6 %;+ 2,6 %;+ 2,6 %
Abril 2016;10,5 €/m2;+ 0,7 %;+ 1,8 %;+ 2,7 %
Marzo 2016;10,5 €/m2;+ 1,3 %;+ 0,7 %;+ 2,7 %
Febrero 2016;10,3 €/m2;- 0,2 %;- 0,4 %;+ 1,1 %
Enero 2016;10,3 €/m2;- 0,4 %;- 0,3 %;+ 1,3 %
Diciembre 2015;10,4 €/m2;+ 0,2 %;+ 1,0 %;+ 2,2 %
Noviembre 2015;10,4 €/m2;- 0,1 %;+ 1,3 %;+ 5,5 %
Octubre 2015;10,4 €/m2;+ 0,9 %;+ 0,8 %;+ 5,4 %
Septiembre 2015;10,3 €/m2;+ 0,4 %;- 0,1 %;+ 4,4 %
Agosto 2015;10,2 €/m2;- 0,6 %;- 0,8 %;+ 3,8 %
Julio 2015;10,3 €/m2;+ 0,1 %;+ 0,4 %;+ 2,3 %
Junio 2015;10,3 €/m2;- 0,3 %;+ 1,1 %;+ 2,1 %
Mayo 2015;10,3 €/m2;+ 0,6 %;+ 1,0 %;+ 3,0 %
Abril 2015;10,3 €/m2;+ 0,7 %;+ 0,5 %;+ 2,4 %
Marzo 2015;10,2 €/m2;- 0,3 %;+ 0,3 %;+ 1,4 %
Febrero 2015;10,2 €/m2;+ 0,1 %;+ 4,0 %;+ 3,9 %
Enero 2015;10,2 €/m2;+ 0,5 %;+ 3,7 %;+ 4,0 %
Diciembre 2014;10,2 €/m2;+ 3,3 %;+ 3,2 %;+ 3,5 %
Noviembre 2014;9,8 €/m2;- 0,2 %;- 0,4 %;- 2,6 %
Octubre 2014;9,8 €/m2;0,0 %;- 2,2 %;- 2,9 %
Septiembre 2014;9,8 €/m2;- 0,2 %;- 2,3 %;- 3,2 %
Agosto 2014;9,9 €/m2;- 2,0 %;- 1,6 %;- 2,6 %
Julio 2014;10,1 €/m2;- 0,1 %;+ 0,5 %;+ 2,2 %
Junio 2014;10,1 €/m2;+ 0,5 %;+ 0,3 %;+ 2,0 %
Mayo 2014;10,0 €/m2;+ 0,1 %;+ 1,9 %;+ 0,8 %
Abril 2014;10,0 €/m2;- 0,2 %;+ 2,1 %;- 0,8 %
Marzo 2014;10,0 €/m2;+ 2,1 %;+ 2,3 %;- 0,5 %
